기사제목,작성일,URL,score,숫자단위_매칭수,통계출처_언급,변화표현_매칭수
최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,325,319,False,6
‘쉬었음’ 청년 50만명 넘어서... 청년 고용률 49개월 만에 최대 낙폭,2025-03-12,https://www.chosun.com/economy/economy_general/2025/03/12/RYNZ7HLF3JCOJKSPPE4VJMSTEE,302,239,True,60
작년 11월 출생아 14.6% 증가...2010년 이후 최대폭,2025-01-22,https://www.chosun.com/economy/economy_general/2025/01/22/HAHTAVPQ75BJXM4GWC4SNRKAZA,268,180,True,85
"“그냥 쉬었다”는 20대, 5년 새 가장 많아",2025-07-17,https://www.chosun.com/economy/economy_general/2025/07/17/NDNGACBI4RAZJBDEMRKGKVA5KY,258,178,True,77
전기차 시대 앞두고 주유소가 사라진다…1만1000개선도 무너져,2025-01-17,https://www.chosun.com/economy/industry-company/2025/01/17/A7ORMFW6OBBXXCKQ6BMCRAG6WM,253,226,False,27
치솟는 환율에 식품 물가도 급등,2025-01-04,https://www.chosun.com/economy/economy_general/2025/01/04/7SPGFC4RFZEDLDPFTQHVDM2K2E,251,225,False,26
SK ‘반짝’ 시총 300조원… 셀트리온은 10위권 밖으로,2025-06-29,https://www.chosun.com/economy/money/2025/06/29/DR3TYT332NPDNEDSDJOXYO5S3U,248,214,False,34
3월 청년 실업률 7.5%... 코로나 이후 최고,2025-04-09,https://www.chosun.com/economy/economy_general/2025/04/09/S5F7BYR5GJDQZFTEJM6L2KWREQ,247,184,True,60
1~10일 일평균 수출액 6.4% 줄어...17개월 만 최대폭 감소,2025-02-11,https://www.chosun.com/economy/economy_general/2025/02/11/3H2PYHOJFBEXLARKGB4QNSQZ2A,245,165,False,80
고용 한파… 청년이라 더 추운 겨울,2025-01-16,https://www.chosun.com/economy/economy_general/2025/01/16/IYBVLBS7D5AJ3ENSN7WNDOJX2Y,245,190,True,52
