claim_id,claim_text,metric,time,population,unit,candidate_kosis_table,api_params,calculation,verifiable,org_id,tbl_id,obj_l1,itm_id,prd_se,reviewer_note
C18704,"통계청에 따르면, 지난 1분기 가계 소득 증가율은 2.6%를 기록했지만 민간 소비는 전 분기 대비 1.4% 줄었다.",,,,,"가계의 목적별 최종소비지출(계절조정, 명목, 분기)(tblId=DT_200Y140); 가계의 목적별 최종소비지출(계절조정, 실질, 분기)(tblId=DT_200Y141); 가계의 목적별 최종소비지출(원계열, 명목, 분기 및 연간)(tblId=DT_200Y142); 가계의 목적별 최종소비지출(원계열, 실질, 분기 및 연간)(tblId=DT_200Y143); 가계의 형태별 최종소비지출(계절조정, 명목, 분기)(tblId=DT_200Y144); 가계의 형태별 최종소비지출(계절조정, 실질, 분기)(tblId=DT_200Y145); 가계의 형태별 최종소비지출(원계열, 명목, 분기 및 연간)(tblId=DT_200Y146); 가계의 형태별 최종소비지출(원계열, 실질, 분기 및 연간)(tblId=DT_200Y147); 가계에 봉사하는 비영리단체의 목적별 최종소비지출(원계열, 명목, 분기 및 연간)(tblId=DT_200Y148); 가계에 봉사하는 비영리단체의 목적별 최종소비지출(원계열, 실질, 분기 및 연간)(tblId=DT_200Y149)","orgId=301, tblId=DT_200Y140 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=301&tblId=DT_200Y140&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요,,,,,,
C05093,"한편 통계청은 이날 작년 서비스업 생산이 전년보다 1.4% 증가했지만, 폭이 2023년(3.2%)의 절반 이하로 꺾였다고 밝혔다.",,,,,작년 기준 농업경영체의 생산 품목(중복응답)(tblId=DT_111014_C101); 작년 기준 농업경영체의 생산 품목별 영농규모(tblId=DT_111014_C102); 작년 기준 농업경영체의 생산 품목별 판매액(tblId=DT_111014_C103); 통계청 사망원인통계 기준 성별 연령별 결핵 사망자 수(tblId=DT_117N_A00113); 서비스업 기업규모별 노동생산성(tblId=DT_344N_1D8B_CC_1); 서비스업 지역별 노동생산성(tblId=DT_344N_1D8B_DD_1); 산업별 서비스업생산지수(2020=100.0)(tblId=DT_1KC2020); 특수분류별 서비스업생산지수(2020=100.0)(tblId=DT_1KC2021); 기업규모별 서비스업생산지수(2020=100.0)(tblId=DT_1KC2022); 시도별 서비스업생산지수(2020=100.0)(tblId=DT_1KC2023),"orgId=111, tblId=DT_111014_C101 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=111&tblId=DT_111014_C101&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요,,,,,,
C10523,"통계청에 따르면, 지난해 신혼부부 맞벌이 비율은 58.2%로 역대 최대치였다.",,,,,신혼부부 특성별 맞벌이여부별 신혼부부 수(tblId=DT_1NW1026); 초혼 신혼부부 특성별 맞벌이여부별 신혼부부 수(tblId=DT_1NW2023); 재혼 신혼부부 특성별 맞벌이여부별 신혼부부 수(tblId=DT_1NW3023); [전문디자인업체]디자인 관련 용역대가를 산정하는 방식(2007)(tblId=TX_115_2009_H9045); 통계청 사망원인통계 기준 성별 연령별 결핵 사망자 수(tblId=DT_117N_A00113); 가사분담에 대한 태도-맞벌이부부(tblId=DT_1W20017); 맞벌이부부 및 가구주의 1주일 평균 근로시간 (가구주)(tblId=DT_1SSLA111R); 맞벌이부부 및 여자 배우자의 1주일 평균 근로시간 (가구주)(tblId=DT_1SSLA112R); 1주일 평균 근로시간별 맞벌이부부 (가구주)(tblId=DT_1SSLA113R); 맞벌이 부부 및 가구주의 1주일 평균 근로시간(가구주)(tblId=DT_1W4C08),"orgId=101, tblId=DT_1NW1026 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=101&tblId=DT_1NW1026&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요,,,,,,
C09329,이날 통계청은 ‘3월 소비자물가 동향’에서 지난달 소비자물가가 전년 동월 대비 2.1% 상승했다고 밝혔다.,,,,,"소비자물가지수(2020=100)(tblId=DT_1J22003); 연도별 소비자물가 등락률(tblId=DT_1J22041); 월별 소비자물가 등락률(tblId=DT_1J22042); 지출목적별 소비자물가지수(품목포함, 2020=100)(tblId=DT_1J22001); 품목성질별 소비자물가지수(2020=100)(tblId=DT_1J22002); 품목별 소비자물가지수(품목성질별: 2020=100)(tblId=DT_1J22112); 생활물가지수(2020=100)(tblId=DT_1J22005); 신선식품지수(2020=100)(tblId=DT_1J22004); 식료품 및 에너지제외지수(2020=100)(tblId=DT_1J22009); 농산물 및 석유류제외지수(2020=100)(tblId=DT_1J22007)","orgId=101, tblId=DT_1J22003 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=101&tblId=DT_1J22003&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요,,,,,,
C11002,"클리오는 증권가 컨센서스(평균 전망치)상 올해 1분기 매출과 영업이익이 각각 전년 동기 대비 1.4%, 16.5% 감소한 917억원, 71억원으로 예상된다.",,,,,"과학기술 분야 연구비 10억원 당 기술이전 건수 및 연구개발투자 회수율 현황(tblId=DT_112017N_056); 전시사업자 업종 및 지역별 전시 관련 매출액, 영업이익(tblId=DT_430001_00_002); 전시시설 사업자의 매출액 및 영업이익 규모(tblId=DT_430001_01_009); 매출액 및 영업이익(tblId=DT_175001_032); 벤처기업의 매출액 증가율 및 영업이익률(tblId=TX_14203_A002); 2023년 기준 재무 현황(매출액, 수출액, 영업이익) - 합계(tblId=DT_D23037); 기업체 재무 현황(매출액,영업이익) - 합계(tblId=DT_D22037); 매출액 및 영업이익 증감(tblId=DT_D22038); 매출액 및 영업이익 증감(tblId=DT_D19037); 매출액 및 영업이익 증감(tblId=DT_D171030)","orgId=112, tblId=DT_112017N_056 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=112&tblId=DT_112017N_056&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요,,,,,,
C10720,농가 인구 가운데 65세 이상 고령 인구가 차지하는 비율은 지난해 55.8%로 2023년 52.6%보다 3.2%포인트 상승했다.,,,,,"숙련기능인력(E-7-4) 고용 이유 - 비전문취업자보다 업무 숙련도가 높아서(tblId=DT_111014_B087); 이용하는 정보보호 제품의 유형_시스템(앤드 포인트) 보안(복수응답) - 시스템(앤드 포인트) 보안 제품 활용 기업체(tblId=DT_A12719_2022_E_E0112); 스마트폰 서비스 이용 빈도_제품 할인 및 포인트 적립 앱(tblId=DT_164004_2022115); 결혼문화에 대한 태도(결혼생활은 부부보다 가족간의 관계가 우선시 되어야 한다, 13세 이상 인구)(tblId=DT_1SSFA052R); 성, 세대구성 및 연령별 고령자 - 시군구(tblId=DT_1IN2010); 성, 연령 및 거처의 종류별 고령자 - 시도(tblId=DT_1IN2011); 세대구성, 연령 및 거처의 종류별 고령자 - 시군구(tblId=DT_1JC2025); 성별/연령별/교육 정도별 고령자(60세 이상)-시군구(tblId=DT_1PG2001); 연령별/성별/혼인상태별 고령자(60세 이상)-시군구(tblId=DT_1PG2002); 성, 연령 및 생활비 원천별 고령자(60세이상)-시도(tblId=DT_1PG2006)","orgId=111, tblId=DT_111014_B087 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=111&tblId=DT_111014_B087&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요,,,,,,
C19031,"이날 관세청은 이달 1~10일 수출이 지난해 같은 기간보다 9.5% 증가한 194억달러(약 27조원), 조업 일수를 고려한 하루 평균 수출액도 9.5% 늘어난 22억8000만달러를 나타냈다고 밝혔다.",,,,,고령친화 용품 수출액(tblId=DT_358005_008); 수출액중 기술개발에 의한 수출효과 구성비(2008년)(tblId=DT_A10337); 수출액중 기술개발에 의한 수출효과 구성비(2007년)(tblId=DT_A10336); 수출액중 기술개발에 의한 수출효과 구성비(tblId=DT_E10669); 매출액 수준: 2021년(tblId=DT_395N_S2023295); 수출액 수준: 2021년(tblId=DT_395N_S2023296); 매출액 수준: 2022년(tblId=DT_395N_S2023297); 수출액 수준: 2022년(tblId=DT_395N_S2023298); 매출액 수준: 2023년(tblId=DT_395N_S2023299); 수출액 수준: 2023년(tblId=DT_395N_S2023300),"orgId=358, tblId=DT_358005_008 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=358&tblId=DT_358005_008&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요,,,,,,
C16419,금융당국은 가계대출 증가세가 꺾이지 않을 경우 전세대출 보증비율을 수도권에만 70~80% 수준으로 추가 하향하는 방안과 은행권 주택담보대출에 자본 위험가중치를 높이는 방안 등도 검토 중이다.,,,,,"비경제활동 상태인 경우, 일자리를 구하지 않은 이유(tblId=DT_KSMDR_O_M019); 팀장이나 팀원들과 업무상 갈등이 있는 경우 해결방안(tblId=DT_KWMP_B0004); 정년퇴직 연령 - 직급 또는 직종에 따라 정년이 다른 경우(tblId=DT_389003_A033); 정년퇴직 연령 - 직급 또는 직종에 관계없이 정년이 정해져 있는 경우(tblId=DT_389003_A034); 리더십 특성(격년) - 직원들의 복지에 깊은 관심을 갖고 지금보다 더 나은 방법과 개선안을 모색하는데 노력하는 중이다(tblId=DT_KWMP_2020185); 인터넷 상에서 피해를 당했을 경우, 대처방법(2011)(tblId=DT_NYPI_40201Y2011Q16); 결혼이민자의 출신국별 미취학 자녀를 시설 또는 기관에 보내지 않는 경우 돌보는 사람(tblId=DT_MOGE_1001300324); 향후 혼자 살지 않을 경우 계획 내용(tblId=DT_154001_24AA011300); 향후 혼자 살지 않을 경우 계획 내용(tblId=DT_154001_101); 배우자는 국제결혼중개업체 이용했으나 본인은 그렇지 않은 경우 여부(tblId=DT_154017_20AA002)","orgId=127, tblId=DT_KSMDR_O_M019 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=127&tblId=DT_KSMDR_O_M019&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요,,,,,,
C10725,"임가 수는 지난해 9만8000가구로 전년(9만9200가구) 대비 1.2% 줄었고,고령 인구 비율은 52.8%에서 56.4%로 3.6%포인트 높아졌다.",,,,,"고령자(65세이상) 가구(일반가구) - 시군구(tblId=DT_1JC1723); 세대구성/거처의 종류별 고령자(65세이상) 거주 가구수(일반가구)-시도(tblId=DT_1GO0528); 세대구성/거처의 종류별 고령자(60세이상) 거주 가구수(일반가구)-시도(tblId=DT_1GO0529); 세대구성/거처의점유형태별고령자(65세이상)거주가구수(일반가구)-시도(tblId=DT_1GO0530); 세대구성/거처의 점유형태별 고령자(60세이상) 거주 가구수(일반가구)-시도(tblId=DT_1GO0531); 거처의점유형태/거처의 종류별고령자(65세+)거주가구수(일반가구)-시도(tblId=DT_1GO0532); 거처의 점유형태/거처의 종류별 고령자(60세+) 거주 가구수(일반가구)-시도(tblId=DT_1GO0533); 성별 희망임금수준(장래 근로 희망자)(tblId=DT_1DE8050S); 성별 장래희망임금수준(tblId=DT_1DE8050); 성별/세대구성별/연령별/생활비 원천별 고령자(60세이상,일반가구)-시도(tblId=DT_1PG2008)","orgId=101, tblId=DT_1JC1723 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=101&tblId=DT_1JC1723&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요,,,,,,
C18989,반도체 수출 비율은 19.7%로 지난해 같은 기간보다 0.6%포인트 상승했다.,,,,,반도체 항목별 EBSI 전망(tblId=DT_36005_A017); 이용하는 정보보호 제품의 유형_시스템(앤드 포인트) 보안(복수응답) - 시스템(앤드 포인트) 보안 제품 활용 기업체(tblId=DT_A12719_2022_E_E0112); 스마트폰 서비스 이용 빈도_제품 할인 및 포인트 적립 앱(tblId=DT_164004_2022115); 반도체 배치설계권 설정등록(tblId=TX_13801_A066); 자신의 인권 존중 정도_5) 인터넷과 같은 사이버 공간(2016)(tblId=DT_ES2016_043_5); 여러 인권 상황에 대한 생각_7) 우리나라에 살고 있는 다른 민족 사람들도 똑같은 교육기회를 가져야 한다(2016)(tblId=DT_ES2016_044_7); 여러 인권 상황에 대한 생각_7) 우리나라에 살고 있는 다른 민족 사람들도 똑같은 교육기회를 가져야 한다(2015)(tblId=DT_ES2015_044_7); 자신의 인권 존중 정도_5) 인터넷과 같은 사이버 공간(2015)(tblId=DT_ES2015_043_5); 여러 인권 상황에 대한 생각_7) 우리나라에 살고 있는 다른 민족 사람들도 똑같은 교육기회를 가져야 한다(tblId=DT_ES2014_42_7); 자신의 인권 존중 정도_5) 인터넷과 같은 사이버 공간(tblId=DT_ES2014_41_5),"orgId=360, tblId=DT_36005_A017 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=360&tblId=DT_36005_A017&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요,,,,,,
