metric_domain,indicator,condition,org_id,tbl_id,obj_l1,obj_l2,itm_id,prd_se,actual_unit_note,status,note
인구,출생아수,prd_se=M,101,DT_1B8000G,00,10,T1,M,명/건,active,월.분기.연간 인구동향 - 전국 출생아수
인구,출생아수,prd_se=Y,101,DT_1B8000F,11,,T1,Y,명/건,active,인구동태건수 및 동태율 추이 - 연간 출생아수
인구,합계출산율,prd_se=M,101,DT_1B8000G,00,12,T1,M,명,active,월.분기.연간 인구동향 - 전국 합계출산율
인구,합계출산율,prd_se=Y,101,DT_1B8000F,30,,T1,Y,명,active,인구동태건수 및 동태율 추이 - 연간 합계출산율
기타,혼인건수,prd_se=M,101,DT_1B8000G,00,20,T1,M,건,active,월.분기.연간 인구동향 - 전국 혼인건수
기타,혼인건수,prd_se=Y,101,DT_1B8000F,41,,T1,Y,건,active,인구동태건수 및 동태율 추이 - 연간 혼인건수
물가,소비자물가지수,unit=지수,101,DT_1J22003,T10,,T,M,2020=100,active,소비자물가지수 전국 총지수
물가,소비자물가상승률,prd_se=M,101,DT_1J22042,0,,T03,M,%,active,월별 소비자물가 등락률 총지수 전년동월비
물가,소비자물가상승률,prd_se=Y,101,DT_1J22041,0,,T,Y,%,active,연도별 소비자물가 등락률 총지수 전년비
물가,생활물가지수,prd_se=M,101,DT_1J22042,1,,T03,M,%,active,월별 소비자물가 등락률 생활물가지수 전년동월비
고용,실업률,전국 전체,101,DT_1DA7001S,0,,T80,M,%,active,경제활동인구 총괄 전체 실업률
고용,실업률,age_group=20~29세,101,DT_1DA7002S,20,,T80,M,%,active,연령별 경제활동인구 20~29세 실업률
고용,학력별실업률,대졸,101,DT_1DA7003S,40,,T80,M,%,active,교육정도별 경제활동인구 대졸이상 실업률
고용,학력별실업률,고졸,101,DT_1DA7003S,30,,T80,M,%,active,교육정도별 경제활동인구 고졸 실업률
고용,고용률,age_group=65세 이상,101,DT_1DA7002S,602,,T90,M,%,active,연령별 경제활동인구 65세 이상 고용률
고용,고령층 고용률,age_group=65세 이상,101,DT_1DA7002S,602,,T90,M,%,active,연령별 경제활동인구 65세 이상 고용률
고용,청년층 고용률,age_group=15~29세,101,DT_1DA7002S,75,,T90,M,%,active,연령별 경제활동인구 15~29세 고용률
고용,고용률,전국 전체,101,DT_1DA7001S,0,,T90,M,%,active,경제활동인구 총괄 전체 고용률
고용,취업자수,전국 전체,101,DT_1DA7001S,0,,T30,M,천명->명,active,경제활동인구 총괄 전체 취업자
고용,취업자 수,전국 전체,101,DT_1DA7001S,0,,T30,M,천명->명,active,경제활동인구 총괄 전체 취업자
물가,물가상승률,prd_se=M,101,DT_1J22042,0,,T03,M,%,active,월별 소비자물가 등락률 총지수 전년동월비
물가,소비자물가 상승률,prd_se=M,101,DT_1J22042,0,,T03,M,%,active,월별 소비자물가 등락률 총지수 전년동월비
물가,수입물가,총지수 원화기준,301,DT_401Y015,13102134643ACC_CD.*AA,13102134643CRR_CTRT_CD.W,13103134643999,M,2020=100,active,수입물가지수 기본분류 총지수 원화기준
물가,생산자물가지수,총지수,301,DT_404Y014,13102134604ACC_CD.*AA,,13103134604999,M,2020=100,active,생산자물가지수 기본분류 총지수
물가,생산자 물가 상승률,총지수,301,DT_404Y014,13102134604ACC_CD.*AA,,13103134604999,M,2020=100,active,생산자물가지수 기본분류 총지수
인구,출생아 수,prd_se=M,101,DT_1B8000G,00,10,T1,M,명/건,active,월.분기.연간 인구동향 - 전국 출생아수
인구,혼인 건수,prd_se=Y,101,DT_1B8000F,41,,T1,Y,건,active,인구동태건수 및 동태율 추이 - 연간 혼인건수
물가,품목별물가상승률,industry_or_item 필요,,,,,,,보류,manual_needed,축산물/수산물/가공식품/외식 등 품목 세부 코드 필요
물가,품목별물가,industry_or_item 필요,,,,,,,보류,manual_needed,품목별 소비자물가지수 또는 생활물가지수 품목 코드 필요
물가,생활물가·소비자물가차이,계산식 필요,,,,,,,보류,manual_needed,생활물가지수와 소비자물가지수 값을 각각 조회해 차이 계산 필요
고용,취업자수,지역+연령+성별 복합,,,,,,,보류,manual_needed,수도권/20대/여성 등 복합 분류축 코드 필요
고용,산업별취업자수,산업분류 필요,,,,,,,보류,manual_needed,도소매/제조업/건설업 등 산업분류 코드 필요
고용,고용률,시군구/반기,,,,,,,보류,manual_needed,지역별고용조사 시군구/반기 코드 필요
금융·금리,한국은행기준금리,금융통계 코드 확인 필요,,,,,,,보류,manual_needed,KOSIS 또는 ECOS 기준금리 표 코드 확인 필요
생산·산업,연근해오징어생산량,품종 코드 필요,,,,,,,보류,manual_needed,어업생산동향 품종별 통계 코드 확인 필요
