"candidate_id","candidate_key","article_id","title","date","claim_text","context_excerpt","measurement_text","indicator_family","measurement_indicator","measurement_item","value","unit","measurement_period","measurement_prd_se","measurement_role","full_context_pred","prev_2_pred","overlap_context_pred","full_context_rows","prev_2_rows","overlap_context_rows","gold_measurement_correct_draft","gold_verifiable_draft","gold_ready_draft","gold_candidate_tbl_id","gold_reason","measurement_correct_reason","period_grounding_gold","human_override","review_note","gold_label_source","source_row_count","gold_measurement_correct","gold_verifiable","gold_ready"
"CG0001","A0002|미분류|87|년|||참고값","A0002","폴크스바겐, 전기차 정보 부실 관리 논란","2025-01-01","전기차 전환에 뒤처지며 창사 87년 만에 처음으로 독일 자국 내 공장 폐쇄에 나선 폴크스바겐이 이번엔 전기차 약 80만대의 운행 데이터와 소유주 정보를 온라인에서 부실 관리했다는 논란에 휩싸였다.","전기차 전환에 뒤처지며 창사 87년 만에 처음으로 독일 자국 내 공장 폐쇄에 나선 폴크스바겐이 이번엔 전기차 약 80만대의 운행 데이터와 소유주 정보를 온라인에서 부실 관리했다는 논란에 휩싸였다. | 전기차에 이어 미래 자동차의 핵심인 소프트웨어 관리에서도 약점을 드러냈다는 지적이 나온다.","창사 87년 만에 처음으로","미분류","","전기차","87","년","","","참고값","N","N","N","0","0","1","N","N","N","","OUT_OF_KOSIS_SCOPE","INDICATOR_MISSING","MISSING","","","Codex_common_measurement_codebook_v1","1","N","N","N"
"CG0002","A0002|운행데이터와소유주정보의수량|800000|대|||현재값","A0002","폴크스바겐, 전기차 정보 부실 관리 논란","2025-01-01","전기차 전환에 뒤처지며 창사 87년 만에 처음으로 독일 자국 내 공장 폐쇄에 나선 폴크스바겐이 이번엔 전기차 약 80만대의 운행 데이터와 소유주 정보를 온라인에서 부실 관리했다는 논란에 휩싸였다.","전기차 전환에 뒤처지며 창사 87년 만에 처음으로 독일 자국 내 공장 폐쇄에 나선 폴크스바겐이 이번엔 전기차 약 80만대의 운행 데이터와 소유주 정보를 온라인에서 부실 관리했다는 논란에 휩싸였다. | 전기차에 이어 미래 자동차의 핵심인 소프트웨어 관리에서도 약점을 드러냈다는 지적이 나온다.","전기차 약 80만대","운행데이터와소유주정보의수량","운행 데이터와 소유주 정보의 수량","전기차","800000","대","","","현재값","N","N","N","0","0","1","N","N","N","","OUT_OF_KOSIS_SCOPE","PERIOD_OR_PERIODICITY_MISSING","MISSING","","","Codex_common_measurement_codebook_v1","1","N","N","N"
"CG0003","A0002|전기차데이터노출대수|800000|대|||현재값","A0002","폴크스바겐, 전기차 정보 부실 관리 논란","2025-01-01","지난달 31일 독일 슈피겔 등 외신에 따르면, 폴크스바겐과 아우디, 세아트, 스코다 등 폴크스바겐그룹 전기차 80만대에서 수집한 수 테라바이트 규모 데이터가 지난 몇 달간 암호화되지 않은 채로 아마존 클라우드에 방치됐던 것으로 나타났다.","다만 회사 측은 “차량 소유주의 개인 정보가 외부로 유출된 흔적은 나오지 않았다”고 밝혔다. | 지난달 31일 독일 슈피겔 등 외신에 따르면, 폴크스바겐과 아우디, 세아트, 스코다 등 폴크스바겐그룹 전기차 80만대에서 수집한 수 테라바이트 규모 데이터가 지난 몇 달간 암호화되지 않은 채로 아마존 클라우드에 방치됐던 것으로 나타났다. | 전기차가 어디에서 어디로 향했는지, 얼마나 머물렀는지와 같은 주행 데이터를 비롯해 운전자의 이메일, 전화번호, 주소 등의 정보다.","80만대","전기차데이터노출대수","전기차 데이터 노출 대수","전기차","800000","대","","","현재값","N","N","N","0","0","1","N","N","N","","OUT_OF_KOSIS_SCOPE","PERIOD_OR_PERIODICITY_MISSING","MISSING","","","Codex_common_measurement_codebook_v1","1","N","N","N"
"CG0004","A0003|고속도로사업비|7400000000000|원|2025||목표값","A0003","최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원","2025-01-01","▲ 안성~구리 고속도로 개통 =국내 최초 제한속도 120km/h, 전 구간 배수성 포장, 단일 노선 역대 최대 규모 사업비(7조4000억원)가 투입된 안성~구리 고속도로(72.2km)가 개통된다.","기존에는 ‘60㎡ 이하, 공시가격 1억원(수도권 1억6000만원) 이하’가 기준이었다. | 1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다. 주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다. 매월 지급하는 상여금과 식비, 교통비, 숙박비 등 복리후생비도 최저임금에 전부 산입한다. ▲ 육아휴직 기간 연장 =부부가 각각 육아휴직을 3개월 이상 사용한 경우 2월 23일부터 부부 한 사람이 쓸 수 있는 육아휴직 기간이 기존 1년에서 1년 6개월로 연장된다. 또 육아휴직을 필요에 따라 네 번에 나눠 쓸 수 있게 된다. ▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다. 이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다. 1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다. ▲ 배우자 출산휴가 기간 확대 =아내의 출산에 따른 남편의 유급 휴가 기간이 2월 23일부터 10일에서 20일로 확대된다. 이 휴가는 네 번에 걸쳐 나눠 쓸 수 있다. ▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다. 골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다. ▲ 양육비 선지급제 도입 =양육비를 받지 못하고 있는 한부모가족에게 7월부터 국가가 양육비를 우선 지급하고, 비양육자에게 회수하게 된다. 지원 대상은 중위소득 150% 이하 가구이며 자녀 1인당 월 20만원을 만 18세까지 지원받는다. ▲ 난임치료 휴가 확대 =2월 23일부터 난임치료 휴가 기간이 기존 3일에서 6일로 확대되고, 그중 유급기간도 1일에서 2일로 확대된다. ▲ '상습 임금 체불 근절법’ 시행 =정부가 지정한 상습 임금 체불 사업주가 되면 정부 지원금이나 보조금 신청에서 제한을 받으며 정부가 발주하는 공사에 참여가 제한되거나 감점 등 불이익을 받는다. 상습 임금 체불 사업주는 출국 금지될 수 있다. ▲ 청년 특화 취업 지원 프로그램 =정부가 제공하는 ‘역량강화 프로그램’에 1개월 이상 참여한 뒤 제조·물류운송·보건·복지서비스·음식점·건설·해운·수산·자원 순환·농업 등 정부 지정 10개 업종에 취업해 6개월 근속할 경우 훈련참여수당 월 20만원과 취업 성공수당 40만원을 지원받는다. ▲ 중장년 경력지원제 신설 =재취업을 희망하는 퇴직 중장년이 일경험을 원하는 경우 1~3개월간 직무교육과 직무수행이 연계된 프로그램을 제공하고, 참여자는 참여수당으로 월 최대 150만원을 지원받는다. ◇금융·조세 수영장·헬스장도 카드 소득공제, 2자녀 가구 자동차 취득세 감면 ▲ 청년도약계좌 혜택 강화 =청년도약계좌 2년 이상 가입자 중 누적 800만원 이상을 납입한 가입자는 신용점수가 5~10점가량 가점된다. 또 2년 이상 가입자는 만기 전에도 누적 납입 원금의 최대 40% 이내에서 납입액 일부를 인출할 수 있게 된다. ▲ 자녀 세액공제 금액 확대 =8~20세 자녀(또는 손자녀)에 대한 자녀 세액공제 금액이 기존 첫째 15만원, 둘째 20만원, 셋째 이후 인당 30만원에서 첫째 25만원, 둘째 30만원, 셋째 이후 인당 40만원으로 확대된다. ▲ 수영장·헬스장도 신용카드 소득공제 =7월 1일부터 연 급여가 7000만원 이하인 경우 수영장이나 체력단련장 시설 이","7조4000억원","고속도로사업비","고속도로 사업비","","7400000000000","원","2025","","목표값","N","N","N","1","0","0","N","N","N","","TARGET_VALUE_NOT_OBSERVED","TARGET_OR_INVALID_ROLE","CONTEXT_EXPLICIT","","","Codex_common_measurement_codebook_v1","1","N","N","N"
"CG0005","A0003|고향사랑기부금상한액|20000000|원|2025||현재값","A0003","최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원","2025-01-01","▲ 고향사랑기부금 상한액 확대 =고향사랑기부금 연간 상한액이 기존 500만원에서 2000만원으로 확대된다.","▲ 연립주택 및 다세대주택에 간이 스프링클러 등 설치 의무화 =다세대·연립주택 등 공동주택에 소화기, 단독 경보형 감지기(연동형), 주택 전용 간이 스프링클러 설비, 유도등, 완강기 등의 설치가 의무화된다. | 1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다. 주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다. 매월 지급하는 상여금과 식비, 교통비, 숙박비 등 복리후생비도 최저임금에 전부 산입한다. ▲ 육아휴직 기간 연장 =부부가 각각 육아휴직을 3개월 이상 사용한 경우 2월 23일부터 부부 한 사람이 쓸 수 있는 육아휴직 기간이 기존 1년에서 1년 6개월로 연장된다. 또 육아휴직을 필요에 따라 네 번에 나눠 쓸 수 있게 된다. ▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다. 이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다. 1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다. ▲ 배우자 출산휴가 기간 확대 =아내의 출산에 따른 남편의 유급 휴가 기간이 2월 23일부터 10일에서 20일로 확대된다. 이 휴가는 네 번에 걸쳐 나눠 쓸 수 있다. ▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다. 골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다. ▲ 양육비 선지급제 도입 =양육비를 받지 못하고 있는 한부모가족에게 7월부터 국가가 양육비를 우선 지급하고, 비양육자에게 회수하게 된다. 지원 대상은 중위소득 150% 이하 가구이며 자녀 1인당 월 20만원을 만 18세까지 지원받는다. ▲ 난임치료 휴가 확대 =2월 23일부터 난임치료 휴가 기간이 기존 3일에서 6일로 확대되고, 그중 유급기간도 1일에서 2일로 확대된다. ▲ '상습 임금 체불 근절법’ 시행 =정부가 지정한 상습 임금 체불 사업주가 되면 정부 지원금이나 보조금 신청에서 제한을 받으며 정부가 발주하는 공사에 참여가 제한되거나 감점 등 불이익을 받는다. 상습 임금 체불 사업주는 출국 금지될 수 있다. ▲ 청년 특화 취업 지원 프로그램 =정부가 제공하는 ‘역량강화 프로그램’에 1개월 이상 참여한 뒤 제조·물류운송·보건·복지서비스·음식점·건설·해운·수산·자원 순환·농업 등 정부 지정 10개 업종에 취업해 6개월 근속할 경우 훈련참여수당 월 20만원과 취업 성공수당 40만원을 지원받는다. ▲ 중장년 경력지원제 신설 =재취업을 희망하는 퇴직 중장년이 일경험을 원하는 경우 1~3개월간 직무교육과 직무수행이 연계된 프로그램을 제공하고, 참여자는 참여수당으로 월 최대 150만원을 지원받는다. ◇금융·조세 수영장·헬스장도 카드 소득공제, 2자녀 가구 자동차 취득세 감면 ▲ 청년도약계좌 혜택 강화 =청년도약계좌 2년 이상 가입자 중 누적 800만원 이상을 납입한 가입자는 신용점수가 5~10점가량 가점된다. 또 2년 이상 가입자는 만기 전에도 누적 납입 원금의 최대 40% 이내에서 납입액 일부를 인출할 수 있게 된다. ▲ 자녀 세액공제 금액 확대 =8~20세 자녀(또는 손자녀)에 대한 자녀 세액공제 금액이 기존 첫째 15만원, 둘째 20만원, 셋째 이후 인당 30만원에서 첫째 25만원, 둘째 30만원, 셋째 이후 인당 40만원으로 확대된다.","2000만원","고향사랑기부금상한액","고향사랑기부금 상한액","","20000000","원","2025","","현재값","N","N","N","1","0","0","N","N","N","","OUT_OF_KOSIS_SCOPE","PERIOD_OR_PERIODICITY_MISSING","CONTEXT_EXPLICIT","","","Codex_common_measurement_codebook_v1","1","N","N","N"
"CG0006","A0003|고향사랑기부금상한액|5000000|원|||이전값","A0003","최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원","2025-01-01","▲ 고향사랑기부금 상한액 확대 =고향사랑기부금 연간 상한액이 기존 500만원에서 2000만원으로 확대된다.","▲ 연립주택 및 다세대주택에 간이 스프링클러 등 설치 의무화 =다세대·연립주택 등 공동주택에 소화기, 단독 경보형 감지기(연동형), 주택 전용 간이 스프링클러 설비, 유도등, 완강기 등의 설치가 의무화된다. | 1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다. 주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다. 매월 지급하는 상여금과 식비, 교통비, 숙박비 등 복리후생비도 최저임금에 전부 산입한다. ▲ 육아휴직 기간 연장 =부부가 각각 육아휴직을 3개월 이상 사용한 경우 2월 23일부터 부부 한 사람이 쓸 수 있는 육아휴직 기간이 기존 1년에서 1년 6개월로 연장된다. 또 육아휴직을 필요에 따라 네 번에 나눠 쓸 수 있게 된다. ▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다. 이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다. 1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다. ▲ 배우자 출산휴가 기간 확대 =아내의 출산에 따른 남편의 유급 휴가 기간이 2월 23일부터 10일에서 20일로 확대된다. 이 휴가는 네 번에 걸쳐 나눠 쓸 수 있다. ▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다. 골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다. ▲ 양육비 선지급제 도입 =양육비를 받지 못하고 있는 한부모가족에게 7월부터 국가가 양육비를 우선 지급하고, 비양육자에게 회수하게 된다. 지원 대상은 중위소득 150% 이하 가구이며 자녀 1인당 월 20만원을 만 18세까지 지원받는다. ▲ 난임치료 휴가 확대 =2월 23일부터 난임치료 휴가 기간이 기존 3일에서 6일로 확대되고, 그중 유급기간도 1일에서 2일로 확대된다. ▲ '상습 임금 체불 근절법’ 시행 =정부가 지정한 상습 임금 체불 사업주가 되면 정부 지원금이나 보조금 신청에서 제한을 받으며 정부가 발주하는 공사에 참여가 제한되거나 감점 등 불이익을 받는다. 상습 임금 체불 사업주는 출국 금지될 수 있다. ▲ 청년 특화 취업 지원 프로그램 =정부가 제공하는 ‘역량강화 프로그램’에 1개월 이상 참여한 뒤 제조·물류운송·보건·복지서비스·음식점·건설·해운·수산·자원 순환·농업 등 정부 지정 10개 업종에 취업해 6개월 근속할 경우 훈련참여수당 월 20만원과 취업 성공수당 40만원을 지원받는다. ▲ 중장년 경력지원제 신설 =재취업을 희망하는 퇴직 중장년이 일경험을 원하는 경우 1~3개월간 직무교육과 직무수행이 연계된 프로그램을 제공하고, 참여자는 참여수당으로 월 최대 150만원을 지원받는다. ◇금융·조세 수영장·헬스장도 카드 소득공제, 2자녀 가구 자동차 취득세 감면 ▲ 청년도약계좌 혜택 강화 =청년도약계좌 2년 이상 가입자 중 누적 800만원 이상을 납입한 가입자는 신용점수가 5~10점가량 가점된다. 또 2년 이상 가입자는 만기 전에도 누적 납입 원금의 최대 40% 이내에서 납입액 일부를 인출할 수 있게 된다. ▲ 자녀 세액공제 금액 확대 =8~20세 자녀(또는 손자녀)에 대한 자녀 세액공제 금액이 기존 첫째 15만원, 둘째 20만원, 셋째 이후 인당 30만원에서 첫째 25만원, 둘째 30만원, 셋째 이후 인당 40만원으로 확대된다.","500만원","고향사랑기부금상한액","고향사랑기부금 상한액","","5000000","원","","","이전값","N","N","N","1","0","0","N","N","N","","OUT_OF_KOSIS_SCOPE","PERIOD_OR_PERIODICITY_MISSING","MISSING","","","Codex_common_measurement_codebook_v1","1","N","N","N"
"CG0007","A0003|골다공증검사대상연령|54|세|2025|Y|참고값","A0003","최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원","2025-01-01","골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.","▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다. | 1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다. 주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다. 매월 지급하는 상여금과 식비, 교통비, 숙박비 등 복리후생비도 최저임금에 전부 산입한다. ▲ 육아휴직 기간 연장 =부부가 각각 육아휴직을 3개월 이상 사용한 경우 2월 23일부터 부부 한 사람이 쓸 수 있는 육아휴직 기간이 기존 1년에서 1년 6개월로 연장된다. 또 육아휴직을 필요에 따라 네 번에 나눠 쓸 수 있게 된다. ▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다. 이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다. 1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다. ▲ 배우자 출산휴가 기간 확대 =아내의 출산에 따른 남편의 유급 휴가 기간이 2월 23일부터 10일에서 20일로 확대된다. 이 휴가는 네 번에 걸쳐 나눠 쓸 수 있다. ▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다. | 골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다. | ▲ 양육비 선지급제 도입 =양육비를 받지 못하고 있는 한부모가족에게 7월부터 국가가 양육비를 우선 지급하고, 비양육자에게 회수하게 된다.","54세","골다공증검사대상연령","골다공증 검사 대상 연령","","54","세","2025","Y","참고값","N","N","N","1","0","0","N","N","N","","OUT_OF_KOSIS_SCOPE","CONDITION","CONTEXT_RELATIVE","","","Codex_common_measurement_codebook_v1","1","N","N","N"
"CG0008","A0003|골다공증검사대상연령|60|세|2025|Y|참고값","A0003","최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원","2025-01-01","골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.","▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다. | 1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다. 주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다. 매월 지급하는 상여금과 식비, 교통비, 숙박비 등 복리후생비도 최저임금에 전부 산입한다. ▲ 육아휴직 기간 연장 =부부가 각각 육아휴직을 3개월 이상 사용한 경우 2월 23일부터 부부 한 사람이 쓸 수 있는 육아휴직 기간이 기존 1년에서 1년 6개월로 연장된다. 또 육아휴직을 필요에 따라 네 번에 나눠 쓸 수 있게 된다. ▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다. 이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다. 1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다. ▲ 배우자 출산휴가 기간 확대 =아내의 출산에 따른 남편의 유급 휴가 기간이 2월 23일부터 10일에서 20일로 확대된다. 이 휴가는 네 번에 걸쳐 나눠 쓸 수 있다. ▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다. | 골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다. | ▲ 양육비 선지급제 도입 =양육비를 받지 못하고 있는 한부모가족에게 7월부터 국가가 양육비를 우선 지급하고, 비양육자에게 회수하게 된다.","60세","골다공증검사대상연령","골다공증 검사 대상 연령","","60","세","2025","Y","참고값","N","N","N","1","0","0","N","N","N","","OUT_OF_KOSIS_SCOPE","CONDITION","CONTEXT_RELATIVE","","","Codex_common_measurement_codebook_v1","1","N","N","N"
"CG0009","A0003|골다공증검사대상연령|66|세|2025|Y|참고값","A0003","최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원","2025-01-01","골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.","▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다. | 1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다. 주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다. 매월 지급하는 상여금과 식비, 교통비, 숙박비 등 복리후생비도 최저임금에 전부 산입한다. ▲ 육아휴직 기간 연장 =부부가 각각 육아휴직을 3개월 이상 사용한 경우 2월 23일부터 부부 한 사람이 쓸 수 있는 육아휴직 기간이 기존 1년에서 1년 6개월로 연장된다. 또 육아휴직을 필요에 따라 네 번에 나눠 쓸 수 있게 된다. ▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다. 이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다. 1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다. ▲ 배우자 출산휴가 기간 확대 =아내의 출산에 따른 남편의 유급 휴가 기간이 2월 23일부터 10일에서 20일로 확대된다. 이 휴가는 네 번에 걸쳐 나눠 쓸 수 있다. ▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다. | 골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다. | ▲ 양육비 선지급제 도입 =양육비를 받지 못하고 있는 한부모가족에게 7월부터 국가가 양육비를 우선 지급하고, 비양육자에게 회수하게 된다.","66세","골다공증검사대상연령","골다공증 검사 대상 연령","","66","세","2025","Y","참고값","N","N","N","1","0","0","N","N","N","","OUT_OF_KOSIS_SCOPE","CONDITION","CONTEXT_RELATIVE","","","Codex_common_measurement_codebook_v1","1","N","N","N"
"CG0010","A0003|국가건강검진연령|56|세|2025|Y|참고값","A0003","최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원","2025-01-01","▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다.","이 휴가는 네 번에 걸쳐 나눠 쓸 수 있다. | 1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다. 주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다. 매월 지급하는 상여금과 식비, 교통비, 숙박비 등 복리후생비도 최저임금에 전부 산입한다. ▲ 육아휴직 기간 연장 =부부가 각각 육아휴직을 3개월 이상 사용한 경우 2월 23일부터 부부 한 사람이 쓸 수 있는 육아휴직 기간이 기존 1년에서 1년 6개월로 연장된다. 또 육아휴직을 필요에 따라 네 번에 나눠 쓸 수 있게 된다. ▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다. 이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다. 1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다. ▲ 배우자 출산휴가 기간 확대 =아내의 출산에 따른 남편의 유급 휴가 기간이 2월 23일부터 10일에서 20일로 확대된다. 이 휴가는 네 번에 걸쳐 나눠 쓸 수 있다. | ▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다. | 골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.","56세","국가건강검진연령","국가건강검진 연령","","56","세","2025","Y","참고값","N","N","N","1","0","0","N","N","N","","OUT_OF_KOSIS_SCOPE","CONDITION","CONTEXT_RELATIVE","","","Codex_common_measurement_codebook_v1","1","N","N","N"
