claim_id,claim_measurement_id,claim_text,date,measurement_text,measurement_usage,claim_domain_scope,measurement_binding_source,measurement_role,measurement_indicator,measurement_item,value,unit,measurement_period,measurement_prd_se,in_ready,cand_tbl_ids,gold_verifiable,gold_measurement_correct,gold_org_id,gold_tbl_id,gold_obj_l1,gold_itm_id,gold_verdict,gold_actual_value
A0321-C002,A0321-C002-m2,남아 있는 '3% 예금·5% 적금' 상품은 시중·지방·인터넷은행 수신 금리 낮춰 19개 은행 예금 중 금리 3% 초과 5개뿐 5% 넘는 1년 만기 적금도 5개…자격 조건 제한 김보연 기자(조선비즈) 입력 2025.01.25.,2025-01-25,5%,KOSIS_VALUE,국내공식통계,hcx,현재값,적금 금리,-,5,%,202501,M,Y,,,,,,,,,
A0321-C002,A0321-C002-m3,남아 있는 '3% 예금·5% 적금' 상품은 시중·지방·인터넷은행 수신 금리 낮춰 19개 은행 예금 중 금리 3% 초과 5개뿐 5% 넘는 1년 만기 적금도 5개…자격 조건 제한 김보연 기자(조선비즈) 입력 2025.01.25.,2025-01-25,19개,KOSIS_VALUE,국내공식통계,hcx,현재값,은행 수,-,19,개,202501,M,Y,,,,,,,,,
A0321-C002,A0321-C002-m4,남아 있는 '3% 예금·5% 적금' 상품은 시중·지방·인터넷은행 수신 금리 낮춰 19개 은행 예금 중 금리 3% 초과 5개뿐 5% 넘는 1년 만기 적금도 5개…자격 조건 제한 김보연 기자(조선비즈) 입력 2025.01.25.,2025-01-25,5개,KOSIS_VALUE,국내공식통계,hcx,현재값,금리 3% 초과 은행 수,-,5,개,202501,M,Y,,,,,,,,,
A1436-C005,A1436-C005-m1,"◇‘4개 분기 연속 제로 성장’ 쇼크 한국은행은 지난 17일 ‘올해 1분기(1~3월) 및 향후 성장 흐름 평가’ 보고서에서 “1분기 우리나라 성장률이 지난 2월에 내놓은 전망치인 0.2%보다 더 낮으며, 마이너스(-) 성장 가능성도 배제할 수 없는 상황”이라고 했다.",2025-04-21,4개,KOSIS_VALUE,국내공식통계,hcx,현재값,분기 연속 성장,-,4,개,2025Q1,Q,Y,,,,,,,,,
A1436-C005,A1436-C005-m2,"◇‘4개 분기 연속 제로 성장’ 쇼크 한국은행은 지난 17일 ‘올해 1분기(1~3월) 및 향후 성장 흐름 평가’ 보고서에서 “1분기 우리나라 성장률이 지난 2월에 내놓은 전망치인 0.2%보다 더 낮으며, 마이너스(-) 성장 가능성도 배제할 수 없는 상황”이라고 했다.",2025-04-21,0.2%,KOSIS_VALUE,국내공식통계,hcx,현재값,경제성장률,-,0.2,%,2025Q1,Q,Y,,,,,,,,,
A0333-C003,A0333-C003-m1,16:03 0 연기금이 올 1월 유가증권시장에서 1조6000억원어치를 순매수하며 코스피지수 상승을 이끈 것으로 나타났다.,2025-01-26,1조6000억원,KOSIS_VALUE,국내공식통계,hcx,현재값,순매수액,-,1600000000000,원,202501,M,Y,,,,,,,,,
A1218-C001,A1218-C001-m1,올해 1분기(1~3월) 우리나라로 들어온 외국인 직접투자(FDI)가 작년 같은 기간 대비 9.2% 줄었다.,2025-04-04,9.2%,KOSIS_VALUE,국내공식통계,hcx,증감률,외국인직접투자액,-,9.2,%,2025Q1,Q,Y,,,,,,,,,
A0748-C007,A0748-C007-m1,합계 출산율이 1.24명이었던 2015년 이후 처음으로 출산율이 올랐다.,2025-02-27,1.24명,KOSIS_VALUE,국내공식통계,hcx,현재값,합계 출산율,-,1.24,명,2015,Y,Y,,,,,,,,,
A0290-C015,A0290-C015-m1,"지난 2005년과 작년, 한국의 10대 수출 품목을 비교하면 컴퓨터가 제외되고, 가전제품이 새로 진입한 것 외에는 아무 변화가 없었다.",2025-01-23,10대,KOSIS_VALUE,국내공식통계,hcx,현재값,수출 품목 수,-,10,대,2005,Y,Y,,,,,,,,,
A1798-C006,A1798-C006-m1,"한국농수산식품유통공사(aT) 농식품수출정보에 따르면, 지난해 한국은 전체 닭고기 수입량 24만9751t 중 71.6%가량인 17만8956t을 브라질에서 들여왔다.",2025-05-19,71.6%가량,KOSIS_VALUE,국내공식통계,hcx,현재값,닭고기 수입량 비중,닭고기,71.6,%,2024,Y,Y,,,,,,,,,
