claim_id,claim_measurement_id,claim_text,date,measurement_text,measurement_usage,claim_domain_scope,measurement_binding_source,measurement_role,measurement_indicator,measurement_item,value,unit,measurement_period,measurement_prd_se,in_ready,cand_tbl_ids,gold_verifiable,gold_measurement_correct,gold_org_id,gold_tbl_id,gold_obj_l1,gold_obj_l2,gold_obj_l3,gold_itm_id,gold_verdict,gold_actual_value
A2698-C010,A2698-C010-m1,"도소매, 금융·보험을 중심으로 증가폭이 확대됐으며, 계절조정 전년 동월 대비 기준으로도 3.8% 증가하는 등 양호한 모습을 보였다.",2025-11-09,3.80%,KOSIS_VALUE,국내공식통계,hcx,증감률,서비스업생산 증감률,-,3.8,%,-,-,N,,Y,Y,,,,,,,,
A2698-C011,A2698-C011-m1,소비자심리지수도 109.8로 높은 수준을 유지했다.,2025-11-09,109.8,KOSIS_VALUE,국내공식통계,hcx,현재값,소비자심리지수,-,109.8,포인트,-,-,N,,Y,Y,,,,,,,,
A2698-C015,A2698-C015-m1,"최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.",2025-11-09,2.70%,KOSIS_VALUE,국내공식통계,hcx,증감률,소매판매 증감률,-,2.7,%,-,-,N,,Y,Y,,,,,,,,
A2698-C015,A2698-C015-m2,"최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.",2025-11-09,2.40%,KOSIS_VALUE,국내공식통계,hcx,증감률,소매판매 증감률,-,2.4,%,-,-,N,,Y,Y,,,,,,,,
A2698-C015,A2698-C015-m3,"최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.",2025-11-09,0.10%,KOSIS_VALUE,국내공식통계,hcx,증감률,소매판매 증감률,-,0.1,%,-,-,N,,Y,Y,,,,,,,,
A2698-C017,A2698-C017-m1,"3분기 전체 소매판매는 2분기 대비 0.7% 증가했지만, 이는 7월 효과가 워낙 컸기 때문이다.",2025-11-09,0.70%,KOSIS_VALUE,국내공식통계,hcx,증감률,소매판매 증감률,-,0.7,%,-,-,N,,Y,Y,,,,,,,,
A2698-C020,A2698-C020-m1,10월 수출은 전년 동월 대비 3.6% 증가에 그쳤다.,2025-11-09,3.60%,KOSIS_VALUE,국내공식통계,hcx,증감률,수출 증가율,-,3.6,%,-,-,N,,Y,Y,,,,,,,,
A2698-C023,A2698-C023-m1,9~10월 일평균 수출액은 3.2% 증가에 그쳤다.,2025-11-09,3.20%,KOSIS_VALUE,국내공식통계,hcx,증감률,일평균 수출액,-,3.2,%,-,-,N,,Y,Y,,,,,,,,
A2698-C024,A2698-C024-m1,"미국으로의 수출은 자동차를 중심으로 12.9% 감소했고, 중국으로의 수출도 반도체를 제외한 품목을 중심으로 6.8% 감소했다.",2025-11-09,12.90%,KOSIS_VALUE,해외통계·정책,hcx,증감률,수출액,자동차,12.9,%,-,-,N,,Y,Y,,,,,,,,
A2698-C024,A2698-C024-m2,"미국으로의 수출은 자동차를 중심으로 12.9% 감소했고, 중국으로의 수출도 반도체를 제외한 품목을 중심으로 6.8% 감소했다.",2025-11-09,6.80%,KOSIS_VALUE,해외통계·정책,hcx,증감률,수출액,반도체 제외 품목,6.8,%,-,-,N,,Y,Y,,,,,,,,
A2698-C026,A2698-C026-m1,9월 건설기성은 전년 동월 대비 4.3% 감소했다.,2025-11-09,4.30%,KOSIS_VALUE,국내공식통계,hcx,증감률,건설기성,-,4.3,%,-,-,N,,Y,Y,,,,,,,,
A2698-C028,A2698-C028-m1,3분기 국민계정상 건설투자가 전기 대비로도 0.1% 감소세를 이어가고 있어 건설투자는 여전히 부진한 것으로 분석됐다.,2025-11-09,0.10%,KOSIS_VALUE,국내공식통계,hcx,증감률,건설투자 증감률,-,0.1,%,-,-,N,,Y,Y,,,,,,,,
A2700-C001,A2700-C001-m1,올해 3분기 수출액 상위 10대 기업의 무역집중도가 40%로 역대 최고치를 기록했다.,2025-11-10,10대,KOSIS_VALUE,국내공식통계,hcx,현재값,수출액 상위 기업의 수,-,10,대,2025Q3,Q,Y,,Y,Y,101,DT_1TEC_N314,A01,M00,F20,T20,일치,10
A2700-C001,A2700-C001-m2,올해 3분기 수출액 상위 10대 기업의 무역집중도가 40%로 역대 최고치를 기록했다.,2025-11-10,40%,KOSIS_VALUE,국내공식통계,hcx,현재값,무역집중도,-,40,%,2025Q3,Q,Y,,Y,Y,101,DT_1TEC_N314,A01,M00,F20,T20,일치,39.99%
A2700-C004,A2700-C004-m1,"국가데이터처가 10일 발표한 ’2025년 3분기 기업특성별 무역통계’에 따르면, 3분기 수출액 상위 10개 기업의 무역집중도는 40.0%로 지난해 3분기(37.4%)보다 2.6%포인트 상승했다.",2025-11-10,40.00%,KOSIS_VALUE,국내공식통계,hcx,현재값,무역집중도,-,40,%,2025Q3,Q,Y,,Y,Y,101,DT_1TEC_N314,A01,M00,F20,T20,일치,39.99%
A2700-C004,A2700-C004-m2,"국가데이터처가 10일 발표한 ’2025년 3분기 기업특성별 무역통계’에 따르면, 3분기 수출액 상위 10개 기업의 무역집중도는 40.0%로 지난해 3분기(37.4%)보다 2.6%포인트 상승했다.",2025-11-10,37.40%,KOSIS_VALUE,국내공식통계,hcx,이전값,무역집중도,-,37.4,%,2024Q3,Q,N,,Y,Y,101,DT_1TEC_N314,A01,M00,F20,T20,일치,37.38%
A2700-C004,A2700-C004-m3,"국가데이터처가 10일 발표한 ’2025년 3분기 기업특성별 무역통계’에 따르면, 3분기 수출액 상위 10개 기업의 무역집중도는 40.0%로 지난해 3분기(37.4%)보다 2.6%포인트 상승했다.",2025-11-10,2.60%,KOSIS_VALUE,국내공식통계,hcx,증감률,무역집중도 변화,-,2.6,%,2025Q3,Q,Y,,Y,Y,,,,,,,,
A2700-C004,A2700-C004-m4,"국가데이터처가 10일 발표한 ’2025년 3분기 기업특성별 무역통계’에 따르면, 3분기 수출액 상위 10개 기업의 무역집중도는 40.0%로 지난해 3분기(37.4%)보다 2.6%포인트 상승했다.",2025-11-10,10개,CONTEXT,국내공식통계,hcx,참고값,상위 기업 수,-,10,개,2025Q3,Q,N,,Y,Y,,,,,,,,
A2700-C006,A2700-C006-m1,삼성전자·SK하이닉스 등 반도체 기업과 현대차·LG 등 상위 10개 기업이 전체 수출의 40%를 차지한 셈이다.,2025-11-10,40%,KOSIS_VALUE,국내공식통계,hcx,현재값,수출 비중,-,40,%,-,-,N,,N,Y,,,,,,,,
A2700-C006,A2700-C006-m2,삼성전자·SK하이닉스 등 반도체 기업과 현대차·LG 등 상위 10개 기업이 전체 수출의 40%를 차지한 셈이다.,2025-11-10,10개,CONTEXT,국내공식통계,claim_fallback,참고값,상위 기업 수,-,10,개,2025,Y,N,,N,Y,,,,,,,,
A2700-C007,A2700-C007-m1,반면 상위 100대 기업의 무역집중도는 67.6%로 0.2%포인트 하락했다.,2025-11-10,100대,KOSIS_VALUE,국내공식통계,hcx,현재값,무역집중도,-,100,대,-,-,N,,Y,Y,,,,,,,,
A2700-C007,A2700-C007-m2,반면 상위 100대 기업의 무역집중도는 67.6%로 0.2%포인트 하락했다.,2025-11-10,67.60%,KOSIS_VALUE,국내공식통계,hcx,증감률,무역집중도,-,67.6,%,-,-,N,,Y,Y,,,,,,,,
A2700-C007,A2700-C007-m3,반면 상위 100대 기업의 무역집중도는 67.6%로 0.2%포인트 하락했다.,2025-11-10,0.20%,KOSIS_VALUE,국내공식통계,hcx,증감률,무역집중도,-,0.2,%,-,-,N,,Y,Y,,,,,,,,
A2700-C008,A2700-C008-m1,톱10 기업과 그 다음 90개 기업 간 수출 격차가 벌어지면서 대기업 내에서도 양극화가 진행되는 것으로 풀이된다.,2025-11-10,90개,CONTEXT,국내공식통계,claim_fallback,참고값,기업 수,기업,90,개,2025Q4,Q,N,,N,Y,,,,,,,,
A2700-C009,A2700-C009-m1,◇중소·중견 비중은 제자리…온기 못 느껴 기업 규모별로 보면 대기업 수출액은 1223억달러(약 178조원)로 5.1% 증가하며 분기 기준 역대 최대 실적을 달성했다.,2025-11-10,1223억달러,KOSIS_VALUE,국내공식통계,hcx,현재값,대기업 수출액,-,1.22E+11,달러,-,-,N,,Y,Y,,,,,,,,
A2700-C009,A2700-C009-m2,◇중소·중견 비중은 제자리…온기 못 느껴 기업 규모별로 보면 대기업 수출액은 1223억달러(약 178조원)로 5.1% 증가하며 분기 기준 역대 최대 실적을 달성했다.,2025-11-10,178조원,KOSIS_VALUE,국내공식통계,hcx,현재값,대기업 수출액,-,1.78E+14,원,-,-,N,,Y,Y,,,,,,,,
A2700-C009,A2700-C009-m3,◇중소·중견 비중은 제자리…온기 못 느껴 기업 규모별로 보면 대기업 수출액은 1223억달러(약 178조원)로 5.1% 증가하며 분기 기준 역대 최대 실적을 달성했다.,2025-11-10,5.10%,KOSIS_VALUE,국내공식통계,hcx,증감률,대기업 수출액 증감률,-,5.1,%,-,-,N,,Y,Y,,,,,,,,
A2700-C010,A2700-C010-m1,중견기업도 323억달러(약 47조원)로 7.0% 늘어 분기 최고치를 기록했다.,2025-11-10,323억달러,KOSIS_VALUE,국내공식통계,hcx,현재값,중견기업 수출액,-,32300000000,달러,-,-,N,,Y,Y,,,,,,,,
A2700-C010,A2700-C010-m2,중견기업도 323억달러(약 47조원)로 7.0% 늘어 분기 최고치를 기록했다.,2025-11-10,47조원,KOSIS_VALUE,국내공식통계,hcx,현재값,중견기업 수출액,-,4.70E+13,원,-,-,N,,Y,Y,,,,,,,,
A2700-C010,A2700-C010-m3,중견기업도 323억달러(약 47조원)로 7.0% 늘어 분기 최고치를 기록했다.,2025-11-10,7.00%,KOSIS_VALUE,국내공식통계,hcx,현재값,중견기업 수출액 증가율,-,7,%,-,-,N,,Y,N,,,,,,,,
A2700-C011,A2700-C011-m1,중소기업은 298억달러(약 43조원)로 11.9% 증가했다.,2025-11-10,298억달러,KOSIS_VALUE,국내공식통계,hcx,현재값,중소기업의 수출액,-,29800000000,달러,-,-,N,,Y,Y,,,,,,,,
A2700-C011,A2700-C011-m2,중소기업은 298억달러(약 43조원)로 11.9% 증가했다.,2025-11-10,43조원,KOSIS_VALUE,국내공식통계,hcx,현재값,중소기업의 수출액,-,4.30E+13,원,-,-,N,,Y,Y,,,,,,,,
A2700-C011,A2700-C011-m3,중소기업은 298억달러(약 43조원)로 11.9% 증가했다.,2025-11-10,11.90%,KOSIS_VALUE,국내공식통계,hcx,증감률,중소기업의 수출액 증가율,-,11.9,%,-,-,N,,Y,Y,,,,,,,,
A2700-C012,A2700-C012-m1,"전체 수출에서 차지하는 비중을 보면, 대기업이 전체 수출의 66.1%를 차지하며 지난해 3분기(67.0%)와 비슷한 수준을 유지했다.",2025-11-10,66.10%,KOSIS_VALUE,국내공식통계,hcx,현재값,대기업의 수출 비중,-,66.1,%,-,-,N,,Y,Y,,,,,,,,
A2700-C012,A2700-C012-m2,"전체 수출에서 차지하는 비중을 보면, 대기업이 전체 수출의 66.1%를 차지하며 지난해 3분기(67.0%)와 비슷한 수준을 유지했다.",2025-11-10,67.00%,KOSIS_VALUE,국내공식통계,hcx,이전값,대기업의 수출 비중,-,67,%,2024Q3,Q,N,,Y,Y,,,,,,,,
A2700-C013,A2700-C013-m1,중견기업(17.5%)과 중소기업(16.1%) 비중도 거의 변하지 않았다.,2025-11-10,17.50%,KOSIS_VALUE,국내공식통계,hcx,현재값,중견기업 수출 비중,-,17.5,%,-,-,N,,Y,Y,,,,,,,,
A2700-C013,A2700-C013-m2,중견기업(17.5%)과 중소기업(16.1%) 비중도 거의 변하지 않았다.,2025-11-10,16.10%,KOSIS_VALUE,국내공식통계,hcx,현재값,중소기업 수출 비중,-,16.1,%,-,-,N,,Y,Y,,,,,,,,
A2700-C014,A2700-C014-m1,"수출 기업 수가 6만9808개로 4.5% 늘었지만, 대다수 기업들이 체감하는 수출 증가 효과는 미미한 것이다.",2025-11-10,6만9808개,KOSIS_VALUE,국내공식통계,hcx,현재값,수출 기업 수,-,69808,개,-,-,N,,Y,Y,,,,,,,,
A2700-C014,A2700-C014-m2,"수출 기업 수가 6만9808개로 4.5% 늘었지만, 대다수 기업들이 체감하는 수출 증가 효과는 미미한 것이다.",2025-11-10,4.50%,KOSIS_VALUE,국내공식통계,hcx,증감률,수출 기업 수 증감률,-,4.5,%,-,-,N,,Y,Y,,,,,,,,
A2700-C016,A2700-C016-m1,"◇반도체 호황, 내수로 안 퍼져 재화 성질별로 보면 반도체와 자동차, 디스플레이, 유·무선 통신기기 등으로 대표되는 자본재 수출은 1110억달러로 11.2% 증가하며 8개 분기 연속 상승세를 기록했다.",2025-11-10,1110억달러,KOSIS_VALUE,국내공식통계,hcx,현재값,자본재 수출,-,1.11E+11,달러,-,-,N,,Y,Y,,,,,,,,
A2700-C016,A2700-C016-m2,"◇반도체 호황, 내수로 안 퍼져 재화 성질별로 보면 반도체와 자동차, 디스플레이, 유·무선 통신기기 등으로 대표되는 자본재 수출은 1110억달러로 11.2% 증가하며 8개 분기 연속 상승세를 기록했다.",2025-11-10,11.20%,KOSIS_VALUE,국내공식통계,hcx,증감률,자본재 수출 증감률,-,11.2,%,-,-,N,,Y,Y,,,,,,,,
A2700-C016,A2700-C016-m3,"◇반도체 호황, 내수로 안 퍼져 재화 성질별로 보면 반도체와 자동차, 디스플레이, 유·무선 통신기기 등으로 대표되는 자본재 수출은 1110억달러로 11.2% 증가하며 8개 분기 연속 상승세를 기록했다.",2025-11-10,8개,KOSIS_VALUE,국내공식통계,hcx,현재값,분기 연속 상승세,-,8,개,-,-,N,,Y,Y,,,,,,,,
A2700-C017,A2700-C017-m1,자본재 중에서도 반도체 등 IT부품이 511억달러로 24.3% 급증했다.,2025-11-10,511억달러,KOSIS_VALUE,국내공식통계,hcx,현재값,IT부품 수출액,반도체,51100000000,달러,-,-,N,,Y,Y,,,,,,,,
A2700-C017,A2700-C017-m2,자본재 중에서도 반도체 등 IT부품이 511억달러로 24.3% 급증했다.,2025-11-10,24.30%,KOSIS_VALUE,국내공식통계,hcx,현재값,IT부품 수출액 비중,반도체,24.3,%,-,-,N,,Y,N,,,,,,,,
A2700-C019,A2700-C019-m1,"대기업의 경우 자본재 수출이 773억달러로 12.2% 증가했지만, 원자재(-5.1%)와 소비재(-5.4%)는 감소했다.",2025-11-10,773억달러,KOSIS_VALUE,국내공식통계,hcx,현재값,자본재 수출,-,77300000000,달러,-,-,N,,Y,Y,,,,,,,,
A2700-C019,A2700-C019-m2,"대기업의 경우 자본재 수출이 773억달러로 12.2% 증가했지만, 원자재(-5.1%)와 소비재(-5.4%)는 감소했다.",2025-11-10,12.20%,KOSIS_VALUE,국내공식통계,hcx,증감률,자본재 수출 증감률,-,12.2,%,-,-,N,,Y,Y,,,,,,,,
A2700-C019,A2700-C019-m3,"대기업의 경우 자본재 수출이 773억달러로 12.2% 증가했지만, 원자재(-5.1%)와 소비재(-5.4%)는 감소했다.",2025-11-10,5.10%,KOSIS_VALUE,국내공식통계,hcx,증감률,원자재 수출 증감률,-,5.1,%,-,-,N,,Y,Y,,,,,,,,
A2700-C019,A2700-C019-m4,"대기업의 경우 자본재 수출이 773억달러로 12.2% 증가했지만, 원자재(-5.1%)와 소비재(-5.4%)는 감소했다.",2025-11-10,5.40%,KOSIS_VALUE,국내공식통계,hcx,증감률,소비재 수출 증감률,-,5.4,%,-,-,N,,Y,Y,,,,,,,,
A2700-C025,A2700-C025-m1,지난달 한국은행이 발표한 ’2024년 해외직접투자 동향’에 따르면 작년 해외직접투자는 672억달러로 전년 대비 10.4% 증가했다.,2025-11-10,672억달러,KOSIS_VALUE,국내공식통계,hcx,현재값,해외직접투자,-,67200000000,달러,2024,Y,Y,,Y,Y,102,DT_AS10203-N001, 00_15102AA5A6,,,16102T2008_0001,,661억달러
A2700-C025,A2700-C025-m2,지난달 한국은행이 발표한 ’2024년 해외직접투자 동향’에 따르면 작년 해외직접투자는 672억달러로 전년 대비 10.4% 증가했다.,2025-11-10,10.40%,KOSIS_VALUE,국내공식통계,hcx,증감률,해외직접투자 증가율,-,10.4,%,2024,Y,Y,,Y,Y,102,DT_AS10203-N001, 00_15102AA5A6,,,16102T2008_0001,,0.15%
A2700-C027,A2700-C027-m1,◇소비재도 반등했지만…구조는 그대로 자동차와 화장품 등 소비재 수출은 239억달러로 4.9% 증가하며 5개 분기 만에 증가세로 전환했다.,2025-11-10,239억달러,KOSIS_VALUE,국내공식통계,hcx,현재값,소비재 수출,-,23900000000,달러,2025Q4,Q,Y,,Y,Y,N,,,,,,,
A2700-C027,A2700-C027-m2,◇소비재도 반등했지만…구조는 그대로 자동차와 화장품 등 소비재 수출은 239억달러로 4.9% 증가하며 5개 분기 만에 증가세로 전환했다.,2025-11-10,4.90%,KOSIS_VALUE,국내공식통계,hcx,증감률,소비재 수출 증감률,-,4.9,%,2025Q4,Q,Y,,Y,Y,N,,,,,,,
A2700-C027,A2700-C027-m3,◇소비재도 반등했지만…구조는 그대로 자동차와 화장품 등 소비재 수출은 239억달러로 4.9% 증가하며 5개 분기 만에 증가세로 전환했다.,2025-11-10,5개,KOSIS_VALUE,국내공식통계,hcx,현재값,분기 수,-,5,개,2025Q4,Q,Y,,Y,Y,N,,,,,,,
A2700-C030,A2700-C030-m1,"대기업의 소비재 수출은 119억달러로 여전히 5.4% 감소했지만, 중견기업(4.4%)과 중소기업(24.9%)은 증가했다.",2025-11-10,119억달러,KOSIS_VALUE,국내공식통계,hcx,현재값,소비재 수출,대기업,11900000000,달러,-,-,N,,Y,Y,,,,,,,,
A2700-C030,A2700-C030-m2,"대기업의 소비재 수출은 119억달러로 여전히 5.4% 감소했지만, 중견기업(4.4%)과 중소기업(24.9%)은 증가했다.",2025-11-10,5.40%,KOSIS_VALUE,국내공식통계,hcx,증감률,소비재 수출 증감률,대기업,5.4,%,-,-,N,,Y,Y,,,,,,,,
A2700-C030,A2700-C030-m3,"대기업의 소비재 수출은 119억달러로 여전히 5.4% 감소했지만, 중견기업(4.4%)과 중소기업(24.9%)은 증가했다.",2025-11-10,4.40%,KOSIS_VALUE,국내공식통계,hcx,증감률,소비재 수출 증감률,중견기업,4.4,%,-,-,N,,Y,Y,,,,,,,,
A2700-C030,A2700-C030-m4,"대기업의 소비재 수출은 119억달러로 여전히 5.4% 감소했지만, 중견기업(4.4%)과 중소기업(24.9%)은 증가했다.",2025-11-10,24.90%,KOSIS_VALUE,국내공식통계,hcx,증감률,소비재 수출 증감률,중소기업,24.9,%,-,-,N,,Y,Y,,,,,,,,
A2700-C031,A2700-C031-m1,중소기업의 소비재 수출 증가율이 높아 보이지만 금액으로는 84억달러에 불과해 대기업의 70% 수준이다.,2025-11-10,84억달러,KOSIS_VALUE,국내공식통계,hcx,현재값,중소기업의 소비재 수출,소비재,8400000000,달러,-,-,N,,Y,Y,,,,,,,,
A2700-C031,A2700-C031-m2,중소기업의 소비재 수출 증가율이 높아 보이지만 금액으로는 84억달러에 불과해 대기업의 70% 수준이다.,2025-11-10,70%,KOSIS_VALUE,국내공식통계,hcx,증감률,중소기업의 소비재 수출 비율,소비재,70,%,-,-,N,,Y,Y,,,,,,,,
