claim_id,claim_measurement_id,article_id,title,date,url,claim_text,measurement_text,measurement_usage,claim_domain_scope,measurement_binding_source,measurement_role,measurement_indicator,measurement_item,value,unit,measurement_period,measurement_prd_se,gold_verifiable,gold_measurement_correct,gold_ready,gold_label_tier,gold_org_id,gold_tbl_id,gold_tbl_name,gold_itm_id,gold_itm_name,gold_obj_l1,gold_obj_l1_name,gold_prd_se,gold_period,gold_previous_period,gold_value_type,gold_derivation_method,gold_source_unit,gold_source_value,gold_source_previous_value,gold_actual_value,gold_claim_signed_value,gold_abs_error,gold_relative_error_pct,gold_tolerance,gold_verdict,gold_coordinate_status,gold_confidence,gold_reason,gold_evidence_url,gold_retrieved_at,gold_label_source,human_reviewed
A0002-CG0001,A0002-CG0001-m1,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,전기차 전환에 뒤처지며 창사 87년 만에 처음으로 독일 자국 내 공장 폐쇄에 나선 폴크스바겐이 이번엔 전기차 약 80만대의 운행 데이터와 소유주 정보를 온라인에서 부실 관리했다는 논란에 휩싸였다.,창사 87년 만에 처음으로,KOSIS_VALUE,국내공식통계,codex_common_codebook,참고값,N/A,전기차,87,년,N/A,N/A,N,N,N,MEASUREMENT_ERROR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,판단불가,NOT_APPLICABLE,HIGH,OUT_OF_KOSIS_SCOPE; INDICATOR_MISSING; 잠긴 Codex 공통 골드의 제외 판정을 유지함.,N/A,2026-08-05T16:37:34+09:00,CODEX_COMMON_GOLD_V1_200,N
A0002-CG0002,A0002-CG0002-m1,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,전기차 전환에 뒤처지며 창사 87년 만에 처음으로 독일 자국 내 공장 폐쇄에 나선 폴크스바겐이 이번엔 전기차 약 80만대의 운행 데이터와 소유주 정보를 온라인에서 부실 관리했다는 논란에 휩싸였다.,전기차 약 80만대,KOSIS_VALUE,국내공식통계,codex_common_codebook,현재값,운행 데이터와 소유주 정보의 수량,전기차,800000,대,N/A,N/A,N,N,N,MEASUREMENT_ERROR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,판단불가,NOT_APPLICABLE,HIGH,OUT_OF_KOSIS_SCOPE; PERIOD_OR_PERIODICITY_MISSING; 잠긴 Codex 공통 골드의 제외 판정을 유지함.,N/A,2026-08-05T16:37:34+09:00,CODEX_COMMON_GOLD_V1_200,N
A0002-CG0003,A0002-CG0003-m1,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,"지난달 31일 독일 슈피겔 등 외신에 따르면, 폴크스바겐과 아우디, 세아트, 스코다 등 폴크스바겐그룹 전기차 80만대에서 수집한 수 테라바이트 규모 데이터가 지난 몇 달간 암호화되지 않은 채로 아마존 클라우드에 방치됐던 것으로 나타났다.",80만대,KOSIS_VALUE,국내공식통계,codex_common_codebook,현재값,전기차 데이터 노출 대수,전기차,800000,대,N/A,N/A,N,N,N,MEASUREMENT_ERROR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,판단불가,NOT_APPLICABLE,HIGH,OUT_OF_KOSIS_SCOPE; PERIOD_OR_PERIODICITY_MISSING; 잠긴 Codex 공통 골드의 제외 판정을 유지함.,N/A,2026-08-05T16:37:34+09:00,CODEX_COMMON_GOLD_V1_200,N
A0003-CG0016,A0003-CG0016-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 병 봉급 인상 =병 봉급을 병장 기준 월 125만원에서 150만원으로 늘린다.,125만원,KOSIS_VALUE,국내공식통계,codex_common_codebook,이전값,군인 봉급,군인 봉급,1250000,원,2025,Y,N,Y,N,MCP_NOT_VERIFIABLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,판단불가,NOT_APPLICABLE,HIGH,OUT_OF_KOSIS_SCOPE; MEASUREMENT_CORRECT; 잠긴 Codex 공통 골드의 제외 판정을 유지함.,N/A,2026-08-05T16:37:34+09:00,CODEX_COMMON_GOLD_V1_200,N
A0003-CG0017,A0003-CG0017-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 병 봉급 인상 =병 봉급을 병장 기준 월 125만원에서 150만원으로 늘린다.,150만원,KOSIS_VALUE,국내공식통계,codex_common_codebook,현재값,군인 봉급,군인 봉급,1500000,원,2025,Y,N,Y,N,MCP_NOT_VERIFIABLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,판단불가,NOT_APPLICABLE,HIGH,OUT_OF_KOSIS_SCOPE; MEASUREMENT_CORRECT; 잠긴 Codex 공통 골드의 제외 판정을 유지함.,N/A,2026-08-05T16:37:34+09:00,CODEX_COMMON_GOLD_V1_200,N
A0003-CG0018,A0003-CG0018-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 맞벌이 가구의 근로장려금 수급 요건 완화 =맞벌이 가구가 근로장려금을 받기 위한 소득기준이 연 3800만원 미만에서 연 4400만원 미만으로 확대된다.,3800만원,KOSIS_VALUE,국내공식통계,codex_common_codebook,참고값,근로장려금 수급 요건 소득기준,근로장려금 수급 요건 소득기준,38000000,원,2025,Y,N,Y,N,MCP_NOT_VERIFIABLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,판단불가,NOT_APPLICABLE,HIGH,OUT_OF_KOSIS_SCOPE; MEASUREMENT_CORRECT; 잠긴 Codex 공통 골드의 제외 판정을 유지함.,N/A,2026-08-05T16:37:34+09:00,CODEX_COMMON_GOLD_V1_200,N
A0006-CG0131,A0006-CG0131-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,472억달러,KOSIS_VALUE,국내공식통계,codex_common_codebook,이전값,무역수지,무역수지,47200000000,달러,2022,Y,Y,Y,Y,CODEBOOK_KOSIS,360,DT_1R11001_FRM101,"품목별 수출액, 수입액",N/A,N/A,N/A,N/A,Y,2022,N/A,이전값,TABLE_SERIES_LABEL,N/A,N/A,N/A,N/A,47200000000,N/A,N/A,N/A,값검증대기,TABLE_ONLY,HIGH,"READY:TRADE_OFFICIAL_SERIES; 잠긴 Codex 공통 골드에서 측정·검증 가능 판정, KOSIS MCP로 통계표명 재확인, 세부 항목·분류·실제값은 미확정.",https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE,2026-08-05T16:37:34+09:00,CODEX_COMMON_GOLD_V1+KOSIS_MCP_TABLE_INFO_200,N
A0006-CG0133,A0006-CG0133-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,518억 달러,KOSIS_VALUE,국내공식통계,codex_common_codebook,현재값,무역수지,무역수지,51800000000,달러,2024,Y,Y,Y,Y,CODEBOOK_KOSIS,360,DT_1R11001_FRM101,"품목별 수출액, 수입액",N/A,N/A,N/A,N/A,Y,2024,N/A,현재값,TABLE_SERIES_LABEL,N/A,N/A,N/A,N/A,51800000000,N/A,N/A,N/A,값검증대기,TABLE_ONLY,HIGH,"READY:TRADE_OFFICIAL_SERIES; 잠긴 Codex 공통 골드에서 측정·검증 가능 판정, KOSIS MCP로 통계표명 재확인, 세부 항목·분류·실제값은 미확정.",https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE,2026-08-05T16:37:34+09:00,CODEX_COMMON_GOLD_V1+KOSIS_MCP_TABLE_INFO_200,N
A0006-CG0134,A0006-CG0134-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,621억 달러,KOSIS_VALUE,국내공식통계,codex_common_codebook,현재값,무역수지 변화폭,무역수지 변화폭,62100000000,달러,2024,Y,Y,Y,Y,CODEBOOK_KOSIS,360,DT_1R11001_FRM101,"품목별 수출액, 수입액",N/A,N/A,N/A,N/A,Y,2024,N/A,현재값,TABLE_SERIES_LABEL,N/A,N/A,N/A,N/A,62100000000,N/A,N/A,N/A,값검증대기,TABLE_ONLY,HIGH,"READY:TRADE_OFFICIAL_SERIES; 잠긴 Codex 공통 골드에서 측정·검증 가능 판정, KOSIS MCP로 통계표명 재확인, 세부 항목·분류·실제값은 미확정.",https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE,2026-08-05T16:37:34+09:00,CODEX_COMMON_GOLD_V1+KOSIS_MCP_TABLE_INFO_200,N
A0006-CG0135,A0006-CG0135-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.,697억 달러,KOSIS_VALUE,국내공식통계,codex_common_codebook,현재값,무역수지,무역수지,69700000000,달러,2018,Y,Y,Y,Y,CODEBOOK_KOSIS,360,DT_1R11001_FRM101,"품목별 수출액, 수입액",N/A,N/A,N/A,N/A,Y,2018,N/A,현재값,TABLE_SERIES_LABEL,N/A,N/A,N/A,N/A,69700000000,N/A,N/A,N/A,값검증대기,TABLE_ONLY,HIGH,"READY:TRADE_OFFICIAL_SERIES; 잠긴 Codex 공통 골드에서 측정·검증 가능 판정, KOSIS MCP로 통계표명 재확인, 세부 항목·분류·실제값은 미확정.",https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE,2026-08-05T16:37:34+09:00,CODEX_COMMON_GOLD_V1+KOSIS_MCP_TABLE_INFO_200,N
