gold_id,claim_id,article_id,title,date,url,claim_text,claim_type,claim_value,claim_unit,gold_label,gold_label_tier,gold_verifiable,gold_ready,human_reviewed,gold_org_id,gold_tbl_id,gold_tbl_name,gold_obj_l1,gold_obj_l2,gold_itm_id,gold_item_name,gold_category_name,gold_prd_se,gold_period,gold_previous_period,gold_source_value,gold_previous_source_value,gold_source_unit,gold_actual_value,gold_derivation_method,gold_coordinate_status,gold_label_source,gold_evidence_url,gold_evidence_batch,gold_retrieved_at
MCPG-001,C00078,6,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,24 한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,LEVEL,6838.0,"['년', '일']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T1,수출액,총액,Y,2024,N/A,683609488.0,N/A,천달러,6836.09488,MCP current value × source unit scale (1e-05),MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z
MCPG-002,C00090,6,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,CHANGE_RATE,6.6,"['월', '%', '개', '월', '%']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T1,수출액,총액,M,202412,202312,61359250.0,57573193.0,천달러,6.576076126262444,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z
MCPG-003,C00093,6,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"전년 대비 월간 수출 증가율은 8월(11%), 9월(7.5%), 10월(4.6%), 11월(1.4%)로 계속 감소 중이었으나, 12월에 6.6%로 반등에 성공한 것이다.",CHANGE_RATE,6.6,"['월', '%', '월', '%', '월', '%', '월', '%', '월', '%']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T1,수출액,총액,M,202412,202312,61359250.0,57573193.0,천달러,6.576076126262444,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z
MCPG-004,C00381,41,치솟는 환율에 식품 물가도 급등,2025-01-04,https://www.chosun.com/economy/economy_general/2025/01/04/7SPGFC4RFZEDLDPFTQHVDM2K2E,"175개 품목의 평균 물가 상승폭은 3.9%로, 지난해 연간 소비자물가지수 상승폭(2.3%)을 뛰어넘었다.",CHANGE_RATE,2.3,"['개', '%', '%']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,101,DT_1J22003,소비자물가지수(2020＝100),T10,N/A,T,소비자물가지수(총지수),전국,Y,2024,2023,114.18,111.59,2020＝100,2.3209965050631807,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1J22003&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z
MCPG-005,C01375,191,“트럼프 2기 출범 후 일괄 관세 부과하면 한국 수출 큰 타격”,2025-01-15,https://www.chosun.com/economy/economy_general/2025/01/15/NGXOCXC67ZDMXJGBKFCDZHY77Q,한국의 수출 증가율(전년 동월 대비)은 지난해 7월 13.5%를 기록한 이후 계속해서 떨어져 지난 11월에는 1.4%로 둔화됐다.,CHANGE_RATE,1.4,"['월', '%', '월', '%']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T1,수출액,총액,M,202411,202311,56288629.0,55561090.0,천달러,1.3094397536117452,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z
MCPG-006,C01924,268,새해 첫 20일 수출 5.1%↓ 엿새 설 연휴로 1월 전체 수출 감소 가능성,2025-01-21,https://www.chosun.com/economy/economy_general/2025/01/21/I6KIDJTHINBDZJKIJQNJX7YJ5Q,"그 결과 작년 한 해 전체 수출액은 6838억달러로 1년 전 대비 8.2% 증가했고, 기존 역대 최대 규모였던 2022년 기록(6836억달러)을 깨고 역대 최대 수출 실적을 달성했다.",CHANGE_RATE,8.2,"['년', '%', '년']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T1,수출액,총액,Y,2024,2023,683609488.0,632225824.0,천달러,8.127422520469521,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z
MCPG-007,C02005,279,작년 11월 출생아 14.6% 증가...2010년 이후 최대폭,2025-01-22,https://www.chosun.com/economy/economy_general/2025/01/22/HAHTAVPQ75BJXM4GWC4SNRKAZA,출생아 수는 2015년 0.7% 증가했다가 2016년(-7.3%)부터 2023년(-7.7%)까지 8년 연속 감소했었다.,CHANGE_RATE,-7.7,"['년', '%', '년', '%', '년', '%', '년']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,101,INH_1B8000F_01,출생아수 합계출산율 자연증가 등,11,N/A,T1,인구동태건수 및 동태율 추이,출생아수(명),Y,2023,2022,230028.0,249186.0,명,-7.68823288627772,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=INH_1B8000F_01&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z
MCPG-008,C02110,292,11월 출생아 수 증가율 14.6%… 14년 만에 최고,2025-01-23,https://www.chosun.com/economy/economy_general/2025/01/23/JUAXRZRN6NBLFGZUGXBFXGPKOU,연간 출생아 수는 2015년 0.7% 증가한 것을 마지막으로 2016년(-7.3%)부터 2023년(-7.7%)까지 8년 연속 감소했다.,CHANGE_RATE,-7.7,"['년', '%', '년', '%', '년', '%', '년']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,101,INH_1B8000F_01,출생아수 합계출산율 자연증가 등,11,N/A,T1,인구동태건수 및 동태율 추이,출생아수(명),Y,2023,2022,230028.0,249186.0,명,-7.68823288627772,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=INH_1B8000F_01&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z
MCPG-009,C02892,368,내수 부진에 계엄·탄핵 ‘겹악재’...청년 고용률 43개월 만에 최저,2025-01-29,https://www.chosun.com/economy/economy_general/2025/01/29/K4EFBRTSPNCKPIDHOQOSPUXDTM,청년 고용률이 45% 아래로 떨어진 건 코로나가 한창 기승하던 2021년 5월(44.4%) 이후 43개월 만이다.,LEVEL,44.4,"['%', '년', '월', '%', '개']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,101,DT_1DA7002S,연령별 경제활동인구 총괄,75,N/A,T90,고용률,15 - 29세,M,202105,N/A,44.4,N/A,%,44.4,MCP current value × source unit scale (1),MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7002S&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z
MCPG-010,C03495,440,작년 소매판매 2.2% 줄어... 21년 만에 최대 감소폭,2025-02-03,https://www.chosun.com/economy/economy_general/2025/02/03/Y7UQBA7SO5AJTKSOUUK52DYR34,소매 판매 감소는 지난 2022년(-0.3%)과 2023년(-1.5%)에 이어 3년 연속이다.,CHANGE_RATE,-1.5,"['년', '%', '년', '%', '년']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,101,DT_1K41012,재별 및 상품군별 소매판매액지수(2020＝100.0),G0,N/A,T2,불변지수,총지수,Y,2023,2022,104.1,105.5,2020＝100,-1.327014218009484,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1K41012&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z
