claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,item_ungrounded,dropped_item,claim_period,claim_prd_se,period_span_start,period_span_end,period_aggregation,raw_measurement_period,period_alignment_status,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,in_ready,mapping_exclusion_code,mapping_exclusion_reason,mapping_gate,mapping_gate_reason,enrichment_actions,scope_gate_code,scope_gate_reason,scope_gate_severity,scope_gate_blocked
A2691-SP1ADEC33A36,A2691-SP1ADEC33A36-m1,A2691,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,45971.0,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,올해 3분기 수출액 상위 10대 기업의 무역집중도가 40%로 역대 최고치를 기록했다.,-,반도체 수출 호황으로 대기업 실적이 크게 개선되면서 수출이 소수 대기업에 집중되는 현상이 심화되고 있다.,국내공식통계,Y,무역,기업 수,"수출액, 상위 10대 기업, 무역집중도, 역대 최고치",-,-,-,,-,-,-,2025,-,Q,확정,10대,KOSIS_VALUE,hcx,기업 수,-,2025Q3,Q,hcx,현재값,10,-,-,N,대,수준값,-,전분기,올해 3분기 수출액 상위 10대 기업의 무역집중도가 40%로 역대 최고치를 기록했다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,무역집중도,,N,,2025Q3,Q,,,,2025Q3,,대,대,count,count,organization,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2691-SP1ADEC33A36,A2691-SP1ADEC33A36-m2,A2691,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,45971.0,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,올해 3분기 수출액 상위 10대 기업의 무역집중도가 40%로 역대 최고치를 기록했다.,-,반도체 수출 호황으로 대기업 실적이 크게 개선되면서 수출이 소수 대기업에 집중되는 현상이 심화되고 있다.,국내공식통계,Y,무역,무역집중도,"수출액, 상위 10대 기업, 무역집중도, 역대 최고치",-,-,-,,-,-,-,2025,-,Q,확정,40%,KOSIS_VALUE,hcx,무역집중도,-,2025Q3,Q,hcx,현재값,40,-,-,N,%,비중,-,전분기,올해 3분기 수출액 상위 10대 기업의 무역집중도가 40%로 역대 최고치를 기록했다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,무역집중도,,N,,2025Q3,Q,,,,2025Q3,,%,%,rate,level,unspecified,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2691-SP2D15617564,A2691-SP2D15617564-m1,A2691,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,45971.0,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,중소기업은 298억달러(약 43조원)로 11.9% 증가했다.,중견기업도 323억달러(약 47조원)로 7.0% 늘어 분기 최고치를 기록했다.,"전체 수출에서 차지하는 비중을 보면, 대기업이 전체 수출의 66.1%를 차지하며 지난해 3분기(67.0%)와 비슷한 수준을 유지했다.",국내공식통계,Y,무역,중소기업의 수출액,"중소기업, 수출액, 증가율",-,-,-,,-,-,-,2024,-,Q,확정,298억달러,KOSIS_VALUE,hcx,중소기업의 수출액,-,2024Q3,Q,hcx,현재값,29800000000,-,-,N,달러,수준값,증가,전분기,중소기업은 298억달러(약 43조원)로 11.9% 증가했다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,중소기업의 수출액,,N,,2024Q3,Q,,,,2024Q3,,달러,달러,currency,amount,organization,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2691-SP2D15617564,A2691-SP2D15617564-m2,A2691,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,45971.0,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,중소기업은 298억달러(약 43조원)로 11.9% 증가했다.,중견기업도 323억달러(약 47조원)로 7.0% 늘어 분기 최고치를 기록했다.,"전체 수출에서 차지하는 비중을 보면, 대기업이 전체 수출의 66.1%를 차지하며 지난해 3분기(67.0%)와 비슷한 수준을 유지했다.",국내공식통계,Y,무역,중소기업의 수출액,"중소기업, 수출액, 증가율",-,-,-,,-,-,-,2024,-,Q,확정,43조원,KOSIS_VALUE,hcx,중소기업의 수출액,-,2024Q3,Q,hcx,현재값,43000000000000,-,-,Y,원,수준값,증가,전분기,중소기업은 298억달러(약 43조원)로 11.9% 증가했다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,중소기업의 수출액,,N,,2024Q3,Q,,,,2024Q3,,원,원,currency,amount,organization,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2691-SPE00AD597A0,A2691-SPE00AD597A0-m1,A2691,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,45971.0,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,"대기업의 경우 자본재 수출이 773억달러로 12.2% 증가했지만, 원자재(-5.1%)와 소비재(-5.4%)는 감소했다.",문제는 이런 수출 호황이 국내 경제 전반으로 파급되지 않는다는 점이다.,"중견기업과 중소기업은 자본재, 소비재, 원자재 모두 증가했지만 절대 금액은 대기업에 비해 크게 작았다.",국내공식통계,Y,무역,자본재 수출액,"수출, 톱10, 기업, 비중, 역대, 최대, 대기업, 쏠림, 심화",-,-,-,자본재,-,-,-,2024,-,Q,확정,773억달러,KOSIS_VALUE,hcx,자본재 수출액,자본재,2024Q3,Q,hcx,현재값,77300000000,-,-,N,달러,수준값,증가,전분기,"대기업의 경우 자본재 수출이 773억달러로 12.2% 증가했지만, 원자재(-5.1%)와 소비재(-5.4%)는 감소했다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,수출액,"자본재, 원자재, 소비재",N,,2024Q3,Q,,,,2024Q3,,달러,달러,currency,amount,item,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2691-SPD702593F28,A2691-SPD702593F28-m1,A2691,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,45971.0,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,"대기업의 소비재 수출은 119억달러로 여전히 5.4% 감소했지만, 중견기업(4.4%)과 중소기업(24.9%)은 증가했다.",하지만 이마저도 현대차 등 대기업 중심이다.,중소기업의 소비재 수출 증가율이 높아 보이지만 금액으로는 84억달러에 불과해 대기업의 70% 수준이다.,국내공식통계,Y,무역,소비재 수출,"수출, 대기업, 중견기업, 중소기업, 소비재",-,-,-,,-,-,-,2024,-,Q,확정,119억달러,KOSIS_VALUE,hcx,소비재 수출,,2024Q3,Q,hcx,현재값,11900000000,-,-,N,달러,수준값,감소,전분기,"대기업의 소비재 수출은 119억달러로 여전히 5.4% 감소했지만, 중견기업(4.4%)과 중소기업(24.9%)은 증가했다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,소비재 수출,,Y,현대차 등 대기업,2024Q3,Q,,,,2024Q3,,달러,달러,currency,amount,item,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2681-SP2FBE24AE2B,A2681-SP2FBE24AE2B-m2,A2681,"다문화 혼인 5% 증가, 전체 혼인 10건 중 1건은 다문화 결혼",45967.0,https://www.chosun.com/economy/economy_general/2025/11/06/ICMO6ZPTDVFSNKDVKFZJT2F77U/,전년 대비 5.0%(1019건) 증가한 규모다.,지난해 다문화 혼인(국제결혼)이 2만1450건을 기록한 것으로 6일 집계됐다.,전체 혼인 중 다문화 혼인 비중은 9.6%로 혼인 10건 중 1건은 다문화 혼인이었다.,국내공식통계,Y,인구,다문화 혼인 건수,"다문화 혼인, 국제결혼, 전체 혼인, 비중",-,-,-,,-,-,-,2024,-,Y,확정,1019건,KOSIS_VALUE,hcx,다문화 혼인 건수,-,2024,Y,hcx,현재값,1019,-,-,N,건,수준값,증가,전년,전년 대비 5.0%(1019건) 증가한 규모다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,다문화 혼인 건수,,N,,2024,Y,,,,2024,,건,건,count,count,unspecified,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2681-SPC56928E7DA,A2681-SPC56928E7DA-m2,A2681,"다문화 혼인 5% 증가, 전체 혼인 10건 중 1건은 다문화 결혼",45967.0,https://www.chosun.com/economy/economy_general/2025/11/06/ICMO6ZPTDVFSNKDVKFZJT2F77U/,전체 혼인 중 다문화 혼인 비중은 9.6%로 혼인 10건 중 1건은 다문화 혼인이었다.,전년 대비 5.0%(1019건) 증가한 규모다.,"6일 국가데이터처가 발표한 ’2024년 다문화 인구동태 통계결과’에 따르면, 전체 혼인 중 다문화 혼인 비중은 9.6%로 전년 대비 1.0%포인트 감소했다.",국내공식통계,Y,인구,전체 혼인 건수,"다문화 혼인, 전체 혼인, 국제결혼, 비중",-,-,-,,-,-,-,2024,-,Y,확정,10건,KOSIS_VALUE,hcx,전체 혼인 건수,-,2024,Y,hcx,현재값,10,-,-,N,건,수준값,-,-,전체 혼인 중 다문화 혼인 비중은 9.6%로 혼인 10건 중 1건은 다문화 혼인이었다.,high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,다문화 혼인 비중,,N,,2024,Y,,,,2024,,건,건,count,count,unspecified,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2681-SPC56928E7DA,A2681-SPC56928E7DA-m3,A2681,"다문화 혼인 5% 증가, 전체 혼인 10건 중 1건은 다문화 결혼",45967.0,https://www.chosun.com/economy/economy_general/2025/11/06/ICMO6ZPTDVFSNKDVKFZJT2F77U/,전체 혼인 중 다문화 혼인 비중은 9.6%로 혼인 10건 중 1건은 다문화 혼인이었다.,전년 대비 5.0%(1019건) 증가한 규모다.,"6일 국가데이터처가 발표한 ’2024년 다문화 인구동태 통계결과’에 따르면, 전체 혼인 중 다문화 혼인 비중은 9.6%로 전년 대비 1.0%포인트 감소했다.",국내공식통계,Y,인구,다문화 혼인 건수,"다문화 혼인, 전체 혼인, 국제결혼, 비중",-,-,-,,-,-,-,2024,-,Y,확정,1건,KOSIS_VALUE,hcx,다문화 혼인 건수,-,2024,Y,hcx,현재값,1,-,-,N,건,수준값,-,-,전체 혼인 중 다문화 혼인 비중은 9.6%로 혼인 10건 중 1건은 다문화 혼인이었다.,high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,다문화 혼인 비중,,N,,2024,Y,,,,2024,,건,건,count,count,unspecified,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2681-SP30B42ECECF,A2681-SP30B42ECECF-m1,A2681,"다문화 혼인 5% 증가, 전체 혼인 10건 중 1건은 다문화 결혼",45967.0,https://www.chosun.com/economy/economy_general/2025/11/06/ICMO6ZPTDVFSNKDVKFZJT2F77U/,다문화 출생(1만3416명)은 전년 대비 10.4%(1266명) 증가했다.,다문화 이혼을 한 부부의 평균 결혼 생활 기간은 10년 3개월로 전년 대비 0.2년 증가했다.,2014년(2만1200명) 이후 해마다 감소하며 2023년 1만2200명까지 줄었다가 지난해에 다시 반등했다.,국내공식통계,Y,인구,다문화 출생,"다문화, 출생, 전년 대비, 증가",-,-,-,,-,-,-,2024,-,Y,확정,1만3416명,KOSIS_VALUE,hcx,다문화 출생,-,2023,Y,hcx,현재값,13416,-,-,N,명,수준값,증가,전년,다문화 출생(1만3416명)은 전년 대비 10.4%(1266명) 증가했다.,high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,다문화 출생,,N,,2023,Y,,,,2023,RELATIVE_CONTEXT_TO_PUBLICATION_YEAR,명,명,person_count,count,unspecified,,Y,Y,,,READY,ELIGIBLE,,,,,N
