claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,measurement_indicator,measurement_item,measurement_role,value,unit,value_type,semantic_type,period,period_end,prd_se,comparison_period,change_base,region,age_group,gender,industry_or_item,origin_country,destination_country,entity_type,unit_dimension,extraction_confidence,measurement_repaired,measurement_fallback_count
A2681-SP30B42ECECF,A2681-SP30B42ECECF-m1,A2681,"다문화 혼인 5% 증가, 전체 혼인 10건 중 1건은 다문화 결혼",45967.0,https://www.chosun.com/economy/economy_general/2025/11/06/ICMO6ZPTDVFSNKDVKFZJT2F77U/,다문화 출생(1만3416명)은 전년 대비 10.4%(1266명) 증가했다.,다문화 이혼을 한 부부의 평균 결혼 생활 기간은 10년 3개월로 전년 대비 0.2년 증가했다.,2014년(2만1200명) 이후 해마다 감소하며 2023년 1만2200명까지 줄었다가 지난해에 다시 반등했다.,다문화 출생,-,현재값,13416,명,수준값,count,2023,-,Y,,전년,-,-,-,,-,-,unspecified,person_count,high,Y,0
A0673-SPFFFDAEF95A,A0673-SPFFFDAEF95A-m1,A0673,"울릉군, 전국 고용률 1위 83.5%… 2위에는 청송군",45709.0,https://www.chosun.com/economy/economy_general/2025/02/21/WTMGCNUZRFBDBEF3XXSEMSPMXA,"20일 통계청은 ‘2024년 하반기 지역별 고용조사’에서 지난해 하반기 울릉군의 고용률은 83.5%로, 전년 동기 대비 1.1%포인트 상승했다고 밝혔다.",울릉군은 2014년 상반기부터 10년간 단 한 차례(2023년 상반기) 경북 청송군에 밀렸던 것을 제외하고 꾸준히 왕좌를 차지했다.,전국 고용률 1위다.,고용률,울릉군,현재값,83.5,%,수준값,level,2024,-,Q,,전분기,-,-,-,울릉군,-,-,item,rate,high,N,0
A1411-SP5F8BCC33E4,A1411-SP5F8BCC33E4-m2,A1411,“은퇴하는 베이비붐 세대 잡아라”… 시니어 공략 속도 내는 은행,45766.0,https://www.chosun.com/economy/money/2025/04/19/EQO5AO3LFD6GDC5KEWSCAL6NBI,통계청의 2024년 가계금융복지조사 결과 가구주 연령대별 순자산 보유액은 60세 이상 가구가 5억1922만원으로 가장 많았고 전년 대비 증감률도 6.8%로 가장 높았다.,은퇴를 시작한 베이비붐 세대가 이전 세대와 달리 소득이나 자산 수준이 더 높은 이유도 크다.,2차 베이비붐 세대(1964~1974년생)가 은퇴를 앞두고 있는 만큼 이들이 축적한 자산을 효과적으로 관리하는 데 관심이 몰릴 것으로 보이기 때문이다.,순자산 보유액,-,현재값,519220000,원,수준값,amount,2024,-,Y,,전년,-,60세 이상,-,,-,-,household,currency,high,N,0
A2648-SP179F478D32,A2648-SP179F478D32-m6,A2648,고령화가 바꾼 노동시장… 올해 상반기 일자리 증가 1위는 '돌봄·노인 일자리',45958.0,https://biz.chosun.com/policy/policy_sub/2025/10/28/UI24JIQ5KVFK7ARLCFJWISN6LE/,"15~29세는 보관 및 창고업에서 8000명이 늘었고, 30~49세는 소프트웨어개발 및 공급업에서 2만6000명이 증가했다.",연령별 취업자 증감 업종도 이를 뒷받침한다.,50세 이상은 비거주복지시설운영업에서만 11만8000명 늘어 가장 두드러졌다.,취업자 증감,소프트웨어개발 및 공급업,현재값,26000,명,수준값,count,2025,-,Q,,전분기,-,"15~29세, 30~49세, 50세 이상",-,소프트웨어개발 및 공급업,-,-,person,person_count,high,Y,0
A2657-SP7761543E77,A2657-SP7761543E77-m1,A2657,우리나라 거주 외국인 주민 '역대 최다' 258만명… 전체 인구의 5%,45960.0,https://biz.chosun.com/topics/topics_social/2025/10/30/QR4AGGYKCBEB3AWOYIWTGTC3LM/,외국인 주민 수는 총 258만3626명으로 집계됐다.,"집계 대상은 2024년 11월 1일 기준, 3개월을 초과해 국내에 장기 거주한 외국인 주민의 수다.",인구주택총조사 기준 우리나라 총인구인 5180만5547명의 5%다.,거주 외국인 주민 수,-,현재값,2583626,명,수준값,count,202411,-,M,,전년,-,-,-,,-,-,unspecified,person_count,high,N,0
A1381-SP5C0FA03C99,A1381-SP5C0FA03C99-m1,A1381,"가파른 농촌 소멸의 현실... 작년 농가 수 97만가구, 1년새 2.5% 줄어",45764.0,https://www.chosun.com/economy/economy_general/2025/04/17/3OPFBMB5FND7LKAFGEU5LNCDGA,지난해 국내 농가 수가 97만4000가구로 집계됐다.,-,국내 농가 수는 지난 2023년 99만9000가구를 기록하며 처음으로 100만 가구 아래로 떨어진 이후 하락세가 지속되고 있다.,농가 수,-,현재값,974000,가구,수준값,count,2024,-,Y,,전년,-,-,-,,-,-,household,count,high,N,0
A1940-SPF9ECF92995,A1940-SPF9ECF92995-m1,A1940,1분기 가구당 月 소득 1년 새 4.5% 늘었지만 저소득층은 1.5% 줄어,45807.0,https://www.chosun.com/economy/economy_general/2025/05/30/PVQ5FXMBSFCETC4MIINOSK535M,"29일 통계청은 ’2025년 1분기 가계동향 조사 결과’에서, 올해 1분기 가구당 월평균 소득이 535만1000원으로 지난해 같은 기간 대비 4.5% 증가했다고 밝혔다.",또 소비 악화로 실질 소비 지출은 1년 9개월 만에 감소세로 돌아섰다.,가구당 월평균 소득은 2023년 2분기 0.8% 감소한 뒤 7분기 연속 증가했다.,가구당 월평균 소득,-,현재값,5351000,원,수준값,amount,202501,-,Q,,전년동기,-,-,-,,-,-,household,currency,high,N,0
A2195-SP58D2B7A6CE,A2195-SP58D2B7A6CE-m1,A2195,"국내 1인 가구 800만 돌파... 700만 넘은 지 3년 만, 소형 가전-소용량 식품 인기 등 트렌드도 바뀌어",45827.0,https://www.chosun.com/economy/economy_general/2025/06/19/BTSFRUAWDRGIVETHM7KHYIUDAA,지난해 국내 1인 가구가 800만 가구를 넘어서 역대 최대 규모를 기록한 것으로 집계됐다.,-,1인 가구는 2021년 700만 가구를 넘어선 지 3년 만에 800만 가구를 돌파했다.,1인 가구 수,-,현재값,8000000,가구,수준값,count,2024,-,Y,,전년,-,-,-,,-,-,household,count,high,N,0
A2386-SP476B05C816,A2386-SP476B05C816-m3,A2386,"1955년엔 전쟁 여파 ‘불구 상태’, 2020년부터는 ‘혼자 산 기간’ 조사",45842.0,https://www.chosun.com/economy/economy_general/2025/07/04/3TM7NWTGMBHMBB7OVKWWMTLA6E,1930년 당시 조선인 인구 2043만명 중 1588만8127명(77.8%)이 ‘가나와 국문을 둘 다 못 하는 자’로 집계됐다.,1930년 시작됐던 문맹 여부 조사는 의무교육제 도입 등으로 문맹률이 낮아지면서 1970년을 끝으로 사라졌다.,"1960년에는 13세 이상 인구 중 문맹자 수가 445만4004명으로 크게 줄었고, 1970년에는 학교에 입학하지 않은 6세 이상 인구(약 512만명) 중 글을 모른다고 응답한 인구가 229만9323명으로 나타났다.",글을 읽거나 쓸 줄 모르는 사람,-,현재값,15888127,명,수준값,count,1930,-,Y,,-,-,-,-,,-,-,person,person_count,high,Y,0
A2284-SPCBEB52F561,A2284-SPCBEB52F561-m1,A2284,"광업·제조업 생산 늘어난 경북과 울산, 실질 지역내총생산 증가율 1·2위, 대구와 세종은 꼴찌 수준",45834.0,https://www.chosun.com/economy/economy_general/2025/06/26/6JB2D4IQQZHCFKGAPHZLSUQ7OY,"실질 지역내총생산 성장률은 경북(1.6%), 울산(1.4%), 서울(1.0%) 순으로 높았다.","2025년 1/4분기 실질 지역내총생산(잠정)‘에 따르면, 경북, 울산 등 7개 시도의 실질 지역내총생산은 전년 동기 대비 증가했지만, 대구와 세종 등 10개 시도는 감소하며 지역별 편차가 컸다.",경북과 울산은 광업과 제조업에서의 생산이 성장률을 견인했다.,실질 지역내총생산 성장률,경북,현재값,1.6,%,비중,level,2025,-,Q,,전년동기,-,-,-,경북,-,-,item,rate,high,N,0
A1019-SP67B37A8EED,A1019-SP67B37A8EED-m1,A1019,‘연상녀·연하남’ 초혼 부부 비중 19.9% 역대 최대,45736.0,https://www.chosun.com/economy/economy_general/2025/03/20/KH26XILK7FGYPGUVBBDUA2B3OU,특히 부부 모두 초혼인 신혼부부 중 아내가 연상인 경우는 3만5600건으로 전체 초혼 건수의 19.9%를 차지했다.,"이 가운데 아내와 남편 모두 초혼인 건수는 17만8700건(80.4%)으로, 지난 2000년(81.9%) 이후 24년 만에 80%선을넘었다.","이는 지난 1990년 관련 통계 작성 이래 최대치로, 1990년 당시 아내가 연상인 초혼 비중이 8.8%에 그쳤던 것과 비교하면 2.3배 불어난 규모다.",아내가 연상인 초혼 건수,-,현재값,35600,건,수준값,count,2024,-,Y,,전년,-,-,-,,-,-,unspecified,count,high,N,0
A0964-SP596B552885,A0964-SP596B552885-m1,A0964,"작년 300인 이상 기업 직원 평균연봉, 처음으로 7000만원 돌파",45732.0,https://www.chosun.com/economy/industry-company/2025/03/16/73DYMLAQCVF2XC4EFAYPF2YXPA,"300인 이상 사업체 연 임금총액은 2020년 5995만원으로 6000만원대에 근접한 이후, 2024년 처음으로 7000만원을 넘어섰다.","사업체 규모별로는, 작년 300인 미만 사업체의 연 임금총액은 4427만원, 300인 이상은 7121만원으로 각각 전년 대비 3.0%, 2.2% 늘었다.",작년 업종별 연 임금 총액은 전기·가스·증기업이 8870만원으로 가장 높았다.,300인 이상 사업체 연 임금총액,-,현재값,70000000,원,수준값,amount,2024,-,Y,,전년,-,-,-,,-,-,organization,currency,high,Y,0
A0148-SP4A2E2CE320,A0148-SP4A2E2CE320-m1,A0148,‘300인 이상’ 대졸 초임 처음으로 5000만원 돌파…日보다 높은 수준,45669.0,https://www.chosun.com/economy/industry-company/2025/01/12/JUXCUOIRFJAEXIUIS4CSYYLWW4,4 2023년 한국의 300인 이상 기업의 정규직 대졸 초임은 평균 5001만원을 기록한 것으로 나타났다.,-,초과급여를 제외한 연간 임금 총액 기준으로 처음으로 5000만원을 돌파한 것이다.,정규직 대졸 초임,-,현재값,50010000,원,수준값,amount,2023,-,Y,,-,-,-,-,,-,-,unspecified,currency,high,N,0
A2015-SP474A13E300,A2015-SP474A13E300-m1,A2015,작년 한국 1인당 국민소득 3만6745달러... 2년 연속 일본 앞질러,45813.0,https://www.chosun.com/economy/economy_general/2025/06/05/P2N35XU7BJFIDBL32N3K3SYKKA,2023년 한국의 1인당 국민소득이 3만6195달러(확정치)로 같은 해 일본(3만5933달러)보다 262달러 많았는데 일본은 1인당 국민소득이 작년 줄면서 그 격차가 더 커졌다.,한편 작년 일본의 1인당 국민소득은 3만4500달러 초반으로 우리보다 최소 2000달러 적었다.,일본은 지난 1992년 1인당 국민소득이 3만달러대로 진입한 후 3년 만인 1995년 4만달러 벽을 넘었다.,한국의 1인당 국민소득,-,현재값,36195,달러,수준값,amount,2023,-,Y,,전년,-,-,-,,-,-,unspecified,currency,high,N,0
A0834-SPE8364569CF,A0834-SPE8364569CF-m3,A0834,한국 11년째 갇힌 ‘3만달러 벽’… 美·英은 어떻게 뚫었나,45722.0,https://www.chosun.com/economy/economy_general/2025/03/06/5HV7ZTS6RBEK5BBZBNLJDPBZPY,"한국의 1인당 GNI는 2013년 2만8827달러에서 2014년 3만935달러로 올라선 뒤, 2021년 3만7898달러로 최고점을 찍었다.",5일 한국은행은 작년 우리나라의 1인당 GNI가 3만6624달러로 집계됐다고 밝혔다.,2020년에는 코로나 팬데믹 충격으로 성장률이 9%쯤 뒷걸음질한 이탈리아를 넘어서기도 했다.,1인당 GNI,-,현재값,37898,달러,수준값,amount,2021,-,Y,,전년,-,-,-,,-,-,unspecified,currency,high,N,0
A2335-SP264A54BFC4,A2335-SP264A54BFC4-m1,A2335,5월 생산·투자 2달째 동반 감소... 소비도 3달째 반등 못해,45838.0,https://www.chosun.com/economy/economy_general/2025/06/30/2IZSHTWSWNEJ5FGXOMCGGEDVW4,건설 경기가 얼어붙으면서 건축·토목 분야 건설 실적을 뜻하는 ‘ 건설기성 ’도 전달보다 3.9% 줄어 3달 연속 마이너스를 기록했다.,이런 경우는 주력 수출 품목인 반도체 부진으로 수출 감소세가 본격화한 2022년 12월~2023년 1월 이후 처음이다.,건축(-4.6%)과 토목(-2.0%) 분야에서 몯 공사 실적이 줄었다.,건설기성,-,현재값,3.9,%,수준값,level,202305,-,M,,전월,-,-,-,,-,-,unspecified,rate,high,N,0
A2666-SP91F468293F,A2666-SP91F468293F-m1,A2666,"다 비싸졌다… 월세 상승률 10년래 최고, 물가도 껑충",45965.0,https://www.chosun.com/economy/economy_general/2025/11/04/LTSPY3AKDFGO3PYENJYCXAAWAU/,"3일 국토교통부의 주택 통계에 따르면, 9월 전국 전월세 거래 23만745건 중 월세 비율은 65%(15만670건)를 차지했다.","월세, 외식 물가 등이 크게 올라 생활비 부담이 커지는 것은 비정규직 근로자 등 서민의 생활고를 가중시키는 요인으로 꼽힌다.",정부가 6월 부동산 대출 규제를 발표한 이후 갭투자(전세를 낀 주택 매입) 수요가 줄어 신규 전세 공급이 줄면서 전세의 월세화가 가속화됐기 때문이다.,전월세 거래 건수,-,현재값,230745,건,수준값,count,202309,-,M,,-,-,-,-,,-,-,unspecified,count,high,Y,0
A2691-SP1ADEC33A36,A2691-SP1ADEC33A36-m2,A2691,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,45971.0,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,올해 3분기 수출액 상위 10대 기업의 무역집중도가 40%로 역대 최고치를 기록했다.,-,반도체 수출 호황으로 대기업 실적이 크게 개선되면서 수출이 소수 대기업에 집중되는 현상이 심화되고 있다.,무역집중도,-,현재값,40,%,비중,level,2025,-,Q,,전분기,-,-,-,,-,-,unspecified,rate,high,N,0
A1121-SP787A049679,A1121-SP787A049679-m2,A1121,"양양, 관광객이 주민의 28배… 인구감소지역 살리는 외부인",45744.0,https://www.chosun.com/economy/economy_general/2025/03/28/ECG25DYMGVGYDFA2RBNNGCAAVY,"27일 통계청은 ‘2024년 3분기 생활 인구 산정 결과’에서 작년 8월 강원도 내 인구 감소 지역에 해당하는 12개 시·군·구의 체류 인구는 562만4000명으로, 지역에 거주하는 내·외국인 등록 인구(47만7000명)의 11.8배에 달했다고 밝혔다.",지역 소비의 3분의 2를 지역 주민이 아닌 외부인이 책임졌다는 뜻이다.,"체류 인구는 해당 지역에 하루에 3시간 이상 머무른 날이 한 달에 1일 이상인 인구로, 관광객, 통근자, 도시에 기반을 둔 ‘세컨드홈’ 거주자 등을 가리킨다.",체류 인구,-,현재값,5624000,명,수준값,count,202403,-,Q,,-,-,-,-,,-,-,person,person_count,high,N,0
