scheme,region,code
REGION_CODES_DEMOGRAPHIC,전국,00
REGION_CODES_DEMOGRAPHIC,서울,11
REGION_CODES_DEMOGRAPHIC,부산,21
REGION_CODES_DEMOGRAPHIC,대구,22
REGION_CODES_DEMOGRAPHIC,인천,23
REGION_CODES_DEMOGRAPHIC,광주,24
REGION_CODES_DEMOGRAPHIC,대전,25
REGION_CODES_DEMOGRAPHIC,울산,26
REGION_CODES_DEMOGRAPHIC,세종,29
REGION_CODES_DEMOGRAPHIC,경기,31
REGION_CODES_DEMOGRAPHIC,강원,32
REGION_CODES_DEMOGRAPHIC,충북,33
REGION_CODES_DEMOGRAPHIC,충남,34
REGION_CODES_DEMOGRAPHIC,전북,35
REGION_CODES_DEMOGRAPHIC,전남,36
REGION_CODES_DEMOGRAPHIC,경북,37
REGION_CODES_DEMOGRAPHIC,경남,38
REGION_CODES_DEMOGRAPHIC,제주,39
REGION_CODES_POPULATION,전국,00
REGION_CODES_POPULATION,서울,11
REGION_CODES_POPULATION,부산,26
REGION_CODES_POPULATION,대구,27
REGION_CODES_POPULATION,인천,28
REGION_CODES_POPULATION,광주,29
REGION_CODES_POPULATION,대전,30
REGION_CODES_POPULATION,울산,31
REGION_CODES_POPULATION,세종,36
REGION_CODES_POPULATION,경기,41
REGION_CODES_POPULATION,강원,51
REGION_CODES_POPULATION,충북,43
REGION_CODES_POPULATION,충남,44
REGION_CODES_POPULATION,전북,52
REGION_CODES_POPULATION,전남,46
REGION_CODES_POPULATION,경북,47
REGION_CODES_POPULATION,경남,48
REGION_CODES_POPULATION,제주,50
REGION_CODES_CPI,전국,T10
REGION_CODES_CPI,서울,T11
REGION_CODES_CPI,부산,T12
REGION_CODES_CPI,대구,T13
REGION_CODES_CPI,인천,T14
REGION_CODES_CPI,광주,T15
REGION_CODES_CPI,대전,T16
REGION_CODES_CPI,울산,T17
REGION_CODES_CPI,세종,T18
REGION_CODES_CPI,경기,T21
REGION_CODES_CPI,강원,T31
REGION_CODES_CPI,충북,T41
REGION_CODES_CPI,충남,T51
REGION_CODES_CPI,전북,T61
REGION_CODES_CPI,전남,T71
REGION_CODES_CPI,경북,T81
REGION_CODES_CPI,경남,T90
REGION_CODES_CPI,제주,T96
REGION_CODES_HOUSING,전국,a0
REGION_CODES_HOUSING,서울,a7
REGION_CODES_HOUSING,경기,a8
REGION_CODES_HOUSING,인천,a9
REGION_CODES_HOUSING,부산,b1
REGION_CODES_HOUSING,대구,b2
REGION_CODES_HOUSING,광주,b3
REGION_CODES_HOUSING,대전,b4
REGION_CODES_HOUSING,울산,b5
REGION_CODES_HOUSING,세종,b6
REGION_CODES_HOUSING,강원,c1
REGION_CODES_HOUSING,충북,c2
REGION_CODES_HOUSING,충남,c3
REGION_CODES_HOUSING,전북,c4
REGION_CODES_HOUSING,전남,c5
REGION_CODES_HOUSING,경북,c6
REGION_CODES_HOUSING,경남,c7
REGION_CODES_HOUSING,제주,c8
REGION_CODES_PM25,전국,13102128219A.4100001
REGION_CODES_PM25,서울,13102128219A.4200003
REGION_CODES_PM25,부산,13102128219A.4200005
REGION_CODES_PM25,대구,13102128219A.4200007
REGION_CODES_PM25,인천,13102128219A.4200009
REGION_CODES_PM25,광주,13102128219A.4200011
REGION_CODES_PM25,대전,13102128219A.4200013
REGION_CODES_PM25,울산,13102128219A.4200015
REGION_CODES_PM25,세종,13102128219A.4200017
REGION_CODES_PM25,경기,13102128219A.4200050
REGION_CODES_PM25,강원,13102128219A.4200058
REGION_CODES_PM25,충북,13102128219A.4200081
REGION_CODES_PM25,충남,13102128219A.4200101
REGION_CODES_PM25,전북,13102128219A.4200115
REGION_CODES_PM25,전남,13102128219A.4200128
REGION_CODES_PM25,경북,13102128219A.4200152
REGION_CODES_PM25,경남,13102128219A.4200179
REGION_CODES_PM25,제주,13102128219A.4200192
REGION_CODES_PM10,전국,13102128237A.4100001
REGION_CODES_PM10,서울,13102128237A.4200003
REGION_CODES_PM10,부산,13102128237A.4200005
REGION_CODES_PM10,대구,13102128237A.4200007
REGION_CODES_PM10,인천,13102128237A.4200009
REGION_CODES_PM10,광주,13102128237A.4200011
REGION_CODES_PM10,대전,13102128237A.4200013
REGION_CODES_PM10,울산,13102128237A.4200015
REGION_CODES_PM10,세종,13102128237A.4200017
REGION_CODES_PM10,경기,13102128237A.4200050
REGION_CODES_PM10,강원,13102128237A.4200058
REGION_CODES_PM10,충북,13102128237A.4200081
REGION_CODES_PM10,충남,13102128237A.4200101
REGION_CODES_PM10,전북,13102128237A.4200115
REGION_CODES_PM10,전남,13102128237A.4200128
REGION_CODES_PM10,경북,13102128237A.4200152
REGION_CODES_PM10,경남,13102128237A.4200179
REGION_CODES_PM10,제주,13102128237A.4200192
