claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_measurement_period,period_alignment_status,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,in_ready,mapping_exclusion_code,mapping_exclusion_reason,mapping_gate,mapping_gate_reason,enrichment_actions
A0004-SPA7D22E3B0B,A0004-SPA7D22E3B0B-m1,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.,2025년 한국 산업 현장의 주역이 로봇이란 말이 과언이 아닐 정도다.,이미 우리나라는 로봇 밀도(공장 직원 한 명당 로봇수) 전 세계 1위 국가인 것이다.,국내공식통계,N,생산·산업,로봇 밀도,"국제로봇연맹, IFR, 직원, 로봇, 공장, 1만명당, 1012대, 싱가포르, 중국, 전 세계 평균, 162대",-,-,-,,-,-,-,2023,-,Y,확정,1만명당 로봇 1012대,KOSIS_VALUE,hcx,로봇 밀도,-,2023,Y,hcx,현재값,1012,-,-,N,대,수준값,-,전년,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,로봇 밀도,,2023,Y,2023,,대,대,count,count,unspecified,,Y,Y,,,READY,ELIGIBLE,
A0004-SPEFA6291F73,A0004-SPEFA6291F73-m1,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.,싱가포르와 중국이 그 뒤를 이었다.,"대기업뿐 아니라, 중견·중소기업 제조업 현장에서도 로봇은 이제 각종 공정을 해결하는 ‘필요 조건’이다.",국내공식통계,N,생산·산업,로봇 밀도,"로봇 밀도, 직원, 공장",-,-,-,,-,-,-,2023,-,Y,확정,1만명당 162대,KOSIS_VALUE,hcx,로봇 밀도,-,2023,Y,hcx,현재값,162,-,-,N,대,수준값,-,전년,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.,high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,로봇 밀도,,2023,Y,2023,,대,대,count,count,unspecified,,Y,Y,,,READY,ELIGIBLE,
A0004-SP5B2108834A,A0004-SP5B2108834A-m2,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",◇로봇 밀도 1위의 나라 로봇 밀도는 그 나라의 제조업이 얼마나 자동화됐는지 평가하는 기본 지표로 여겨진다.,국제로봇연맹 다카유키 이토 회장은 “강력한 자동차 산업과 세계적으로 유명한 전자제품 부문을 보유한 한국은 산업용 로봇을 가장 많이 사용하는 국가”라고 한 것도 이 때문이다.,국내공식통계,Y,생산·산업,로봇 밀도 증가율,"로봇 밀도, 제조업, 자동화",-,-,-,,-,-,-,2018,-,Y,확정,5%,KOSIS_VALUE,hcx,로봇 밀도 증가율,-,2018,Y,hcx,증감률,5,-,-,N,%,증감률,증가,전년동월,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",high,Y,measurement_period_ungrounded:1,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,로봇 밀도,,2025,Y,2018,,%,%,rate,rate_change,unspecified,2017,Y,Y,,,READY,ELIGIBLE,
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,경기도 파주의 한 소규모 도서물류 업체 관계자는 “물류 현장에서 각종 사고를 예방하기 위해 허리나 허벅지에 차면 근력을 올려주는 웨어러블 로봇 7대를 구입해 사용하고 있다”고 했다.,진흥원 관계자는 “아직 2024년 조사 결과가 나오진 않았지만 지난 3년보다 더 많은 증가율을 보였을 것으로 추정한다”고 했다.,국내공식통계,N,무역,로봇화에 뛰어든 기업의 수,"로봇화, 기업, 한국로봇산업진흥원",-,-,-,,-,-,-,2019,-,Y,확정,13%가량,KOSIS_VALUE,hcx,로봇화에 뛰어든 기업의 수,-,2019,Y,hcx,증감률,13,-,-,Y,%,증감률,증가,전년,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,로봇화에 뛰어든 기업의 수,,2023,Y,2019,,%,%,rate,rate_change,organization,2018,Y,Y,,,READY,ELIGIBLE,
A0005-SP4D2596C117,A0005-SP4D2596C117-m1,A0005,"정부, 美 ‘CES 2025′에 역대 최대 통합한국관 운영",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2LIJLNBNSNANXCA6WLEDQ7A74A,"분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",통합한국관 주요 전시,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",국내공식통계,N,소매·소비,전시 분야 비중,"통합한국관, CES 2025, 생활가전, 디지털헬스, 인공지능, 스마트홈",-,-,-,생활가전,-,-,-,2025,-,Y,확정,생활가전(18%),KOSIS_VALUE,hcx,전시 분야 비중,생활가전,2025,Y,hcx,현재값,18,-,-,N,%,비중,-,전년,"[검증 대상 문장] 통합한국관 주요 전시 분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,전시 분야 비중,,2025,Y,2025,,%,%,rate,level,item,,Y,Y,,,READY,ELIGIBLE,
A0005-SP4D2596C117,A0005-SP4D2596C117-m2,A0005,"정부, 美 ‘CES 2025′에 역대 최대 통합한국관 운영",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2LIJLNBNSNANXCA6WLEDQ7A74A,"분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",통합한국관 주요 전시,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",국내공식통계,N,소매·소비,전시 분야 비중,"통합한국관, CES 2025, 생활가전, 디지털헬스, 인공지능, 스마트홈",-,-,-,디지털헬스,-,-,-,2025,-,Y,확정,디지털헬스(17%),KOSIS_VALUE,hcx,전시 분야 비중,디지털헬스,2025,Y,hcx,현재값,17,-,-,N,%,비중,-,전년,"[검증 대상 문장] 통합한국관 주요 전시 분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,전시 분야 비중,,2025,Y,2025,,%,%,rate,level,item,,Y,Y,,,READY,ELIGIBLE,
A0005-SP4D2596C117,A0005-SP4D2596C117-m3,A0005,"정부, 美 ‘CES 2025′에 역대 최대 통합한국관 운영",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2LIJLNBNSNANXCA6WLEDQ7A74A,"분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",통합한국관 주요 전시,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",국내공식통계,N,소매·소비,전시 분야 비중,"통합한국관, CES 2025, 생활가전, 디지털헬스, 인공지능, 스마트홈",-,-,-,인공지능,-,-,-,2025,-,Y,확정,인공지능(16%),KOSIS_VALUE,hcx,전시 분야 비중,인공지능,2025,Y,hcx,현재값,16,-,-,N,%,비중,-,전년,"[검증 대상 문장] 통합한국관 주요 전시 분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,전시 분야 비중,,2025,Y,2025,,%,%,rate,level,item,,Y,Y,,,READY,ELIGIBLE,
A0005-SP4D2596C117,A0005-SP4D2596C117-m4,A0005,"정부, 美 ‘CES 2025′에 역대 최대 통합한국관 운영",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2LIJLNBNSNANXCA6WLEDQ7A74A,"분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",통합한국관 주요 전시,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",국내공식통계,N,소매·소비,전시 분야 비중,"통합한국관, CES 2025, 생활가전, 디지털헬스, 인공지능, 스마트홈",-,-,-,스마트 홈,-,-,-,2025,-,Y,확정,스마트 홈(12%),KOSIS_VALUE,hcx,전시 분야 비중,스마트 홈,2025,Y,hcx,현재값,12,-,-,N,%,비중,-,전년,"[검증 대상 문장] 통합한국관 주요 전시 분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,전시 분야 비중,,2025,Y,2025,,%,%,rate,level,item,,Y,Y,,,READY,ELIGIBLE,
A0006-SP382DCE21AF,A0006-SP382DCE21AF-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,-,"이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",국내공식통계,N,무역,수출액,"수출, 역대 최대, 달러, 경신",-,-,-,,-,-,-,2024,-,Y,확정,6838억 달러,KOSIS_VALUE,hcx,수출액,-,2024,Y,hcx,현재값,683800000000,-,-,N,달러,수준값,증가,전년,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,,2024,Y,2024,,달러,달러,currency,amount,unspecified,,Y,Y,,,READY,ELIGIBLE,
A0006-SP454B0C203E,A0006-SP454B0C203E-m3,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,국내공식통계,Y,무역,수출증가율,"수출, WTO, 순위, 증가율",-,-,-,,-,-,-,2024,-,Y,확정,+9.6%,KOSIS_VALUE,hcx,수출증가율,-,2024,Y,hcx,증감률,9.6,-,-,N,%,증감률,증가,전년,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,,2024,Y,2024,,%,%,rate,rate_change,unspecified,2023,Y,Y,,,READY,ELIGIBLE,
