claim_id,claim_measurement_id,indicator,metric_domain,industry_or_item,value,unit,raw_unit,unit_dimension,semantic_type,entity_type,value_type,measurement_role,measurement_usage,period,prd_se,change_base,comparison_period,candidate_rank,candidate_score,candidate_runner_up_score,candidate_status,candidate_status_code,candidate_status_reason,candidate_hits,retrieval_backend,lexical_score,lexical_eligible,semantic_score,reranker_score,fusion_score,table_override_rule,mapping_override_rule,org_id,tbl_id,tbl_name,stat_id,category_path,meta_candidates,selected_itm_id,selected_itm_name,selected_itm_unit,selected_itm_score,selected_obj_l1_axis_id,selected_obj_l1_axis_name,selected_obj_l1,selected_obj_l1_name,selected_obj_l1_score,selected_obj_l2_axis_id,selected_obj_l2_axis_name,selected_obj_l2,selected_obj_l2_name,selected_obj_l2_score,selected_obj_l3_axis_id,selected_obj_l3_axis_name,selected_obj_l3,selected_obj_l3_name,selected_obj_l3_score,selected_obj_l4_axis_id,selected_obj_l4_axis_name,selected_obj_l4,selected_obj_l4_name,selected_obj_l4_score,selected_obj_l5_axis_id,selected_obj_l5_axis_name,selected_obj_l5,selected_obj_l5_name,selected_obj_l5_score,selected_obj_l6_axis_id,selected_obj_l6_axis_name,selected_obj_l6,selected_obj_l6_name,selected_obj_l6_score,selected_obj_l7_axis_id,selected_obj_l7_axis_name,selected_obj_l7,selected_obj_l7_name,selected_obj_l7_score,selected_obj_l8_axis_id,selected_obj_l8_axis_name,selected_obj_l8,selected_obj_l8_name,selected_obj_l8_score,selected_code_status,mapping_type,unit_compatibility_reason,claim_text
A0004-SPA7D22E3B0B,A0004-SPA7D22E3B0B-m1,로봇 밀도,생산·산업,-,1012,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,1,662,589,TABLE_ONLY,META_NOT_LOADED,통계표 메타 조회 전 후보,"로봇,2023년",hybrid+reranker,169,Y,0.6669903993606567,0.40745124220848083,0.7990196078431372,,,164,DT_164004_2023029,지능형 기기 이용 빈도_지능형 로봇,2022035,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.
A0004-SPA7D22E3B0B,A0004-SPA7D22E3B0B-m1,로봇 밀도,생산·산업,-,1012,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,2,589,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,2023년",hybrid+reranker,169,Y,0.6526831388473511,0.2747403681278229,0.758237716975581,,,164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,2022035,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.
A0004-SPA7D22E3B0B,A0004-SPA7D22E3B0B-m1,로봇 밀도,생산·산업,-,1012,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,3,533,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,2023년",hybrid+reranker,169,Y,0.6355192065238953,0.3041450083255768,0.6563644688644689,,,164,DT_164004_2023041,지능형 기기에 대한 기대 수준_지능형 로봇,2022035,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.
A0004-SPA7D22E3B0B,A0004-SPA7D22E3B0B-m1,로봇 밀도,생산·산업,-,1012,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,4,491,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,2023년",hybrid+reranker,169,Y,0.6204703450202942,0.22953522205352783,0.6321413230240549,,,395,DT_395N_S2022268,디지털 신기술별 중요도: 로봇공학,2003024,한국기업혁신조사 > 2023년도 조사(서비스 부문) > 디지털전환 > 디지털 신기술별 중요도,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.
A0004-SPA7D22E3B0B,A0004-SPA7D22E3B0B-m1,로봇 밀도,생산·산업,-,1012,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,5,458,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업,생산,제조업",hybrid+reranker,256,Y,,0.38133475184440613,0.5,,,401,DT_373002_001,"제조업용 로봇 생산 현황_기계구조, 적용산업별",2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.
A0004-SPEFA6291F73,A0004-SPEFA6291F73-m1,로봇 밀도,생산·산업,-,162,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,1,598,586,TABLE_ONLY,META_NOT_LOADED,통계표 메타 조회 전 후보,"로봇,산업",hybrid+reranker,212,Y,0.613266110420227,0.15040279924869537,0.8395550527903468,,,401,DT_401N_008,로봇산업 분야 직무별 종사자 수,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.
A0004-SPEFA6291F73,A0004-SPEFA6291F73-m1,로봇 밀도,생산·산업,-,162,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,2,586,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",hybrid+reranker,212,Y,0.6226906776428223,0.13318955898284912,0.8302777777777778,,,401,DT_401001_007,로봇산업 인력 현황(전체),2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.
A0004-SPEFA6291F73,A0004-SPEFA6291F73-m1,로봇 밀도,생산·산업,-,162,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,3,566,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,공장",hybrid+reranker,170,Y,0.6126980781555176,0.29624688625335693,0.7105440344734716,,,336,DT_336003N_ICT_004,전체 자동화 설비 중 제조용 로봇의 비율,2006021,사업체패널조사 > 자동차와 스마트공장,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.
A0004-SPEFA6291F73,A0004-SPEFA6291F73-m1,로봇 밀도,생산·산업,-,162,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,4,555,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",hybrid+reranker,188,Y,0.611078143119812,0.20260091125965118,0.744345238095238,,,401,DT_401N_017,로봇관련 연구개발 실적,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.
A0004-SPEFA6291F73,A0004-SPEFA6291F73-m1,로봇 밀도,생산·산업,-,162,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,5,537,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",hybrid+reranker,212,Y,0.6135406494140625,0.0616496242582798,0.7923414304993252,,,401,DT_373002_005,로봇산업 직무별 인력 현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.
