claim_id,claim_measurement_id,indicator,metric_domain,industry_or_item,value,unit,raw_unit,unit_dimension,semantic_type,entity_type,value_type,measurement_role,measurement_usage,period,prd_se,change_base,comparison_period,candidate_rank,candidate_score,candidate_runner_up_score,table_prd_se_list,candidate_status,candidate_status_code,candidate_status_reason,candidate_hits,retrieval_backend,lexical_score,lexical_eligible,semantic_score,reranker_score,fusion_score,table_override_rule,mapping_override_rule,org_id,tbl_id,tbl_name,stat_id,category_path,meta_candidates,selected_itm_id,selected_itm_name,selected_itm_unit,selected_itm_score,selected_obj_l1_axis_id,selected_obj_l1_axis_name,selected_obj_l1,selected_obj_l1_name,selected_obj_l1_score,selected_obj_l2_axis_id,selected_obj_l2_axis_name,selected_obj_l2,selected_obj_l2_name,selected_obj_l2_score,selected_obj_l3_axis_id,selected_obj_l3_axis_name,selected_obj_l3,selected_obj_l3_name,selected_obj_l3_score,selected_obj_l4_axis_id,selected_obj_l4_axis_name,selected_obj_l4,selected_obj_l4_name,selected_obj_l4_score,selected_obj_l5_axis_id,selected_obj_l5_axis_name,selected_obj_l5,selected_obj_l5_name,selected_obj_l5_score,selected_obj_l6_axis_id,selected_obj_l6_axis_name,selected_obj_l6,selected_obj_l6_name,selected_obj_l6_score,selected_obj_l7_axis_id,selected_obj_l7_axis_name,selected_obj_l7,selected_obj_l7_name,selected_obj_l7_score,selected_obj_l8_axis_id,selected_obj_l8_axis_name,selected_obj_l8,selected_obj_l8_name,selected_obj_l8_score,selected_code_status,mapping_type,unit_compatibility_reason,claim_text
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,1,388,172,,TABLE_ONLY,META_NOT_LOADED,통계표 메타 조회 전 후보,"로봇,산업",lexical,388,Y,,,,,,401,DT_401001_005,사업체 수,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,2,172,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"전체,로봇",lexical,172,Y,,,,,,336,DT_336003N_ICT_004,전체 자동화 설비 중 제조용 로봇의 비율,2006021,사업체패널조사 > 자동차와 스마트공장,특성별:전체[C01]/item=N/score=12,,,,,C,특성별,C01,전체,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,3,166,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,기업,제조업",lexical,166,Y,,,,,,395,DT_395N_I2021277,디지털 신기술별 도입 여부: 로봇공학,2003024,한국기업혁신조사 > 2022년도 조사(제조업 부문) > 디지털전환 > 디지털 신기술별 도입 여부,구분별:R＆D활동(전체)[007002]/item=N/score=12 | 구분별:대기업[005004]/item=N/score=12 | 구분별:소기업[005001]/item=N/score=12 | 구분별:전체[001]/item=N/score=12 | 구분별:중견기업[005003]/item=N/score=12 | 구분별:중기업[005002]/item=N/score=12 | 구분별:1차 금속 제조업[002014]/item=N/score=6 | 구분별:가구 제조업[002022]/item=N/score=6,,,,,A,구분별,001,전체,7,B,도입여부별,001,계,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,4,166,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,기업,제조업",lexical,166,Y,,,,,,395,DT_395N_I2021268,디지털 신기술별 중요도: 로봇공학,2003024,한국기업혁신조사 > 2022년도 조사(제조업 부문) > 디지털전환 > 디지털 신기술별 중요도,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,5,164,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,164,Y,,,,,,401,DT_401001_001,로봇산업 매출 현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,6,164,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,164,Y,,,,,,401,DT_401N_012,로봇산업 부문별 지적재산권 현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,7,164,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,164,Y,,,,,,401,DT_373002_003,로봇산업 설비 투자 계획,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,8,164,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,164,Y,,,,,,401,DT_401N_016,로봇산업 설비 투자액,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,9,164,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,164,Y,,,,,,401,DT_401N_015,로봇산업 설비투자 현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,10,164,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,164,Y,,,,,,401,DT_401N_01701,로봇산업 연구개발 실적,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
