claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_measurement_period,period_alignment_status,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,in_ready,mapping_exclusion_code,mapping_exclusion_reason,mapping_gate,mapping_gate_reason,enrichment_actions,scope_gate_code,scope_gate_reason,scope_gate_severity,scope_gate_blocked,scope_gate_propagated,article_source_hint,dropped_item,item_ungrounded
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,경기도 파주의 한 소규모 도서물류 업체 관계자는 “물류 현장에서 각종 사고를 예방하기 위해 허리나 허벅지에 차면 근력을 올려주는 웨어러블 로봇 7대를 구입해 사용하고 있다”고 했다.,진흥원 관계자는 “아직 2024년 조사 결과가 나오진 않았지만 지난 3년보다 더 많은 증가율을 보였을 것으로 추정한다”고 했다.,국내공식통계,N,무역,로봇화에 뛰어든 기업의 수,"로봇화, 기업, 한국로봇산업진흥원",-,-,-,,-,-,-,2019,-,Y,확정,13%가량,KOSIS_VALUE,hcx,로봇화에 뛰어든 기업의 수,-,2019,Y,hcx,증감률,13,-,-,Y,%,증감률,증가,전년,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,로봇화에 뛰어든 기업의 수,,2023,Y,2019,,%,%,rate,rate_change,organization,2018,Y,Y,,,READY,ELIGIBLE,,,'국제로봇연맹' 발표 수치 — KOSIS 미수록 국제기구 통계 (같은 기사의 다른 문장 출처 — 이 문장은 자체 출처가 있다),REVIEW,N,Y,FOREIGN_ORG_SOURCE,,
A0005-SP4D2596C117,A0005-SP4D2596C117-m1,A0005,"정부, 美 ‘CES 2025′에 역대 최대 통합한국관 운영",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2LIJLNBNSNANXCA6WLEDQ7A74A,"분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",통합한국관 주요 전시,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",국내공식통계,N,소매·소비,전시 분야 비중,"통합한국관, CES 2025, 생활가전, 디지털헬스, 인공지능, 스마트홈",-,-,-,생활가전,-,-,-,2025,-,Y,확정,생활가전(18%),KOSIS_VALUE,hcx,전시 분야 비중,생활가전,2025,Y,hcx,현재값,18,-,-,N,%,비중,-,전년,"[검증 대상 문장] 통합한국관 주요 전시 분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,전시 분야 비중,,2025,Y,2025,,%,%,rate,level,item,,Y,Y,,,READY,ELIGIBLE,,,,,N,N,,,
A0005-SP4D2596C117,A0005-SP4D2596C117-m2,A0005,"정부, 美 ‘CES 2025′에 역대 최대 통합한국관 운영",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2LIJLNBNSNANXCA6WLEDQ7A74A,"분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",통합한국관 주요 전시,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",국내공식통계,N,소매·소비,전시 분야 비중,"통합한국관, CES 2025, 생활가전, 디지털헬스, 인공지능, 스마트홈",-,-,-,디지털헬스,-,-,-,2025,-,Y,확정,디지털헬스(17%),KOSIS_VALUE,hcx,전시 분야 비중,디지털헬스,2025,Y,hcx,현재값,17,-,-,N,%,비중,-,전년,"[검증 대상 문장] 통합한국관 주요 전시 분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,전시 분야 비중,,2025,Y,2025,,%,%,rate,level,item,,Y,Y,,,READY,ELIGIBLE,,,,,N,N,,,
A0005-SP4D2596C117,A0005-SP4D2596C117-m3,A0005,"정부, 美 ‘CES 2025′에 역대 최대 통합한국관 운영",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2LIJLNBNSNANXCA6WLEDQ7A74A,"분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",통합한국관 주요 전시,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",국내공식통계,N,소매·소비,전시 분야 비중,"통합한국관, CES 2025, 생활가전, 디지털헬스, 인공지능, 스마트홈",-,-,-,인공지능,-,-,-,2025,-,Y,확정,인공지능(16%),KOSIS_VALUE,hcx,전시 분야 비중,인공지능,2025,Y,hcx,현재값,16,-,-,N,%,비중,-,전년,"[검증 대상 문장] 통합한국관 주요 전시 분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,전시 분야 비중,,2025,Y,2025,,%,%,rate,level,item,,Y,Y,,,READY,ELIGIBLE,,,,,N,N,,,
A0005-SP4D2596C117,A0005-SP4D2596C117-m4,A0005,"정부, 美 ‘CES 2025′에 역대 최대 통합한국관 운영",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2LIJLNBNSNANXCA6WLEDQ7A74A,"분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",통합한국관 주요 전시,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",국내공식통계,N,소매·소비,전시 분야 비중,"통합한국관, CES 2025, 생활가전, 디지털헬스, 인공지능, 스마트홈",-,-,-,스마트 홈,-,-,-,2025,-,Y,확정,스마트 홈(12%),KOSIS_VALUE,hcx,전시 분야 비중,스마트 홈,2025,Y,hcx,현재값,12,-,-,N,%,비중,-,전년,"[검증 대상 문장] 통합한국관 주요 전시 분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,전시 분야 비중,,2025,Y,2025,,%,%,rate,level,item,,Y,Y,,,READY,ELIGIBLE,,,,,N,N,,,
A0006-SP382DCE21AF,A0006-SP382DCE21AF-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,-,"이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",국내공식통계,N,무역,수출액,"수출, 역대 최대, 달러, 경신",-,-,-,,-,-,-,2024,-,Y,확정,6838억 달러,KOSIS_VALUE,hcx,수출액,-,2024,Y,hcx,현재값,683800000000,-,-,N,달러,수준값,증가,전년,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,,2024,Y,2024,,달러,달러,currency,amount,unspecified,,Y,Y,,,READY,ELIGIBLE,,,,,N,N,,,
A0006-SP454B0C203E,A0006-SP454B0C203E-m3,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,국내공식통계,Y,무역,수출증가율,"수출, WTO, 순위, 증가율",-,-,-,,-,-,-,2024,-,Y,확정,+9.6%,KOSIS_VALUE,hcx,수출증가율,-,2024,Y,hcx,증감률,9.6,-,-,N,%,증감률,증가,전년,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,,2024,Y,2024,,%,%,rate,rate_change,unspecified,2023,Y,Y,,,READY,ELIGIBLE,,GLOBAL_COMPARISON,세계 비교 문맥(전 세계) — 대상이 국내 통계인지 확인 필요,REVIEW,N,N,,,
A0006-SP454B0C203E,A0006-SP454B0C203E-m4,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,국내공식통계,Y,무역,상위 수출국,"수출, WTO, 순위, 증가율",-,-,-,,-,-,-,2024,-,Y,확정,10대,KOSIS_VALUE,hcx,상위 수출국,-,2024,Y,hcx,현재값,10,-,-,N,대,수준값,증가,전년,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,,2024,Y,2024,,대,대,count,count,unspecified,,Y,Y,,,READY,ELIGIBLE,,GLOBAL_COMPARISON,세계 비교 문맥(전 세계) — 대상이 국내 통계인지 확인 필요,REVIEW,N,N,,,
A0006-SPBCB2234D20,A0006-SPBCB2234D20-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.,국내공식통계,N,무역,전체 수입 증감률,"수입, 증감률, 무역수지",-,-,-,,-,-,-,2024,-,Y,확정,1.6%,KOSIS_VALUE,hcx,전체 수입 증감률,-,2024,Y,hcx,증감률,1.6,-,-,N,%,증감률,감소,전년,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,전체 수입 증감률,,2024,Y,2024,,%,%,rate,rate_change,unspecified,2023,Y,Y,,,READY,ELIGIBLE,,,,,N,N,,,
A0006-SP9282109973,A0006-SP9282109973-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.",국내공식통계,N,무역,반도체 수출 증감률,"반도체, 자동차, 바이오, 농수산, 화장품",-,-,-,반도체,-,-,-,2024,-,Y,확정,43.9%,KOSIS_VALUE,hcx,반도체 수출 증감률,반도체,2024,Y,hcx,증감률,43.9,-,-,N,%,증감률,증가,전년,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,"반도체, 자동차, 바이오, 농수산, 화장품",2024,Y,2024,,%,%,rate,rate_change,vehicle,2023,Y,Y,,,READY,ELIGIBLE,,,,,N,N,,,
