claim_measurement_id,gold_tbl_id,gold_itm_id,gold_obj_l1,gold_obj_l2,gold_obj_l3,gold_grade,gold_confirmed,gold_evidence,alternate_count,gold_confirmed_by,gold_note,claim_text,value,unit,period
A0006-SP270B11DBD0-m1,DT_092_115_2009_S023,13103131003T1,13102131003A.AF11100000,,,VALUE_REPRODUCED,Y,"실버 SILVER_UNIQUE (KOSIS 값 재현, 후보 12개 조회)",1,,,12월 수출도 한국의 최대 수출 품목인 반도체가 31.5% 증가한 145억 달러를 기록하며 호실적을 이끌었다.,31.5,%,202412
A0006-SP270B11DBD0-m2,DT_092_115_2009_S023,13103131003T1,13102131003A.AF11100000,,,VALUE_REPRODUCED,Y,"실버 SILVER_UNIQUE (KOSIS 값 재현, 후보 12개 조회)",1,,,12월 수출도 한국의 최대 수출 품목인 반도체가 31.5% 증가한 145억 달러를 기록하며 호실적을 이끌었다.,14500000000,달러,202412
A0006-SP382DCE21AF-m1,DT_1R11006_FRM101|DT_1R11001_FRM101,13103103829T1|13103112831T1,13102103829E.00|13102112831A.A,,,VALUE_REPRODUCED_ALT,Y,"실버 SILVER_AMBIGUOUS (KOSIS 값 재현, 후보 11개 조회)",2,,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,683800000000,달러,2024
A0006-SP9282109973-m2,DT_127005_005,T001,A020101,,,VALUE_REPRODUCED,Y,"실버 SILVER_UNIQUE (KOSIS 값 재현, 후보 12개 조회)",1,,,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",141900000000,달러,2024
A0006-SP9461F3F4FE-m2,DT_1R11006_FRM101|DT_1R11001_FRM101,13103103829T1|13103112831T1,13102103829E.00|13102112831A.A,,,VALUE_REPRODUCED_ALT,Y,"실버 SILVER_AMBIGUOUS (KOSIS 값 재현, 후보 12개 조회)",2,,,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,6.6,%,2024
A0006-SPA4FBC97BC2-m5,DT_145011_A006,T002,DATA,,,VALUE_REPRODUCED,Y,"실버 SILVER_UNIQUE (KOSIS 값 재현, 후보 11개 조회)",1,,,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대",10200000000,달러,2024
A0018-SP2F67F9842A-m1,DT_127005_005,T001,A020101,,,VALUE_REPRODUCED,Y,"실버 SILVER_UNIQUE (KOSIS 값 재현, 후보 12개 조회)",1,,,주력 수출 품목인 반도체 수출액이 1419억달러로 역대 최대치를 고쳐 쓰면서 수출 증가세를 주도했다.,141900000000,달러,2024
A0018-SP32C9008706-m1,DT_1R11001_FRM101,13103112831T1,13102112831A.A,,,VALUE_REPRODUCED,Y,"실버 SILVER_UNIQUE (KOSIS 값 재현, 후보 12개 조회)",1,,,작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.,683800000000,달러,2024
A0018-SP33EC69A061-m2,DT_1R11001_FRM101|DT_1R11006_FRM101,13103112831T2|13103103829T2,13102112831A.A|13102103829E.00,,,VALUE_REPRODUCED_ALT,Y,"실버 SILVER_AMBIGUOUS (KOSIS 값 재현, 후보 10개 조회)",2,,,"작년 한국의 수입액은 전년보다 1.6% 감소한 6320억달러로, 518억달러의 무역 흑자를 기록했다.",632000000000,달러,2024
A0018-SP6C1F318589-m1,DT_1R11001_FRM101,13103112831T1,13102112831A.A,,,VALUE_REPRODUCED,Y,"실버 SILVER_UNIQUE (KOSIS 값 재현, 후보 8개 조회)",1,,,작년 12월 수출은 613억8000만달러로 1년 전 대비 6.6% 늘어 한 달 전(1.4%)에 비해 오름폭을 키웠다.,61380000000,달러,2024-12
A0018-SP6C1F318589-m2,DT_1R11006_FRM101|DT_1R11001_FRM101,13103103829T1|13103112831T1,13102103829E.00|13102112831A.A,,,VALUE_REPRODUCED_ALT,Y,"실버 SILVER_AMBIGUOUS (KOSIS 값 재현, 후보 10개 조회)",2,,,작년 12월 수출은 613억8000만달러로 1년 전 대비 6.6% 늘어 한 달 전(1.4%)에 비해 오름폭을 키웠다.,6.6,%,2024-12
A0046-SPD2EDAD8C3F-m2,DT_343_2010_S0065,13103792840T1,13102792840A.02,,,VALUE_REPRODUCED,Y,"실버 SILVER_UNIQUE (KOSIS 값 재현, 후보 12개 조회)",1,,,"반면에 코스피지수와 코스닥지수는 연초보다 각각 9.9%, 21.7% 하락한 채 장을 마쳤다.",21.7,%,2024
