"org_id","tbl_id","tbl_name"
"401","DT_401001_005","사업체 수"
"395","DT_395N_I2021268","디지털 신기술별 중요도: 로봇공학"
"401","DT_401001_001","로봇산업 매출 현황"
"401","DT_401N_012","로봇산업 부문별 지적재산권 현황"
"401","DT_373002_003","로봇산업 설비 투자 계획"
"401","DT_401N_016","로봇산업 설비 투자액"
"401","DT_401N_015","로봇산업 설비투자 현황"
"401","DT_401N_01701","로봇산업 연구개발 실적"
"145","DT_145013_035","의료용 마약류 연간 수출실적"
"113","DT_113_STBL_1027295","광고산업 : 수출 및 수입액 현황(연도별)"
"127","DT_AAA0001_S10502","연도별 기술무역 추이"
"145","DT_145013_034","의료용 마약류 연간 수입실적"
"127","TX_10506_A097","핵종별 연도별 밀봉 RI 이용량(수입+생산)추이"
"127","TX_10506_A096","핵종별 연도별 주요 비밀봉 RI사용(수입+생산)량 추이"
"183","DT_127001_2025A006","연도별 수출입현황"
"183","DT_127001_2025B009","연도별 수출입 현황 (기업체)"
"145","DT_145_2012_H005","품목별(중량기준, 상위 20개) 수입신고 현황"
"434","DT_434_STBL_1028692","게임기기 품목별 수출입 실적"
"434","DT_434_STBL_1028682","공예품 품목별 수출입 실적"
"434","DT_434_STBL_1028678","레저용품 품목별 수출입 실적"
"434","DT_434_STBL_1028690","미술용품 품목별 수출입 실적"
"301","DT_401Y017","수입물가지수(품목별)"
"301","DT_402Y016","수출물가지수(품목별)"
"142","DT_12029","주요 수출 국가(1+2+3순위, 상위 6위)"
"115","DT_14217M_254","주요수출 국가 1+2+3+4+5순위(상위 14개)"
"145","DT_145009_033","완제의약품 수출액 상위 10개 품목 현황(수출실적 보고의무자)-연도별"
"145","DT_145009_012","완제의약품 수출액 상위 10개 품목 현황-연도별"
"145","DT_145009_018","완제의약품·원료의약품 수출액 상위 10개국 현황"
"145","DT_145009_034","원료의약품 수출액 상위 10개 품목 현황(수출실적 보고의무자)-연도별"
"145","DT_145009_013","원료의약품 수출액 상위 10개 품목 현황-연도별"
"339","DT_F_Y160","에너지 수입액"
"115","TX_115_2009_H1180","당해연도 신규 기술료 수입액(기술이전 거래 유형별)"
"115","TX_115_2009_H1177","당해연도 신규 기술이전 계약체결 기술료 수입액"
"115","DT_115040_23","연간 총 수입액"
"145","DT_145014_013","위생용품 생산·수출·수입액 무역수지, 시장규모"
"145","DT_14508_007","의료기기 생산·수출·수입액, 무역수지, 시장규모"
"301","DT_304Y107","지식재산권 무역수지(유형별)"
"434","DT_434_STBL_1028676","스포츠용품 품목별 수출입 실적"
"134","DT_13405_004","품목별 FTA 수입활용률"
"134","DT_13405_003","품목별 FTA 수출활용률"
"134","DT_134006_N012","품목별 고성장·가젤기업 수출현황"
"101","DT_1FP1116B","임가공품목별 사업체수 및 수입액(10명 이상, 2023년)"
"101","DT_1FP1022B","임가공품목별 사업체수 및 수입액(10인 이상, 2022년)"
"463","DT_FS463001_A056","자동차튜닝 관련 해외수출액"
"115","DT_115042_25_045","자동차 부품 수출계획 관련 애로사항"
"101","DT_1F02012","품목별 광공업 생산·출하·재고·내수·수출량"
