claim_id,claim_measurement_id,indicator,metric_domain,industry_or_item,value,unit,raw_unit,unit_dimension,semantic_type,entity_type,value_type,measurement_role,measurement_usage,period,prd_se,change_base,comparison_period,candidate_rank,candidate_score,candidate_runner_up_score,table_prd_se_list,candidate_status,candidate_status_code,candidate_status_reason,candidate_hits,retrieval_backend,lexical_score,lexical_eligible,semantic_score,reranker_score,fusion_score,table_override_rule,mapping_override_rule,org_id,tbl_id,tbl_name,stat_id,category_path,meta_candidates,selected_itm_id,selected_itm_name,selected_itm_unit,selected_itm_score,selected_obj_l1_axis_id,selected_obj_l1_axis_name,selected_obj_l1,selected_obj_l1_name,selected_obj_l1_score,selected_obj_l2_axis_id,selected_obj_l2_axis_name,selected_obj_l2,selected_obj_l2_name,selected_obj_l2_score,selected_obj_l3_axis_id,selected_obj_l3_axis_name,selected_obj_l3,selected_obj_l3_name,selected_obj_l3_score,selected_obj_l4_axis_id,selected_obj_l4_axis_name,selected_obj_l4,selected_obj_l4_name,selected_obj_l4_score,selected_obj_l5_axis_id,selected_obj_l5_axis_name,selected_obj_l5,selected_obj_l5_name,selected_obj_l5_score,selected_obj_l6_axis_id,selected_obj_l6_axis_name,selected_obj_l6,selected_obj_l6_name,selected_obj_l6_score,selected_obj_l7_axis_id,selected_obj_l7_axis_name,selected_obj_l7,selected_obj_l7_name,selected_obj_l7_score,selected_obj_l8_axis_id,selected_obj_l8_axis_name,selected_obj_l8,selected_obj_l8_name,selected_obj_l8_score,selected_code_status,mapping_type,unit_compatibility_reason,claim_text,candidate_itm_ids,candidate_obj_combinations,attempted_combination_count,api_valid_combination_count,api_error_count,empty_response_count,mapping_status,mapping_confidence,mapping_reason,selected_combination,candidate_count,item_meta_valid,obj_meta_valid,response_code_valid,unit_valid,period_valid,default_reason,default_risk,semantic_gate_valid,semantic_gate_reason,semantic_gate_details,ready_path
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,1,388,172,Y,REVIEW,POPULATION_DEFINITION_MISMATCH,로봇 도입 기업과 로봇산업 사업체는 모집단 정의가 다름,"로봇,산업",lexical,388.0,Y,,,,,,401,DT_401001_005,사업체 수,2006203,로봇산업실태조사,특성별:전체[A00]/item=N/score=12 | 특성별:제조업용 로봇[A01]/item=N/score=10 | 특성별:개인서비스용 로봇[A03]/item=N/score=4 | 특성별:로봇 서비스[A07]/item=N/score=4 | 특성별:로봇 시스템[A05]/item=N/score=4 | 특성별:로봇 임베디드[A06]/item=N/score=4 | 특성별:로봇부품 및 소프트웨어[A04]/item=N/score=4 | 특성별:전문서비스용 로봇[A02]/item=N/score=4,T001,사업체수,개,30,A,특성별,A00,전체,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,rate_from_level,KOSIS 수준값에서 증감률 계산 필요,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,"[""T001"", ""T002""]","[{""itm_id"": ""T001"", ""itm_name"": ""사업체수"", ""semantic_score"": 37.0, ""default_fields"": [], ""default_reason"": """", ""default_risk"": ""NONE"", ""objL1"": ""A00"", ""objL1_name"": ""전체"", ""item_meta_valid"": true, ""obj_meta_valid"": true, ""invalid_obj_codes"": [], ""metadata_valid"": true, ""response_code_valid"": true, ""matching_rows"": [{""TBL_ID"": ""DT_401001_005"", ""ORG_ID"": ""401"", ""PRD_SE"": ""A"", ""ITM_NM"": ""사업체수"", ""LST_CHN_DE"": ""2021-04-12"", ""ITM_ID"": ""T001"", ""UNIT_NM"": ""개"", ""C1"": ""A00"", ""DT"": ""4310"", ""UNIT_NM_ENG"": ""EA"", ""C1_NM"": ""전체"", ""PRD_DE"": ""2019"", ""TBL_NM"": ""사업체 수"", ""C1_OBJ_NM"": ""특성별""}], ""response_row_count"": 1, ""unit_valid"": true, ""period_valid"": false, ""unit_unknown"": false, ""available_periods"": [""2019""], ""missing_periods"": [""2018""], ""validation_reason"": ""PERIOD_MISSING""}, {""itm_id"": ""T001"", ""itm_name"": ""사업체수"", ""semantic_score"": 30.375, ""default_fields"": [], ""default_reason"": """", ""default_risk"": ""NONE"", ""objL1"": ""A04"", ""objL1_name"": ""로봇부품 및 소프트웨어"", ""item_meta_valid"": true, ""obj_meta_valid"": true, ""invalid_obj_codes"": [], ""metadata_valid"": true, ""response_code_valid"": true, ""matching_rows"": [{""TBL_ID"": ""DT_401001_005"", ""ORG_ID"": ""401"", ""PRD_SE"": ""A"", ""ITM_NM"": ""사업체수"", ""LST_CHN_DE"": ""2021-04-12"", ""ITM_ID"": ""T001"", ""UNIT_NM"": ""개"", ""C1"": ""A04"", ""DT"": ""1360"", ""UNIT_NM_ENG"": ""EA"", ""C1_NM"": ""로봇부품 및 소프트웨어"", ""PRD_DE"": ""2019"", ""TBL_NM"": ""사업체 수"", ""C1_OBJ_NM"": ""특성별""}], ""response_row_count"": 1, ""unit_valid"": true, ""period_valid"": false, ""unit_unknown"": false, ""available_periods"": [""2019""], ""missing_periods"": [""2018""], ""validation_reason"": ""PERIOD_MISSING""}, {""itm_id"": ""T002"", ""itm_name"": ""비율"", ""semantic_score"": 7.0, ""default_fields"": [], ""default_reason"": """", ""default_risk"": ""NONE"", ""objL1"": ""A00"", ""objL1_name"": ""전체"", ""item_meta_valid"": true, ""obj_meta_valid"": true, ""invalid_obj_codes"": [], ""metadata_valid"": true, ""response_code_valid"": true, ""matching_rows"": [{""TBL_ID"": ""DT_401001_005"", ""ORG_ID"": ""401"", ""PRD_SE"": ""A"", ""ITM_NM"": ""비율"", ""LST_CHN_DE"": ""2023-05-16"", ""ITM_ID"": ""T002"", ""UNIT_NM"": ""%"", ""C1"": ""A00"", ""DT"": ""100"", ""UNIT_NM_ENG"": ""%"", ""C1_NM"": ""전체"", ""PRD_DE"": ""2019"", ""TBL_NM"": ""사업체 수"", ""C1_OBJ_NM"": ""특성별""}], ""response_row_count"": 1, ""unit_valid"": false, ""period_valid"": false, ""unit_unknown"": false, ""available_periods"": [""2019""], ""missing_periods"": [""2018""], ""validation_reason"": ""PERIOD_MISSING""}, {""itm_id"": ""T002"", ""itm_name"": ""비율"", ""semantic_score"": 0.375, ""default_fields"": [], ""default_reason"": """", ""default_risk"": ""NONE"", ""objL1"": ""A04"", ""objL1_name"": ""로봇부품 및 소프트웨어"", ""item_meta_valid"": true, ""obj_meta_valid"": true, ""invalid_obj_codes"": [], ""metadata_valid"": true, ""response_code_valid"": true, ""matching_rows"": [{""TBL_ID"": ""DT_401001_005"", ""ORG_ID"": ""401"", ""PRD_SE"": ""A"", ""ITM_NM"": ""비율"", ""LST_CHN_DE"": ""2023-05-16"", ""ITM_ID"": ""T002"", ""UNIT_NM"": ""%"", ""C1"": ""A04"", ""DT"": ""31.6"", ""UNIT_NM_ENG"": ""%"", ""C1_NM"": ""로봇부품 및 소프트웨어"", ""PRD_DE"": ""2019"", ""TBL_NM"": ""사업체 수"", ""C1_OBJ_NM"": ""특성별""}], ""response_row_count"": 1, ""unit_valid"": false, ""period_valid"": false, ""unit_unknown"": false, ""available_periods"": [""2019""], ""missing_periods"": [""2018""], ""validation_reason"": ""PERIOD_MISSING""}]",4,4,0,0,MAPPING_FAILED,36.65,PERIOD_MISSING,"{""itm_id"": ""T001"", ""itm_name"": ""사업체수"", ""semantic_score"": 37.0, ""default_fields"": [], ""default_reason"": """", ""default_risk"": ""NONE"", ""objL1"": ""A00"", ""objL1_name"": ""전체"", ""item_meta_valid"": true, ""obj_meta_valid"": true, ""invalid_obj_codes"": [], ""metadata_valid"": true, ""response_code_valid"": true, ""matching_rows"": [{""TBL_ID"": ""DT_401001_005"", ""ORG_ID"": ""401"", ""PRD_SE"": ""A"", ""ITM_NM"": ""사업체수"", ""LST_CHN_DE"": ""2021-04-12"", ""ITM_ID"": ""T001"", ""UNIT_NM"": ""개"", ""C1"": ""A00"", ""DT"": ""4310"", ""UNIT_NM_ENG"": ""EA"", ""C1_NM"": ""전체"", ""PRD_DE"": ""2019"", ""TBL_NM"": ""사업체 수"", ""C1_OBJ_NM"": ""특성별""}], ""response_row_count"": 1, ""unit_valid"": true, ""period_valid"": false, ""unit_unknown"": false, ""available_periods"": [""2019""], ""missing_periods"": [""2018""], ""validation_reason"": ""PERIOD_MISSING"", ""api_valid"": true, ""ranking_score"": 36.65, ""final_confidence"": 36.65}",4,True,True,True,True,False,,NONE,True,,,
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,2,172,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"전체,로봇",lexical,172.0,Y,,,,,,336,DT_336003N_ICT_004,전체 자동화 설비 중 제조용 로봇의 비율,2006021,사업체패널조사 > 자동차와 스마트공장,특성별:전체[C01]/item=N/score=12,,,,,C,특성별,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,"[""T001""]","[{""itm_id"": ""T001"", ""itm_name"": ""비율"", ""semantic_score"": 7.0, ""default_fields"": [], ""default_reason"": """", ""default_risk"": ""NONE"", ""objL1"": ""C01"", ""objL1_name"": ""전체"", ""item_meta_valid"": true, ""obj_meta_valid"": true, ""invalid_obj_codes"": [], ""metadata_valid"": true, ""response_code_valid"": false, ""matching_rows"": [], ""response_row_count"": 0, ""unit_valid"": false, ""period_valid"": false, ""unit_unknown"": true, ""available_periods"": [], ""missing_periods"": [""2018"", ""2019""], ""validation_reason"": ""RESPONSE_CODE_MISMATCH""}]",1,0,0,1,MAPPING_FAILED,0.0,EMPTY_RESPONSE,,,False,False,False,False,False,,NONE,True,,,
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,3,166,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,기업,제조업",lexical,166.0,Y,,,,,,395,DT_395N_I2021277,디지털 신기술별 도입 여부: 로봇공학,2003024,한국기업혁신조사 > 2022년도 조사(제조업 부문) > 디지털전환 > 디지털 신기술별 도입 여부,구분별:R＆D활동(전체)[007002]/item=N/score=12 | 구분별:대기업[005004]/item=N/score=12 | 구분별:소기업[005001]/item=N/score=12 | 구분별:전체[001]/item=N/score=12 | 구분별:중견기업[005003]/item=N/score=12 | 구분별:중기업[005002]/item=N/score=12 | 구분별:1차 금속 제조업[002014]/item=N/score=6 | 구분별:가구 제조업[002022]/item=N/score=6,,,,,A,구분별,001,전체,7,B,도입여부별,001,계,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,,,0,0,,,NOT_EVALUATED,,LOW_PRIORITY_CANDIDATE,,,,,,,,,,,,,
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,4,166,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,기업,제조업",lexical,166.0,Y,,,,,,395,DT_395N_I2021268,디지털 신기술별 중요도: 로봇공학,2003024,한국기업혁신조사 > 2022년도 조사(제조업 부문) > 디지털전환 > 디지털 신기술별 중요도,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,,,0,0,,,NOT_EVALUATED,,LOW_PRIORITY_CANDIDATE,,,,,,,,,,,,,
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,5,164,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,164.0,Y,,,,,,401,DT_401001_001,로봇산업 매출 현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,,,0,0,,,NOT_EVALUATED,,LOW_PRIORITY_CANDIDATE,,,,,,,,,,,,,
A0006-SP382DCE21AF,A0006-SP382DCE21AF-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,현재값,KOSIS_VALUE,2024,Y,전년,,1,404,140,M|Q|Y,READY,READY,통계표·ITEM·OBJ·단위 의미 확정,"수출액,품목별,수출,수입,무역",lexical,404.0,Y,,,,,,360,DT_1R11001_FRM101,"품목별 수출액, 수입액",1976045,SITC에의한무역통계,품목별:총액[13102112831A.A]/item=N/score=30 | 항목:수출액[13103112831T1]/item=Y/score=30 | 품목별:기타 우표 또는 수입인지우편요금 별납증지우편엽서[13102112831A.89649]/item=N/score=26 | 품목별:기타(우표 또는 수입인지 우편요금 별납증지  초일봉투 우편엽서(엽서) 및 이와 유사  )[13102112831A.89640]/item=N/score=26 | 품목별:우표 또는 수입인지 우편요금 별납증지  초일봉투 우편엽서(엽서) 및 이와 유사  [13102112831A.8964]/item=N/score=26 | 품목별:우표수입인지 또는 이와 유사한 물품  (우리나라에서 통용 또는 발행된 것  으로서 사[13102112831A.89283]/item=N/score=26 | 품목별:기타 여성 전체 또는 무릎길이 스타킹(면사 67decitex 이하)[13102112831A.84625]/item=N/score=20 | 품목별:동물(어류 제외)의 장 방광이나 위의 전체     또는 단편 [13102112831A.29193]/item=N/score=20,13103112831T1,수출액,천달러,140,13101112831A,품목별,13102112831A.A,총액,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,direct,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,"[""13103112831T1"", ""13103112831T2""]","[{""itm_id"": ""13103112831T1"", ""itm_name"": ""수출액"", ""semantic_score"": 172.0, ""default_fields"": [], ""default_reason"": """", ""default_risk"": ""NONE"", ""objL1"": ""13102112831A.A"", ""objL1_name"": ""총액"", ""item_meta_valid"": true, ""obj_meta_valid"": true, ""invalid_obj_codes"": [], ""metadata_valid"": true, ""response_code_valid"": true, ""matching_rows"": [{""TBL_ID"": ""DT_1R11001_FRM101"", ""ORG_ID"": ""360"", ""ITM_NM_ENG"": ""The amount of export"", ""PRD_SE"": ""A"", ""ITM_NM"": ""수출액"", ""LST_CHN_DE"": ""2025-05-16"", ""ITM_ID"": ""13103112831T1"", ""UNIT_NM"": ""천달러"", ""C1"": ""13102112831A.A"", ""DT"": ""683609488"", ""UNIT_NM_ENG"": ""Thousand Dollar"", ""C1_OBJ_NM_ENG"": ""By SKTC"", ""C1_NM"": ""총액"", ""PRD_DE"": ""2024"", ""TBL_NM"": ""품목별 수출액 수입액"", ""C1_OBJ_NM"": ""품목별""}], ""response_row_count"": 1, ""unit_valid"": true, ""period_valid"": true, ""unit_unknown"": false, ""available_periods"": [""2024""], ""missing_periods"": [], ""validation_reason"": """"}, {""itm_id"": ""13103112831T2"", ""itm_name"": ""수입액"", ""semantic_score"": 32.0, ""default_fields"": [], ""default_reason"": """", ""default_risk"": ""NONE"", ""objL1"": ""13102112831A.A"", ""objL1_name"": ""총액"", ""item_meta_valid"": true, ""obj_meta_valid"": true, ""invalid_obj_codes"": [], ""metadata_valid"": true, ""response_code_valid"": true, ""matching_rows"": [{""TBL_ID"": ""DT_1R11001_FRM101"", ""ORG_ID"": ""360"", ""ITM_NM_ENG"": ""The amount of import"", ""PRD_SE"": ""A"", ""ITM_NM"": ""수입액"", ""LST_CHN_DE"": ""2025-05-16"", ""ITM_ID"": ""13103112831T2"", ""UNIT_NM"": ""천달러"", ""C1"": ""13102112831A.A"", ""DT"": ""631767209"", ""UNIT_NM_ENG"": ""Thousand Dollar"", ""C1_OBJ_NM_ENG"": ""By SKTC"", ""C1_NM"": ""총액"", ""PRD_DE"": ""2024"", ""TBL_NM"": ""품목별 수출액 수입액"", ""C1_OBJ_NM"": ""품목별""}], ""response_row_count"": 1, ""unit_valid"": true, ""period_valid"": true, ""unit_unknown"": false, ""available_periods"": [""2024""], ""missing_periods"": [], ""validation_reason"": """"}]",2,2,0,0,READY,172.0,validated candidate,"{""itm_id"": ""13103112831T1"", ""itm_name"": ""수출액"", ""semantic_score"": 172.0, ""default_fields"": [], ""default_reason"": """", ""default_risk"": ""NONE"", ""objL1"": ""13102112831A.A"", ""objL1_name"": ""총액"", ""item_meta_valid"": true, ""obj_meta_valid"": true, ""invalid_obj_codes"": [], ""metadata_valid"": true, ""response_code_valid"": true, ""matching_rows"": [{""TBL_ID"": ""DT_1R11001_FRM101"", ""ORG_ID"": ""360"", ""ITM_NM_ENG"": ""The amount of export"", ""PRD_SE"": ""A"", ""ITM_NM"": ""수출액"", ""LST_CHN_DE"": ""2025-05-16"", ""ITM_ID"": ""13103112831T1"", ""UNIT_NM"": ""천달러"", ""C1"": ""13102112831A.A"", ""DT"": ""683609488"", ""UNIT_NM_ENG"": ""Thousand Dollar"", ""C1_OBJ_NM_ENG"": ""By SKTC"", ""C1_NM"": ""총액"", ""PRD_DE"": ""2024"", ""TBL_NM"": ""품목별 수출액 수입액"", ""C1_OBJ_NM"": ""품목별""}], ""response_row_count"": 1, ""unit_valid"": true, ""period_valid"": true, ""unit_unknown"": false, ""available_periods"": [""2024""], ""missing_periods"": [], ""validation_reason"": """", ""api_valid"": true, ""ranking_score"": 172.0, ""final_confidence"": 172.0}",2,True,True,True,True,True,,NONE,True,,,
A0006-SP382DCE21AF,A0006-SP382DCE21AF-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,현재값,KOSIS_VALUE,2024,Y,전년,,2,140,,Y,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수출액,수출",lexical,140.0,Y,,,,,,115,DT_115040_21,연간 총 수출액,2024010,탄소소재·부품산업통계조사,탄소소재부품산업:전체[00]/item=N/score=2 | 2023년 연간 총 매출액:사업체 전체[A01]/item=N/score=2,T001,평균,억원,30,00,탄소소재부품산업,00,전체,7,D2,2023년 연간 총 매출액,A01,사업체 전체,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,direct,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,"[""T001"", ""T003"", ""T002""]","[{""itm_id"": ""T001"", ""itm_name"": ""평균"", ""semantic_score"": 39.0, ""default_fields"": [], ""default_reason"": """", ""default_risk"": ""NONE"", ""objL1"": ""00"", ""objL1_name"": ""전체"", ""objL2"": ""A01"", ""objL2_name"": ""사업체 전체"", ""item_meta_valid"": true, ""obj_meta_valid"": true, ""invalid_obj_codes"": [], ""metadata_valid"": true, ""response_code_valid"": true, ""matching_rows"": [{""TBL_ID"": ""DT_115040_21"", ""ORG_ID"": ""115"", ""C2_NM"": ""사업체 전체"", ""PRD_SE"": ""A"", ""ITM_NM"": ""평균"", ""LST_CHN_DE"": ""2026-03-24"", ""ITM_ID"": ""T001"", ""UNIT_NM"": ""억원"", ""C1"": ""00"", ""C2"": ""A01"", ""C2_OBJ_NM"": ""2023년 연간 총 매출액"", ""DT"": ""1381"", ""UNIT_NM_ENG"": ""100 Million Won"", ""C1_NM"": ""전체"", ""PRD_DE"": ""2024"", ""TBL_NM"": ""연간 총 수출액"", ""C1_OBJ_NM"": ""탄소소재부품산업""}], ""response_row_count"": 1, ""unit_valid"": false, ""period_valid"": true, ""unit_unknown"": false, ""available_periods"": [""2024""], ""missing_periods"": [], ""validation_reason"": ""UNIT_MISMATCH""}, {""itm_id"": ""T003"", ""itm_name"": ""사례수"", ""semantic_score"": 9.0, ""default_fields"": [], ""default_reason"": """", ""default_risk"": ""NONE"", ""objL1"": ""00"", ""objL1_name"": ""전체"", ""objL2"": ""A01"", ""objL2_name"": ""사업체 전체"", ""item_meta_valid"": true, ""obj_meta_valid"": true, ""invalid_obj_codes"": [], ""metadata_valid"": true, ""response_code_valid"": false, ""matching_rows"": [], ""response_row_count"": 0, ""unit_valid"": false, ""period_valid"": false, ""unit_unknown"": true, ""available_periods"": [], ""missing_periods"": [""2024""], ""validation_reason"": ""RESPONSE_CODE_MISMATCH""}, {""itm_id"": ""T002"", ""itm_name"": ""합계"", ""semantic_score"": 9.0, ""default_fields"": [], ""default_reason"": """", ""default_risk"": ""NONE"", ""objL1"": ""00"", ""objL1_name"": ""전체"", ""objL2"": ""A01"", ""objL2_name"": ""사업체 전체"", ""item_meta_valid"": true, ""obj_meta_valid"": true, ""invalid_obj_codes"": [], ""metadata_valid"": true, ""response_code_valid"": true, ""matching_rows"": [{""TBL_ID"": ""DT_115040_21"", ""ORG_ID"": ""115"", ""C2_NM"": ""사업체 전체"", ""PRD_SE"": ""A"", ""ITM_NM"": ""합계"", ""LST_CHN_DE"": ""2026-03-24"", ""ITM_ID"": ""T002"", ""UNIT_NM"": ""억원"", ""C1"": ""00"", ""C2"": ""A01"", ""C2_OBJ_NM"": ""2023년 연간 총 매출액"", ""DT"": ""836885"", ""UNIT_NM_ENG"": ""100 Million Won"", ""C1_NM"": ""전체"", ""PRD_DE"": ""2024"", ""TBL_NM"": ""연간 총 수출액"", ""C1_OBJ_NM"": ""탄소소재부품산업""}], ""response_row_count"": 1, ""unit_valid"": false, ""period_valid"": true, ""unit_unknown"": false, ""available_periods"": [""2024""], ""missing_periods"": [], ""validation_reason"": ""UNIT_MISMATCH""}]",3,2,0,1,NEEDS_CONFIRMATION,38.85,UNIT_MISMATCH,"{""itm_id"": ""T001"", ""itm_name"": ""평균"", ""semantic_score"": 39.0, ""default_fields"": [], ""default_reason"": """", ""default_risk"": ""NONE"", ""objL1"": ""00"", ""objL1_name"": ""전체"", ""objL2"": ""A01"", ""objL2_name"": ""사업체 전체"", ""item_meta_valid"": true, ""obj_meta_valid"": true, ""invalid_obj_codes"": [], ""metadata_valid"": true, ""response_code_valid"": true, ""matching_rows"": [{""TBL_ID"": ""DT_115040_21"", ""ORG_ID"": ""115"", ""C2_NM"": ""사업체 전체"", ""PRD_SE"": ""A"", ""ITM_NM"": ""평균"", ""LST_CHN_DE"": ""2026-03-24"", ""ITM_ID"": ""T001"", ""UNIT_NM"": ""억원"", ""C1"": ""00"", ""C2"": ""A01"", ""C2_OBJ_NM"": ""2023년 연간 총 매출액"", ""DT"": ""1381"", ""UNIT_NM_ENG"": ""100 Million Won"", ""C1_NM"": ""전체"", ""PRD_DE"": ""2024"", ""TBL_NM"": ""연간 총 수출액"", ""C1_OBJ_NM"": ""탄소소재부품산업""}], ""response_row_count"": 1, ""unit_valid"": false, ""period_valid"": true, ""unit_unknown"": false, ""available_periods"": [""2024""], ""missing_periods"": [], ""validation_reason"": ""UNIT_MISMATCH"", ""api_valid"": true, ""ranking_score"": 38.85, ""final_confidence"": 38.85}",2,True,True,True,False,True,,NONE,False,CLAIM_ITEM_MISMATCH,CLAIM_ITEM_MISMATCH,
A0006-SP382DCE21AF,A0006-SP382DCE21AF-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,현재값,KOSIS_VALUE,2024,Y,전년,,3,124,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수출,수입",lexical,124.0,Y,,,,,,145,DT_145013_035,의료용 마약류 연간 수출실적,2019051,의료용마약류취급현황 > 의료용 마약류 제조·수입·수출 현황,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,,,0,0,,,NOT_EVALUATED,,LOW_PRIORITY_CANDIDATE,,,,,,,,,,,,,
A0006-SP382DCE21AF,A0006-SP382DCE21AF-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,현재값,KOSIS_VALUE,2024,Y,전년,,4,120,,Y,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수출,수입",lexical,120.0,Y,,,,,,113,DT_113_STBL_1027295,광고산업 : 수출 및 수입액 현황(연도별),2004043,콘텐츠산업조사 > 광고산업,구분:수출[131021219831.001]/item=N/score=12 | 구분:수출입차액[131021219831.003]/item=N/score=12 | 구분:수입[131021219831.002]/item=N/score=8,13103121983T1,금액,,30,131011219831,구분,131021219831.002,수입,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,direct,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,,,0,0,,,NOT_EVALUATED,,LOW_PRIORITY_CANDIDATE,,,,,,,,,,,,,
A0006-SP382DCE21AF,A0006-SP382DCE21AF-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,현재값,KOSIS_VALUE,2024,Y,전년,,5,116,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,무역,lexical,116.0,Y,,,,,,127,DT_AAA0001_S10502,연도별 기술무역 추이,2003037,기술무역통계 > 기술무역추이,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,,,0,0,,,NOT_EVALUATED,,LOW_PRIORITY_CANDIDATE,,,,,,,,,,,,,
