claim_id,claim_measurement_id,indicator,metric_domain,industry_or_item,value,unit,raw_unit,unit_dimension,semantic_type,entity_type,value_type,measurement_role,measurement_usage,period,prd_se,change_base,comparison_period,candidate_rank,candidate_score,candidate_runner_up_score,table_prd_se_list,candidate_status,candidate_status_code,candidate_status_reason,candidate_hits,retrieval_backend,lexical_score,lexical_eligible,semantic_score,reranker_score,fusion_score,table_override_rule,mapping_override_rule,org_id,tbl_id,tbl_name,stat_id,category_path,meta_candidates,selected_itm_id,selected_itm_name,selected_itm_unit,selected_itm_score,selected_obj_l1_axis_id,selected_obj_l1_axis_name,selected_obj_l1,selected_obj_l1_name,selected_obj_l1_score,selected_obj_l2_axis_id,selected_obj_l2_axis_name,selected_obj_l2,selected_obj_l2_name,selected_obj_l2_score,selected_obj_l3_axis_id,selected_obj_l3_axis_name,selected_obj_l3,selected_obj_l3_name,selected_obj_l3_score,selected_obj_l4_axis_id,selected_obj_l4_axis_name,selected_obj_l4,selected_obj_l4_name,selected_obj_l4_score,selected_obj_l5_axis_id,selected_obj_l5_axis_name,selected_obj_l5,selected_obj_l5_name,selected_obj_l5_score,selected_obj_l6_axis_id,selected_obj_l6_axis_name,selected_obj_l6,selected_obj_l6_name,selected_obj_l6_score,selected_obj_l7_axis_id,selected_obj_l7_axis_name,selected_obj_l7,selected_obj_l7_name,selected_obj_l7_score,selected_obj_l8_axis_id,selected_obj_l8_axis_name,selected_obj_l8,selected_obj_l8_name,selected_obj_l8_score,selected_code_status,mapping_type,unit_compatibility_reason,claim_text
A0006-SP454B0C203E,A0006-SP454B0C203E-m4,상위 수출국,무역,-,10,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,202409,M,전년,,1,877,849,Y,REJECT,PERIODICITY_NOT_AVAILABLE,"표는 Y 만 제공, 주장은 M","수출,순위,수출국,상위",hybrid+reranker,268,Y,0.6688562035560608,0.9107398390769958,0.85940536338904,,,142,DT_12029,"주요 수출 국가(1+2+3순위, 상위 6위)",2012054,1인창조기업실태조사 > 2012년 > 기업운영 실태 및 향후 운영 계획,항목:주요 수출 국가(1+2+3순위 상위 6위)[T001]/item=Y/score=54 | 수출국가별:미국[B02]/item=N/score=36 | 수출국가별:베트남[B04]/item=N/score=36 | 수출국가별:사업체수[B01]/item=N/score=36 | 수출국가별:이탈리아[B06]/item=N/score=36 | 수출국가별:일본[B05]/item=N/score=36 | 수출국가별:중국[B03]/item=N/score=36 | 수출국가별:호주[B07]/item=N/score=36,,,,,A,특성별,A01,전체,7,B,수출국가별,B02,미국,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,,,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다."
A0006-SP454B0C203E,A0006-SP454B0C203E-m4,상위 수출국,무역,-,10,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,202409,M,전년,,2,849,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수출,순위,수출국,상위",hybrid+reranker,268,Y,0.6727264523506165,0.8365871906280518,0.8560782036391792,,,115,DT_14217M_254,주요수출 국가 1+2+3+4+5순위(상위 14개),2015016,중견기업 기본통계 > 중견기업 > 2015년 이후  > 국제화 추진,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다."
A0006-SP454B0C203E,A0006-SP454B0C203E-m4,상위 수출국,무역,-,10,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,202409,M,전년,,3,623,,M|Q|Y,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"품목별,수출액,수출,수입,무역",hybrid+reranker,484,Y,,0.8521003127098083,0.5,,,360,DT_1R11001_FRM101,"품목별 수출액, 수입액",1976045,SITC에의한무역통계,품목별:총액[13102112831A.A]/item=N/score=30 | 항목:수출액[13103112831T1]/item=Y/score=30 | 품목별:기타 우표 또는 수입인지우편요금 별납증지우편엽서[13102112831A.89649]/item=N/score=26 | 품목별:기타(우표 또는 수입인지 우편요금 별납증지  초일봉투 우편엽서(엽서) 및 이와 유사  )[13102112831A.89640]/item=N/score=26 | 품목별:우표 또는 수입인지 우편요금 별납증지  초일봉투 우편엽서(엽서) 및 이와 유사  [13102112831A.8964]/item=N/score=26 | 품목별:우표수입인지 또는 이와 유사한 물품  (우리나라에서 통용 또는 발행된 것  으로서 사[13102112831A.89283]/item=N/score=26 | 품목별:가장[13102112831A.03541]/item=N/score=20 | 품목별:제664.3항 제664.4항 또는 제664.5항의 유리  (구부린 것 가장자리 가공한 것 조각[13102112831A.66491]/item=N/score=20,,,,,13101112831A,품목별,13102112831A.A,총액,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,,,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다."
A0006-SP454B0C203E,A0006-SP454B0C203E-m4,상위 수출국,무역,-,10,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,202409,M,전년,,4,599,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수출액,수출,수출국,기준",hybrid+reranker,240,Y,,0.924953818321228,0.42361111111111105,,,115,DT_115035_A012,외투기업 사업체수 및 수출액 기준 수출국,2017050,경제자유구역입주사업체실태조사 > 2017년~ > 매출 현황,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다."
A0006-SP454B0C203E,A0006-SP454B0C203E-m4,상위 수출국,무역,-,10,대,대,count,count,unspecified,수준값,현재값,KOSIS_VALUE,202409,M,전년,,5,582,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수출액,수출,수출국,기준",hybrid+reranker,240,Y,,0.9170198440551758,0.4013157894736842,,,115,DT_115035_A010,전체사업체 사업체수 및 수출액 기준 수출국,2017050,경제자유구역입주사업체실태조사 > 2017년~ > 매출 현황,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다."
A0012-SP13E0E2E6EE,A0012-SP13E0E2E6EE-m2,조선 산업기술인력 중 외국인 수,고용,조선업,2563,명,명,person_count,count,item,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,1,942,916,,TABLE_ONLY,META_NOT_LOADED,통계표 메타 조회 전 후보,"외국인,고용,제조업",hybrid+reranker,230,Y,0.6779882907867432,0.9976323843002319,0.9121621621621622,,,111,DT_111014_C035,올해 한달 이상 고용 근로자 필요한 근로자 중 외국인 비율,2025005,"외국인고용실태조사(농업,제조업분야) > 농업경영체",meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,조선 산업기술인력 중 외국인은 2022년 877명에서 2023년 2563명으로 3배 가까이 늘었다.
A0012-SP13E0E2E6EE,A0012-SP13E0E2E6EE-m2,조선 산업기술인력 중 외국인 수,고용,조선업,2563,명,명,person_count,count,item,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,2,916,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"외국인,고용,제조업",hybrid+reranker,230,Y,0.657959520816803,0.9976835250854492,0.8714285714285713,,,111,DT_111014_C021,올해 연중 고용이 필요한 근로자 수_외국인,2025005,"외국인고용실태조사(농업,제조업분야) > 농업경영체",meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,조선 산업기술인력 중 외국인은 2022년 877명에서 2023년 2563명으로 3배 가까이 늘었다.
A0012-SP13E0E2E6EE,A0012-SP13E0E2E6EE-m2,조선 산업기술인력 중 외국인 수,고용,조선업,2563,명,명,person_count,count,item,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,3,907,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"외국인,고용,제조업",hybrid+reranker,230,Y,0.6598418951034546,0.9959830045700073,0.8598372046853285,,,111,DT_111014_C029,올해 일당 근로자 중 외국인 고용 비율,2025005,"외국인고용실태조사(농업,제조업분야) > 농업경영체",meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,조선 산업기술인력 중 외국인은 2022년 877명에서 2023년 2563명으로 3배 가까이 늘었다.
A0012-SP13E0E2E6EE,A0012-SP13E0E2E6EE-m2,조선 산업기술인력 중 외국인 수,고용,조선업,2563,명,명,person_count,count,item,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,4,863,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"외국인,고용,제조업",hybrid+reranker,230,Y,0.6649758219718933,0.9970370531082153,0.7900782013685239,,,111,DT_111014_C064,작년 고용한 한달 이상 근로자 중 외국인 비율,2025005,"외국인고용실태조사(농업,제조업분야) > 농업경영체",meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,조선 산업기술인력 중 외국인은 2022년 877명에서 2023년 2563명으로 3배 가까이 늘었다.
A0012-SP13E0E2E6EE,A0012-SP13E0E2E6EE-m2,조선 산업기술인력 중 외국인 수,고용,조선업,2563,명,명,person_count,count,item,수준값,현재값,KOSIS_VALUE,2023,Y,전년,,5,836,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"외국인,고용,제조업",hybrid+reranker,230,Y,0.6544620990753174,0.9964993000030518,0.7493299583085169,,,111,DT_111014_C051,작년 고용한 일당 근로자 중 외국인 비율,2025005,"외국인고용실태조사(농업,제조업분야) > 농업경영체",meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,조선 산업기술인력 중 외국인은 2022년 877명에서 2023년 2563명으로 3배 가까이 늘었다.
