claim_id,claim_measurement_id,indicator,metric_domain,industry_or_item,value,unit,raw_unit,unit_dimension,semantic_type,entity_type,value_type,measurement_role,measurement_usage,period,prd_se,change_base,comparison_period,candidate_rank,candidate_score,candidate_runner_up_score,table_prd_se_list,candidate_status,candidate_status_code,candidate_status_reason,candidate_hits,retrieval_backend,lexical_score,lexical_eligible,semantic_score,reranker_score,fusion_score,table_override_rule,mapping_override_rule,org_id,tbl_id,tbl_name,stat_id,category_path,meta_candidates,selected_itm_id,selected_itm_name,selected_itm_unit,selected_itm_score,selected_obj_l1_axis_id,selected_obj_l1_axis_name,selected_obj_l1,selected_obj_l1_name,selected_obj_l1_score,selected_obj_l2_axis_id,selected_obj_l2_axis_name,selected_obj_l2,selected_obj_l2_name,selected_obj_l2_score,selected_obj_l3_axis_id,selected_obj_l3_axis_name,selected_obj_l3,selected_obj_l3_name,selected_obj_l3_score,selected_obj_l4_axis_id,selected_obj_l4_axis_name,selected_obj_l4,selected_obj_l4_name,selected_obj_l4_score,selected_obj_l5_axis_id,selected_obj_l5_axis_name,selected_obj_l5,selected_obj_l5_name,selected_obj_l5_score,selected_obj_l6_axis_id,selected_obj_l6_axis_name,selected_obj_l6,selected_obj_l6_name,selected_obj_l6_score,selected_obj_l7_axis_id,selected_obj_l7_axis_name,selected_obj_l7,selected_obj_l7_name,selected_obj_l7_score,selected_obj_l8_axis_id,selected_obj_l8_axis_name,selected_obj_l8,selected_obj_l8_name,selected_obj_l8_score,selected_code_status,mapping_type,unit_compatibility_reason,claim_text
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,1,388,172,Y,REVIEW,POPULATION_DEFINITION_MISMATCH,로봇 도입 기업과 로봇산업 사업체는 모집단 정의가 다름,"로봇,산업",lexical,388,Y,,,,,,401,DT_401001_005,사업체 수,2006203,로봇산업실태조사,특성별:전체[A00]/item=N/score=12 | 특성별:제조업용 로봇[A01]/item=N/score=10 | 특성별:개인서비스용 로봇[A03]/item=N/score=4 | 특성별:로봇 서비스[A07]/item=N/score=4 | 특성별:로봇 시스템[A05]/item=N/score=4 | 특성별:로봇 임베디드[A06]/item=N/score=4 | 특성별:로봇부품 및 소프트웨어[A04]/item=N/score=4 | 특성별:전문서비스용 로봇[A02]/item=N/score=4,T001,사업체수,개,30,A,특성별,A00,전체,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,rate_from_level,KOSIS 수준값에서 증감률 계산 필요,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,2,172,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"전체,로봇",lexical,172,Y,,,,,,336,DT_336003N_ICT_004,전체 자동화 설비 중 제조용 로봇의 비율,2006021,사업체패널조사 > 자동차와 스마트공장,특성별:전체[C01]/item=N/score=12,,,,,C,특성별,C01,전체,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,3,166,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,기업,제조업",lexical,166,Y,,,,,,395,DT_395N_I2021277,디지털 신기술별 도입 여부: 로봇공학,2003024,한국기업혁신조사 > 2022년도 조사(제조업 부문) > 디지털전환 > 디지털 신기술별 도입 여부,구분별:R＆D활동(전체)[007002]/item=N/score=12 | 구분별:대기업[005004]/item=N/score=12 | 구분별:소기업[005001]/item=N/score=12 | 구분별:전체[001]/item=N/score=12 | 구분별:중견기업[005003]/item=N/score=12 | 구분별:중기업[005002]/item=N/score=12 | 구분별:1차 금속 제조업[002014]/item=N/score=6 | 구분별:가구 제조업[002022]/item=N/score=6,,,,,A,구분별,001,전체,7,B,도입여부별,001,계,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,4,166,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,기업,제조업",lexical,166,Y,,,,,,395,DT_395N_I2021268,디지털 신기술별 중요도: 로봇공학,2003024,한국기업혁신조사 > 2022년도 조사(제조업 부문) > 디지털전환 > 디지털 신기술별 중요도,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-SP7C04DFBFD3,A0004-SP7C04DFBFD3-m1,로봇화에 뛰어든 기업의 수,무역,-,13,%,%,rate,rate_change,organization,증감률,증감률,KOSIS_VALUE,2019,Y,전년,2018,5,164,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,164,Y,,,,,,401,DT_401001_001,로봇산업 매출 현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0006-SP382DCE21AF,A0006-SP382DCE21AF-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,현재값,KOSIS_VALUE,2024,Y,전년,,1,404,140,M|Q|Y,READY,READY,통계표·ITEM·OBJ·단위 의미 확정,"수출액,품목별,수출,수입,무역",lexical,404,Y,,,,,,360,DT_1R11001_FRM101,"품목별 수출액, 수입액",1976045,SITC에의한무역통계,품목별:총액[13102112831A.A]/item=N/score=30 | 항목:수출액[13103112831T1]/item=Y/score=30 | 품목별:기타 우표 또는 수입인지우편요금 별납증지우편엽서[13102112831A.89649]/item=N/score=26 | 품목별:기타(우표 또는 수입인지 우편요금 별납증지  초일봉투 우편엽서(엽서) 및 이와 유사  )[13102112831A.89640]/item=N/score=26 | 품목별:우표 또는 수입인지 우편요금 별납증지  초일봉투 우편엽서(엽서) 및 이와 유사  [13102112831A.8964]/item=N/score=26 | 품목별:우표수입인지 또는 이와 유사한 물품  (우리나라에서 통용 또는 발행된 것  으로서 사[13102112831A.89283]/item=N/score=26 | 품목별:기타 여성 전체 또는 무릎길이 스타킹(면사 67decitex 이하)[13102112831A.84625]/item=N/score=20 | 품목별:동물(어류 제외)의 장 방광이나 위의 전체     또는 단편 [13102112831A.29193]/item=N/score=20,13103112831T1,수출액,천달러,140,13101112831A,품목별,13102112831A.A,총액,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,direct,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.
A0006-SP382DCE21AF,A0006-SP382DCE21AF-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,현재값,KOSIS_VALUE,2024,Y,전년,,2,140,,Y,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수출액,수출",lexical,140,Y,,,,,,115,DT_115040_21,연간 총 수출액,2024010,탄소소재·부품산업통계조사,탄소소재부품산업:전체[00]/item=N/score=2 | 2023년 연간 총 매출액:사업체 전체[A01]/item=N/score=2,T001,평균,억원,30,00,탄소소재부품산업,00,전체,7,D2,2023년 연간 총 매출액,A01,사업체 전체,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,direct,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.
A0006-SP382DCE21AF,A0006-SP382DCE21AF-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,현재값,KOSIS_VALUE,2024,Y,전년,,3,124,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수출,수입",lexical,124,Y,,,,,,145,DT_145013_035,의료용 마약류 연간 수출실적,2019051,의료용마약류취급현황 > 의료용 마약류 제조·수입·수출 현황,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.
A0006-SP382DCE21AF,A0006-SP382DCE21AF-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,현재값,KOSIS_VALUE,2024,Y,전년,,4,120,,Y,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수출,수입",lexical,120,Y,,,,,,113,DT_113_STBL_1027295,광고산업 : 수출 및 수입액 현황(연도별),2004043,콘텐츠산업조사 > 광고산업,구분:수출[131021219831.001]/item=N/score=12 | 구분:수출입차액[131021219831.003]/item=N/score=12 | 구분:수입[131021219831.002]/item=N/score=8,13103121983T1,금액,,30,131011219831,구분,131021219831.002,수입,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itm/obj 후보 선택,direct,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.
A0006-SP382DCE21AF,A0006-SP382DCE21AF-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,현재값,KOSIS_VALUE,2024,Y,전년,,5,116,,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,무역,lexical,116,Y,,,,,,127,DT_AAA0001_S10502,연도별 기술무역 추이,2003037,기술무역통계 > 기술무역추이,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meta 없음,,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.
