org_id,tbl_id,tbl_name,category_path,stat_id
401,DT_401001_005,사업체 수,로봇산업실태조사,2006203
336,DT_336003N_ICT_004,전체 자동화 설비 중 제조용 로봇의 비율,사업체패널조사 > 자동차와 스마트공장,2006021
360,DT_1R11001_FRM101,"품목별 수출액, 수입액",SITC에의한무역통계,1976045
115,DT_115040_21,연간 총 수출액,탄소소재·부품산업통계조사,2024010
466,DT_446001_A027,쌀가루 생산판매 현황 : 품목별 수출액 - 총계,쌀가공식품제조업실태조사 > 쌀가공식품제조업,2024007
142,DT_12029,"주요 수출 국가(1+2+3순위, 상위 6위)",1인창조기업실태조사 > 2012년 > 기업운영 실태 및 향후 운영 계획,2012054
339,DT_F_Y160,에너지 수입액,에너지수급통계 > 구) 에너지밸런스 기준 > 에너지수급(연간),2002019
127,DT_127005_005,수출 및 수입액,ICT실태조사,1996008
463,DT_FS463001_A055,자동차튜닝 관련 매출액 중 해외수출액 비중,자동차튜닝산업실태조사,2022033
146,DT_MLTM_5002627,"산업분류,기업규모,선박규모별 수출현황",원양어업통계조사,2012057
134,DT_134006_N001,품목별 수입·수출현황,기업무역활동통계,2017044
358,DT_358004_002,바이오헬스산업 매출액,바이오헬스산업실태조사,2021024
145,DT_145011_A006,화장품 수입 및 수출액 현황,화장품산업현황 > 화장품 수출입 현황,2017087
127,DT_092_115_2009_S023,IT산업별/월별 수출 현황,ICT수출입통계,2007407
115,DT_115_2012_CC080,"경기도･산업별(중분류) 퇴사인력, 구인 및 채용인력(미충원인력 등)","산업기술인력수급실태조사 > 퇴사인력, 구인 및 채용인력",2004042
115,DT_115_2012_CC086,"강원특별자치도･산업별(중분류) 퇴사인력, 구인 및 채용인력(미충원인력 등)","산업기술인력수급실태조사 > 퇴사인력, 구인 및 채용인력",2004042
111,DT_111014_A073,외국인 고용 영향력_생산비용,"외국인고용실태조사(농업,제조업분야) > 일반제조업",2025005
111,DT_111014_B104,외국인 고용 영향력_생산비용,"외국인고용실태조사(농업,제조업분야) > 비전문고용제조업",2025005
138,TX_13801_A171,외국인의 등록건수표,지식재산권통계 > 산업재산권(~1980),1976032
127,DT_127010_008,전년 대비 수출액 증감 현황 및 이유,클라우드산업실태조사,2018022
113,DT_113_STBL_1027295,광고산업 : 수출 및 수입액 현황(연도별),콘텐츠산업조사 > 광고산업,2004043
395,DT_395N_I2021277,디지털 신기술별 도입 여부: 로봇공학,한국기업혁신조사 > 2022년도 조사(제조업 부문) > 디지털전환 > 디지털 신기술별 도입 여부,2003024
113,DT_113_STBL_1020844,남북통일에 대한 남북체육교류의 영향력 연도별 비교,국민생활체육조사 > 체육활동 참여 현황,1991014
336,DT_336003N_AI_002,연도별 AI 도입 누적 현황,사업체패널조사 > 인공지능(AI)가 사업체에 미친 영향,2006021
101,DT_1JH20201,전산업생산지수(원지수),전산업생산지수,2011011
101,DT_1JH20202,전산업생산지수(계절조정지수),전산업생산지수,2011011
101,DT_1K41017,음식점포함 소매판매액지수(2020=100.0),서비스업동향조사 > 소매판매통계 > 소매판매액지수,1999001
101,DT_1K41012,재별 및 상품군별 소매판매액지수(2020=100.0),서비스업동향조사 > 소매판매통계 > 소매판매액지수,1999001
101,DT_1J22041,연도별 소비자물가 등락률,소비자물가조사,1964001
101,DT_1J22135,"연도별 지출목적별 소비자물가지수(9개도, 39개시: 2020=100)",소비자물가조사,1964001
177,DT_11702_N126,2주간 이환율 추이,국민건강영양조사 > 건강행태 > 삶의 질,1973001
152,DT_152009_A124,PB제품 하도급 단가 결정 고려 요인_환율 변화,하도급거래실태조사 > 제조업_원사업자 > 하도급거래 세부사항 > 전속거래·PB거래,2021003
462,DT_462001_021,해외 프로젝트 계약건수 및 연간 매출액,"건축서비스산업실태조사 > 해외업체와의 협업, 해외프로젝트",2022016
101,DT_2KI2048,"[자동차판매,소매,음식주점]산업세세분류별 배달(택배) 판매여부 현황",경제총조사 > 등록기반 > 10차 개정 > 2020년 > 특성편 > 기타(광업 및 제조업 이외),2010012
101,DT_1K41016,광역경제권 대형소매점 판매액지수(2020=100.0),서비스업동향조사 > 소매판매통계 > 소매판매액지수,1999001
114,DT_114053_040_2019_01,가공식품 품목별 구입 시 우선 확인하는 사항(곡물가공품),가공식품소비자태도조사 > 2018년 이후 > 가공식품 품목별 구입현황,2016043
114,DT_114053_041_01,최근 1년간 가공식품 품목별 구입경험 및 구입 변화(곡물가공품),가공식품소비자태도조사 > 2018년 이후 > 가공식품 품목별 구입현황,2016043
101,DT_1J22136,"연도별 품목성질별 소비자물가지수(9개도, 39개시: 2020=100)",소비자물가조사,1964001
101,DT_1J22001,"지출목적별 소비자물가지수(품목포함, 2020=100)",소비자물가조사,1964001
101,DT_1J22003,소비자물가지수(2020=100),소비자물가조사,1964001
133,DT_133N_8610,"8.6.9 중소기업의 업태별 신고 법인수Ⅰ(지역,법인종류,사업연도,조정구분)[2013~]",국세통계 > 국세통계(~최근) > 법인세 > 법인수,1976068
344,DT_344002_001,상장기업의 부가가치 분석,상장기업의부가가치분석,1979014
