claim_id,claim_measurement_id,article_id,title,date,url,claim_text,measurement_text,measurement_indicator,measurement_item,value,unit,measurement_period,measurement_prd_se,gold_ready,gold_org_id,gold_tbl_id,gold_tbl_name,gold_itm_id,gold_itm_name,gold_obj_l1,gold_obj_l1_name,gold_prd_se,gold_period,gold_source_value,gold_source_unit,gold_actual_value,gold_verdict,gold_coordinate_status,gold_confidence,gold_reason,gold_evidence_url,gold_retrieved_at,gold_label_source,human_reviewed,development_table_overlap
B26CPI01-CPI-MOM,B26CPI01-CPI-MOM-m1,B26CPI01,2026년 1월 소비자물가동향,2026-02-03,https://mods.go.kr/board.es?act=view&bid=213&list_no=443358&mid=b70203010000&ref_bid=213&tag=,2026년 1월 소비자물가지수는 전월보다 0.4% 상승했다.,0.4%,소비자물가지수 전월비,총지수,0.4,%,202601,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T02,전월비,0,총지수,M,202601,0.4,%,0.4,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://mods.go.kr/board.es?act=view&bid=213&list_no=443358&mid=b70203010000&ref_bid=213&tag=,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26CPI01-CPI-YOY,B26CPI01-CPI-YOY-m1,B26CPI01,2026년 1월 소비자물가동향,2026-02-03,https://mods.go.kr/board.es?act=view&bid=213&list_no=443358&mid=b70203010000&ref_bid=213&tag=,2026년 1월 소비자물가지수는 전년 동월보다 2.0% 상승했다.,2.0%,소비자물가지수 전년동월비,총지수,2.0,%,202601,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T03,전년동월비(%),0,총지수,M,202601,2.0,%,2.0,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://mods.go.kr/board.es?act=view&bid=213&list_no=443358&mid=b70203010000&ref_bid=213&tag=,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26CPI01-CORE-YOY,B26CPI01-CORE-YOY-m1,B26CPI01,2026년 1월 소비자물가동향,2026-02-03,https://mods.go.kr/board.es?act=view&bid=213&list_no=443358&mid=b70203010000&ref_bid=213&tag=,2026년 1월 농산물및석유류제외지수는 전년 동월보다 2.3% 상승했다.,2.3%,농산물및석유류제외지수 전년동월비,농산물및석유류제외지수,2.3,%,202601,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T03,전년동월비(%),3,농산물및석유류제외지수,M,202601,2.3,%,2.3,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://mods.go.kr/board.es?act=view&bid=213&list_no=443358&mid=b70203010000&ref_bid=213&tag=,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26CPI01-LIVING-YOY,B26CPI01-LIVING-YOY-m1,B26CPI01,2026년 1월 소비자물가동향,2026-02-03,https://mods.go.kr/board.es?act=view&bid=213&list_no=443358&mid=b70203010000&ref_bid=213&tag=,2026년 1월 생활물가지수는 전년 동월보다 2.2% 상승했다.,2.2%,생활물가지수 전년동월비,생활물가지수,2.2,%,202601,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T03,전년동월비(%),1,생활물가지수,M,202601,2.2,%,2.2,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://mods.go.kr/board.es?act=view&bid=213&list_no=443358&mid=b70203010000&ref_bid=213&tag=,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26CPI02-CPI-MOM,B26CPI02-CPI-MOM-m1,B26CPI02,2026년 2월 소비자물가동향,2026-03-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=443883&mid=b70203010000&ref_bid=213,2026년 2월 소비자물가지수는 전월보다 0.3% 상승했다.,0.3%,소비자물가지수 전월비,총지수,0.3,%,202602,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T02,전월비,0,총지수,M,202602,0.3,%,0.3,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=443883&mid=b70203010000&ref_bid=213,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26CPI02-CPI-YOY,B26CPI02-CPI-YOY-m1,B26CPI02,2026년 2월 소비자물가동향,2026-03-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=443883&mid=b70203010000&ref_bid=213,2026년 2월 소비자물가지수는 전년 동월보다 2.0% 상승했다.,2.0%,소비자물가지수 전년동월비,총지수,2.0,%,202602,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T03,전년동월비(%),0,총지수,M,202602,2.0,%,2.0,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=443883&mid=b70203010000&ref_bid=213,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26CPI02-CORE-YOY,B26CPI02-CORE-YOY-m1,B26CPI02,2026년 2월 소비자물가동향,2026-03-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=443883&mid=b70203010000&ref_bid=213,2026년 2월 농산물및석유류제외지수는 전년 동월보다 2.5% 상승했다.,2.5%,농산물및석유류제외지수 전년동월비,농산물및석유류제외지수,2.5,%,202602,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T03,전년동월비(%),3,농산물및석유류제외지수,M,202602,2.5,%,2.5,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=443883&mid=b70203010000&ref_bid=213,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26CPI02-LIVING-YOY,B26CPI02-LIVING-YOY-m1,B26CPI02,2026년 2월 소비자물가동향,2026-03-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=443883&mid=b70203010000&ref_bid=213,2026년 2월 생활물가지수는 전년 동월보다 1.8% 상승했다.,1.8%,생활물가지수 전년동월비,생활물가지수,1.8,%,202602,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T03,전년동월비(%),1,생활물가지수,M,202602,1.8,%,1.8,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=443883&mid=b70203010000&ref_bid=213,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26CPI03-CPI-MOM,B26CPI03-CPI-MOM-m1,B26CPI03,2026년 3월 소비자물가동향,2026-04-02,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444361&mid=a10301040200,2026년 3월 소비자물가지수는 전월보다 0.3% 상승했다.,0.3%,소비자물가지수 전월비,총지수,0.3,%,202603,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T02,전월비,0,총지수,M,202603,0.3,%,0.3,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444361&mid=a10301040200,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26CPI03-CPI-YOY,B26CPI03-CPI-YOY-m1,B26CPI03,2026년 3월 소비자물가동향,2026-04-02,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444361&mid=a10301040200,2026년 3월 소비자물가지수는 전년 동월보다 2.2% 상승했다.,2.2%,소비자물가지수 전년동월비,총지수,2.2,%,202603,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T03,전년동월비(%),0,총지수,M,202603,2.2,%,2.2,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444361&mid=a10301040200,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
