claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_measurement_period,period_alignment_status,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_type,obj_target_terms,blind_source_type
B26CPI01-CPI-MOM,B26CPI01-CPI-MOM-m1,B26CPI01,2026년 1월 소비자물가동향,2026-02-03,https://mods.go.kr/board.es?act=view&bid=213&list_no=443358&mid=b70203010000&ref_bid=213&tag=,2026년 1월 소비자물가지수는 전월보다 0.4% 상승했다.,-,-,국내공식통계,Y,물가,소비자물가지수 전월비,"소비자물가지수, 전월비",전국,-,전체,총지수,-,-,-,202601,-,M,확정,0.4%,KOSIS_VALUE,hcx,소비자물가지수 전월비,총지수,202601,M,hcx,증감률,0.4,-,-,N,%,증감률,-,전월,2026년 1월 소비자물가지수는 전월보다 0.4% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,소비자물가지수 전월비,총지수,202601,M,202601,exact,%,%,rate,rate_change,population,,direct,총지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI01-CPI-YOY,B26CPI01-CPI-YOY-m1,B26CPI01,2026년 1월 소비자물가동향,2026-02-03,https://mods.go.kr/board.es?act=view&bid=213&list_no=443358&mid=b70203010000&ref_bid=213&tag=,2026년 1월 소비자물가지수는 전년 동월보다 2.0% 상승했다.,-,-,국내공식통계,Y,물가,소비자물가지수 전년동월비,"소비자물가지수, 전년동월비",전국,-,전체,총지수,-,-,-,202601,-,M,확정,2.0%,KOSIS_VALUE,hcx,소비자물가지수 전년동월비,총지수,202601,M,hcx,증감률,2.0,-,-,N,%,증감률,-,전년동월,2026년 1월 소비자물가지수는 전년 동월보다 2.0% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,소비자물가지수 전년동월비,총지수,202601,M,202601,exact,%,%,rate,rate_change,population,,direct,총지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI01-CORE-YOY,B26CPI01-CORE-YOY-m1,B26CPI01,2026년 1월 소비자물가동향,2026-02-03,https://mods.go.kr/board.es?act=view&bid=213&list_no=443358&mid=b70203010000&ref_bid=213&tag=,2026년 1월 농산물및석유류제외지수는 전년 동월보다 2.3% 상승했다.,-,-,국내공식통계,Y,물가,농산물및석유류제외지수 전년동월비,"농산물및석유류제외지수, 전년동월비",전국,-,전체,농산물및석유류제외지수,-,-,-,202601,-,M,확정,2.3%,KOSIS_VALUE,hcx,농산물및석유류제외지수 전년동월비,농산물및석유류제외지수,202601,M,hcx,증감률,2.3,-,-,N,%,증감률,-,전년동월,2026년 1월 농산물및석유류제외지수는 전년 동월보다 2.3% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,농산물및석유류제외지수 전년동월비,농산물및석유류제외지수,202601,M,202601,exact,%,%,rate,rate_change,population,,direct,농산물및석유류제외지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI01-LIVING-YOY,B26CPI01-LIVING-YOY-m1,B26CPI01,2026년 1월 소비자물가동향,2026-02-03,https://mods.go.kr/board.es?act=view&bid=213&list_no=443358&mid=b70203010000&ref_bid=213&tag=,2026년 1월 생활물가지수는 전년 동월보다 2.2% 상승했다.,-,-,국내공식통계,Y,물가,생활물가지수 전년동월비,"생활물가지수, 전년동월비",전국,-,전체,생활물가지수,-,-,-,202601,-,M,확정,2.2%,KOSIS_VALUE,hcx,생활물가지수 전년동월비,생활물가지수,202601,M,hcx,증감률,2.2,-,-,N,%,증감률,-,전년동월,2026년 1월 생활물가지수는 전년 동월보다 2.2% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,생활물가지수 전년동월비,생활물가지수,202601,M,202601,exact,%,%,rate,rate_change,population,,direct,생활물가지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI02-CPI-MOM,B26CPI02-CPI-MOM-m1,B26CPI02,2026년 2월 소비자물가동향,2026-03-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=443883&mid=b70203010000&ref_bid=213,2026년 2월 소비자물가지수는 전월보다 0.3% 상승했다.,-,-,국내공식통계,Y,물가,소비자물가지수 전월비,"소비자물가지수, 전월비",전국,-,전체,총지수,-,-,-,202602,-,M,확정,0.3%,KOSIS_VALUE,hcx,소비자물가지수 전월비,총지수,202602,M,hcx,증감률,0.3,-,-,N,%,증감률,-,전월,2026년 2월 소비자물가지수는 전월보다 0.3% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,소비자물가지수 전월비,총지수,202602,M,202602,exact,%,%,rate,rate_change,population,,direct,총지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI02-CPI-YOY,B26CPI02-CPI-YOY-m1,B26CPI02,2026년 2월 소비자물가동향,2026-03-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=443883&mid=b70203010000&ref_bid=213,2026년 2월 소비자물가지수는 전년 동월보다 2.0% 상승했다.,-,-,국내공식통계,Y,물가,소비자물가지수 전년동월비,"소비자물가지수, 전년동월비",전국,-,전체,총지수,-,-,-,202602,-,M,확정,2.0%,KOSIS_VALUE,hcx,소비자물가지수 전년동월비,총지수,202602,M,hcx,증감률,2.0,-,-,N,%,증감률,-,전년동월,2026년 2월 소비자물가지수는 전년 동월보다 2.0% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,소비자물가지수 전년동월비,총지수,202602,M,202602,exact,%,%,rate,rate_change,population,,direct,총지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI02-CORE-YOY,B26CPI02-CORE-YOY-m1,B26CPI02,2026년 2월 소비자물가동향,2026-03-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=443883&mid=b70203010000&ref_bid=213,2026년 2월 농산물및석유류제외지수는 전년 동월보다 2.5% 상승했다.,-,-,국내공식통계,Y,물가,농산물및석유류제외지수 전년동월비,"농산물및석유류제외지수, 전년동월비",전국,-,전체,농산물및석유류제외지수,-,-,-,202602,-,M,확정,2.5%,KOSIS_VALUE,hcx,농산물및석유류제외지수 전년동월비,농산물및석유류제외지수,202602,M,hcx,증감률,2.5,-,-,N,%,증감률,-,전년동월,2026년 2월 농산물및석유류제외지수는 전년 동월보다 2.5% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,농산물및석유류제외지수 전년동월비,농산물및석유류제외지수,202602,M,202602,exact,%,%,rate,rate_change,population,,direct,농산물및석유류제외지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI02-LIVING-YOY,B26CPI02-LIVING-YOY-m1,B26CPI02,2026년 2월 소비자물가동향,2026-03-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=443883&mid=b70203010000&ref_bid=213,2026년 2월 생활물가지수는 전년 동월보다 1.8% 상승했다.,-,-,국내공식통계,Y,물가,생활물가지수 전년동월비,"생활물가지수, 전년동월비",전국,-,전체,생활물가지수,-,-,-,202602,-,M,확정,1.8%,KOSIS_VALUE,hcx,생활물가지수 전년동월비,생활물가지수,202602,M,hcx,증감률,1.8,-,-,N,%,증감률,-,전년동월,2026년 2월 생활물가지수는 전년 동월보다 1.8% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,생활물가지수 전년동월비,생활물가지수,202602,M,202602,exact,%,%,rate,rate_change,population,,direct,생활물가지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI03-CPI-MOM,B26CPI03-CPI-MOM-m1,B26CPI03,2026년 3월 소비자물가동향,2026-04-02,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444361&mid=a10301040200,2026년 3월 소비자물가지수는 전월보다 0.3% 상승했다.,-,-,국내공식통계,Y,물가,소비자물가지수 전월비,"소비자물가지수, 전월비",전국,-,전체,총지수,-,-,-,202603,-,M,확정,0.3%,KOSIS_VALUE,hcx,소비자물가지수 전월비,총지수,202603,M,hcx,증감률,0.3,-,-,N,%,증감률,-,전월,2026년 3월 소비자물가지수는 전월보다 0.3% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,소비자물가지수 전월비,총지수,202603,M,202603,exact,%,%,rate,rate_change,population,,direct,총지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI03-CPI-YOY,B26CPI03-CPI-YOY-m1,B26CPI03,2026년 3월 소비자물가동향,2026-04-02,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444361&mid=a10301040200,2026년 3월 소비자물가지수는 전년 동월보다 2.2% 상승했다.,-,-,국내공식통계,Y,물가,소비자물가지수 전년동월비,"소비자물가지수, 전년동월비",전국,-,전체,총지수,-,-,-,202603,-,M,확정,2.2%,KOSIS_VALUE,hcx,소비자물가지수 전년동월비,총지수,202603,M,hcx,증감률,2.2,-,-,N,%,증감률,-,전년동월,2026년 3월 소비자물가지수는 전년 동월보다 2.2% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,소비자물가지수 전년동월비,총지수,202603,M,202603,exact,%,%,rate,rate_change,population,,direct,총지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI03-CORE-YOY,B26CPI03-CORE-YOY-m1,B26CPI03,2026년 3월 소비자물가동향,2026-04-02,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444361&mid=a10301040200,2026년 3월 농산물및석유류제외지수는 전년 동월보다 2.3% 상승했다.,-,-,국내공식통계,Y,물가,농산물및석유류제외지수 전년동월비,"농산물및석유류제외지수, 전년동월비",전국,-,전체,농산물및석유류제외지수,-,-,-,202603,-,M,확정,2.3%,KOSIS_VALUE,hcx,농산물및석유류제외지수 전년동월비,농산물및석유류제외지수,202603,M,hcx,증감률,2.3,-,-,N,%,증감률,-,전년동월,2026년 3월 농산물및석유류제외지수는 전년 동월보다 2.3% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,농산물및석유류제외지수 전년동월비,농산물및석유류제외지수,202603,M,202603,exact,%,%,rate,rate_change,population,,direct,농산물및석유류제외지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI03-LIVING-YOY,B26CPI03-LIVING-YOY-m1,B26CPI03,2026년 3월 소비자물가동향,2026-04-02,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444361&mid=a10301040200,2026년 3월 생활물가지수는 전년 동월보다 2.3% 상승했다.,-,-,국내공식통계,Y,물가,생활물가지수 전년동월비,"생활물가지수, 전년동월비",전국,-,전체,생활물가지수,-,-,-,202603,-,M,확정,2.3%,KOSIS_VALUE,hcx,생활물가지수 전년동월비,생활물가지수,202603,M,hcx,증감률,2.3,-,-,N,%,증감률,-,전년동월,2026년 3월 생활물가지수는 전년 동월보다 2.3% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,생활물가지수 전년동월비,생활물가지수,202603,M,202603,exact,%,%,rate,rate_change,population,,direct,생활물가지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI04-CPI-MOM,B26CPI04-CPI-MOM-m1,B26CPI04,2026년 4월 소비자물가동향,2026-05-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444938&mainXml=Y&mid=b70203010000,2026년 4월 소비자물가지수는 전월보다 0.5% 상승했다.,-,-,국내공식통계,Y,물가,소비자물가지수 전월비,"소비자물가지수, 전월비",전국,-,전체,총지수,-,-,-,202604,-,M,확정,0.5%,KOSIS_VALUE,hcx,소비자물가지수 전월비,총지수,202604,M,hcx,증감률,0.5,-,-,N,%,증감률,-,전월,2026년 4월 소비자물가지수는 전월보다 0.5% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,소비자물가지수 전월비,총지수,202604,M,202604,exact,%,%,rate,rate_change,population,,direct,총지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI04-CPI-YOY,B26CPI04-CPI-YOY-m1,B26CPI04,2026년 4월 소비자물가동향,2026-05-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444938&mainXml=Y&mid=b70203010000,2026년 4월 소비자물가지수는 전년 동월보다 2.6% 상승했다.,-,-,국내공식통계,Y,물가,소비자물가지수 전년동월비,"소비자물가지수, 전년동월비",전국,-,전체,총지수,-,-,-,202604,-,M,확정,2.6%,KOSIS_VALUE,hcx,소비자물가지수 전년동월비,총지수,202604,M,hcx,증감률,2.6,-,-,N,%,증감률,-,전년동월,2026년 4월 소비자물가지수는 전년 동월보다 2.6% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,소비자물가지수 전년동월비,총지수,202604,M,202604,exact,%,%,rate,rate_change,population,,direct,총지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI04-CORE-YOY,B26CPI04-CORE-YOY-m1,B26CPI04,2026년 4월 소비자물가동향,2026-05-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444938&mainXml=Y&mid=b70203010000,2026년 4월 농산물및석유류제외지수는 전년 동월보다 2.2% 상승했다.,-,-,국내공식통계,Y,물가,농산물및석유류제외지수 전년동월비,"농산물및석유류제외지수, 전년동월비",전국,-,전체,농산물및석유류제외지수,-,-,-,202604,-,M,확정,2.2%,KOSIS_VALUE,hcx,농산물및석유류제외지수 전년동월비,농산물및석유류제외지수,202604,M,hcx,증감률,2.2,-,-,N,%,증감률,-,전년동월,2026년 4월 농산물및석유류제외지수는 전년 동월보다 2.2% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,농산물및석유류제외지수 전년동월비,농산물및석유류제외지수,202604,M,202604,exact,%,%,rate,rate_change,population,,direct,농산물및석유류제외지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26CPI04-LIVING-YOY,B26CPI04-LIVING-YOY-m1,B26CPI04,2026년 4월 소비자물가동향,2026-05-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444938&mainXml=Y&mid=b70203010000,2026년 4월 생활물가지수는 전년 동월보다 2.9% 상승했다.,-,-,국내공식통계,Y,물가,생활물가지수 전년동월비,"생활물가지수, 전년동월비",전국,-,전체,생활물가지수,-,-,-,202604,-,M,확정,2.9%,KOSIS_VALUE,hcx,생활물가지수 전년동월비,생활물가지수,202604,M,hcx,증감률,2.9,-,-,N,%,증감률,-,전년동월,2026년 4월 생활물가지수는 전년 동월보다 2.9% 상승했다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,생활물가지수 전년동월비,생활물가지수,202604,M,202604,exact,%,%,rate,rate_change,population,,direct,생활물가지수,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26EMP01-UNEMP,B26EMP01-UNEMP-m1,B26EMP01,2026년 1월 고용동향,2026-02-11,https://mods.go.kr/board.es?act=view&bid=210&list_no=443455&mid=a10301030100&ref_bid=&tag=,2026년 1월 전체 실업률은 4.1%였다.,-,-,국내공식통계,Y,고용,전체 실업률,"전체, 실업률",전국,-,전체,전체,-,-,-,202601,-,M,확정,4.1%,KOSIS_VALUE,hcx,전체 실업률,전체,202601,M,hcx,수준값,4.1,-,-,N,%,수준값,-,전년동월,2026년 1월 전체 실업률은 4.1%였다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,전체 실업률,전체,202601,M,202601,exact,%,%,rate,rate,population,,direct,전체,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26EMP01-YOUTH-UNEMP,B26EMP01-YOUTH-UNEMP-m1,B26EMP01,2026년 1월 고용동향,2026-02-11,https://mods.go.kr/board.es?act=view&bid=210&list_no=443455&mid=a10301030100&ref_bid=&tag=,2026년 1월 15~29세 청년층 실업률은 6.8%였다.,-,-,국내공식통계,Y,고용,청년층 실업률,"청년층, 실업률",전국,15~29세,전체,15~29세,-,-,-,202601,-,M,확정,6.8%,KOSIS_VALUE,hcx,청년층 실업률,15~29세,202601,M,hcx,수준값,6.8,-,-,N,%,수준값,-,전년동월,2026년 1월 15~29세 청년층 실업률은 6.8%였다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,청년층 실업률,15~29세,202601,M,202601,exact,%,%,rate,rate,population,,direct,15~29세,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26EMP01-EMPLOYED,B26EMP01-EMPLOYED-m1,B26EMP01,2026년 1월 고용동향,2026-02-11,https://mods.go.kr/board.es?act=view&bid=210&list_no=443455&mid=a10301030100&ref_bid=&tag=,"2026년 1월 전체 취업자는 27,986천명이었다.",-,-,국내공식통계,Y,고용,전체 취업자 수,"전체, 취업자, 수",전국,-,전체,전체,-,-,-,202601,-,M,확정,"27,986천명",KOSIS_VALUE,hcx,전체 취업자 수,전체,202601,M,hcx,현재값,27986,-,-,N,천명,현재값,-,전년동월,"2026년 1월 전체 취업자는 27,986천명이었다.",high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,전체 취업자 수,전체,202601,M,202601,exact,천명,천명,count,count,population,,direct,전체,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26EMP02-UNEMP,B26EMP02-UNEMP-m1,B26EMP02,2026년 2월 고용동향,2026-03-18,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444083&mid=a10301030200,2026년 2월 전체 실업률은 3.4%였다.,-,-,국내공식통계,Y,고용,전체 실업률,"전체, 실업률",전국,-,전체,전체,-,-,-,202602,-,M,확정,3.4%,KOSIS_VALUE,hcx,전체 실업률,전체,202602,M,hcx,수준값,3.4,-,-,N,%,수준값,-,전년동월,2026년 2월 전체 실업률은 3.4%였다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,전체 실업률,전체,202602,M,202602,exact,%,%,rate,rate,population,,direct,전체,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
