claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_measurement_period,period_alignment_status,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_type,obj_target_terms,blind_source_type,gold_ready,gold_verifiable,gold_label_tier,gold_org_id,gold_tbl_id,gold_tbl_name,gold_itm_id,gold_itm_name,gold_obj_l1,gold_obj_l1_name,gold_prd_se,gold_period,gold_source_value,gold_source_unit,gold_actual_value,gold_coordinate_status,gold_confidence,gold_reason,gold_evidence_url,gold_retrieved_at,gold_label_source,human_reviewed,development_table_overlap,gold_obj_l2,gold_obj_l2_name,gold_obj_l3,gold_obj_l3_name,gold_obj_l4,gold_obj_l4_name,gold_obj_l5,gold_obj_l5_name,gold_obj_l6,gold_obj_l6_name,gold_obj_l7,gold_obj_l7_name,gold_obj_l8,gold_obj_l8_name
V32BLIND-001,V32BLIND-001-m1,V32BLIND-001,1984년 종합건설업조사 본사소재지별/세분공사종류별/발주기관별 계약실적 - 지방자치단체(1984) 금액,2010-10-22,https://kosis.kr/,"1984년 금액은 1,638,680백만원으로 집계됐다.",-,-,국내공식통계,Y,종합건설업조사,금액,"종합건설업조사, 금액",-,-,-,,-,-,-,1984,-,Y,확정,"1,638,680백만원",KOSIS_VALUE,KOSIS_OPEN_API,금액,,1984,Y,hcx,현재값,1638680,-,-,N,백만원,현재값,-,-,"1984년 금액은 1,638,680백만원으로 집계됐다.",high,N,-,N,0,0,BLIND_KOSIS_OFFICIAL_COORDINATE,v32-identifiable-ready-unused-coordinate-r1,2026-08-20T15:22:58.515302+00:00,금액,,1984,Y,1984,exact,백만원,백만원,currency,level,item,,direct,,KOSIS_API_PRE_PREDICTION_TABLE_DISJOINT_FIXTURE,Y,Y,FULL_KOSIS,365,TX_36501_A653,본사소재지별/세분공사종류별/발주기관별 계약실적 - 지방자치단체(1984),16365AAB6,금액,15365AH000,합계,Y,1984,1638680,백만원,1638680,UNIQUE,HIGH,v31b 동결 후 예측 전 KOSIS API+PostgreSQL 좌표 잠금,https://kosis.kr/,2026-08-20T15:22:58.515302+00:00,KOSIS_OPEN_API_PRE_PREDICTION,N,N,11101HJG00,전국,,,,,,,,,,,,
V32BLIND-002,V32BLIND-002-m1,V32BLIND-002,1984년 종합건설업조사 본사소재지별/세분공사종류별/발주기관별 계약실적 - 지방자치단체(1984) 기계기구설치 건수,2010-10-22,https://kosis.kr/,1984년 기계기구설치 건수은 28건으로 집계됐다.,-,-,국내공식통계,Y,종합건설업조사,기계기구설치 건수,"종합건설업조사, 건수, 기계기구설치",-,-,-,,-,-,-,1984,-,Y,확정,28건,KOSIS_VALUE,KOSIS_OPEN_API,기계기구설치 건수,,1984,Y,hcx,현재값,28,-,-,N,건,현재값,-,-,1984년 기계기구설치 건수은 28건으로 집계됐다.,high,N,-,N,0,0,BLIND_KOSIS_OFFICIAL_COORDINATE,v32-identifiable-ready-unused-coordinate-r1,2026-08-20T15:22:58.515302+00:00,기계기구설치 건수,,1984,Y,1984,exact,건,건,count,count,item,,direct,기계기구설치,KOSIS_API_PRE_PREDICTION_TABLE_DISJOINT_FIXTURE,Y,Y,FULL_KOSIS,365,TX_36501_A653,본사소재지별/세분공사종류별/발주기관별 계약실적 - 지방자치단체(1984),16365AAD2,건수,15365AH0ABAR,기계기구설치,Y,1984,28,건,28,UNIQUE,HIGH,v31b 동결 후 예측 전 KOSIS API+PostgreSQL 좌표 잠금,https://kosis.kr/,2026-08-20T15:22:58.515302+00:00,KOSIS_OPEN_API_PRE_PREDICTION,N,N,11101HJG00,전국,,,,,,,,,,,,
V32BLIND-003,V32BLIND-003-m1,V32BLIND-003,1984년 종합건설업조사 본사소재지별/세분공사종류별/발주기관별 계약실적 - 지방자치단체(1984) 주택 금액,2010-10-22,https://kosis.kr/,"1984년 주택 금액은 4,687백만원으로 집계됐다.",-,-,국내공식통계,Y,종합건설업조사,주택 금액,"종합건설업조사, 금액, 주택",-,-,-,,-,-,-,1984,-,Y,확정,"4,687백만원",KOSIS_VALUE,KOSIS_OPEN_API,주택 금액,,1984,Y,hcx,현재값,4687,-,-,N,백만원,현재값,-,-,"1984년 주택 금액은 4,687백만원으로 집계됐다.",high,N,-,N,0,0,BLIND_KOSIS_OFFICIAL_COORDINATE,v32-identifiable-ready-unused-coordinate-r1,2026-08-20T15:22:58.515302+00:00,주택 금액,,1984,Y,1984,exact,백만원,백만원,currency,level,item,,direct,주택,KOSIS_API_PRE_PREDICTION_TABLE_DISJOINT_FIXTURE,Y,Y,FULL_KOSIS,365,TX_36501_A653,본사소재지별/세분공사종류별/발주기관별 계약실적 - 지방자치단체(1984),16365AAB6,금액,15365AH0ABAx,주택,Y,1984,4687,백만원,4687,UNIQUE,HIGH,v31b 동결 후 예측 전 KOSIS API+PostgreSQL 좌표 잠금,https://kosis.kr/,2026-08-20T15:22:58.515302+00:00,KOSIS_OPEN_API_PRE_PREDICTION,N,N,11101HJG00,전국,,,,,,,,,,,,
V32BLIND-004,V32BLIND-004-m1,V32BLIND-004,2025년 건강기능식품산업현황 건강기능식품 제조업체 지역별 종업원 수 종업원수,2026-06-19,https://kosis.kr/,"2025년 종업원수은 24,456명으로 집계됐다.",-,-,국내공식통계,Y,건강기능식품산업현황,종업원수,"건강기능식품산업현황, 종업원수",-,-,-,,-,-,-,2025,-,Y,확정,"24,456명",KOSIS_VALUE,KOSIS_OPEN_API,종업원수,,2025,Y,hcx,현재값,24456,-,-,N,명,현재값,-,-,"2025년 종업원수은 24,456명으로 집계됐다.",high,N,-,N,0,0,BLIND_KOSIS_OFFICIAL_COORDINATE,v32-identifiable-ready-unused-coordinate-r1,2026-08-20T15:22:58.515302+00:00,종업원수,,2025,Y,2025,exact,명,명,person_count,count,item,,direct,,KOSIS_API_PRE_PREDICTION_TABLE_DISJOINT_FIXTURE,Y,Y,FULL_KOSIS,145,DT_145010_007,건강기능식품 제조업체 지역별 종업원 수,T001,종업원수,00,전체,Y,2025,24456,명,24456,UNIQUE,HIGH,v31b 동결 후 예측 전 KOSIS API+PostgreSQL 좌표 잠금,https://kosis.kr/,2026-08-20T15:22:58.515302+00:00,KOSIS_OPEN_API_PRE_PREDICTION,N,N,,,,,,,,,,,,,,
V32BLIND-005,V32BLIND-005-m1,V32BLIND-005,2025년 건강기능식품산업현황 건강기능식품 제조업체 지역별 종업원 수 경기도 종업원수,2026-06-19,https://kosis.kr/,"2025년 경기도 종업원수은 6,644명으로 집계됐다.",-,-,국내공식통계,Y,건강기능식품산업현황,경기도 종업원수,"건강기능식품산업현황, 종업원수, 경기도",경기도,-,-,,-,-,-,2025,-,Y,확정,"6,644명",KOSIS_VALUE,KOSIS_OPEN_API,경기도 종업원수,,2025,Y,hcx,현재값,6644,-,-,N,명,현재값,-,-,"2025년 경기도 종업원수은 6,644명으로 집계됐다.",high,N,-,N,0,0,BLIND_KOSIS_OFFICIAL_COORDINATE,v32-identifiable-ready-unused-coordinate-r1,2026-08-20T15:22:58.515302+00:00,경기도 종업원수,,2025,Y,2025,exact,명,명,person_count,count,item,,direct,경기도,KOSIS_API_PRE_PREDICTION_TABLE_DISJOINT_FIXTURE,Y,Y,FULL_KOSIS,145,DT_145010_007,건강기능식품 제조업체 지역별 종업원 수,T001,종업원수,31,경기도,Y,2025,6644,명,6644,UNIQUE,HIGH,v31b 동결 후 예측 전 KOSIS API+PostgreSQL 좌표 잠금,https://kosis.kr/,2026-08-20T15:22:58.515302+00:00,KOSIS_OPEN_API_PRE_PREDICTION,N,N,,,,,,,,,,,,,,
V32BLIND-006,V32BLIND-006-m1,V32BLIND-006,2025년 건강기능식품산업현황 건강기능식품 제조업체 지역별 종업원 수 전라남도 종업원수,2026-06-19,https://kosis.kr/,2025년 전라남도 종업원수은 756명으로 집계됐다.,-,-,국내공식통계,Y,건강기능식품산업현황,전라남도 종업원수,"건강기능식품산업현황, 종업원수, 전라남도",전라남도,-,-,,-,-,-,2025,-,Y,확정,756명,KOSIS_VALUE,KOSIS_OPEN_API,전라남도 종업원수,,2025,Y,hcx,현재값,756,-,-,N,명,현재값,-,-,2025년 전라남도 종업원수은 756명으로 집계됐다.,high,N,-,N,0,0,BLIND_KOSIS_OFFICIAL_COORDINATE,v32-identifiable-ready-unused-coordinate-r1,2026-08-20T15:22:58.515302+00:00,전라남도 종업원수,,2025,Y,2025,exact,명,명,person_count,count,item,,direct,전라남도,KOSIS_API_PRE_PREDICTION_TABLE_DISJOINT_FIXTURE,Y,Y,FULL_KOSIS,145,DT_145010_007,건강기능식품 제조업체 지역별 종업원 수,T001,종업원수,36,전라남도,Y,2025,756,명,756,UNIQUE,HIGH,v31b 동결 후 예측 전 KOSIS API+PostgreSQL 좌표 잠금,https://kosis.kr/,2026-08-20T15:22:58.515302+00:00,KOSIS_OPEN_API_PRE_PREDICTION,N,N,,,,,,,,,,,,,,
V32BLIND-007,V32BLIND-007-m1,V32BLIND-007,2004년 국세통계 자산규모별 외국인 투자법인수 [1997~2004] 외국인 투자법인수,2014-05-26,https://kosis.kr/,"2004년 외국인 투자법인수은 4,889개으로 집계됐다.",-,-,국내공식통계,Y,국세통계,외국인 투자법인수,"국세통계, 외국인 투자법인수",-,-,-,,-,-,-,2004,-,Y,확정,"4,889개",KOSIS_VALUE,KOSIS_OPEN_API,외국인 투자법인수,,2004,Y,hcx,현재값,4889,-,-,N,개,현재값,-,-,"2004년 외국인 투자법인수은 4,889개으로 집계됐다.",high,N,-,N,0,0,BLIND_KOSIS_OFFICIAL_COORDINATE,v32-identifiable-ready-unused-coordinate-r1,2026-08-20T15:22:58.515302+00:00,외국인 투자법인수,,2004,Y,2004,exact,개,개,count,count,item,,direct,,KOSIS_API_PRE_PREDICTION_TABLE_DISJOINT_FIXTURE,Y,Y,FULL_KOSIS,133,TX_13301_A364,자산규모별 외국인 투자법인수 [1997~2004],16133AAX4,외국인 투자법인수,15133AB500,합계,Y,2004,4889,개,4889,UNIQUE,HIGH,v31b 동결 후 예측 전 KOSIS API+PostgreSQL 좌표 잠금,https://kosis.kr/,2026-08-20T15:22:58.515302+00:00,KOSIS_OPEN_API_PRE_PREDICTION,N,N,15133AE800,합계,,,,,,,,,,,,
V32BLIND-008,V32BLIND-008-m1,V32BLIND-008,2004년 국세통계 자산규모별 외국인 투자법인수 [1997~2004] 10억미만 외국인 투자법인수,2014-05-26,https://kosis.kr/,"2004년 10억미만 외국인 투자법인수은 2,368개으로 집계됐다.",-,-,국내공식통계,Y,국세통계,10억미만 외국인 투자법인수,"국세통계, 외국인 투자법인수, 10억미만",-,-,-,,-,-,-,2004,-,Y,확정,"2,368개",KOSIS_VALUE,KOSIS_OPEN_API,10억미만 외국인 투자법인수,,2004,Y,hcx,현재값,2368,-,-,N,개,현재값,-,-,"2004년 10억미만 외국인 투자법인수은 2,368개으로 집계됐다.",high,N,-,N,0,0,BLIND_KOSIS_OFFICIAL_COORDINATE,v32-identifiable-ready-unused-coordinate-r1,2026-08-20T15:22:58.515302+00:00,10억미만 외국인 투자법인수,,2004,Y,2004,exact,개,개,count,count,item,,direct,10억미만,KOSIS_API_PRE_PREDICTION_TABLE_DISJOINT_FIXTURE,Y,Y,FULL_KOSIS,133,TX_13301_A364,자산규모별 외국인 투자법인수 [1997~2004],16133AAX4,외국인 투자법인수,15133AB500,합계,Y,2004,2368,개,2368,UNIQUE,HIGH,v31b 동결 후 예측 전 KOSIS API+PostgreSQL 좌표 잠금,https://kosis.kr/,2026-08-20T15:22:58.515302+00:00,KOSIS_OPEN_API_PRE_PREDICTION,N,N,15133AE8D0A5,10억미만,,,,,,,,,,,,
V32BLIND-009,V32BLIND-009-m1,V32BLIND-009,2004년 국세통계 자산규모별 외국인 투자법인수 [1997~2004] 대전청 외국인 투자법인수,2014-05-26,https://kosis.kr/,2004년 대전청 외국인 투자법인수은 211개으로 집계됐다.,-,-,국내공식통계,Y,국세통계,대전청 외국인 투자법인수,"국세통계, 외국인 투자법인수, 대전청",-,-,-,,-,-,-,2004,-,Y,확정,211개,KOSIS_VALUE,KOSIS_OPEN_API,대전청 외국인 투자법인수,,2004,Y,hcx,현재값,211,-,-,N,개,현재값,-,-,2004년 대전청 외국인 투자법인수은 211개으로 집계됐다.,high,N,-,N,0,0,BLIND_KOSIS_OFFICIAL_COORDINATE,v32-identifiable-ready-unused-coordinate-r1,2026-08-20T15:22:58.515302+00:00,대전청 외국인 투자법인수,,2004,Y,2004,exact,개,개,count,count,item,,direct,대전청,KOSIS_API_PRE_PREDICTION_TABLE_DISJOINT_FIXTURE,Y,Y,FULL_KOSIS,133,TX_13301_A364,자산규모별 외국인 투자법인수 [1997~2004],16133AAX4,외국인 투자법인수,15133AB5B0,대전청,Y,2004,211,개,211,UNIQUE,HIGH,v31b 동결 후 예측 전 KOSIS API+PostgreSQL 좌표 잠금,https://kosis.kr/,2026-08-20T15:22:58.515302+00:00,KOSIS_OPEN_API_PRE_PREDICTION,N,N,15133AE800,합계,,,,,,,,,,,,
V32BLIND-010,V32BLIND-010-m1,V32BLIND-010,1989년 3월 범죄분석통계 군인범죄자 처분결과(해군) 범죄자 수,,https://kosis.kr/,1989년 3월 범죄자 수은 349명으로 집계됐다.,-,-,국내공식통계,Y,범죄분석통계,범죄자 수,"범죄분석통계, 범죄자 수",-,-,-,,-,-,-,198903,-,M,확정,349명,KOSIS_VALUE,KOSIS_OPEN_API,범죄자 수,,198903,M,hcx,현재값,349,-,-,N,명,현재값,-,-,1989년 3월 범죄자 수은 349명으로 집계됐다.,high,N,-,N,0,0,BLIND_KOSIS_OFFICIAL_COORDINATE,v32-identifiable-ready-unused-coordinate-r1,2026-08-20T15:22:58.515302+00:00,범죄자 수,,198903,M,198903,exact,명,명,person_count,count,item,,direct,,KOSIS_API_PRE_PREDICTION_TABLE_DISJOINT_FIXTURE,Y,Y,FULL_KOSIS,135,TX_13501_A383,군인범죄자 처분결과(해군),16135AAD3,범죄자 수,15135AA000,총계,M,198903,349,명,349,UNIQUE,HIGH,v31b 동결 후 예측 전 KOSIS API+PostgreSQL 좌표 잠금,https://kosis.kr/,2026-08-20T15:22:58.515302+00:00,KOSIS_OPEN_API_PRE_PREDICTION,N,N,15135AC900,총계,,,,,,,,,,,,
