claim_measurement_id,gold_coordinate_status,gold_org_id,gold_tbl_id,gold_itm_id,gold_obj_values,gold_prd_se,gold_period,prediction_present,candidate_count,table_rank,item_rank,coordinate_rank,full_rank
V32BLIND-001-m1,UNIQUE,365,TX_36501_A653,16365AAB6,15365AH000|11101HJG00,Y,1984,Y,3,1,1,1,1
V32BLIND-002-m1,UNIQUE,365,TX_36501_A653,16365AAD2,15365AH0ABAR|11101HJG00,Y,1984,Y,5,1,1,1,1
V32BLIND-003-m1,UNIQUE,365,TX_36501_A653,16365AAB6,15365AH0ABAx|11101HJG00,Y,1984,Y,5,1,1,1,1
V32BLIND-004-m1,UNIQUE,145,DT_145010_007,T001,00,Y,2025,Y,5,1,1,1,1
V32BLIND-005-m1,UNIQUE,145,DT_145010_007,T001,31,Y,2025,Y,3,1,1,1,1
V32BLIND-006-m1,UNIQUE,145,DT_145010_007,T001,36,Y,2025,Y,3,1,1,1,1
V32BLIND-007-m1,UNIQUE,133,TX_13301_A364,16133AAX4,15133AB500|15133AE800,Y,2004,Y,5,1,1,1,1
V32BLIND-008-m1,UNIQUE,133,TX_13301_A364,16133AAX4,15133AB500|15133AE8D0A5,Y,2004,Y,3,1,1,1,1
V32BLIND-009-m1,UNIQUE,133,TX_13301_A364,16133AAX4,15133AB5B0|15133AE800,Y,2004,Y,3,1,1,1,1
V32BLIND-010-m1,UNIQUE,135,TX_13501_A383,16135AAD3,15135AA000|15135AC900,M,198903,Y,5,1,1,1,1
V32BLIND-011-m1,UNIQUE,135,TX_13501_A383,16135AAD3,15135AA0A0D9|15135AC900,M,198903,Y,5,3,3,3,3
V32BLIND-012-m1,UNIQUE,135,TX_13501_A383,16135AAD3,15135AA0A5A0|15135AC900,M,198903,Y,5,1,1,1,1
V32BLIND-013-m1,UNIQUE,101,DT_1DA7010,T30,00,Q,201704,Y,5,1,1,1,1
V32BLIND-014-m1,UNIQUE,101,DT_1DA7010,T30,41,Q,201704,Y,4,1,1,1,1
V32BLIND-015-m1,UNIQUE,101,DT_1DA7010,T30,51,Q,201704,Y,3,1,1,1,1
V32BLIND-016-m1,UNIQUE,101,DT_1B26001_A01,T10,00,M,202606,Y,5,1,1,1,1
V32BLIND-017-m1,UNIQUE,101,DT_1B26001_A01,T32,11200,M,202606,Y,5,1,1,1,1
V32BLIND-018-m1,UNIQUE,101,DT_1B26001_A01,T20,51790,M,202606,Y,5,1,1,1,1
V32BLIND-019-m1,UNIQUE,408,DT_08002_10_010A,T001,0001|0001,M,202606,Y,5,1,1,1,1
V32BLIND-020-m1,UNIQUE,408,DT_08002_10_010A,T001,00020001|0001,M,202606,Y,5,1,1,1,1
V32BLIND-021-m1,UNIQUE,408,DT_08002_10_010A,T001,00030002|0001,M,202606,Y,5,1,1,1,1
V32BLIND-022-m1,UNIQUE,131,DT_13103_C013,T1,A01|B01,Q,202504,Y,5,4,4,4,4
V32BLIND-023-m1,UNIQUE,131,DT_13103_C013,T2,A01|B06,Q,202504,Y,5,1,1,,
V32BLIND-024-m1,UNIQUE,131,DT_13103_C013,T1,A01|B05,Q,202504,Y,5,1,1,1,1
V32BLIND-025-m1,UNIQUE,408,DT_40801_N3303_02,H3,10,Q,201904,Y,5,3,3,3,3
V32BLIND-026-m1,UNIQUE,408,DT_40801_N3303_02,H2,41024,Q,201904,Y,0,,,,
V32BLIND-027-m1,UNIQUE,408,DT_40801_N3303_02,H4,43002,Q,201904,Y,5,3,3,3,3
V32BLIND-028-m1,UNIQUE,357,DT_357001_LJ00102,bb,13,M,202312,Y,5,1,1,1,1
V32BLIND-029-m1,UNIQUE,357,DT_357001_LJ00102,bb,1201,M,202312,Y,4,1,1,3,3
V32BLIND-030-m1,UNIQUE,357,DT_357001_LJ00102,bb,1102,M,202312,Y,4,1,1,1,1
