claim_measurement_id,gold_org_id,gold_tbl_id,prediction_present,table_rank,item_recall_terms,item_recall_hit_count
V32BLIND-001-m1,365,TX_36501_A653,Y,1,금액|종합건설업조사,300
V32BLIND-002-m1,365,TX_36501_A653,Y,1,건수|기계기구설치|종합건설업조사|기계기구설치 건수,300
V32BLIND-003-m1,365,TX_36501_A653,Y,1,금액|주택|종합건설업조사|주택 금액,300
V32BLIND-004-m1,145,DT_145010_007,Y,1,종업원수|종업원|건강기능식품산업현황,80
V32BLIND-005-m1,145,DT_145010_007,Y,1,종업원수|경기도|종업원|건강기능식품산업현황|경기도 종업원수,300
V32BLIND-006-m1,145,DT_145010_007,Y,1,종업원수|전라남도|종업원|건강기능식품산업현황|전라남도 종업원수,300
V32BLIND-007-m1,133,TX_13301_A364,Y,1,투자법인수|외국인|투자법인|국세통계|외국인 투자법인수,300
V32BLIND-008-m1,133,TX_13301_A364,Y,1,투자법인수|10|억미만|외국인|투자법인|10억미만|국세통계|10억미만 외국인 투자법인수|외국인 투자법인수,300
V32BLIND-009-m1,133,TX_13301_A364,Y,1,투자법인수|대전청|외국인|투자법인|국세통계|대전청 외국인 투자법인수|외국인 투자법인수,300
V32BLIND-010-m1,135,TX_13501_A383,Y,1,범죄자|범죄분석통계|범죄자 수,35
V32BLIND-011-m1,135,TX_13501_A383,Y,1,업무상|과실치사상|범죄자|범죄분석통계|업무상 과실치사상 범죄자 수|업무상 과실치사상|범죄자 수,63
V32BLIND-012-m1,135,TX_13501_A383,Y,1,군무이탈|범죄자|범죄분석통계|군무이탈 범죄자 수|범죄자 수,46
V32BLIND-013-m1,101,DT_1DA7010,Y,1,취업자|경제활동인구조사,129
V32BLIND-014-m1,101,DT_1DA7010,Y,1,현재인원|인원|상용근로자|취업자|경제활동인구조사|상용근로자 취업자,130
V32BLIND-015-m1,101,DT_1DA7010,Y,1,현재인원|인원|임시근로자|취업자|경제활동인구조사|임시근로자 취업자,130
V32BLIND-016-m1,101,DT_1B26001_A01,Y,1,총전입|국내인구이동통계,7
V32BLIND-017-m1,101,DT_1B26001_A01,Y,1,성동구|시도내이동|시군구간|전출|국내인구이동통계|성동구 시도내이동-시군구간 전출|시도내이동-시군구간 전출,20
V32BLIND-018-m1,101,DT_1B26001_A01,Y,1,화천군|총전출|국내인구이동통계|화천군 총전출,19
V32BLIND-019-m1,408,DT_08002_10_010A,Y,1,수익률|오피스텔가격동향조사,4
V32BLIND-020-m1,408,DT_08002_10_010A,Y,2,수익률|서울|오피스텔가격동향조사|서울 수익률,7
V32BLIND-021-m1,408,DT_08002_10_010A,Y,1,수익률|대구|오피스텔가격동향조사|대구 수익률,8
V32BLIND-022-m1,131,DT_13103_C013,Y,1,건수|조달통계,31
V32BLIND-023-m1,131,DT_13103_C013,Y,1,금액|미분류|조달통계|미분류 금액,41
V32BLIND-024-m1,131,DT_13103_C013,Y,1,건수|기술용역|조달통계|기술용역 건수,31
V32BLIND-025-m1,408,DT_40801_N3303_02,Y,3,영업경비|상업용부동산임대동향조사,24
V32BLIND-026-m1,408,DT_40801_N3303_02,Y,,수입액|오산시청|기타수입|상업용부동산임대동향조사|오산시청 기타수입,174
V32BLIND-027-m1,408,DT_40801_N3303_02,Y,3,순영업소득|용담동우체국|상업용부동산임대동향조사|용담동우체국 순영업소득,74
V32BLIND-028-m1,357,DT_357001_LJ00102,Y,1,여객사고|발생현황|한국철도통계|여객사고 발생현황,0
V32BLIND-029-m1,357,DT_357001_LJ00102,Y,1,사망인원|여객사고|발생현황|한국철도통계|사망인원 여객사고 발생현황|여객사고 발생현황,2
V32BLIND-030-m1,357,DT_357001_LJ00102,Y,1,부상인원|여객사고|발생현황|한국철도통계|부상인원 여객사고 발생현황|여객사고 발생현황,2
