claim_measurement_id,gold_coordinate_status,gold_org_id,gold_tbl_id,gold_itm_id,gold_obj_values,gold_prd_se,gold_period,candidate_count,table_rank,item_rank,coordinate_rank,full_rank
A0006-SP270B11DBD0-m1,UNIQUE,127,DT_092_115_2009_S023,13103131003T1,13102131003A.AF11100000,M,202412,5,4,4,4,4
A0006-SP270B11DBD0-m2,UNIQUE,127,DT_092_115_2009_S023,13103131003T1,13102131003A.AF11100000,M,202412,5,,,,
A0006-SP382DCE21AF-m1,ALTERNATE_RESOLVED,360,DT_1R11001_FRM101,13103112831T1,13102112831A.A,Y,2024,7,1,1,1,1
A0006-SP9282109973-m1,UNIQUE,127,DT_127005_005,T001,A020101,Y,2024,5,,,,
A0006-SP9282109973-m2,UNIQUE,127,DT_127005_005,T001,A020101,Y,2024,7,,,,
A0006-SP9461F3F4FE-m1,UNIQUE,360,DT_1R11001_FRM101,13103112831T1,13102112831A.A,M,202412,5,2,2,2,2
A0006-SP9461F3F4FE-m2,ALTERNATE_RESOLVED,360,DT_1R11001_FRM101,13103112831T1,13102112831A.A,M,202412,5,,,,
A0006-SPBCB2234D20-m1,UNIQUE,360,DT_1R11001_FRM101,13103112831T2,13102112831A.A,Y,2024,5,5,5,5,5
A0012-SP13E0E2E6EE-m2,UNIQUE,115,DT_115_2012_AA001,00,AAA.OZ6|70,Y,2022,5,,,,
A0012-SP13E0E2E6EE-m3,UNIQUE,115,DT_115_2012_AA001,00,AAA.OZ6|70,Y,2023,5,,,,
A0012-SP80940BC114-m2,UNIQUE,115,DT_115_2012_AA001,00,AAA.OZ6|AA001,Y,2022,5,1,1,1,1
A0012-SP80940BC114-m3,UNIQUE,115,DT_115_2012_AA001,00,AAA.OZ6|AA001,Y,2022,5,1,1,1,1
A0012-SP80940BC114-m4,UNIQUE,115,DT_115_2012_AA001,00,AAA.OZ6|AA001,Y,2023,5,1,1,1,1
A0012-SPE7F554D64E-m1,UNIQUE,115,DT_115_2012_AA001,00,AAA.OZ6|AA001,Y,2023,5,1,1,1,1
A0012-SPE7F554D64E-m2,UNIQUE,115,DT_115_2012_AA001,00,AAA.OZ6|AA001,Y,2023,5,1,1,1,1
A0012-SPFEFB3037E3-m1,UNIQUE,115,DT_115_2012_AA001,00,AAA.OZ6|70,Y,2022,5,1,1,1,1
A0012-SPFEFB3037E3-m2,UNIQUE,115,DT_115_2012_AA001,00,AAA.OZ6|70,Y,2023,5,3,3,3,3
A0018-SP2F67F9842A-m1,UNIQUE,127,DT_127005_005,T001,A020101,Y,2024,7,,,,
A0018-SP32C9008706-m1,UNIQUE,360,DT_1R11001_FRM101,13103112831T1,13102112831A.A,Y,2024,7,1,1,1,1
A0018-SP32C9008706-m3,UNIQUE,360,DT_1R11001_FRM101,13103112831T1,13102112831A.A,Y,2024,5,1,1,1,1
A0018-SP33EC69A061-m1,UNIQUE,360,DT_1R11001_FRM101,13103112831T2,13102112831A.A,Y,2024,5,1,1,1,1
A0018-SP33EC69A061-m2,ALTERNATE_RESOLVED,360,DT_1R11001_FRM101,13103112831T2,13102112831A.A,Y,2024,7,1,1,1,1
A0018-SP6C1F318589-m1,UNIQUE,360,DT_1R11001_FRM101,13103112831T1,13102112831A.A,M,202412,5,1,1,1,1
A0018-SP6C1F318589-m2,ALTERNATE_RESOLVED,360,DT_1R11001_FRM101,13103112831T1,13102112831A.A,M,202412,5,3,3,3,3
A0018-SP8114050F3A-m1,UNIQUE,360,DT_1R11001_FRM101,13103112831T1,13102112831A.A,M,202408,5,2,2,2,2
A0018-SP8114050F3A-m2,UNIQUE,127,DT_092_115_2009_S023,13103131003T1,13102131003A.AF11100000,M,202412,5,3,3,3,3
A0018-SPBAED6BB4CA-m2,UNIQUE,360,DT_1R11001_FRM101,13103112831T1,13102112831A.A,Y,2024,7,1,1,1,1
A0023-SP5A84C92CFD-m1,UNIQUE,101,DT_1K41012,T2,G0,M,202411,5,1,1,1,1
A0031-SP041EDC0971-m1,UNIQUE,360,DT_1R11001_FRM101,13103112831T1,13102112831A.A,Y,2024,5,1,1,1,1
A0041-SP87530E5592-m3,UNIQUE,101,DT_1J22041,T,0,Y,2024,5,,,,
