claim_id,claim_measurement_id,article_id,title,date,url,claim_text,measurement_text,measurement_indicator,measurement_item,value,unit,measurement_period,measurement_prd_se,measurement_usage,claim_domain_scope,measurement_binding_source,measurement_role,gold_verifiable,gold_measurement_correct,gold_ready,gold_label_tier,gold_org_id,gold_tbl_id,gold_tbl_name,gold_itm_id,gold_itm_name,gold_obj_l1,gold_obj_l1_name,gold_prd_se,gold_period,gold_previous_period,gold_value_type,gold_derivation_method,gold_source_unit,gold_source_value,gold_source_previous_value,gold_actual_value,gold_claim_signed_value,gold_abs_error,gold_relative_error_pct,gold_tolerance,gold_verdict,gold_coordinate_status,gold_confidence,gold_reason,gold_evidence_url,gold_retrieved_at,gold_label_source,human_reviewed,gold_inherited_claim_measurement_id,gold_relock_reason,prev_sentence,next_sentence,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_source,value_min,value_max,value_approximate,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_measurement_period,period_alignment_status,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,in_ready,mapping_exclusion_code,mapping_exclusion_reason,mapping_gate,mapping_gate_reason,enrichment_actions,item_ungrounded,dropped_item,period_span_start,period_span_end,period_aggregation,scope_gate_code,scope_gate_reason,scope_gate_severity,scope_gate_blocked,mapping_type,obj_target_terms,retrieval_fallback_code,retrieval_fallback_reason,indicator_fallback_source,unit_dimension_hypotheses,derived_computation_required,verification_review_required,verification_review_reason,allowed_mapping_types,gold_survey_name,gold_obj_l2,gold_obj_l2_name,gold_denominator_obj_l2,gold_denominator_obj_l2_name,gold_mcp_validation
A0006-SP270B11DBD0,A0006-SP270B11DBD0-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,12월 수출도 한국의 최대 수출 품목인 반도체가 31.5% 증가한 145억 달러를 기록하며 호실적을 이끌었다.,31.5%,수출 증가율,반도체,31.5,%,202412,M,KOSIS_VALUE,국내공식통계,hcx,증감률,Y,Y,Y,FULL_KOSIS,127,DT_092_115_2009_S023,IT산업별/월별 수출 현황,13103131003T1,IT산업별/월별 수출 현황,13102131003A.AF11100000,반도체,M,202412,202312,증감률,YOY_FROM_LEVEL,달러,14511028387.0,11066415208.0,31.126729968615873,31.5,0.37327003138412707,1.1849842266162764,absolute_error<=0.5%p,일치,UNIQUE,HIGH,MCP 검색 1위이며 반도체 분류 코드가 직접 존재,https://kosis.kr/statHtml/statHtml.do?orgId=127&tblId=DT_092_115_2009_S023&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1_RELOCKED_V20,N,A0006-SP270B11DBD0-m1,READY52 기사·주장·측정값 완전일치 후 기존 실제 좌표 재잠금,"전년 대비 월간 수출 증가율은 8월(11%), 9월(7.5%), 10월(4.6%), 11월(1.4%)로 계속 감소 중이었으나, 12월에 6.6%로 반등에 성공한 것이다.",-,Y,무역,수출 증가율,"수출, 반도체, 증가율, 달러",-,-,-,반도체,-,-,-,202412,-,M,확정,hcx,-,-,N,증감률,증가,전년동월,12월 수출도 한국의 최대 수출 품목인 반도체가 31.5% 증가한 145억 달러를 기록하며 호실적을 이끌었다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,반도체,202412,M,202412,,%,%,rate,rate_change,item,202312,Y,Y,,,READY,ELIGIBLE,,N,,,,,,,,N,,,DERIVED_VALUE_REQUIRES_COMPUTATION,증감값은 직접 공표 ITEM 확인 또는 수준값 재계산 필요,,rate,Y,N,,direct|rate_from_level,,,,,,
A0006-SP270B11DBD0,A0006-SP270B11DBD0-m2,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,12월 수출도 한국의 최대 수출 품목인 반도체가 31.5% 증가한 145억 달러를 기록하며 호실적을 이끌었다.,145억 달러,수출액,반도체,14500000000.0,달러,202412,M,KOSIS_VALUE,국내공식통계,hcx,현재값,Y,Y,Y,FULL_KOSIS,127,DT_092_115_2009_S023,IT산업별/월별 수출 현황,13103131003T1,IT산업별/월별 수출 현황,13102131003A.AF11100000,반도체,M,202412,N/A,수준값,DIRECT,달러,14511028387.0,N/A,14511028387.0,14500000000.0,11028387.0,0.07605784137931035,relative_error<=0.5%,일치,UNIQUE,HIGH,MCP 검색 1위이며 반도체 분류 코드가 직접 존재,https://kosis.kr/statHtml/statHtml.do?orgId=127&tblId=DT_092_115_2009_S023&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1_RELOCKED_V20,N,A0006-SP270B11DBD0-m2,READY52 기사·주장·측정값 완전일치 후 기존 실제 좌표 재잠금,"전년 대비 월간 수출 증가율은 8월(11%), 9월(7.5%), 10월(4.6%), 11월(1.4%)로 계속 감소 중이었으나, 12월에 6.6%로 반등에 성공한 것이다.",-,Y,무역,수출액,"수출, 반도체, 증가율, 달러",-,-,-,반도체,-,-,-,202412,-,M,확정,hcx,-,-,N,수준값,증가,전년동월,12월 수출도 한국의 최대 수출 품목인 반도체가 31.5% 증가한 145억 달러를 기록하며 호실적을 이끌었다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,반도체,202412,M,202412,,달러,달러,currency,amount,item,,Y,Y,,,READY,ELIGIBLE,,N,,,,,,,,N,direct,,,,,currency,N,N,,,,,,,,
A0006-SP382DCE21AF,A0006-SP382DCE21AF-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,6838억 달러,수출액,-,683800000000.0,달러,2024,Y,KOSIS_VALUE,국내공식통계,hcx,현재값,Y,Y,Y,FULL_KOSIS,360,DT_1R11001_FRM101,품목별 수출액 수입액,13103112831T1,수출액,13102112831A.A,총액,Y,2024,N/A,수준값,DIRECT,천달러,683609488.0,N/A,683609488000.0,683800000000.0,190512000.0,0.027860778005264698,relative_error<=0.5%,일치,ALTERNATE_RESOLVED,HIGH,MCP 총수출액 검색 1위; 국가별 표의 계와 값이 같은 공식 대체 좌표,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1_RELOCKED_V20,N,A0006-SP382DCE21AF-m1,READY52 기사·주장·측정값 완전일치 후 기존 실제 좌표 재잠금,-,"이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",N,무역,수출액,"수출, 역대 최대, 달러, 경신",-,-,-,,-,-,-,2024,-,Y,확정,hcx,-,-,N,수준값,증가,전년,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,,2024,Y,2024,,달러,달러,currency,amount,unspecified,,Y,Y,,,READY,ELIGIBLE,,N,,,,sum,,,,N,direct,,,,,currency,N,N,,,,,,,,
A0006-SP9282109973,A0006-SP9282109973-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",43.9%,반도체 수출 증감률,반도체,43.9,%,2024,Y,KOSIS_VALUE,국내공식통계,hcx,증감률,Y,Y,Y,FULL_KOSIS_MCP_V20,127,DT_127005_005,수출 및 수입액,T001,수출액,A020101,반도체,Y,2024,2023,,YOY_FROM_LEVEL,백만US$,142086,99704,42.50782315654338,,,,,,UNIQUE,HIGH,MCP로 반도체·수출액 분류와 2023~2024 실제 값을 확인,https://kosis.kr/statHtml/statHtml.do?orgId=127&tblId=DT_127005_005&vw_cd=MT_ZTITLE,2026-08-19T00:00:00+09:00,KOSIS_MCP_ACTUAL_QUERY_20260819,N,,,"지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.",N,무역,반도체 수출 증감률,"반도체, 자동차, 바이오, 농수산, 화장품",-,-,-,반도체,-,-,-,2024,-,Y,확정,hcx,-,-,N,증감률,증가,전년,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,"반도체, 자동차, 바이오, 농수산, 화장품",2024,Y,2024,,%,%,rate,rate_change,vehicle,2023,Y,Y,,,READY,ELIGIBLE,,N,,,,,,,,N,,,DERIVED_VALUE_REQUIRES_COMPUTATION,증감값은 직접 공표 ITEM 확인 또는 수준값 재계산 필요,,rate,Y,N,,direct|rate_from_level,ICT실태조사,,,,,search_or_known_table->validate->table_info->get_data
A0006-SP9282109973,A0006-SP9282109973-m2,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",1419억 달러,반도체 수출액,반도체,141900000000.0,달러,2024,Y,KOSIS_VALUE,국내공식통계,hcx,현재값,Y,Y,Y,FULL_KOSIS,127,DT_127005_005,수출 및 수입액,T001,수출액,A020101,반도체,Y,2024,N/A,수준값,DIRECT,백만US$,142086.0,N/A,142086000000.0,141900000000.0,186000000.0,0.13107822410147993,relative_error<=0.5%,일치,UNIQUE,HIGH,MCP 메타에 반도체와 수출액 코드가 직접 존재,https://kosis.kr/statHtml/statHtml.do?orgId=127&tblId=DT_127005_005&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1_RELOCKED_V20,N,A0006-SP9282109973-m2,READY52 기사·주장·측정값 완전일치 후 기존 실제 좌표 재잠금,"지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.",N,무역,반도체 수출액,"반도체, 자동차, 바이오, 농수산, 화장품",-,-,-,반도체,-,-,-,2024,-,Y,확정,hcx,-,-,N,수준값,증가,전년,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,"반도체, 자동차, 바이오, 농수산, 화장품",2024,Y,2024,,달러,달러,currency,amount,vehicle,,Y,Y,,,READY,ELIGIBLE,,N,,,,sum,,,,N,direct,,,,,currency,N,N,,,,,,,,
A0006-SP9461F3F4FE,A0006-SP9461F3F4FE-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,614억달러,총수출액,-,61400000000,달러,2024,M,KOSIS_VALUE,국내공식통계,hcx,현재값,Y,Y,Y,FULL_KOSIS_MCP_V20,360,DT_1R11001_FRM101,품목별 수출액 수입액,13103112831T1,수출액,13102112831A.A,총액,M,202412,,,DIRECT,천달러,61359250,,61359250,,,,,,UNIQUE,HIGH,기사의 '12월'을 202412로 보존하고 MCP 월 자료를 확인,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE,2026-08-19T00:00:00+09:00,KOSIS_MCP_ACTUAL_QUERY_20260819,N,,,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.",15개월 연속 플러스 흐름을 이어간 것이다.,Y,무역,총수출액,"수출, 달러, 역대 최대, 경신",-,-,-,,-,-,-,202412,-,M,확정,hcx,-,-,N,수준값,증가,전년동월,지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,,2024,M,2024,SINGLE_MONTH_FROM_TEXT,달러,달러,currency,amount,unspecified,,Y,Y,,,READY,ELIGIBLE,,N,,,,,,,,N,direct,,,,,currency,N,N,,,SITC에의한무역통계,,,,,search_or_known_table->validate->table_info->get_data
A0006-SP9461F3F4FE,A0006-SP9461F3F4FE-m2,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,6.6%,수출 증가율,-,6.6,%,2024,M,KOSIS_VALUE,국내공식통계,hcx,증감률,Y,Y,Y,FULL_KOSIS,360,DT_1R11001_FRM101,품목별 수출액 수입액,13103112831T1,수출액,13102112831A.A,총액,M,202412,202312,증감률,YOY_FROM_LEVEL,천달러,61359250.0,57573193.0,6.576076126262453,6.6,0.02392387373754623,0.36248293541736715,absolute_error<=0.5%p,일치,ALTERNATE_RESOLVED,HIGH,기사의 지난 12월을 202412로 정규화하고 전년동월 값으로 계산,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1_RELOCKED_V20,N,A0006-SP9461F3F4FE-m2,READY52 기사·주장·측정값 완전일치 후 기존 실제 좌표 재잠금,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.",15개월 연속 플러스 흐름을 이어간 것이다.,Y,무역,수출 증가율,"수출, 달러, 역대 최대, 경신",-,-,-,,-,-,-,202412,-,M,확정,hcx,-,-,N,증감률,증가,전년동월,지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,,2024,M,2024,SINGLE_MONTH_FROM_TEXT,%,%,rate,rate_change,unspecified,202312,Y,Y,,,READY,ELIGIBLE,,N,,,,,,,,N,,,DERIVED_VALUE_REQUIRES_COMPUTATION,증감값은 직접 공표 ITEM 확인 또는 수준값 재계산 필요,,rate,Y,N,,direct|rate_from_level,,,,,,
A0006-SPBCB2234D20,A0006-SPBCB2234D20-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.,1.6%,전체 수입 증감률,-,1.6,%,2024,Y,KOSIS_VALUE,국내공식통계,hcx,증감률,Y,Y,Y,FULL_KOSIS_MCP_V20,360,DT_1R11001_FRM101,품목별 수출액 수입액,13103112831T2,수입액,13102112831A.A,총액,Y,2024,2023,,YOY_FROM_LEVEL,천달러,631767209,642572126,-1.6815103803615616,,,,,,UNIQUE,HIGH,MCP로 총액·수입액·연 주기와 2023~2024 실제 값을 확인,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE,2026-08-19T00:00:00+09:00,KOSIS_MCP_ACTUAL_QUERY_20260819,N,,,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.,N,무역,전체 수입 증감률,"수입, 증감률, 무역수지",-,-,-,,-,-,-,2024,-,Y,확정,hcx,-,-,N,증감률,감소,전년,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,전체 수입 증감률,,2024,Y,2024,,%,%,rate,rate_change,unspecified,2023,Y,Y,,,READY,ELIGIBLE,,N,,,,,,,,N,,,DERIVED_VALUE_REQUIRES_COMPUTATION,증감값은 직접 공표 ITEM 확인 또는 수준값 재계산 필요,,rate,Y,N,,direct|rate_from_level,SITC에의한무역통계,,,,,search_or_known_table->validate->table_info->get_data
A0012-SP13E0E2E6EE,A0012-SP13E0E2E6EE-m2,A0012,조선업 산업기술인력 9년 만에 다시 상승세,2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/VR4RUPY3CFEGZGFC5M4JPY5SDE,조선 산업기술인력 중 외국인은 2022년 877명에서 2023년 2563명으로 3배 가까이 늘었다.,2563명,조선 산업기술인력 중 외국인 수,조선업,2563,명,2023,Y,KOSIS_VALUE,국내공식통계,hcx,현재값,Y,Y,Y,FULL_KOSIS_MCP_V20,115,DT_115_2012_AA001,산업별(중분류) 현재인원(성별 고용형태별 등),00,산업별(중분류) 현재인원(성별 고용형태별 등),AAA.OZ6,조선,Y,2022,,,DIRECT,명,877,,877,,,,,,UNIQUE,HIGH,MCP로 조선·외국인인력·2022년 실제 값을 확인,https://kosis.kr/statHtml/statHtml.do?orgId=115&tblId=DT_115_2012_AA001&vw_cd=MT_ZTITLE,2026-08-19T00:00:00+09:00,KOSIS_MCP_ACTUAL_QUERY_20260819,N,,,이 숫자가 다시 증가한 것은 최근 외국인 근로 인력이 많아진 덕이다.,이들이 차지하는 비율도 같은 기간 1.5%에서 4.4%로 증가했다.,Y,고용,조선 산업기술인력 중 외국인 수,"조선업, 산업기술인력, 외국인, 2022년, 2023년",-,-,-,조선업,-,-,-,2023,-,Y,확정,hcx,-,-,N,수준값,증가,전년,조선 산업기술인력 중 외국인은 2022년 877명에서 2023년 2563명으로 3배 가까이 늘었다.,high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,조선 산업기술인력 중 외국인 수,조선업,2023,Y,2023,,명,명,person_count,count,item,,Y,Y,,,READY,ELIGIBLE,,N,,,,,,,,N,direct,,,,,person_count,N,N,,,산업기술인력수급실태조사,70,외국인인력,,,search_or_known_table->validate->table_info->get_data
A0012-SP13E0E2E6EE,A0012-SP13E0E2E6EE-m3,A0012,조선업 산업기술인력 9년 만에 다시 상승세,2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/VR4RUPY3CFEGZGFC5M4JPY5SDE,조선 산업기술인력 중 외국인은 2022년 877명에서 2023년 2563명으로 3배 가까이 늘었다.,3배,조선 산업기술인력 중 외국인 증가율,조선업,3,배,2023,Y,KOSIS_VALUE,국내공식통계,hcx,증감률,Y,Y,Y,FULL_KOSIS_MCP_V20,115,DT_115_2012_AA001,산업별(중분류) 현재인원(성별 고용형태별 등),00,산업별(중분류) 현재인원(성별 고용형태별 등),AAA.OZ6,조선,Y,2023,2022,,RATIO_FROM_LEVEL,명,2563,877,2.9224629418472063,,,,,,UNIQUE,HIGH,MCP로 2022년과 2023년 조선 외국인인력의 동일 좌표를 확인,https://kosis.kr/statHtml/statHtml.do?orgId=115&tblId=DT_115_2012_AA001&vw_cd=MT_ZTITLE,2026-08-19T00:00:00+09:00,KOSIS_MCP_ACTUAL_QUERY_20260819,N,,,이 숫자가 다시 증가한 것은 최근 외국인 근로 인력이 많아진 덕이다.,이들이 차지하는 비율도 같은 기간 1.5%에서 4.4%로 증가했다.,Y,고용,조선 산업기술인력 중 외국인 증가율,"조선업, 산업기술인력, 외국인, 2022년, 2023년",-,-,-,조선업,-,-,-,2023,-,Y,확정,hcx,-,-,N,증감률,증가,전년,조선 산업기술인력 중 외국인은 2022년 877명에서 2023년 2563명으로 3배 가까이 늘었다.,high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,조선 산업기술인력 중 외국인 수,조선업,2023,Y,2023,,배,배,multiple,rate_change,item,2022,Y,Y,,,READY,ELIGIBLE,,N,,,,,,,,N,direct,,INDICATOR_UNIT_CONFLICT,비율 지표에 비율 단위가 아님: 조선산업기술인력중외국인증가율/multiple,,multiple|rate,N,Y,UNIT_HYPOTHESIS_REVIEW_REQUIRED,direct,산업기술인력수급실태조사,70,외국인인력,,,search_or_known_table->validate->table_info->get_data
