claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_measurement_period,period_alignment_status,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,in_ready,mapping_exclusion_code,mapping_exclusion_reason,mapping_gate,mapping_gate_reason,enrichment_actions,item_ungrounded,dropped_item,period_span_start,period_span_end,period_aggregation,scope_gate_code,scope_gate_reason,scope_gate_severity,scope_gate_blocked,mapping_type,obj_target_terms,retrieval_fallback_code,retrieval_fallback_reason,indicator_fallback_source,unit_dimension_hypotheses,derived_computation_required,verification_review_required,verification_review_reason,allowed_mapping_types
A0002-SPE8A529CB50,A0002-SPE8A529CB50-m1,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,전기차 전환에 뒤처지며 창사 87년 만에 처음으로 독일 자국 내 공장 폐쇄에 나선 폴크스바겐이 이번엔 전기차 약 80만대의 운행 데이터와 소유주 정보를 온라인에서 부실 관리했다는 논란에 휩싸였다.,-,전기차에 이어 미래 자동차의 핵심인 소프트웨어 관리에서도 약점을 드러냈다는 지적이 나온다.,개별기업,N,기타,,"폴크스바겐, 전기차, 운행 데이터, 소유주 정보, 부실 관리, 논란",-,,,전기차,-,-,-,,-,,확정,창사 87년 만에 처음으로,CONTEXT,hcx,-,전기차,-,-,hcx,참고값,87,-,-,N,년,수준값,-,,전기차 전환에 뒤처지며 창사 87년 만에 처음으로 독일 자국 내 공장 폐쇄에 나선 폴크스바겐이 이번엔 전기차 약 80만대의 운행 데이터와 소유주 정보를 온라인에서 부실 관리했다는 논란에 휩싸였다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,,전기차,,,,,년,년,duration,condition,item,,N,N,NOT_KOSIS_VALUE,measurement_usage=CONTEXT,REJECT,NOT_KOSIS_VALUE,,N,,,,,DECLARED_SINGLE_COMPANY,claim_domain_scope=개별기업: 개별기업 수치는 KOSIS 산업 집계와 다름,REJECT,Y,direct,,,,,duration,N,N,,
A0002-SPE8A529CB50,A0002-SPE8A529CB50-m2,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,전기차 전환에 뒤처지며 창사 87년 만에 처음으로 독일 자국 내 공장 폐쇄에 나선 폴크스바겐이 이번엔 전기차 약 80만대의 운행 데이터와 소유주 정보를 온라인에서 부실 관리했다는 논란에 휩싸였다.,-,전기차에 이어 미래 자동차의 핵심인 소프트웨어 관리에서도 약점을 드러냈다는 지적이 나온다.,개별기업,N,기타,운행 데이터와 소유주 정보의 수량,"폴크스바겐, 전기차, 운행 데이터, 소유주 정보, 부실 관리, 논란",-,,,전기차,-,-,-,,-,,확정,전기차 약 80만대,KOSIS_VALUE,hcx,운행 데이터와 소유주 정보의 수량,전기차,-,-,hcx,현재값,800000,-,-,Y,대,수준값,-,,전기차 전환에 뒤처지며 창사 87년 만에 처음으로 독일 자국 내 공장 폐쇄에 나선 폴크스바겐이 이번엔 전기차 약 80만대의 운행 데이터와 소유주 정보를 온라인에서 부실 관리했다는 논란에 휩싸였다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,,전기차,,,,,대,대,count,count,item,,N,N,OUT_OF_KOSIS_SCOPE,claim_domain_scope=개별기업,REJECT,OUT_OF_KOSIS_SCOPE,,N,,,,,DECLARED_SINGLE_COMPANY,claim_domain_scope=개별기업: 개별기업 수치는 KOSIS 산업 집계와 다름,REJECT,Y,direct,,,,,count,N,N,,
A0002-SPE761C6732E,A0002-SPE761C6732E-m1,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,"지난달 31일 독일 슈피겔 등 외신에 따르면, 폴크스바겐과 아우디, 세아트, 스코다 등 폴크스바겐그룹 전기차 80만대에서 수집한 수 테라바이트 규모 데이터가 지난 몇 달간 암호화되지 않은 채로 아마존 클라우드에 방치됐던 것으로 나타났다.",다만 회사 측은 “차량 소유주의 개인 정보가 외부로 유출된 흔적은 나오지 않았다”고 밝혔다.,"전기차가 어디에서 어디로 향했는지, 얼마나 머물렀는지와 같은 주행 데이터를 비롯해 운전자의 이메일, 전화번호, 주소 등의 정보다.",개별기업,N,기타,전기차 데이터 노출 대수,전기차;폴크스바겐;아우디;세아트;스코다;,독일,,,전기차,-,-,-,,-,,확정,80만대,KOSIS_VALUE,hcx,전기차 데이터 노출 대수,전기차,-,-,hcx,현재값,800000,-,-,N,대,수준값,-,전년,"폴크스바겐과 아우디, 세아트, 스코다 등 폴크스바겐그룹 전기차 80만대에서 수집한 수 테라바이트 규모 데이터가 지난 몇 달간 암호화되지 않은 채로 아마존 클라우드에 방치됐던 것으로 나타났다.",high,Y,measurement_period_ungrounded:1,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,전기차 데이터 노출 건수,자동차,202501,M,,,대,대,count,count,item,,N,N,OUT_OF_KOSIS_SCOPE,claim_domain_scope=개별기업,REJECT,OUT_OF_KOSIS_SCOPE,,N,,,,,DECLARED_SINGLE_COMPANY,claim_domain_scope=개별기업: 개별기업 수치는 KOSIS 산업 집계와 다름,REJECT,Y,direct,,,,,count,N,N,,
A0003-SP557627F275,A0003-SP557627F275-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.",-,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,국내공식통계,Y,소득·임금,최저임금,"최저임금, 시간당, 인상, 육아휴직, 급여",-,,,,-,-,-,2025,-,Y,확정,1만30원,POLICY_VALUE,hcx,최저임금,-,2025,Y,hcx,현재값,10030,-,-,N,원,수준값,증가,전년,▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,high,Y,measurement_binding_fallback:1;measurement_period_ungrounded:1,N,0,1,HCX-007,v1.6-early-kosis-context,2026-07-30,최저임금,,2025,Y,2025,,원,원,currency,amount,unspecified,,N,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE,REJECT,NOT_KOSIS_VALUE,,N,,,,,,,,N,direct,,,,,currency,N,N,,
A0003-SP557627F275,A0003-SP557627F275-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.",-,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,국내공식통계,Y,소득·임금,최저임금,"최저임금, 시간당, 인상, 육아휴직, 급여",-,,,,-,-,-,2025,-,Y,확정,9860원,POLICY_VALUE,hcx,최저임금,-,2025,Y,claim_fallback,이전값,9860,-,-,N,원,수준값,증가,전년,▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,high,Y,measurement_binding_fallback:1;measurement_period_ungrounded:1,N,0,1,HCX-007,v1.6-early-kosis-context,2026-07-30,최저임금,,2025,Y,2025,,원,원,currency,amount,unspecified,,N,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE,REJECT,NOT_KOSIS_VALUE,,N,,,,,DERIVED_DIFFERENCE,문장 내 1과 9860의 차이(9859)와 일치 — 파생 차액,REJECT,Y,direct,,,,,currency,N,N,,
A0003-SP557627F275,A0003-SP557627F275-m3,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.",-,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,국내공식통계,Y,소득·임금,최저임금 인상률,"최저임금, 시간당, 인상, 육아휴직, 급여",-,,,,-,-,-,2025,-,Y,확정,1.7%,POLICY_VALUE,hcx,최저임금 인상률,-,2025,Y,hcx,증감률,1.7,-,-,N,%,증감률,증가,전년,▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,high,Y,measurement_binding_fallback:1;measurement_period_ungrounded:1,N,0,1,HCX-007,v1.6-early-kosis-context,2026-07-30,최저임금,,2025,Y,2025,,%,%,rate,rate_change,unspecified,2024,N,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE,REJECT,NOT_KOSIS_VALUE,,N,,,,,,,,N,direct,,,,,rate,N,N,,
A0003-SP35D2D763B2,A0003-SP35D2D763B2-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.","매월 지급하는 상여금과 식비, 교통비, 숙박비 등 복리후생비도 최저임금에 전부 산입한다.",국내공식통계,N,소득·임금,최저임금 월급,"최저임금, 시간당, 월급, 근로시간, 육아휴직, 급여",-,,,,-,-,-,2025,-,Y,확정,209만6270원,POLICY_VALUE,hcx,최저임금 월급,-,2025,Y,claim_fallback,현재값,2096270,-,-,N,원,수준값,유지,전년,[검증 대상 문장] 주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,high,Y,measurement_binding_fallback:2;measurement_period_ungrounded:2,N,0,2,HCX-007,v1.6-early-kosis-context,2026-07-30,최저임금 월급,,2025,Y,2025,,원,원,currency,amount,unspecified,,N,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE,REJECT,NOT_KOSIS_VALUE,,N,,,,,,,,N,direct,,,,,currency,N,N,,
A0003-SP35D2D763B2,A0003-SP35D2D763B2-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.","매월 지급하는 상여금과 식비, 교통비, 숙박비 등 복리후생비도 최저임금에 전부 산입한다.",국내공식통계,N,소득·임금,주 근로시간,"최저임금, 시간당, 월급, 근로시간, 육아휴직, 급여",-,,,,-,-,-,2025,-,Y,확정,40시간,CONDITION,hcx,주 근로시간,-,2025,Y,claim_fallback,참고값,40,-,-,N,시간,수준값,유지,전년,[검증 대상 문장] 주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,high,Y,measurement_binding_fallback:2;measurement_period_ungrounded:2,N,0,2,HCX-007,v1.6-early-kosis-context,2026-07-30,최저임금 월급,,2025,Y,2025,,시간,시간,duration,condition,unspecified,,N,N,NOT_KOSIS_VALUE,measurement_usage=CONDITION,REJECT,NOT_KOSIS_VALUE,,N,,,,,,,,N,direct,,,,,duration,N,N,,
A0003-SP0DA2C86560,A0003-SP0DA2C86560-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다.,또 육아휴직을 필요에 따라 네 번에 나눠 쓸 수 있게 된다.,"이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다.",해외통계·정책,N,보건·복지,육아휴직 급여 상한,"육아휴직, 급여, 최저임금, 인상, 최대 월 250만원",-,,,,-,-,-,,-,,확정,150만원,POLICY_VALUE,hcx,육아휴직 급여 상한,-,-,-,hcx,현재값,1500000,-,-,N,원,수준값,증가,전년,▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,육아휴직 급여,,,,,,원,원,currency,amount,unspecified,,N,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE,REJECT,NOT_KOSIS_VALUE,,N,,,,,POLICY_PARAMETER,제도 규정값(한도)은 통계 수치가 아님,REJECT,Y,direct,,,,,currency,N,N,,
A0003-SP0DA2C86560,A0003-SP0DA2C86560-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다.,또 육아휴직을 필요에 따라 네 번에 나눠 쓸 수 있게 된다.,"이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다.",해외통계·정책,N,보건·복지,육아휴직 급여 지급 비율,"육아휴직, 급여, 최저임금, 인상, 최대 월 250만원",-,,,,-,-,-,,-,,확정,80%,POLICY_VALUE,hcx,육아휴직 급여 지급 비율,-,-,-,hcx,증감률,80,-,-,N,%,증감률,증가,전년,▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,육아휴직 급여,,,,,CHANGE_RATE_FROM_TEXT,%,%,rate,rate_change,unspecified,,N,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE,REJECT,NOT_KOSIS_VALUE,,N,,,,,POLICY_PARAMETER,제도 규정값(한도)은 통계 수치가 아님,REJECT,Y,direct,,,,,rate,N,N,,
