claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,mapping_type,claim_indicator,claim_industry_or_item,obj_target_terms,item_ungrounded,dropped_item,claim_period,claim_prd_se,period_span_start,period_span_end,period_aggregation,raw_measurement_period,period_alignment_status,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,retrieval_fallback_code,retrieval_fallback_reason,indicator_fallback_source,unit_dimension_hypotheses,derived_computation_required,verification_review_required,verification_review_reason,measurement_review_override,allowed_mapping_types,mapping_eligible,in_ready,mapping_exclusion_code,mapping_exclusion_reason,mapping_gate,mapping_gate_reason,enrichment_actions,scope_gate_code,scope_gate_reason,scope_gate_severity,scope_gate_blocked
URL-1787508322120-2,URL-1787508322120-2-m1,URL-1787508322120,“올 취업자수 최대 6만명 줄 것”… ‘인구 오너스 시대’ 오나,2025-02-23,https://www.chosun.com/economy/economy_general/2025/02/24/AXTTAUKCC5FQNGJDVW7EUZW55Y/,"생산연령인구(15~64세)는 2017년(3686만명)을 정점으로 하락세로 돌아섰지만, 고령자 취업이 늘어난 데다 상대적으로 인구가 많은 1990년대 초반생들이 때맞춰 취업 시장에 적극 뛰어들면서 취업자 수를 끌어올렸던 것이다.",인구가 많았던 1차 베이비부머(1955~1963년생)가 순차적으로 은퇴하기 시작한 2010년대 후반부터 작년까지도 국내 취업자 수는 줄지 않고 오히려 늘었다.,"1980년대 후반(1986~1990년)에는 매년 62만~64만명대가 태어났지만, 1990년대 초반(1991~1995년)에는 출생아 수가 70만~73만대로 늘었다.",국내공식통계,N,고용,생산연령인구,"생산연령인구, 15~64세, 베이비부머, 고령자 취업, 1990년대 초반생",-,15~64세,,,-,-,-,2017,-,Y,확정,3686만명,KOSIS_VALUE,hcx,생산연령인구,-,2017,Y,hcx,현재값,36860000,-,-,N,명,수준값,증가,전년동기,"생산연령인구(15~64세)는 2017년(3686만명)을 정점으로 하락세로 돌아섰지만, 고령자 취업이 늘어난 데다 상대적으로 인구가 많은 1990년대 초반생들이 때맞춰 취업 시장에 적극 뛰어들면서 취업자 수를 끌어올렸던 것이다.",high,Y,measurement_binding_fallback:2,Y,0,2,HCX-007,v1.7-relative-comparison-period,2026-08-23,direct,취업자 수,,,N,,2025,Y,,,,2017,,명,명,person_count,count,person,,,,,person_count,N,N,,DIRECT_ROW_CONFIRMED_DESPITE_BATCH_REVIEW,,Y,Y,,,READY,ELIGIBLE,,,,,N
URL-1787508322120-3,URL-1787508322120-3-m1,URL-1787508322120,“올 취업자수 최대 6만명 줄 것”… ‘인구 오너스 시대’ 오나,2025-02-23,https://www.chosun.com/economy/economy_general/2025/02/24/AXTTAUKCC5FQNGJDVW7EUZW55Y/,특히 2020년생(27만2000명)부터는 연간 출생아 수가 20만명대로 쪼그라들었기 때문에 취업자 수가 자연 감소하는 속도는 더욱 빨라질 것으로 보인다.,"김지연 연구위원은 “올해부터는 1990년대 후반~2000년대 초반생이 노동시장에 진출하며 취업자 수 증감에 큰 영향을 끼치는데, 이들의 절대적인 숫자가 5~10년 선배들보다 적다”고 했다.","통계청 장래인구추계에 따르면, 2020년생이 대학에 가는 2040년(2903만명)에는 생산연령인구가 3000만명 아래로 떨어질 것으로 예상된다.",국내공식통계,N,인구,2020년생 인구,"인구 오너스, 취업자 수, 인구 구조 변화, 노동시장",-,,,,-,-,-,2020,-,Y,확정,27만2000명,KOSIS_VALUE,hcx,2020년생 인구,-,2020,Y,hcx,현재값,272000,-,-,N,명,수준값,감소,전년,특히 2020년생(27만2000명)부터는 연간 출생아 수가 20만명대로 쪼그라들었기 때문에 취업자 수가 자연 감소하는 속도는 더욱 빨라질 것으로 보인다.,high,N,-,N,0,0,HCX-007,v1.7-relative-comparison-period,2026-08-23,direct,취업자 수,,,N,,2025,Y,,,,2020,,명,명,person_count,count,person,,,,,person_count,N,N,,,,Y,Y,,,READY,ELIGIBLE,,,,,N
URL-1787508322120-3,URL-1787508322120-3-m2,URL-1787508322120,“올 취업자수 최대 6만명 줄 것”… ‘인구 오너스 시대’ 오나,2025-02-23,https://www.chosun.com/economy/economy_general/2025/02/24/AXTTAUKCC5FQNGJDVW7EUZW55Y/,특히 2020년생(27만2000명)부터는 연간 출생아 수가 20만명대로 쪼그라들었기 때문에 취업자 수가 자연 감소하는 속도는 더욱 빨라질 것으로 보인다.,"김지연 연구위원은 “올해부터는 1990년대 후반~2000년대 초반생이 노동시장에 진출하며 취업자 수 증감에 큰 영향을 끼치는데, 이들의 절대적인 숫자가 5~10년 선배들보다 적다”고 했다.","통계청 장래인구추계에 따르면, 2020년생이 대학에 가는 2040년(2903만명)에는 생산연령인구가 3000만명 아래로 떨어질 것으로 예상된다.",국내공식통계,N,인구,연간 출생아 수,"인구 오너스, 취업자 수, 인구 구조 변화, 노동시장",-,,,,-,-,-,2025,-,Y,확정,20만명,KOSIS_VALUE,hcx,연간 출생아 수,-,2025,Y,hcx,현재값,200000,-,-,N,명,수준값,감소,전년,특히 2020년생(27만2000명)부터는 연간 출생아 수가 20만명대로 쪼그라들었기 때문에 취업자 수가 자연 감소하는 속도는 더욱 빨라질 것으로 보인다.,high,N,-,N,0,0,HCX-007,v1.7-relative-comparison-period,2026-08-23,direct,취업자 수,,,N,,2025,Y,,,,2025,,명,명,person_count,count,unspecified,,,,,person_count,N,N,,,,Y,Y,,,READY,ELIGIBLE,,,,,N
URL-1787508327241-2,URL-1787508327241-2-m1,URL-1787508327241,고물가·관세 전쟁… 숙박·음식점업 22개월째 역대 최장 불황,2025-04-13,https://www.chosun.com/economy/economy_general/2025/04/14/WW7RNH5ORBEYPOK2PSGO5P6PBQ/,"13일 통계청에 따르면, 2월 숙박·음식점업 생산지수는 전년 같은 달 대비 3.8% 감소했다.","고물가·고금리, 계엄·탄핵 등 정치적 불확실성, 미·중 관세 전쟁 등 악재가 겹치면서 대표적 내수 업종인 숙박·음식점업이 1년 10개월째 장기 불황을 겪는 등 내수 침체가 이어지고 있다.","이 생산지수는 숙박·음식점업의 매출을 기반으로 작성되는데, 2023년 5월부터 지난 2월까지 작년 1월(전년 같은 달 대비 증감률 0%)을 제외하고는 내내 감소세를 보였다.",국내공식통계,Y,소매·소비,숙박·음식점업 생산지수,"숙박·음식점업, 생산지수, 고물가, 관세 전쟁, 내수 침체",-,,,숙박·음식점업,-,-,-,202502,-,M,확정,3.8%,KOSIS_VALUE,hcx,숙박·음식점업 생산지수,숙박·음식점업,202402,M,hcx,증감률,3.8,-,-,N,%,증감률,감소,전년동월,"13일 통계청에 따르면, 2월 숙박·음식점업 생산지수는 전년 같은 달 대비 3.8% 감소했다.",high,N,-,N,0,0,HCX-007,v1.7-relative-comparison-period,2026-08-23,,숙박·음식점업 생산지수,숙박·음식점업,,N,,202504,M,,,,202402,CHANGE_RATE_FROM_TEXT|UNQUALIFIED_MONTH_FROM_ARTICLE_DATE,%,%,rate,rate_change,item,202402,DERIVED_VALUE_REQUIRES_COMPUTATION,증감값은 직접 공표 ITEM 확인 또는 수준값 재계산 필요,,rate,Y,N,,,direct|rate_from_level,Y,Y,,,READY,ELIGIBLE,,,,,N
URL-1787508327241-3,URL-1787508327241-3-m1,URL-1787508327241,고물가·관세 전쟁… 숙박·음식점업 22개월째 역대 최장 불황,2025-04-13,https://www.chosun.com/economy/economy_general/2025/04/14/WW7RNH5ORBEYPOK2PSGO5P6PBQ/,"통계청에 따르면, 올해 1분기(1~3월) 도소매와 숙박음식점업 취업자 수는 552만7000명으로 전년 동기 대비 1만4000명 줄어들었다.",이처럼 숙박·음식업점의 부진이 장기화되면서 관련 업종의 고용도 타격을 받고 있다.,도소매와 숙박음식점업 취업자 수는 지난해 1분기에 전년 동기 대비 5000명 감소한 이후 5분기(1년 3개월) 연속으로 감소하고 있다.,국내공식통계,Y,고용,도소매 및 숙박음식점업 취업자 수,"도소매, 숙박음식점업, 취업자 수",-,,,,-,-,-,202503,-,M,확정,552만7000명,KOSIS_VALUE,hcx,도소매 및 숙박음식점업 취업자 수,-,2025Q1,Q,hcx,현재값,5527000,-,-,N,명,수준값,감소,전년동기,올해 1분기(1~3월) 도소매와 숙박음식점업 취업자 수는 552만7000명으로 전년 동기 대비 1만4000명 줄어들었다.,high,N,-,N,0,0,HCX-007,v1.7-relative-comparison-period,2026-08-23,direct,취업자 수,,,N,,202501,Q,202501,202503,sum,2025Q1,RELATIVE_QUARTER_FROM_ARTICLE_DATE,명,명,person_count,count,person,,,,,person_count,N,N,,,,Y,Y,,,READY,ELIGIBLE,,,,,N
URL-1787508327241-3,URL-1787508327241-3-m2,URL-1787508327241,고물가·관세 전쟁… 숙박·음식점업 22개월째 역대 최장 불황,2025-04-13,https://www.chosun.com/economy/economy_general/2025/04/14/WW7RNH5ORBEYPOK2PSGO5P6PBQ/,"통계청에 따르면, 올해 1분기(1~3월) 도소매와 숙박음식점업 취업자 수는 552만7000명으로 전년 동기 대비 1만4000명 줄어들었다.",이처럼 숙박·음식업점의 부진이 장기화되면서 관련 업종의 고용도 타격을 받고 있다.,도소매와 숙박음식점업 취업자 수는 지난해 1분기에 전년 동기 대비 5000명 감소한 이후 5분기(1년 3개월) 연속으로 감소하고 있다.,국내공식통계,Y,고용,도소매 및 숙박음식점업 취업자 수 변화,"도소매, 숙박음식점업, 취업자 수",-,,,,-,-,-,202501,-,Q,확정,1만4000명,KOSIS_VALUE,hcx,도소매 및 숙박음식점업 취업자 수 변화,-,2025Q1,Q,hcx,증감값,14000,-,-,N,명,증감량,감소,전년동기,올해 1분기(1~3월) 도소매와 숙박음식점업 취업자 수는 552만7000명으로 전년 동기 대비 1만4000명 줄어들었다.,high,N,-,N,0,0,HCX-007,v1.7-relative-comparison-period,2026-08-23,,취업자 수,,,N,,202501,Q,,,,2025Q1,RELATIVE_QUARTER_FROM_ARTICLE_DATE|ABSOLUTE_CHANGE_FROM_TEXT,명,명,person_count,absolute_change,person,202401,DERIVED_VALUE_REQUIRES_COMPUTATION,증감값은 직접 공표 ITEM 확인 또는 수준값 재계산 필요,,person_count,Y,N,,,direct|difference_from_level,Y,Y,,,READY,ELIGIBLE,,,,,N
URL-1787508330569-2,URL-1787508330569-2-m2,URL-1787508330569,‘탈모 성지’ 종로5가 약국…결제액과 방문자 수 20대에서 가장 크게 늘었다,2025-06-05,https://www.chosun.com/economy/economy_general/2025/06/06/GA3W6ONBE5DAPBOD6PFLVSQDFQ/,"지난해 종로5가 약국 방문자 수 증가율(전년 대비)을 연령대 별로 살펴보면, 20대(25.1%)가 가장 높았고 40대(10%)와 50대(7.9%)가 그 뒤를 이었다.",20대 방문자 수 증가율도 모든 연령대에서 가장 높은 것으로 확인됐다.,결제 금액 증가율(전년 대비)도 20대가 34.5%로 가장 높았다.,국내공식통계,N,소매·소비,방문자 수 증가율,"종로5가, 약국, 탈모, 20대, 방문자 수, 결제 금액",-,,,20대,-,-,-,2024,-,Y,확정,20대(25.1%),KOSIS_VALUE,hcx,방문자 수 증가율,20대,2024,Y,hcx,증감률,25.1,-,-,N,%,증감률,증가,전년,"지난해 종로5가 약국 방문자 수 증가율(전년 대비)을 연령대 별로 살펴보면, 20대(25.1%)가 가장 높았고 40대(10%)와 50대(7.9%)가 그 뒤를 이었다.",high,N,-,Y,0,0,HCX-007,v1.7-relative-comparison-period,2026-08-23,,방문자 수 증가율 및 결제 금액 증가율,,,N,,2024,Y,,,,2024,RELATIVE_YEAR_FROM_ARTICLE_DATE|CHANGE_RATE_FROM_TEXT,%,%,rate,rate_change,item,2023,DERIVED_VALUE_REQUIRES_COMPUTATION,증감값은 직접 공표 ITEM 확인 또는 수준값 재계산 필요,,rate,Y,N,,,direct|rate_from_level,Y,Y,,,READY,ELIGIBLE,,,,,N
URL-1787508330569-2,URL-1787508330569-2-m4,URL-1787508330569,‘탈모 성지’ 종로5가 약국…결제액과 방문자 수 20대에서 가장 크게 늘었다,2025-06-05,https://www.chosun.com/economy/economy_general/2025/06/06/GA3W6ONBE5DAPBOD6PFLVSQDFQ/,"지난해 종로5가 약국 방문자 수 증가율(전년 대비)을 연령대 별로 살펴보면, 20대(25.1%)가 가장 높았고 40대(10%)와 50대(7.9%)가 그 뒤를 이었다.",20대 방문자 수 증가율도 모든 연령대에서 가장 높은 것으로 확인됐다.,결제 금액 증가율(전년 대비)도 20대가 34.5%로 가장 높았다.,국내공식통계,N,소매·소비,방문자 수 증가율,"종로5가, 약국, 탈모, 20대, 방문자 수, 결제 금액",-,,,40대,-,-,-,2024,-,Y,확정,40대(10%),KOSIS_VALUE,hcx,방문자 수 증가율,40대,2024,Y,hcx,증감률,10,-,-,N,%,증감률,증가,전년,"지난해 종로5가 약국 방문자 수 증가율(전년 대비)을 연령대 별로 살펴보면, 20대(25.1%)가 가장 높았고 40대(10%)와 50대(7.9%)가 그 뒤를 이었다.",high,N,-,Y,0,0,HCX-007,v1.7-relative-comparison-period,2026-08-23,,방문자 수 증가율 및 결제 금액 증가율,,,N,,2024,Y,,,,2024,RELATIVE_YEAR_FROM_ARTICLE_DATE|CHANGE_RATE_FROM_TEXT,%,%,rate,rate_change,item,2023,DERIVED_VALUE_REQUIRES_COMPUTATION,증감값은 직접 공표 ITEM 확인 또는 수준값 재계산 필요,,rate,Y,N,,,direct|rate_from_level,Y,Y,,,READY,ELIGIBLE,,,,,N
URL-1787508330569-2,URL-1787508330569-2-m6,URL-1787508330569,‘탈모 성지’ 종로5가 약국…결제액과 방문자 수 20대에서 가장 크게 늘었다,2025-06-05,https://www.chosun.com/economy/economy_general/2025/06/06/GA3W6ONBE5DAPBOD6PFLVSQDFQ/,"지난해 종로5가 약국 방문자 수 증가율(전년 대비)을 연령대 별로 살펴보면, 20대(25.1%)가 가장 높았고 40대(10%)와 50대(7.9%)가 그 뒤를 이었다.",20대 방문자 수 증가율도 모든 연령대에서 가장 높은 것으로 확인됐다.,결제 금액 증가율(전년 대비)도 20대가 34.5%로 가장 높았다.,국내공식통계,N,소매·소비,방문자 수 증가율,"종로5가, 약국, 탈모, 20대, 방문자 수, 결제 금액",-,,,50대,-,-,-,2024,-,Y,확정,50대(7.9%),KOSIS_VALUE,hcx,방문자 수 증가율,50대,2024,Y,hcx,증감률,7.9,-,-,N,%,증감률,증가,전년,"지난해 종로5가 약국 방문자 수 증가율(전년 대비)을 연령대 별로 살펴보면, 20대(25.1%)가 가장 높았고 40대(10%)와 50대(7.9%)가 그 뒤를 이었다.",high,N,-,Y,0,0,HCX-007,v1.7-relative-comparison-period,2026-08-23,,방문자 수 증가율 및 결제 금액 증가율,,,N,,2024,Y,,,,2024,RELATIVE_YEAR_FROM_ARTICLE_DATE|CHANGE_RATE_FROM_TEXT,%,%,rate,rate_change,item,2023,DERIVED_VALUE_REQUIRES_COMPUTATION,증감값은 직접 공표 ITEM 확인 또는 수준값 재계산 필요,,rate,Y,N,,,direct|rate_from_level,Y,Y,,,READY,ELIGIBLE,,,,,N
URL-1787508330569-2,URL-1787508330569-2-m7,URL-1787508330569,‘탈모 성지’ 종로5가 약국…결제액과 방문자 수 20대에서 가장 크게 늘었다,2025-06-05,https://www.chosun.com/economy/economy_general/2025/06/06/GA3W6ONBE5DAPBOD6PFLVSQDFQ/,"지난해 종로5가 약국 방문자 수 증가율(전년 대비)을 연령대 별로 살펴보면, 20대(25.1%)가 가장 높았고 40대(10%)와 50대(7.9%)가 그 뒤를 이었다.",20대 방문자 수 증가율도 모든 연령대에서 가장 높은 것으로 확인됐다.,결제 금액 증가율(전년 대비)도 20대가 34.5%로 가장 높았다.,국내공식통계,N,소매·소비,결제 금액 증가율,"종로5가, 약국, 탈모, 20대, 방문자 수, 결제 금액",-,,,20대,-,-,-,2024,-,Y,확정,20대 34.5%,KOSIS_VALUE,hcx,결제 금액 증가율,20대,2024,Y,hcx,증감값,20,-,-,N,대,증감량,증가,전년,"지난해 종로5가 약국 방문자 수 증가율(전년 대비)을 연령대 별로 살펴보면, 20대(25.1%)가 가장 높았고 40대(10%)와 50대(7.9%)가 그 뒤를 이었다.",high,N,-,Y,0,0,HCX-007,v1.7-relative-comparison-period,2026-08-23,,방문자 수 증가율 및 결제 금액 증가율,,,N,,2024,Y,,,,2024,RELATIVE_YEAR_FROM_ARTICLE_DATE|ABSOLUTE_CHANGE_FROM_TEXT,대,대,count,rate_change,item,2023,DERIVED_VALUE_REQUIRES_COMPUTATION,지표 수준값의 두 시점에서 기사 증감값을 계산해야 함: 비율 지표에 비율 단위가 아님: 결제금액증가율/count,,count,Y,N,,,direct|rate_from_level,Y,Y,,,READY,ELIGIBLE,,,,,N
