claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_measurement_period,period_alignment_status,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,in_ready,mapping_exclusion_code,mapping_exclusion_reason,mapping_gate,mapping_gate_reason,enrichment_actions,item_ungrounded,dropped_item,period_span_start,period_span_end,period_aggregation,scope_gate_code,scope_gate_reason,scope_gate_severity,scope_gate_blocked,mapping_type,obj_target_terms,retrieval_fallback_code,retrieval_fallback_reason,indicator_fallback_source,unit_dimension_hypotheses,derived_computation_required,verification_review_required,verification_review_reason,allowed_mapping_types
A0006-SP87456992F3,A0006-SP87456992F3-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",국내공식통계,Y,무역,수출액,"수출, 역대 최대, 달러, 경신",-,,,,-,-,-,2022,-,Y,확정,6836억달러,KOSIS_VALUE,hcx,수출액,-,2022,Y,hcx,이전값,683600000000,-,-,N,달러,수준값,유지,전년,"[검증 대상 문장] 이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,,2024,Y,2022,,달러,달러,currency,amount,unspecified,,N,N,ROLE_NOT_DIRECT_TARGET,measurement_role=이전값,ENRICH,ROLE_NOT_DIRECT_TARGET,CONFIRM_DIRECT_TARGET_ROLE,N,,,,sum,,,,N,direct,,,,,currency,N,N,,
A0006-SP454B0C203E,A0006-SP454B0C203E-m2,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,국내공식통계,Y,무역,세계 수출 순위,"수출, WTO, 순위, 증가율",-,,,,-,-,-,202309,-,M,확정,8위,KOSIS_VALUE,hcx,세계 수출 순위,-,2023,Y,hcx,이전값,8,-,-,N,위,순위,증가,전년,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,,2024,Y,2023,,위,위,rank,level,unspecified,,N,N,ROLE_NOT_DIRECT_TARGET,measurement_role=이전값,ENRICH,ROLE_NOT_DIRECT_TARGET,CONFIRM_DIRECT_TARGET_ROLE,N,,202301,202309,sum,GLOBAL_COMPARISON,세계 비교 문맥(전 세계) — 대상이 국내 통계인지 확인 필요,REVIEW,N,direct,,,,,rank,N,N,,
A0006-SP454B0C203E,A0006-SP454B0C203E-m3,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,국내공식통계,Y,무역,수출증가율,"수출, WTO, 순위, 증가율",-,,,,-,-,-,2024,-,Y,확정,+9.6%,KOSIS_VALUE,hcx,수출증가율,-,2024,Y,hcx,증감률,9.6,-,-,N,%,증감률,증가,전년,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,,2024,Y,2024,CHANGE_RATE_FROM_TEXT,%,%,rate,rate_change,unspecified,2023,N,N,GLOBAL_COMPARISON,세계 비교 문맥(전 세계) — 대상이 국내 통계인지 확인 필요,ENRICH,GLOBAL_COMPARISON,CONFIRM_KOSIS_SCOPE,N,,,,,GLOBAL_COMPARISON,세계 비교 문맥(전 세계) — 대상이 국내 통계인지 확인 필요,REVIEW,N,,,DERIVED_VALUE_REQUIRES_COMPUTATION,증감값은 직접 공표 ITEM 확인 또는 수준값 재계산 필요,,rate,Y,N,,direct|rate_from_level
A0006-SP454B0C203E,A0006-SP454B0C203E-m4,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,국내공식통계,Y,무역,상위 수출국,"수출, WTO, 순위, 증가율",-,,,,-,-,-,202409,-,M,확정,10대,KOSIS_VALUE,hcx,상위 수출국,-,2024,Y,hcx,현재값,10,-,-,N,대,수준값,증가,전년,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,,2024,Y,2024,,대,대,count,count,unspecified,,N,N,CONTEXTUAL_QUANTIFIER,상위/하위 집단 크기는 관측값이 아니라 조건값,ENRICH,CONTEXTUAL_QUANTIFIER,REEXTRACT_MEASUREMENT,N,,202401,202409,sum,GLOBAL_COMPARISON,세계 비교 문맥(전 세계) — 대상이 국내 통계인지 확인 필요,REVIEW,N,direct,,,,,count,N,N,,
A0006-SP9282109973,A0006-SP9282109973-m3,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.",국내공식통계,N,무역,반도체 수출액,"반도체, 자동차, 바이오, 농수산, 화장품",-,,,반도체,-,-,-,2022,-,Y,확정,1292억 달러,KOSIS_VALUE,hcx,반도체 수출액,반도체,2022,Y,hcx,이전값,129200000000,-,-,N,달러,수준값,증가,전년동기,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,"반도체, 자동차, 바이오, 농수산, 화장품",2024,Y,2022,,달러,달러,currency,amount,vehicle,,N,N,ROLE_NOT_DIRECT_TARGET,measurement_role=이전값,ENRICH,ROLE_NOT_DIRECT_TARGET,CONFIRM_DIRECT_TARGET_ROLE,N,,,,sum,,,,N,direct,,,,,currency,N,N,,
A0006-SP64EB447E6E,A0006-SP64EB447E6E-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.","선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다.",국내공식통계,N,무역,자동차 수출,"자동차, 수출, 완성차, 부품업계, 생산 차질",-,,,자동차,-,-,-,2024,-,Y,확정,708억 달러,KOSIS_VALUE,hcx,자동차 수출,자동차,2024,Y,hcx,현재값,70800000000,-,-,N,달러,수준값,유지,전년,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.",high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,v1.6-early-kosis-context,2026-07-30,자동차 수출,자동차,2024,Y,2024,,달러,달러,currency,amount,vehicle,,N,N,MEASUREMENT_REVIEW_REQUIRED,추출기가 검토 필요로 표시: measurement_rule_fallback:1,ENRICH,MEASUREMENT_REVIEW_REQUIRED,REVIEW_MEASUREMENT_EXTRACTION,N,,,,,,,,N,direct,,,,,currency,N,N,,
A0006-SPA4FBC97BC2,A0006-SPA4FBC97BC2-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.","석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.",◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,국내공식통계,N,무역,바이오헬스 수출 증감률,"수출, 역대 최대, 경신",-,,,바이오헬스,-,-,-,2024,-,Y,확정,13.1%,KOSIS_VALUE,hcx,바이오헬스 수출 증감률,바이오헬스,2024,Y,hcx,증감률,13.1,-,-,N,%,증감률,증가,전년,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,"바이오헬스, 농수산식품, 화장품",2024,Y,2024,CHANGE_RATE_FROM_TEXT,%,%,rate,rate_change,item,2023,N,N,GLOBAL_COMPARISON,세계 비교 문맥(전 세계) — 대상이 국내 통계인지 확인 필요,ENRICH,GLOBAL_COMPARISON,CONFIRM_KOSIS_SCOPE,N,,,,,GLOBAL_COMPARISON,세계 비교 문맥(전 세계) — 대상이 국내 통계인지 확인 필요,REVIEW,N,,,DERIVED_VALUE_REQUIRES_COMPUTATION,증감값은 직접 공표 ITEM 확인 또는 수준값 재계산 필요,,rate,Y,N,,direct|rate_from_level
A0006-SPA4FBC97BC2,A0006-SPA4FBC97BC2-m2,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.","석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.",◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,국내공식통계,N,무역,바이오헬스 수출액,"수출, 역대 최대, 경신",-,,,바이오헬스,-,-,-,2024,-,Y,확정,151억 달러,KOSIS_VALUE,hcx,바이오헬스 수출액,바이오헬스,2024,Y,hcx,현재값,15100000000,-,-,N,달러,수준값,증가,전년,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,"바이오헬스, 농수산식품, 화장품",2024,Y,2024,,달러,달러,currency,amount,item,,N,N,GLOBAL_COMPARISON,세계 비교 문맥(전 세계) — 대상이 국내 통계인지 확인 필요,ENRICH,GLOBAL_COMPARISON,CONFIRM_KOSIS_SCOPE,N,,,,sum,GLOBAL_COMPARISON,세계 비교 문맥(전 세계) — 대상이 국내 통계인지 확인 필요,REVIEW,N,direct,,,,,currency,N,N,,
A0006-SPA4FBC97BC2,A0006-SPA4FBC97BC2-m3,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.","석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.",◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,국내공식통계,N,무역,농수산식품 수출 증감률,"수출, 역대 최대, 경신",-,,,농수산식품,-,-,-,2024,-,Y,확정,7.6%,KOSIS_VALUE,hcx,농수산식품 수출 증감률,농수산식품,2024,Y,hcx,증감률,7.6,-,-,N,%,증감률,증가,전년,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,"바이오헬스, 농수산식품, 화장품",2024,Y,2024,CHANGE_RATE_FROM_TEXT,%,%,rate,rate_change,item,2023,N,N,GLOBAL_COMPARISON,세계 비교 문맥(전 세계) — 대상이 국내 통계인지 확인 필요,ENRICH,GLOBAL_COMPARISON,CONFIRM_KOSIS_SCOPE,N,,,,,GLOBAL_COMPARISON,세계 비교 문맥(전 세계) — 대상이 국내 통계인지 확인 필요,REVIEW,N,,,DERIVED_VALUE_REQUIRES_COMPUTATION,증감값은 직접 공표 ITEM 확인 또는 수준값 재계산 필요,,rate,Y,N,,direct|rate_from_level
A0006-SPA4FBC97BC2,A0006-SPA4FBC97BC2-m4,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.","석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.",◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,국내공식통계,N,무역,농수산식품 수출액,"수출, 역대 최대, 경신",-,,,농수산식품,-,-,-,2024,-,Y,확정,117억 달러,KOSIS_VALUE,hcx,농수산식품 수출액,농수산식품,2024,Y,hcx,현재값,11700000000,-,-,N,달러,수준값,증가,전년,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-07-30,수출액,"바이오헬스, 농수산식품, 화장품",2024,Y,2024,,달러,달러,currency,amount,item,,N,N,GLOBAL_COMPARISON,세계 비교 문맥(전 세계) — 대상이 국내 통계인지 확인 필요,ENRICH,GLOBAL_COMPARISON,CONFIRM_KOSIS_SCOPE,N,,,,sum,GLOBAL_COMPARISON,세계 비교 문맥(전 세계) — 대상이 국내 통계인지 확인 필요,REVIEW,N,direct,,,,,currency,N,N,,
