claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,prev_prev_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,mapping_exclusion_code,mapping_exclusion_reason
A0004-C020,A0004-C020-m2,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",◇로봇 밀도 1위의 나라 로봇 밀도는 그 나라의 제조업이 얼마나 자동화됐는지 평가하는 기본 지표로 여겨진다.,가파른 경제성장 이후 저출산·고령화 사회로 진입하면서 ‘사람’에서 ‘로봇’으로 빠르게 옮겨가고 있는 산업 현장을 살펴봤다.,국내공식통계,N,고용,로봇 밀도 증가율,"로봇 밀도, 제조업, 자동화",-,-,-,,-,-,-,2018,-,Y,확정,5%,KOSIS_VALUE,hcx,로봇 밀도 증가율,-,2018,Y,hcx,증감률,5,-,-,N,%,증감률,증가,전년,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",high,Y,measurement_binding_fallback:1;measurement_period_ungrounded:1,N,0,1,HCX-007,v1.6-prev2-context,2026-07-30,로봇 밀도,,2025,Y,%,%,rate,rate_change,unspecified,2017,Y,,
A0004-C046,A0004-C046-m1,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,경기도 파주의 한 소규모 도서물류 업체 관계자는 “물류 현장에서 각종 사고를 예방하기 위해 허리나 허벅지에 차면 근력을 올려주는 웨어러블 로봇 7대를 구입해 사용하고 있다”고 했다.,중대재해법 관련 사고를 예방하기 위해 로봇을 쓰는 경우도 있다.,국내공식통계,N,생산·산업,로봇화에 뛰어든 기업 수,"로봇화, 기업, 증가",-,-,-,,-,-,-,2019,-,Y,확정,13%가량,KOSIS_VALUE,hcx,로봇화에 뛰어든 기업 수,-,2019,Y,hcx,증감률,13,-,-,Y,%,증감률,증가,전년,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,로봇화에 뛰어든 기업 수,,2023,Y,%,%,rate,rate_change,organization,2018,Y,,
A0006-C001,A0006-C001-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,,,국내공식통계,N,무역,수출액,"2024년, 수출, 역대 최대 실적",-,-,-,,-,-,-,2024,-,Y,확정,6838억 달러,KOSIS_VALUE,hcx,수출액,-,2024,Y,hcx,현재값,683800000000,-,-,N,달러,수준값,-,전년,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,수출액,,2024,Y,달러,달러,currency,amount,unspecified,,Y,,
A0006-C002,A0006-C002-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,,국내공식통계,N,무역,수출액,"수출, 역대 최대 실적",-,-,-,,-,-,-,2022,-,Y,확정,6836억달러,KOSIS_VALUE,hcx,수출액,-,2022,Y,hcx,이전값,683600000000,-,-,N,달러,수준값,-,전년,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,high,Y,measurement_binding_fallback:1,N,0,1,HCX-007,v1.6-prev2-context,2026-07-30,수출액,,2024,Y,달러,달러,currency,amount,unspecified,,Y,,
A0006-C003,A0006-C003-m3,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,국내공식통계,N,무역,상위 수출국 수,"수출, WTO, 순위, 증가율",-,-,-,,-,-,-,2024,-,Y,확정,10대,KOSIS_VALUE,hcx,상위 수출국 수,-,2024,Y,hcx,현재값,10,-,-,N,대,수준값,증가,전년,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",high,N,-,Y,0,0,HCX-007,v1.6-prev2-context,2026-07-30,수출액,,2024,Y,대,대,count,count,unspecified,,Y,,
A0006-C003,A0006-C003-m4,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,국내공식통계,N,무역,수출증가율,"수출, WTO, 순위, 증가율",-,-,-,,-,-,-,2024,-,Y,확정,9.6%,KOSIS_VALUE,hcx,수출증가율,-,2024,Y,hcx,증감률,9.6,-,-,N,%,증감률,증가,전년,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",high,N,-,Y,0,0,HCX-007,v1.6-prev2-context,2026-07-30,수출액,,2024,Y,%,%,rate,rate_change,unspecified,2023,Y,,
A0006-C004,A0006-C004-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",국내공식통계,Y,무역,무역수지 증감액,"수출, WTO, 수출증가율, 무역수지",-,-,-,,-,-,-,2024,-,Y,확정,621억 달러,KOSIS_VALUE,hcx,무역수지 증감액,-,2024,Y,hcx,현재값,62100000000,-,-,N,달러,증감량,증가,전년,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,무역수지,,2024,Y,달러,달러,currency,absolute_change,unspecified,2023,Y,,
A0006-C004,A0006-C004-m2,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",국내공식통계,Y,무역,무역수지,"수출, WTO, 수출증가율, 무역수지",-,-,-,,-,-,-,2024,-,Y,확정,518억 달러,KOSIS_VALUE,hcx,무역수지,-,2024,Y,hcx,현재값,51800000000,-,-,N,달러,수준값,-,-,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,무역수지,,2024,Y,달러,달러,currency,amount,unspecified,,Y,,
A0006-C005,A0006-C005-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",국내공식통계,N,무역,무역수지,"수출액, WTO, 수출증가율, 무역수지",-,-,-,,-,-,-,2022,-,Y,확정,472억달러,KOSIS_VALUE,hcx,무역수지,-,2022,Y,hcx,이전값,47200000000,-,-,N,달러,수준값,감소,전년,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,v1.6-prev2-context,2026-07-30,수출액,,2022,Y,달러,달러,currency,amount,unspecified,,Y,,
A0006-C006,A0006-C006-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,국내공식통계,N,무역,수입 증가율,"무역수지, 수출액, 에너지 수입",-,-,-,,-,-,-,2024,-,Y,확정,1.6%,KOSIS_VALUE,hcx,수입 증가율,-,2024,Y,hcx,증감률,1.6,-,-,N,%,증감률,감소,전년,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.,high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,수입 증가율,,2024,Y,%,%,rate,rate_change,unspecified,2023,Y,,
