claim_id,claim_measurement_id,indicator,metric_domain,industry_or_item,value,unit,raw_unit,unit_dimension,semantic_type,entity_type,value_type,direction,measurement_role,measurement_usage,period,article_date,prd_se,change_base,comparison_period,candidate_rank,candidate_score,candidate_runner_up_score,candidate_status,candidate_status_code,candidate_status_reason,candidate_hits,retrieval_backend,lexical_score,lexical_eligible,semantic_score,reranker_score,fusion_score,org_id,tbl_id,tbl_name,stat_id,category_path,meta_candidates,selected_itm_id,selected_itm_name,selected_itm_unit,selected_itm_score,selected_obj_l1_axis_id,selected_obj_l1_axis_name,selected_obj_l1,selected_obj_l1_name,selected_obj_l1_score,selected_code_status,mapping_type,unit_compatibility_reason,claim_text
A0004-C015,A0004-C015-m2,로봇 밀도,고용,-,162,대,대,count,,,수준값,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,1,200,200,REJECT,NO_COMPATIBLE_ITEM,단위·지표 의미가 맞는 ITEM 없음,"로봇,제조업,산업",lexical,200.0,Y,,,,401,DT_373002_001,"제조업용 로봇 생산 현황_기계구조, 적용산업별",2006203,로봇산업실태조사,기계구조및적용산업별:기타 로봇[B0106]/item=N/score=16 | 기계구조및적용산업별:다관절 로봇[B0103]/item=N/score=16 | 기계구조및적용산업별:리니어 로봇[B0101]/item=N/score=16 | 기계구조및적용산업별:병렬형 로봇[B0104]/item=N/score=16 | 기계구조및적용산업별:스카라 로봇[B0102]/item=N/score=16 | 기계구조및적용산업별:원통형 로봇[B0105]/item=N/score=16 | 기계구조및적용산업별:제조업[B0202]/item=N/score=10 | 기계구조및적용산업별:교육 연구 및 개발[B0203]/item=N/score=4,,,,,B,기계구조및적용산업별,B0106,기타 로봇,12,itm/obj 후보 선택,,,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.
A0004-C015,A0004-C015-m2,로봇 밀도,고용,-,162,대,대,count,,,수준값,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,2,200,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,제조업,산업",lexical,200.0,Y,,,,401,DT_373002_002,"제조업용 로봇 출하 현황_기계구조, 적용산업별",2006203,로봇산업실태조사,기계구조및적용산업별:기타 로봇[B0106]/item=N/score=16 | 기계구조및적용산업별:다관절 로봇[B0103]/item=N/score=16 | 기계구조및적용산업별:리니어 로봇[B0101]/item=N/score=16 | 기계구조및적용산업별:병렬형 로봇[B0104]/item=N/score=16 | 기계구조및적용산업별:스카라 로봇[B0102]/item=N/score=16 | 기계구조및적용산업별:원통형 로봇[B0105]/item=N/score=16 | 기계구조및적용산업별:제조업[B0202]/item=N/score=10 | 기계구조및적용산업별:교육 연구 및 개발[B0203]/item=N/score=4,,,,,B,기계구조및적용산업별,B0106,기타 로봇,12,itm/obj 후보 선택,,,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.
A0004-C015,A0004-C015-m2,로봇 밀도,고용,-,162,대,대,count,,,수준값,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,3,188,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,188.0,Y,,,,401,DT_401001_001,로봇산업 매출 현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,meta 없음,,,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.
A0004-C015,A0004-C015-m2,로봇 밀도,고용,-,162,대,대,count,,,수준값,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,4,188,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,188.0,Y,,,,401,DT_401N_012,로봇산업 부문별 지적재산권 현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,meta 없음,,,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.
A0004-C015,A0004-C015-m2,로봇 밀도,고용,-,162,대,대,count,,,수준값,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,5,188,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,188.0,Y,,,,401,DT_401N_008,로봇산업 분야 직무별 종사자 수,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,meta 없음,,,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.
A0004-C021,A0004-C021-m2,로봇 밀도 성장률,고용,-,5,%,%,rate,,,증감률,증가,현재값,KOSIS_VALUE,2018,2025-01-01,Y,전년,,1,200,200,REJECT,NO_COMPATIBLE_ITEM,단위·지표 의미가 맞는 ITEM 없음,"로봇,제조업,산업",lexical,200.0,Y,,,,401,DT_373002_001,"제조업용 로봇 생산 현황_기계구조, 적용산업별",2006203,로봇산업실태조사,기계구조및적용산업별:기타 로봇[B0106]/item=N/score=16 | 기계구조및적용산업별:다관절 로봇[B0103]/item=N/score=16 | 기계구조및적용산업별:리니어 로봇[B0101]/item=N/score=16 | 기계구조및적용산업별:병렬형 로봇[B0104]/item=N/score=16 | 기계구조및적용산업별:스카라 로봇[B0102]/item=N/score=16 | 기계구조및적용산업별:원통형 로봇[B0105]/item=N/score=16 | 기계구조및적용산업별:제조업[B0202]/item=N/score=10 | 기계구조및적용산업별:교육 연구 및 개발[B0203]/item=N/score=4,,,,,B,기계구조및적용산업별,B0106,기타 로봇,12,itm/obj 후보 선택,,,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다."
A0004-C021,A0004-C021-m2,로봇 밀도 성장률,고용,-,5,%,%,rate,,,증감률,증가,현재값,KOSIS_VALUE,2018,2025-01-01,Y,전년,,2,200,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,제조업,산업",lexical,200.0,Y,,,,401,DT_373002_002,"제조업용 로봇 출하 현황_기계구조, 적용산업별",2006203,로봇산업실태조사,기계구조및적용산업별:기타 로봇[B0106]/item=N/score=16 | 기계구조및적용산업별:다관절 로봇[B0103]/item=N/score=16 | 기계구조및적용산업별:리니어 로봇[B0101]/item=N/score=16 | 기계구조및적용산업별:병렬형 로봇[B0104]/item=N/score=16 | 기계구조및적용산업별:스카라 로봇[B0102]/item=N/score=16 | 기계구조및적용산업별:원통형 로봇[B0105]/item=N/score=16 | 기계구조및적용산업별:제조업[B0202]/item=N/score=10 | 기계구조및적용산업별:교육 연구 및 개발[B0203]/item=N/score=4,,,,,B,기계구조및적용산업별,B0106,기타 로봇,12,itm/obj 후보 선택,,,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다."
A0004-C021,A0004-C021-m2,로봇 밀도 성장률,고용,-,5,%,%,rate,,,증감률,증가,현재값,KOSIS_VALUE,2018,2025-01-01,Y,전년,,3,188,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,188.0,Y,,,,401,DT_401001_001,로봇산업 매출 현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,meta 없음,,,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다."
A0004-C021,A0004-C021-m2,로봇 밀도 성장률,고용,-,5,%,%,rate,,,증감률,증가,현재값,KOSIS_VALUE,2018,2025-01-01,Y,전년,,4,188,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,188.0,Y,,,,401,DT_401N_012,로봇산업 부문별 지적재산권 현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,meta 없음,,,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다."
A0004-C021,A0004-C021-m2,로봇 밀도 성장률,고용,-,5,%,%,rate,,,증감률,증가,현재값,KOSIS_VALUE,2018,2025-01-01,Y,전년,,5,188,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,188.0,Y,,,,401,DT_401N_008,로봇산업 분야 직무별 종사자 수,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,meta 없음,,,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다."
