claim_id,article_id,title,date,url,claim_text,metric,metric_all,is_claim,population,prev_sentence,next_sentence,numbers,units,year,region,candidate_kosis_table,api_params,calculation,verifiable,org_id,tbl_id,obj_l1,itm_id,prd_se,reviewer_note,actual_value,actual_period,actual_prev_value,actual_prev_period,actual_change_pct,actual_change_point,api_error,claim_type,claim_number,actual_number,actual_source,verdict,diff,judge_note,refined_claim_type,refined_claim_number,refined_claim_number_reason,refined_actual_number,refined_actual_reason,refined_verdict,refined_diff,refined_judge_note,refined_final_status,audit_future_period,audit_forecast_or_target,audit_mapping_unconfirmed,rerun_actual_period,rerun_actual_value,rerun_verdict,rerun_api_error,audit_reason,audit_status,manual_decision,manual_final_status,manual_mapping_reason,manual_kosis_evidence,manual_checked_at,obj_l2,remap_decision,remap_final_status,remap_reason,remap_kosis_evidence,verification_method,aggregation_rule,remap_checked_at,expansion_no,expansion_batch,expansion_domain,expansion_decision,expansion_final_status,expansion_api_success,expansion_verdict,unavailable_category,unavailable_category_reason,expansion_org_id,expansion_tbl_id,expansion_obj_l1,expansion_obj_l2,expansion_itm_id,expansion_prd_se,expansion_target_number,expansion_target_period,expansion_prev_period,expansion_mapping_note,expansion_actual_number,expansion_current_value,expansion_previous_value,expansion_unit,expansion_evidence,expansion_api_error
C07421,935,"최상목 권한대행 “트럼프와 소통 원한다, 美와 균형잡힌 상호이익관계 추구할 것”",2025-03-13,https://www.chosun.com/economy/economy_general/2025/03/13/PO6PGR27CNEJTJLBQS7TW3R5VY,"WSJ는 이날 보도에서 트럼프 대통령이 지난 4일 미 의회 연설에서 “한국의 평균 관세는 (미국보다) 4배 높다”고 발언한 사실을 언급하며, 트럼프 대통령의 관심이 중국·멕시코·캐나다에 이어 한국으로 향할 가능성에 대해 최 권한대행이 우려하고 있다고 전했다.",무역지표,무역지표; 배수; 날짜·시간,True,,이번 인터뷰는 트럼프 행정부가 같은 날 한국을 포함한 전 세계 철강 및 알루미늄 제품에 대해 25% 관세를 발효한 가운데 진행됐다.,"한국은 2007년 미국과 자유무역협정(FTA)을 체결해 현재 미국에서 수입되는 대부분의 제품에 무관세를 적용하고 있는데, WSJ은 이에 대해 트럼프 대통령의 ‘4배’ 발언이 사실과 다르다는 한국 정부의 입장을 상세히 소개했다.","[4, 4]","['일', '배']",[],[],"국가별 수출액, 수입액(tblId=DT_1R11006_FRM101); 품목별 수출액, 수입액(tblId=DT_1R11001_FRM101)","orgId=360, tblId=DT_1R11006_FRM101 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,360,DT_1R11006_FRM101,13102103829E.US,13103103829T1,Y,국가별 수출입 후보 선택. 국가/수출입/시점 코드 확인 필요 | 국가 코드 자동선택: 미국,122850915,2025,127761371,2024,-3.843459068703951,-4910456.0,,ABS_TO_ABS,4.0,122850915.0,actual_value 컬럼 사용,불일치,0.9999999674402099,"claim=4.0, actual=122850915.0, 오차=1.000 (허용=0.02)",ABS_TO_ABS,4.0,배 숫자 선택,122850915.0,actual_value 사용,불일치,0.9999999674402099,"claim=4.0, adjusted_actual=122850915.0, 오차=1.000, 허용=0.02",재검토필요_수준값불일치,N,N,N,,,,,기존 재검토/판단불가 상태 유지,재검토필요_수준값불일치,,,,,,,,,,,,,,601,4,무역,코드북_비검증분류,판단불가_정보 부족,N/A,판단불가,정보 부족,관측 실적이 아닌 전망·목표 문장,,,,,,,,,,,,,,,,
C07434,938,‘트럼프 최측근’ 머스크의 테슬라마저... 美 관세 정책에 우려 표명,2025-03-14,https://www.chosun.com/economy/auto/2025/03/14/K47FQSYFO5F4RF7SXQWKAMSOZA,"트럼프 대통령은 지난 4일 멕시코와 캐나다에 25% 관세를 적용하는 행정명령에 서명했으나, 그 다음 날 관세를 한 달 유예하기로 했다.",무역지표,무역지표; 비율·증감률; 날짜·시간,True,,"미국에서 생산되는 자동차 부품의 상당수를 의존하는 캐나다와 멕시코에 대한 관세를 높일 경우, 공급망 운영에 큰 차질이 생긴다는 점을 지적한 것이다.",미국 자동차 업체 피해가 심각할 것이란 관측이 나오면서다.,"[4, 25]","['일', '%']",[],[],"품목별 수출액, 수입액(tblId=DT_1R11001_FRM101); 국가별 수출액, 수입액(tblId=DT_1R11006_FRM101)","orgId=360, tblId=DT_1R11001_FRM101 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,360,DT_1R11001_FRM101,13102112831A.A,13103112831T1,Y,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,709330045,2025,683609488,2024,3.7624634314613257,25720557.0,,LEVEL,25.0,709330045.0,actual_value 컬럼 사용,불일치,0.9999999647554757,"claim=25.0, actual=709330045.0, 오차=1.000 (허용=0.05)",LEVEL,25.0,% 숫자 선택,709330045.0,actual_value 사용,불일치,0.9999999647554757,"claim=25.0, adjusted_actual=709330045.0, 오차=1.000, 허용=0.05",재검토필요_수준값불일치,N,N,N,,,,,기존 재검토/판단불가 상태 유지,재검토필요_수준값불일치,,,,,,,,,,,,,,602,4,무역,수동검토유지,재검토필요_수준값불일치,N/A,,,,,,,,,,,,,,,,,,,
C07435,938,‘트럼프 최측근’ 머스크의 테슬라마저... 美 관세 정책에 우려 표명,2025-03-14,https://www.chosun.com/economy/auto/2025/03/14/K47FQSYFO5F4RF7SXQWKAMSOZA,포드의 짐 팔리 CEO(최고경영자)는 지난달 “멕시코와 캐나다에서 수입하는 차량에 25% 관세를 부과하면 미국 자동차 산업에 전례 없는 타격을 줄 것”이라며 관세 정책에 대해 비판했다.,무역지표,무역지표; 비율·증감률,True,,미국 자동차 업체 피해가 심각할 것이란 관측이 나오면서다.,제너럴모터스(GM)와 스텔란티스도 관세에 대한 반대 입장을 잇따라 내놨다.,[25],['%'],[],[],"국가별 수출액, 수입액(tblId=DT_1R11006_FRM101); 품목별 수출액, 수입액(tblId=DT_1R11001_FRM101)","orgId=360, tblId=DT_1R11006_FRM101 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,360,DT_1R11006_FRM101,13102103829E.US,13103103829T2,M,국가별 수출입 후보 선택. 국가/수출입/시점 코드 확인 필요 | 국가 코드 자동선택: 미국,5739598,202502,5839341,202501,-1.7081208307581284,-99743.0,,LEVEL,25.0,5739598.0,actual_value 컬럼 사용,불일치,0.9999956442942519,"claim=25.0, actual=5739598.0, 오차=1.000 (허용=0.05)",LEVEL,25.0,% 숫자 선택,5739598.0,actual_value 사용,불일치,0.9999956442942519,"claim=25.0, adjusted_actual=5739598.0, 오차=1.000, 허용=0.05",재검토필요_수준값불일치,N,N,N,,,,,기존 재검토/판단불가 상태 유지,재검토필요_수준값불일치,,,,,,,,,,,,,,603,4,무역,수동검토유지,재검토필요_수준값불일치,N/A,,,,,,,,,,,,,,,,,,,
C07443,940,"2000달러 넘은 지 5년도 안 됐는데, 국제 금값 3000달러 돌파",2025-03-14,https://www.chosun.com/economy/economy_general/2025/03/14/2I352RUEAZBIDBRAQHUB5THIIU,"미국이 12일 철강·알루미늄에 25% 관세를 부과하기 시작하자, 유럽연합(EU)은 미국 버번 위스키 등에 대한 관세 보복 계획을 발표했다.",무역지표,무역지표; 비율·증감률; 날짜·시간,True,,최근 도널드 트럼프 미 대통령이 점화한 글로벌 관세 전쟁이 격화하는 조짐을 보이고 있다.,트럼프 대통령은 13일 이를 비난하며 샴페인 등 EU산 주류에 200% 관세 부과를 경고했다.,"[12, 25]","['일', '%']",[],[],"국가별 수출액, 수입액(tblId=DT_1R11006_FRM101); 품목별 수출액, 수입액(tblId=DT_1R11001_FRM101)","orgId=360, tblId=DT_1R11006_FRM101 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,360,DT_1R11006_FRM101,13102103829E.US,13103103829T1,Y,국가별 수출입 후보 선택. 국가/수출입/시점 코드 확인 필요 | 국가 코드 자동선택: 미국,122850915,2025,127761371,2024,-3.843459068703951,-4910456.0,,LEVEL,25.0,122850915.0,actual_value 컬럼 사용,불일치,0.9999997965013122,"claim=25.0, actual=122850915.0, 오차=1.000 (허용=0.05)",LEVEL,25.0,% 숫자 선택,122850915.0,actual_value 사용,불일치,0.9999997965013122,"claim=25.0, adjusted_actual=122850915.0, 오차=1.000, 허용=0.05",재검토필요_수준값불일치,N,N,N,,,,,기존 재검토/판단불가 상태 유지,재검토필요_수준값불일치,,,,,,,,,,,,,,604,4,무역,코드북_비검증분류,판단불가_정보 부족,N/A,판단불가,정보 부족,관측 실적이 아닌 전망·목표 문장,,,,,,,,,,,,,,,,
C07444,940,"2000달러 넘은 지 5년도 안 됐는데, 국제 금값 3000달러 돌파",2025-03-14,https://www.chosun.com/economy/economy_general/2025/03/14/2I352RUEAZBIDBRAQHUB5THIIU,트럼프 대통령은 13일 이를 비난하며 샴페인 등 EU산 주류에 200% 관세 부과를 경고했다.,무역지표,무역지표; 비율·증감률; 날짜·시간,True,,"미국이 12일 철강·알루미늄에 25% 관세를 부과하기 시작하자, 유럽연합(EU)은 미국 버번 위스키 등에 대한 관세 보복 계획을 발표했다.","스탠다드차타드 애널리스트 수키 쿠퍼는 로이터에 “금 상장지수펀드(ETF)를 통한 강한 수요와 지속적인 중앙은행의 금 매입, 지정학적 불안, 관세 정책 변화로 인한 불확실성이 금에 대한 수요를 계속 자극하고 있다”고 했다.","[13, 200]","['일', '%']",[],[],"품목별 수출액, 수입액(tblId=DT_1R11001_FRM101); 국가별 수출액, 수입액(tblId=DT_1R11006_FRM101)","orgId=360, tblId=DT_1R11001_FRM101 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,360,DT_1R11001_FRM101,13102112831A.A,13103112831T1,Y,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,709330045,2025,683609488,2024,3.7624634314613257,25720557.0,,LEVEL,200.0,709330045.0,actual_value 컬럼 사용,불일치,0.9999997180438057,"claim=200.0, actual=709330045.0, 오차=1.000 (허용=0.05)",LEVEL,200.0,% 숫자 선택,709330045.0,actual_value 사용,불일치,0.9999997180438057,"claim=200.0, adjusted_actual=709330045.0, 오차=1.000, 허용=0.05",재검토필요_수준값불일치,N,N,N,,,,,기존 재검토/판단불가 상태 유지,재검토필요_수준값불일치,,,,,,,,,,,,,,605,4,무역,수동검토유지,재검토필요_수준값불일치,N/A,,,,,,,,,,,,,,,,,,,
C07508,949,"가계 대출, 저금리 때 2.7배 더 늘었다",2025-03-14,https://www.chosun.com/economy/economy_general/2025/03/14/PYBXVRUSTZAQTOSMMAXAFLIIFI,또 미·중 관세 전쟁이 미칠 영향에 대해선 최악의 경우 내년 우리 경제 성장률을 0.4%포인트 끌어내려 내년 성장률이 1.4%에 그칠 것으로 분석했다.,무역지표,무역지표; 비율·증감률,True,,"한은은 보고서에서 작년 10월 이후 세 차례 기준금리 인하 효과에 대해 올해 성장률을 0.17%포인트, 내년 성장률을 0.26%포인트 끌어올리는 효과가 있을 것으로 봤다.",한은은 앞으로 통화정책을 결정할 때 경기 하방 압력을 완화하는 데 비중을 두겠다며 추가 금리 인하를 시사했다.,"[0.4, 1.4]","['%', '%']",[],[],"품목별 수출액, 수입액(tblId=DT_1R11001_FRM101); 국가별 수출액, 수입액(tblId=DT_1R11006_FRM101)","orgId=360, tblId=DT_1R11001_FRM101 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,360,DT_1R11001_FRM101,13102112831A.A,13103112831T1,Y,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,709330045,2025,683609488,2024,3.7624634314613257,25720557.0,,POINT_CHANGE,1.4,25720557.0,actual_change_point 컬럼 사용(전기대비 계산값),불일치,25720555.6,"claim=1.4, actual=25720557.0, 오차=25720555.600 (허용=0.3)",POINT_CHANGE,1.4,% 숫자 선택,25720557.0,actual_change_point 사용,불일치,25720555.6,"claim=1.4, adjusted_actual=25720557.0, 오차=25720555.600, 허용=0.3",재검토필요_증감률불일치,N,N,N,,,,,기존 재검토/판단불가 상태 유지,재검토필요_증감률불일치,,,,,,,,,,,,,,606,4,무역,수동검토유지,재검토필요_증감률불일치,N/A,,,,,,,,,,,,,,,,,,,
C07513,951,"美 상무장관, 車 관세에 “한국도 예외 아니다”",2025-03-15,https://www.chosun.com/economy/auto/2025/03/15/5FCV2VBQZZEIJJDK73HPGBJ4TU,자동차는 한국의 대미 수출액의 27%(지난해 기준)를 차지하는 주력 수출품이어서 미국이 관세를 올려 수입에 차질이 생긴다면 한국 경제엔 큰 악재다.,무역지표,무역지표; 비율·증감률,True,,하지만 러트닉은 ‘아니다’라고 일단 부정했다.,현재 미국에 수출하는 한국 자동차엔 자유무역협정(FTA)에 따라 관세가 붙지 않는다.,[27],['%'],[],[],"국가별 수출액, 수입액(tblId=DT_1R11006_FRM101); 품목별 수출액, 수입액(tblId=DT_1R11001_FRM101)","orgId=360, tblId=DT_1R11006_FRM101 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,360,DT_1R11006_FRM101,13102103829E.US,13103103829T1,Y,국가별 수출입 후보 선택. 국가/수출입/시점 코드 확인 필요 | 국가 코드 자동선택: 미국,127761371,2024,115696334,2023,10.428192997022705,12065037.0,,LEVEL,27.0,127761371.0,actual_value 컬럼 사용,불일치,0.999999788668517,"claim=27.0, actual=127761371.0, 오차=1.000 (허용=0.05)",LEVEL,27.0,% 숫자 선택,127761371.0,actual_value 사용,불일치,0.999999788668517,"claim=27.0, adjusted_actual=127761371.0, 오차=1.000, 허용=0.05",재검토필요_수준값불일치,N,N,N,,,,,기존 재검토/판단불가 상태 유지,재검토필요_수준값불일치,,,,,,,,,,,,,,607,4,무역,수동검토유지,재검토필요_수준값불일치,N/A,,,,,,,,,,,,,,,,,,,
C07516,951,"美 상무장관, 車 관세에 “한국도 예외 아니다”",2025-03-15,https://www.chosun.com/economy/auto/2025/03/15/5FCV2VBQZZEIJJDK73HPGBJ4TU,하지만 트럼프는 멕시코·캐나다 등 FTA 체결국에도 25% 관세 부과를 예고한 상황이라 FTA가 상호 관세의 ‘방패’가 되기는 어렵다는 전망이 많다.,무역지표,무역지표; 비율·증감률,True,,트럼프가 언급한 ‘네 배’는 전 세계를 대상으로 집계한 세계무역기구(WTO) 통계를 기반으로 한 수치로 실제로 한국은 2007년 미국과 FTA를 체결하고 대부분의 상품을 무관세로 수입 중이다.,한편 트럼프 행정부 ‘2인자’인 일론 머스크가 운영하는 테슬라는 무역대표부(USTR)에 서한을 보내 트럼프의 관세 정책에 우려를 표명한 것으로 알려졌다.,[25],['%'],[],[],"품목별 수출액, 수입액(tblId=DT_1R11001_FRM101); 국가별 수출액, 수입액(tblId=DT_1R11006_FRM101)","orgId=360, tblId=DT_1R11001_FRM101 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,360,DT_1R11001_FRM101,13102112831A.A,13103112831T1,Y,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,709330045,2025,683609488,2024,3.7624634314613257,25720557.0,,LEVEL,25.0,709330045.0,actual_value 컬럼 사용,불일치,0.9999999647554757,"claim=25.0, actual=709330045.0, 오차=1.000 (허용=0.05)",LEVEL,25.0,% 숫자 선택,709330045.0,actual_value 사용,불일치,0.9999999647554757,"claim=25.0, adjusted_actual=709330045.0, 오차=1.000, 허용=0.05",재검토필요_수준값불일치,N,N,N,,,,,기존 재검토/판단불가 상태 유지,재검토필요_수준값불일치,,,,,,,,,,,,,,608,4,무역,코드북_비검증분류,판단불가_정보 부족,N/A,판단불가,정보 부족,관측 실적이 아닌 전망·목표 문장,,,,,,,,,,,,,,,,
C07537,953,혼란 속 슬그머니… 10개 품목은 원료값 떨어졌는데도 가격 올렸다,2025-03-15,https://www.chosun.com/economy/economy_general/2025/03/15/B4O6DPNDU5B6BPU37GY67GLW54,또 커피와 코코아를 수입할 때는 부가세 10%도 면세해준다.,무역지표,무역지표; 비율·증감률,True,,"정부는 올 초부터 식품업체가 수입하는 코코아 생두와 설탕, 오렌지 농축액, 토마토 페이스트, 가공용 옥수수 등 13품목에 할당관세를 적용하고 있고, 다음 달 1일부터는 코코아 파우더와 기타조제 파인애플 등 6품목에 대해서도 할당관세를 적용해주기로 했다.",◇“할당관세 적용받고 이익만 보나” 정부 감시 나서 정부는 식품업체의 그리드플레이션에 대해 조사에 착수할 방침이다.,[10],['%'],[],[],"품목별 수출액, 수입액(tblId=DT_1R11001_FRM101); 국가별 수출액, 수입액(tblId=DT_1R11006_FRM101)","orgId=360, tblId=DT_1R11001_FRM101 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,360,DT_1R11001_FRM101,13102112831A.A,13103112831T2,Y,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,631895368,2025,631767209,2024,0.020285794858339982,128159.0,,LEVEL,10.0,631895368.0,actual_value 컬럼 사용,불일치,0.9999999841745952,"claim=10.0, actual=631895368.0, 오차=1.000 (허용=0.05)",LEVEL,10.0,% 숫자 선택,631895368.0,actual_value 사용,불일치,0.9999999841745952,"claim=10.0, adjusted_actual=631895368.0, 오차=1.000, 허용=0.05",재검토필요_수준값불일치,N,N,N,,,,,기존 재검토/판단불가 상태 유지,재검토필요_수준값불일치,,,,,,,,,,,,,,609,4,무역,수동검토유지,재검토필요_수준값불일치,N/A,,,,,,,,,,,,,,,,,,,
C07540,954,"기후 변화까지 겹쳐, 세계식량가격지수 8.3% 급등",2025-03-15,https://www.chosun.com/economy/economy_general/2025/03/15/ZC7AXUKTWJB63EAITOHPOXXD34,"미국 소비자물가 상승률은 지난해 3월 3.5%에서 9월 연중 최저치인 2.4%까지 떨어졌지만, 올 1월 3%로 반등했고 2월에도 2.8%를 기록했다.",물가지표,물가지표; 비율·증감률; 날짜·시간,True,,러시아 공급 부족으로 곡물 가격도 오름세다.,미국·유럽의 조류 인플루엔자(AI) 같은 국지적인 요인도 식탁 물가를 들썩인다.,"[3, 3.5, 9, 2.4, 1, 3, 2, 2.8]","['월', '%', '월', '%', '월', '%', '월', '%']",[],[],월별 소비자물가 등락률(tblId=DT_1J22042); 소비자물가지수(2020=100)(tblId=DT_1J22003); 품목별 소비자물가지수(품목성질별: 2020=100)(tblId=DT_1J22112),"orgId=101, tblId=DT_1J22042 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,101,DT_1J22042,0,T03,M,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,3.1,202402,2.8,202401,10.714285714285724,0.30000000000000027,,ABS_TO_ABS,3.5,3.1,actual_value 컬럼 사용,불일치,0.1290322580645161,"claim=3.5, actual=3.1, 오차=0.129 (허용=0.02)",ABS_TO_ABS,2.8,% 숫자 선택,3.1,actual_value 사용,불일치,0.09677419354838718,"claim=2.8, adjusted_actual=3.1, 오차=0.097, 허용=0.02",재검토필요_수준값불일치,N,N,N,,,,,기존 재검토/판단불가 상태 유지,재검토필요_수준값불일치,,,,,,,,,,,,,,610,4,물가,코드북_비검증분류,판단불가_KOSIS 미제공,N/A,판단불가,KOSIS 미제공,대한민국 KOSIS 범위 밖의 해외 통계,,,,,,,,,,,,,,,,
