claim_id,article_id,title,date,url,claim_text,metric,metric_all,is_claim,population,prev_sentence,next_sentence,numbers,units,year,region,candidate_kosis_table,api_params,calculation,verifiable,org_id,tbl_id,obj_l1,itm_id,prd_se,reviewer_note,actual_value,actual_period,actual_prev_value,actual_prev_period,actual_change_pct,actual_change_point,api_error,claim_type,claim_number,actual_number,actual_source,verdict,diff,judge_note,refined_claim_type,refined_claim_number,refined_claim_number_reason,refined_actual_number,refined_actual_reason,refined_verdict,refined_diff,refined_judge_note,refined_final_status,audit_future_period,audit_forecast_or_target,audit_mapping_unconfirmed,rerun_actual_period,rerun_actual_value,rerun_verdict,rerun_api_error,audit_reason,audit_status,manual_decision,manual_final_status,manual_mapping_reason,manual_kosis_evidence,manual_checked_at,obj_l2,remap_decision,remap_final_status,remap_reason,remap_kosis_evidence,verification_method,aggregation_rule,remap_checked_at,unavailable_category,unavailable_category_reason
C00086,6,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.",무역지표,무역지표; 비율·증감률; 날짜·시간,True,,"특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.","선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다.","[0.1, 2]","['%', '년']",[],[],"품목별 수출액, 수입액(tblId=DT_1R11001_FRM101); 국가별 수출액, 수입액(tblId=DT_1R11006_FRM101)","orgId=360, tblId=DT_1R11001_FRM101 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,360,DT_1R11001_FRM101,13102112831A.781,13103112831T1,H,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | 품목 세부 코드 필요: 총액 코드로 확정하지 않음 | 품목 코드 자동 후보: 승용자동차 및 기타의 차량,,,,,,,데이터 없음(응답은 성공했으나 매칭 실패),LEVEL,708.0,,"KOSIS 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/Param/statisticsParameterData.do?method=getList&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=360&tblId=DT_1R11001_FRM101&objL1=13102112831A.781&itmId=13103112831T1&prdSe=H&newEstPrdCnt=1&format=json&startPrdDe=%5B%5D&endPrdDe=%5B%5D (Caused by NameResolutionError(""HTTPSConnection(host='kosis.kr', port=443): Failed to resolve 'kosis.kr' ([Errno 8] nodename nor servname provided, or not known)""))",판단불가,,KOSIS 실제값을 못 가져옴 (표/시점/분류 코드 재확인 필요),LEVEL,700.0,억달러 숫자 선택,,데이터 없음(응답은 성공했으나 매칭 실패),판단불가,,KOSIS 실제값/계산값 없음,판단불가_API조회실패,N,N,N,,,,,기존 재검토/판단불가 상태 유지,판단불가_API조회실패,,,,,,,,,,,,,,지역·분류 불일치,필요한 세부 분류와 기존 매핑이 일치하지 않음
C00088,6,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.",무역지표,무역지표; 비율·증감률,True,,"선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다.","바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.",[5],['%'],[],[],"품목별 수출액, 수입액(tblId=DT_1R11001_FRM101); 국가별 수출액, 수입액(tblId=DT_1R11006_FRM101)","orgId=360, tblId=DT_1R11001_FRM101 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,360,DT_1R11001_FRM101,13102112831A.5,13103112831T1,H,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | 품목 세부 코드 필요: 총액 코드로 확정하지 않음 | 품목 코드 자동 후보: 화학물 및 관련제품,,,,,,,데이터 없음(응답은 성공했으나 매칭 실패),CHANGE_RATE,5.0,,"KOSIS 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/Param/statisticsParameterData.do?method=getList&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=360&tblId=DT_1R11001_FRM101&objL1=13102112831A.5&itmId=13103112831T1&prdSe=H&newEstPrdCnt=1&format=json&startPrdDe=%5B%5D&endPrdDe=%5B%5D (Caused by NameResolutionError(""HTTPSConnection(host='kosis.kr', port=443): Failed to resolve 'kosis.kr' ([Errno 8] nodename nor servname provided, or not known)""))",판단불가,,KOSIS 실제값을 못 가져옴 (표/시점/분류 코드 재확인 필요),CHANGE_RATE,5.0,% 숫자 선택,,증감률 claim인데 actual_change_pct 없음,판단불가,,KOSIS 실제값/계산값 없음,판단불가_증감계산값없음,N,N,N,,,,,기존 재검토/판단불가 상태 유지,판단불가_증감계산값없음,,,,,,,,,,,,,,KOSIS 미제공,현재 코드북 표에서 같은 정의의 값을 확보하지 못함
C00093,6,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"전년 대비 월간 수출 증가율은 8월(11%), 9월(7.5%), 10월(4.6%), 11월(1.4%)로 계속 감소 중이었으나, 12월에 6.6%로 반등에 성공한 것이다.",무역지표,무역지표; 비율·증감률; 날짜·시간,True,,특히 감소 추세를 보이던 수출 증가율이 5개월 만에 반등에 성공했다.,12월 수출도 한국의 최대 수출 품목인 반도체가 31.5% 증가한 145억 달러를 기록하며 호실적을 이끌었다.,"[8, 11, 9, 7.5, 10, 4.6, 11, 1.4, 12, 6.6]","['월', '%', '월', '%', '월', '%', '월', '%', '월', '%']",[],[],"품목별 수출액, 수입액(tblId=DT_1R11001_FRM101); 국가별 수출액, 수입액(tblId=DT_1R11006_FRM101)","orgId=360, tblId=DT_1R11001_FRM101 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,360,DT_1R11001_FRM101,13102112831A.A,13103112831T1,M,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,61359250,202412,57573193,202312,6.576076126262444,3786057.0,,CHANGE_RATE,6.6,6.576076126262444,actual_change_pct 컬럼 사용(전기대비 계산값),일치,0.023923873737556,"claim=6.6, actual=6.576076126262444, 오차=0.024 (허용=0.3)",CHANGE_RATE,6.6,% 숫자 선택,6.576076126262444,actual_change_pct 사용,일치,0.023923873737556,"claim=6.6, adjusted_actual=6.576076126262444, 오차=0.024, 허용=0.3",검증완료_일치,N,N,Y,202408,57642924,판단불가,,정확한 목표 시점의 KOSIS 값을 확보하지 못함,판단불가_정확시점조회실패,,,,,,,,,,,,,,KOSIS 미제공,현재 코드북 표에서 같은 정의의 값을 확보하지 못함
C00180,18,반도체 덕에… 지난해 수출 6838억달러 역대 최대,2025-01-02,https://www.chosun.com/economy/economy_general/2025/01/02/6MYGM52QIVHUJBIZYYFBUW5IQM,작년 수출이 역대 최대 실적을 달성한 것은 4개월 연속 둔화세를 보이던 수출이 지난달 선방했기 때문이다.,무역지표,무역지표; 건수·개수,True,,무역수지는 반도체 수출 부진 여파로 2022·2023년 2년 연속 적자를 봤다가 작년에 3년 만에 다시 흑자로 돌아섰다.,작년 12월 수출은 613억8000만달러로 1년 전 대비 6.6% 늘어 한 달 전(1.4%)에 비해 오름폭을 키웠다.,[4],['개'],[],[],"품목별 수출액, 수입액(tblId=DT_1R11001_FRM101); 국가별 수출액, 수입액(tblId=DT_1R11006_FRM101)","orgId=360, tblId=DT_1R11001_FRM101 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,360,DT_1R11001_FRM101,13102112831A.7763,13103112831T1,M,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | 품목 세부 코드 필요: 총액 코드로 확정하지 않음 | 품목 코드 자동 후보: 반도체 디바이스,274344,202412,295336,202411,-7.107836498090311,-20992.0,,CHANGE_RATE,4.0,-7.107836498090311,actual_change_pct 컬럼 사용(전기대비 계산값),불일치,11.107836498090311,"claim=4.0, actual=-7.107836498090311, 오차=11.108 (허용=0.3)",CHANGE_RATE,,claim 숫자 선택 실패,-7.107836498090311,actual_change_pct 사용,판단불가,,claim 숫자 선택 실패,판단불가_증감계산값없음,N,N,N,,,,,기존 재검토/판단불가 상태 유지,판단불가_증감계산값없음,,,,,,,,,,,,,,KOSIS 미제공,현재 코드북 표에서 같은 정의의 값을 확보하지 못함
C00289,29,완성차 5사 판매량 3년만에 감소세로...내수 부진에 전기차 캐즘 본격화,2025-01-03,https://www.chosun.com/economy/auto/2025/01/03/N4AM2ZKHUBDXHOEEKGPMWO4Y2U,2023년 역대 최고 실적을 달성했던 수출도 성장세가 꺾였다.,무역지표,무역지표; 날짜·시간,True,,GM 한국사업장(-35.9%)과 KG모빌리티(-25.7%)도 내수 판매가 급감했다.,지난해 GM 한국사업장은 해외에 2023년 대비 10.6% 증가한 47만 4735대를 판매했다.,[2023],['년'],['2023'],[],"품목별 수출액, 수입액(tblId=DT_1R11001_FRM101); 국가별 수출액, 수입액(tblId=DT_1R11006_FRM101)","orgId=360, tblId=DT_1R11001_FRM101 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,360,DT_1R11001_FRM101,13102112831A.A,13103112831T1,Y,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,632225824,2023,683584760,2022,-7.513177444154841,-51358936.0,,CHANGE_RATE,2023.0,-7.513177444154841,actual_change_pct 컬럼 사용(전기대비 계산값),불일치,2030.5131774441547,"claim=2023.0, actual=-7.513177444154841, 오차=2030.513 (허용=0.3)",CHANGE_RATE,,claim 숫자 선택 실패,-7.513177444154841,actual_change_pct 사용,판단불가,,claim 숫자 선택 실패,판단불가_증감계산값없음,N,N,N,,,,,기존 재검토/판단불가 상태 유지,판단불가_증감계산값없음,,,,,,,,,,,,,,KOSIS 미제공,현재 코드북 표에서 같은 정의의 값을 확보하지 못함
C00474,51,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,"0 [탄핵 이후 부동산 시장 대전망] 고준석 연세대 상남경영원 교수 “서울은 공급 감소 불가피…분양가·집값 다 오른다” [땅집고] ""올해 서울 집값은 2~3%, 경기도는 1~2% 정도 상승하겠지만 지방은 1~2% 하락할 것이다.",부동산지표,부동산지표; 비율·증감률,True,서울; 경기; 지방,,"탄핵 정국은 환율 급등, 공사비 인상, 분양가 상승 등 가격 상승 불쏘시개가 될 가능성이 높다."" 국내 1세대 은행 PB(프라이빗뱅킹) 출신 부동산 전문가로 꼽히는 고준석 연세대 경영전문대학원 상남경영원 교수는 땅집고 와 가진 인터뷰에서 ""올해는 서울·수도권에서도 서울과 가까운 지역, GTX(수도권광역급행철도) 개통으로 교통이 개선된 지역은 가격이 오를 것""이라며 ""공급 부족은 부동산 가격 상승의 가장 큰 원인이기 때문에 다주택자 보유 물건이 시장에 나와 가격 안정에 도움을 줄 수 있도록 세제 혜택이 필요하다""고 밝혔다.","[3, 2, 2]","['%', '%', '%']",[],"['서울', '대전', '경기']",유형별 주택매매가격지수(2011.6=100)(tblId=DT_304N_04_00001),"orgId=408, tblId=DT_304N_04_00001 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,408,DT_304N_04_00001,1530430404A,16304304_01,Y,주택매매가격지수 후보 선택. 지역/주택유형 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,,,,,데이터 없음(응답은 성공했으나 매칭 실패),CHANGE_RATE,2.0,,"KOSIS 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/Param/statisticsParameterData.do?method=getList&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=408&tblId=DT_304N_04_00001&objL1=1530430404A&itmId=16304304_01&prdSe=Y&newEstPrdCnt=1&format=json&startPrdDe=%5B%5D&endPrdDe=%5B%5D (Caused by NameResolutionError(""HTTPSConnection(host='kosis.kr', port=443): Failed to resolve 'kosis.kr' ([Errno 8] nodename nor servname provided, or not known)""))",판단불가,,KOSIS 실제값을 못 가져옴 (표/시점/분류 코드 재확인 필요),CHANGE_RATE,2.0,% 숫자 선택,,증감률 claim인데 actual_change_pct 없음,판단불가,,KOSIS 실제값/계산값 없음,판단불가_증감계산값없음,N,N,N,,,,,기존 재검토/판단불가 상태 유지,판단불가_증감계산값없음,,,,,,,,,,,,,,정보 부족,시점·대상·파라미터 또는 관측 실적이 확정되지 않음
C00475,51,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,수치적으로 보면 서울은 2~3% 정도 상승할 것이다.,비율·증감률,비율·증감률,True,,나머지 지역은 조금 떨어질 수도 있을 것이라고 본다.,경기도는 외곽 지역의 경우 하락 가능성도 있기 때문에 종합적으로 1~2% 정도 오를 것이다.,[3],['%'],[],['서울'],유형별 주택매매가격지수(2011.6=100)(tblId=DT_304N_04_00001),"orgId=408, tblId=DT_304N_04_00001 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,408,DT_304N_04_00001,1530430404A,16304304_01,Y,주택매매가격지수 후보 선택. 지역/주택유형 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,,,,,데이터 없음(응답은 성공했으나 매칭 실패),CHANGE_RATE,3.0,,"KOSIS 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/Param/statisticsParameterData.do?method=getList&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=408&tblId=DT_304N_04_00001&objL1=1530430404A&itmId=16304304_01&prdSe=Y&newEstPrdCnt=1&format=json&startPrdDe=%5B%5D&endPrdDe=%5B%5D (Caused by NameResolutionError(""HTTPSConnection(host='kosis.kr', port=443): Failed to resolve 'kosis.kr' ([Errno 8] nodename nor servname provided, or not known)""))",판단불가,,KOSIS 실제값을 못 가져옴 (표/시점/분류 코드 재확인 필요),CHANGE_RATE,3.0,% 숫자 선택,,증감률 claim인데 actual_change_pct 없음,판단불가,,KOSIS 실제값/계산값 없음,판단불가_증감계산값없음,N,N,N,,,,,기존 재검토/판단불가 상태 유지,판단불가_증감계산값없음,,,,,,,,,,,,,,정보 부족,시점·대상·파라미터 또는 관측 실적이 확정되지 않음
C00476,51,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,경기도는 외곽 지역의 경우 하락 가능성도 있기 때문에 종합적으로 1~2% 정도 오를 것이다.,비율·증감률,비율·증감률,True,경기,수치적으로 보면 서울은 2~3% 정도 상승할 것이다.,지방은 보합 수준이거나 1~2% 정도 하락할 것으로 보고 있다.” ―수도권은 주택 공급이 줄고 있는데.,[2],['%'],[],['경기'],유형별 주택매매가격지수(2011.6=100)(tblId=DT_304N_04_00001),"orgId=408, tblId=DT_304N_04_00001 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,408,DT_304N_04_00001,1530430404A,16304304_01,Y,주택매매가격지수 후보 선택. 지역/주택유형 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,,,,,데이터 없음(응답은 성공했으나 매칭 실패),CHANGE_RATE,2.0,,"KOSIS 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/Param/statisticsParameterData.do?method=getList&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=408&tblId=DT_304N_04_00001&objL1=1530430404A&itmId=16304304_01&prdSe=Y&newEstPrdCnt=1&format=json&startPrdDe=%5B%5D&endPrdDe=%5B%5D (Caused by NameResolutionError(""HTTPSConnection(host='kosis.kr', port=443): Failed to resolve 'kosis.kr' ([Errno 8] nodename nor servname provided, or not known)""))",판단불가,,KOSIS 실제값을 못 가져옴 (표/시점/분류 코드 재확인 필요),CHANGE_RATE,2.0,% 숫자 선택,,증감률 claim인데 actual_change_pct 없음,판단불가,,KOSIS 실제값/계산값 없음,판단불가_증감계산값없음,N,N,N,,,,,기존 재검토/판단불가 상태 유지,판단불가_증감계산값없음,,,,,,,,,,,,,,정보 부족,시점·대상·파라미터 또는 관측 실적이 확정되지 않음
C00477,51,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,지방은 보합 수준이거나 1~2% 정도 하락할 것으로 보고 있다.” ―수도권은 주택 공급이 줄고 있는데.,비율·증감률,비율·증감률,True,지방; 수도권,경기도는 외곽 지역의 경우 하락 가능성도 있기 때문에 종합적으로 1~2% 정도 오를 것이다.,“공급 부족은 가격 상승에 가장 큰 원인이다.,[2],['%'],[],[],유형별 주택매매가격지수(2011.6=100)(tblId=DT_304N_04_00001),"orgId=408, tblId=DT_304N_04_00001 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,408,DT_304N_04_00001,1530430404A,16304304_01,Y,주택매매가격지수 후보 선택. 지역/주택유형 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,,,,,데이터 없음(응답은 성공했으나 매칭 실패),CHANGE_RATE,2.0,,"KOSIS 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/Param/statisticsParameterData.do?method=getList&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=408&tblId=DT_304N_04_00001&objL1=1530430404A&itmId=16304304_01&prdSe=Y&newEstPrdCnt=1&format=json&startPrdDe=%5B%5D&endPrdDe=%5B%5D (Caused by NameResolutionError(""HTTPSConnection(host='kosis.kr', port=443): Failed to resolve 'kosis.kr' ([Errno 8] nodename nor servname provided, or not known)""))",판단불가,,KOSIS 실제값을 못 가져옴 (표/시점/분류 코드 재확인 필요),CHANGE_RATE,2.0,% 숫자 선택,,증감률 claim인데 actual_change_pct 없음,판단불가,,KOSIS 실제값/계산값 없음,판단불가_증감계산값없음,N,N,N,,,,,기존 재검토/판단불가 상태 유지,판단불가_증감계산값없음,,,,,,,,,,,,,,정보 부족,시점·대상·파라미터 또는 관측 실적이 확정되지 않음
C00478,51,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,"""법인 임대사업자와 다주택자는 주택취득세율이 12%다.",비율·증감률,비율·증감률,True,,"금리가 떨어지면 수요자들이 늘어날 것이고, 이때 집을 매도하는 것이 좋다.” ―지방은 미분양 등으로 침체에 빠져있는데.","다음 정부에서는 법인 임대사업자가 시장에서 순기능을 할 수 있도록 행정적, 정책적 지원이 필요하다.",[12],['%'],[],[],유형별 주택매매가격지수(2011.6=100)(tblId=DT_304N_04_00001),"orgId=408, tblId=DT_304N_04_00001 | obj_l1/itm_id 메타 API로 확인 필요",원자료 직접 조회 후 필요 시 증감률 계산,검토 필요,408,DT_304N_04_00001,1530430404A,16304304_01,Y,주택매매가격지수 후보 선택. 지역/주택유형 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,,,,,데이터 없음(응답은 성공했으나 매칭 실패),LEVEL,12.0,,"KOSIS 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/Param/statisticsParameterData.do?method=getList&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=408&tblId=DT_304N_04_00001&objL1=1530430404A&itmId=16304304_01&prdSe=Y&newEstPrdCnt=1&format=json&startPrdDe=%5B%5D&endPrdDe=%5B%5D (Caused by NameResolutionError(""HTTPSConnection(host='kosis.kr', port=443): Failed to resolve 'kosis.kr' ([Errno 8] nodename nor servname provided, or not known)""))",판단불가,,KOSIS 실제값을 못 가져옴 (표/시점/분류 코드 재확인 필요),LEVEL,12.0,% 숫자 선택,,데이터 없음(응답은 성공했으나 매칭 실패),판단불가,,KOSIS 실제값/계산값 없음,판단불가_API조회실패,N,N,N,,,,,기존 재검토/판단불가 상태 유지,판단불가_API조회실패,,,,,,,,,,,,,,KOSIS 미제공,현재 코드북 표에서 같은 정의의 값을 확보하지 못함
