summary_type,key,count
total,rows,6404
total,filled_tbl_id,2001
total,blank_tbl_id,4403
total,filled_obj_l1_and_itm_id,1998
total,filled_tbl_id_but_missing_obj_or_itm,3
metric_manual,비율·증감률,3235
metric_manual,무역지표,264
metric_manual,금액,216
metric_manual,판매·생산량,206
metric_manual,임금·소득,102
metric_manual,금리지표,95
metric_manual,인구지표,69
metric_manual,건수·개수,58
metric_manual,부동산지표,35
metric_manual,인원수,26
metric_manual,여론조사,25
metric_manual,연혁·역사,23
metric_manual,위치·거리정보,22
metric_manual,물가지표,9
metric_manual,배수,7
metric_manual,기상·환경,5
metric_manual,고용지표,5
metric_manual,길이·무게·부피,1
metric_tbl_filled,무역지표,830
metric_tbl_filled,비율·증감률,574
metric_tbl_filled,고용지표,174
metric_tbl_filled,임금·소득,143
metric_tbl_filled,물가지표,134
metric_tbl_filled,인구지표,71
metric_tbl_filled,부동산지표,21
metric_tbl_filled,판매·생산량,15
metric_tbl_filled,금리지표,8
metric_tbl_filled,건수·개수,7
metric_tbl_filled,위치·거리정보,7
metric_tbl_filled,금액,5
metric_tbl_filled,인원수,5
metric_tbl_filled,기상·환경,4
metric_tbl_filled,여론조사,3
missing_code_tbl,DT_1R11001_FRM101,2
missing_code_tbl,DT_1DA7300AS,1
