group,key,count
refined_verdict,판단불가,1025
refined_verdict,불일치,868
refined_verdict,일치,108
refined_final_status,재검토필요_증감률불일치,837
refined_final_status,판단불가_검증대상아님,686
refined_final_status,판단불가_증감계산값없음,259
refined_final_status,검증완료_일치,108
refined_final_status,판단불가_파라미터미확정,56
refined_final_status,재검토필요_수준값불일치,31
refined_final_status,판단불가_API조회실패,24
refined_claim_type,CHANGE_RATE,1254
refined_claim_type,UNVERIFIABLE,686
refined_claim_type,LEVEL,61
tbl_id,,733
tbl_id,DT_1J22042,284
tbl_id,DT_1R11001_FRM101,217
tbl_id,DT_1J22003,113
tbl_id,DT_1R11006_FRM101,104
tbl_id,DT_1DA7001S,98
tbl_id,DT_1L9U101,93
tbl_id,INH_1B8000F_01,70
tbl_id,DT_1K41012,67
tbl_id,DT_1DA7002S,57
tbl_id,DT_1B8000F,42
tbl_id,DT_304N_04_00001,30
tbl_id,DT_1EW0001,22
tbl_id,DT_200Y113,15
tbl_id,DT_1K41018,14
tbl_id,DT_401Y015,12
tbl_id,DT_1KC2020,11
tbl_id,DT_1L9U103,9
tbl_id,DT_1EA1011,5
tbl_id,DT_1ES3A03_A01S,3
tbl_id,INH_1B8000F_02,1
tbl_id,DT_1DA7300AS,1
