claim_id,claim_measurement_id,claim_text,date,measurement_text,measurement_usage,claim_domain_scope,measurement_binding_source,measurement_role,measurement_indicator,measurement_item,value,unit,measurement_period,measurement_prd_se,in_ready,cand_tbl_ids,gold_verifiable,gold_measurement_correct,gold_org_id,gold_tbl_id,gold_obj_l1,gold_itm_id,gold_verdict,gold_actual_value,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,mapping_exclusion_code,mapping_exclusion_reason
A0003-C002,A0003-C002-m1,국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,2025-01-01,1만30원,POLICY_VALUE,국내공식통계,claim_fallback,현재값,최저임금,-,10030,원,2025,Y,N,,N,Y,,,,,,,,,,,원,원,currency,amount,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C002,A0003-C002-m2,국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,2025-01-01,9860원,POLICY_VALUE,국내공식통계,claim_fallback,이전값,최저임금,-,9860,원,2025,Y,N,,N,N,,,,,,,,,,,원,원,currency,amount,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C002,A0003-C002-m3,국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,2025-01-01,1.70%,POLICY_VALUE,국내공식통계,claim_fallback,증감률,최저임금 인상률,-,1.7,%,2025,Y,N,,N,Y,,,,,,,,,,,%,%,rate,rate_change,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C003,A0003-C003-m1,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,2025-01-01,209만6270원,POLICY_VALUE,국내공식통계,claim_fallback,현재값,최저임금,-,2096270,원,202501,M,N,,N,Y,,,,,,,,,,,원,원,currency,amount,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C003,A0003-C003-m2,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,2025-01-01,40시간,CONDITION,국내공식통계,claim_fallback,참고값,주 근로시간,-,40,시간,202501,M,N,,N,Y,,,,,,,,,,,시간,시간,duration,condition,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=CONDITION
A0003-C009,A0003-C009-m1,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,2025-01-01,1년,CONDITION,해외통계·정책,claim_fallback,참고값,육아휴직 급여 수령 기간,-,1,년,2025,-,N,,N,Y,,,,,,,,,,,년,년,duration,condition,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=CONDITION
A0003-C009,A0003-C009-m2,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,2025-01-01,1800만원,POLICY_VALUE,해외통계·정책,claim_fallback,이전값,육아휴직 급여 총액,-,18000000,원,2025,-,N,,N,N,,,,,,,,,,,원,원,currency,amount,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C009,A0003-C009-m3,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,2025-01-01,2310만원,POLICY_VALUE,해외통계·정책,claim_fallback,현재값,육아휴직 급여 총액,-,23100000,원,2025,-,N,,N,Y,,,,,,,,,,,원,원,currency,amount,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C013,A0003-C013-m1,"골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.",2025-01-01,54세,CONDITION,국내공식통계,claim_fallback,참고값,국가건강검진 대상 연령,여성,54,세,2025,Y,N,,N,N,,,,,,,,,,,세,세,age,condition,item,,N,NOT_KOSIS_VALUE,measurement_usage=CONDITION
A0003-C013,A0003-C013-m2,"골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.",2025-01-01,66세,CONDITION,국내공식통계,claim_fallback,참고값,국가건강검진 대상 연령,여성,66,세,2025,Y,N,,N,N,,,,,,,,,,,세,세,age,condition,item,,N,NOT_KOSIS_VALUE,measurement_usage=CONDITION
