claim_measurement_id,indicator,tbl_id,tbl_name,candidate_rank,candidate_status,api_error_type,api_error_reason,api_error_count,request_error_count,response_mismatch_count,candidate_obj_combinations
A0004-C021-m2,로봇 밀도 증가율,DT_373002_001,"제조업용 로봇 생산 현황_기계구조, 적용산업별",1,REVIEW,NO_DATA_FOR_COMBINATION,요청 ITEM/OBJ/기간 조합에 해당하는 KOSIS 데이터 없음,1,0,0,"[{""itm_id"": ""T001"", ""itm_name"": ""금액"", ""semantic_score"": 14.5, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다."", ""objL1"": ""A22"", ""objL1_name"": ""5~9인"", ""objL2"": ""B0106"", ""objL2_name"": ""기타 로봇""}]"
A0004-C021-m2,로봇 밀도 증가율,DT_373002_002,"제조업용 로봇 출하 현황_기계구조, 적용산업별",2,ALTERNATE,NO_DATA_FOR_COMBINATION,요청 ITEM/OBJ/기간 조합에 해당하는 KOSIS 데이터 없음,1,0,0,"[{""itm_id"": ""T001"", ""itm_name"": ""금액"", ""semantic_score"": 14.5, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다."", ""objL1"": ""A22"", ""objL1_name"": ""5~9인"", ""objL2"": ""B0106"", ""objL2_name"": ""기타 로봇""}]"
A0004-C048-m1,로봇화에 뛰어든 기업 수,DT_395N_I2021277,디지털 신기술별 도입 여부: 로봇공학,2,ALTERNATE,NO_DATA_FOR_COMBINATION,요청 ITEM/OBJ/기간 조합에 해당하는 KOSIS 데이터 없음,2,0,0,"[{""itm_id"": ""T001"", ""itm_name"": ""사례수"", ""semantic_score"": 12.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": ""축 '도입여부별'이 미명시되어 공식 메타의 유일한 집계값 적용"", ""default_risk"": ""LOW"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다"", ""objL1"": ""005004"", ""objL1_name"": ""대기업"", ""objL2"": ""001"", ""objL2_name"": ""계""}, {""itm_id"": ""T002"", ""itm_name"": ""비율"", ""semantic_score"": 12.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": ""축 '도입여부별'이 미명시되어 공식 메타의 유일한 집계값 적용"", ""default_risk"": ""LOW"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다"", ""objL1"": ""005004"", ""objL1_name"": ""대기업"", ""objL2"": ""001"", ""objL2_name"": ""계""}]"
A0006-C007-m1,무역수지,DT_1R11001_FRM101,"품목별 수출액, 수입액",1,REVIEW,NO_DATA_FOR_COMBINATION,요청 ITEM/OBJ/기간 조합에 해당하는 KOSIS 데이터 없음,2,0,0,"[{""itm_id"": ""13103112831T2"", ""itm_name"": ""수입액"", ""semantic_score"": 67.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다."", ""objL1"": ""13102112831A.A"", ""objL1_name"": ""총액""}, {""itm_id"": ""13103112831T1"", ""itm_name"": ""수출액"", ""semantic_score"": 7.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다."", ""objL1"": ""13102112831A.A"", ""objL1_name"": ""총액""}]"
A0006-C009-m1,반도체 수출 증감률,DT_1R11001_FRM101,"품목별 수출액, 수입액",1,REVIEW,NO_DATA_FOR_COMBINATION,요청 ITEM/OBJ/기간 조합에 해당하는 KOSIS 데이터 없음,2,0,0,"[{""itm_id"": ""13103112831T1"", ""itm_name"": ""수출액"", ""semantic_score"": 462.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다."", ""objL1"": ""13102112831A.77649"", ""objL1_name"": ""기타 전자집적회로와 초소형 조립회로""}, {""itm_id"": ""13103112831T2"", ""itm_name"": ""수입액"", ""semantic_score"": 312.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다."", ""objL1"": ""13102112831A.77649"", ""objL1_name"": ""기타 전자집적회로와 초소형 조립회로""}]"
A0006-C009-m2,반도체 수출액,DT_1R11001_FRM101,"품목별 수출액, 수입액",1,REVIEW,NO_DATA_FOR_COMBINATION,요청 ITEM/OBJ/기간 조합에 해당하는 KOSIS 데이터 없음,2,0,0,"[{""itm_id"": ""13103112831T1"", ""itm_name"": ""수출액"", ""semantic_score"": 437.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다."", ""objL1"": ""13102112831A.77649"", ""objL1_name"": ""기타 전자집적회로와 초소형 조립회로""}, {""itm_id"": ""13103112831T2"", ""itm_name"": ""수입액"", ""semantic_score"": 297.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다."", ""objL1"": ""13102112831A.77649"", ""objL1_name"": ""기타 전자집적회로와 초소형 조립회로""}]"
A0006-C011-m1,자동차 수출,DT_FS463001_A055,자동차튜닝 관련 매출액 중 해외수출액 비중,2,ALTERNATE,NO_DATA_FOR_COMBINATION,요청 ITEM/OBJ/기간 조합에 해당하는 KOSIS 데이터 없음,2,0,0,"[{""itm_id"": ""T001"", ""itm_name"": ""사례수"", ""semantic_score"": 267.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다"", ""objL1"": ""01005"", ""objL1_name"": ""자동차튜닝 기술 및 훈련 교육기업""}, {""itm_id"": ""T002"", ""itm_name"": ""없음"", ""semantic_score"": 267.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다"", ""objL1"": ""01005"", ""objL1_name"": ""자동차튜닝 기술 및 훈련 교육기업""}]"
A0006-C011-m2,자동차 수출 증감률,DT_FS463001_A055,자동차튜닝 관련 매출액 중 해외수출액 비중,2,ALTERNATE,NO_DATA_FOR_COMBINATION,요청 ITEM/OBJ/기간 조합에 해당하는 KOSIS 데이터 없음,2,0,0,"[{""itm_id"": ""T001"", ""itm_name"": ""사례수"", ""semantic_score"": 269.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다"", ""objL1"": ""01005"", ""objL1_name"": ""자동차튜닝 기술 및 훈련 교육기업""}, {""itm_id"": ""T002"", ""itm_name"": ""없음"", ""semantic_score"": 267.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다"", ""objL1"": ""01005"", ""objL1_name"": ""자동차튜닝 기술 및 훈련 교육기업""}]"
A0006-C014-m1,바이오헬스 수출 증가율,DT_1R11001_FRM101,"품목별 수출액, 수입액",1,REVIEW,NO_DATA_FOR_COMBINATION,요청 ITEM/OBJ/기간 조합에 해당하는 KOSIS 데이터 없음,2,0,0,"[{""itm_id"": ""13103112831T1"", ""itm_name"": ""수출액"", ""semantic_score"": 407.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다."", ""objL1"": ""13102112831A.54190"", ""objL1_name"": ""기타(의료용품의약품 제외)""}, {""itm_id"": ""13103112831T2"", ""itm_name"": ""수입액"", ""semantic_score"": 257.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다."", ""objL1"": ""13102112831A.54190"", ""objL1_name"": ""기타(의료용품의약품 제외)""}]"
A0006-C014-m2,바이오헬스 수출액,DT_1R11001_FRM101,"품목별 수출액, 수입액",1,REVIEW,NO_DATA_FOR_COMBINATION,요청 ITEM/OBJ/기간 조합에 해당하는 KOSIS 데이터 없음,2,0,0,"[{""itm_id"": ""13103112831T1"", ""itm_name"": ""수출액"", ""semantic_score"": 382.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다."", ""objL1"": ""13102112831A.54190"", ""objL1_name"": ""기타(의료용품의약품 제외)""}, {""itm_id"": ""13103112831T2"", ""itm_name"": ""수입액"", ""semantic_score"": 242.0, ""metadata_valid"": true, ""response_code_valid"": false, ""api_valid"": false, ""default_reason"": """", ""default_risk"": ""NONE"", ""api_error"": ""KosisAPIResponseError: KOSIS API error: 데이터가 존재하지 않습니다."", ""objL1"": ""13102112831A.54190"", ""objL1_name"": ""기타(의료용품의약품 제외)""}]"
