claim_id,claim_measurement_id,indicator,metric_domain,industry_or_item,value,unit,raw_unit,unit_dimension,semantic_type,entity_type,value_type,direction,measurement_role,measurement_usage,period,prd_se,change_base,comparison_period,candidate_rank,candidate_score,candidate_runner_up_score,candidate_status,candidate_status_code,candidate_status_reason,candidate_hits,retrieval_backend,lexical_score,lexical_eligible,semantic_score,reranker_score,fusion_score,org_id,tbl_id,tbl_name,stat_id,category_path,meta_candidates,selected_itm_id,selected_itm_name,selected_itm_unit,selected_itm_score,selected_obj_l1_axis_id,selected_obj_l1_axis_name,selected_obj_l1,selected_obj_l1_name,selected_obj_l1_score,selected_code_status,mapping_type,unit_compatibility_reason,claim_text
A0004-C021,A0004-C021-m2,로봇 밀도 증가율,고용,-,5,%,%,rate,rate_change,unspecified,증감률,증가,증감률,KOSIS_VALUE,2018,Y,전년,2017,1,218,218,REVIEW,AMBIGUOUS_TABLE,"1·2위 점수 차이 부족: margin=0, required=21","로봇,제조업,산업",lexical,218.0,Y,,,,401,DT_373002_001,"제조업용 로봇 생산 현황_기계구조, 적용산업별",2006203,로봇산업실태조사,기계구조및적용산업별:제조업[B0202]/item=N/score=19 | 기계구조및적용산업별:기타 로봇[B0106]/item=N/score=16 | 기계구조및적용산업별:다관절 로봇[B0103]/item=N/score=16 | 기계구조및적용산업별:리니어 로봇[B0101]/item=N/score=16 | 기계구조및적용산업별:병렬형 로봇[B0104]/item=N/score=16 | 기계구조및적용산업별:스카라 로봇[B0102]/item=N/score=16 | 기계구조및적용산업별:원통형 로봇[B0105]/item=N/score=16 | 기계구조및적용산업별:교육 연구 및 개발[B0203]/item=N/score=4,T001,금액,백만원,0,B,기계구조및적용산업별,B0106,기타 로봇,12,itm/obj 후보 선택,rate_from_level,KOSIS 수준값에서 증감률 계산 필요,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다."
A0004-C021,A0004-C021-m2,로봇 밀도 증가율,고용,-,5,%,%,rate,rate_change,unspecified,증감률,증가,증감률,KOSIS_VALUE,2018,Y,전년,2017,2,218,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,제조업,산업",lexical,218.0,Y,,,,401,DT_373002_002,"제조업용 로봇 출하 현황_기계구조, 적용산업별",2006203,로봇산업실태조사,기계구조및적용산업별:제조업[B0202]/item=N/score=19 | 기계구조및적용산업별:기타 로봇[B0106]/item=N/score=16 | 기계구조및적용산업별:다관절 로봇[B0103]/item=N/score=16 | 기계구조및적용산업별:리니어 로봇[B0101]/item=N/score=16 | 기계구조및적용산업별:병렬형 로봇[B0104]/item=N/score=16 | 기계구조및적용산업별:스카라 로봇[B0102]/item=N/score=16 | 기계구조및적용산업별:원통형 로봇[B0105]/item=N/score=16 | 기계구조및적용산업별:교육 연구 및 개발[B0203]/item=N/score=4,T001,금액,백만원,0,B,기계구조및적용산업별,B0106,기타 로봇,12,itm/obj 후보 선택,rate_from_level,KOSIS 수준값에서 증감률 계산 필요,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다."
A0004-C021,A0004-C021-m2,로봇 밀도 증가율,고용,-,5,%,%,rate,rate_change,unspecified,증감률,증가,증감률,KOSIS_VALUE,2018,Y,전년,2017,3,188,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,188.0,Y,,,,401,DT_401001_001,로봇산업 매출 현황,2006203,로봇산업실태조사,특성별:제조업용 로봇[A01]/item=N/score=27 | 특성별:개인서비스용 로봇[A03]/item=N/score=12 | 특성별:로봇 서비스[A07]/item=N/score=12 | 특성별:로봇 시스템[A05]/item=N/score=12 | 특성별:로봇 임베디드[A06]/item=N/score=12 | 특성별:로봇부품 및 소프트웨어[A04]/item=N/score=12 | 특성별:전문서비스용 로봇[A02]/item=N/score=12,T002,사업체수,개,30,A,특성별,A03,개인서비스용 로봇,12,itm/obj 후보 선택,rate_from_level,KOSIS 수준값에서 증감률 계산 필요,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다."
A0004-C021,A0004-C021-m2,로봇 밀도 증가율,고용,-,5,%,%,rate,rate_change,unspecified,증감률,증가,증감률,KOSIS_VALUE,2018,Y,전년,2017,4,188,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,188.0,Y,,,,401,DT_401N_012,로봇산업 부문별 지적재산권 현황,2006203,로봇산업실태조사,용도별:제조업용 로봇[15401AA000_373]/item=N/score=27 | 용도별:개인서비스용 로봇[15401AA0AB_373]/item=N/score=12 | 용도별:로봇부품 및 부분품[15401AA0AC_373]/item=N/score=12 | 용도별:전문서비스용 로봇[15401AA0AA_373]/item=N/score=12,16401T03,계,건,0,15401AA0_373,용도별,15401AA0AB_373,개인서비스용 로봇,12,itm/obj 후보 선택,rate_from_level,KOSIS 수준값에서 증감률 계산 필요,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다."
A0004-C021,A0004-C021-m2,로봇 밀도 증가율,고용,-,5,%,%,rate,rate_change,unspecified,증감률,증가,증감률,KOSIS_VALUE,2018,Y,전년,2017,5,188,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,188.0,Y,,,,401,DT_401N_008,로봇산업 분야 직무별 종사자 수,2006203,로봇산업실태조사,특성별:제조업용 로봇[15401AA000_373]/item=N/score=27 | 특성별:개인서비스용 로봇[15401AA0AB_373]/item=N/score=12 | 특성별:로봇 서비스[A07]/item=N/score=12 | 특성별:로봇 시스템[A05]/item=N/score=12 | 특성별:로봇 임베디드[A06]/item=N/score=12 | 특성별:로봇부품 및 부분품[15401AA0AC_373]/item=N/score=12 | 특성별:전문서비스용 로봇[15401AA0AA_373]/item=N/score=12,00,종사자수,명,0,15401AA0_373,특성별,15401AA0AB_373,개인서비스용 로봇,12,itm/obj 후보 선택,rate_from_level,KOSIS 수준값에서 증감률 계산 필요,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다."
A0004-C048,A0004-C048-m1,로봇화에 뛰어든 기업 수,고용,-,13,%,%,rate,rate_change,organization,증감률,증가,증감률,KOSIS_VALUE,2019,Y,전년,2018,1,388,166,REVIEW,POPULATION_DEFINITION_MISMATCH,로봇 도입 기업과 로봇산업 사업체는 모집단 정의가 다름,"로봇,산업",lexical,388.0,Y,,,,401,DT_401001_005,사업체 수,2006203,로봇산업실태조사,특성별:제조업용 로봇[A01]/item=N/score=10 | 특성별:전체[A00]/item=N/score=8 | 특성별:개인서비스용 로봇[A03]/item=N/score=4 | 특성별:로봇 서비스[A07]/item=N/score=4 | 특성별:로봇 시스템[A05]/item=N/score=4 | 특성별:로봇 임베디드[A06]/item=N/score=4 | 특성별:로봇부품 및 소프트웨어[A04]/item=N/score=4 | 특성별:전문서비스용 로봇[A02]/item=N/score=4,T001,사업체수,개,30,A,특성별,A00,전체,7,itm/obj 후보 선택,rate_from_level,KOSIS 수준값에서 증감률 계산 필요,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-C048,A0004-C048-m1,로봇화에 뛰어든 기업 수,고용,-,13,%,%,rate,rate_change,organization,증감률,증가,증감률,KOSIS_VALUE,2019,Y,전년,2018,2,166,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,기업,제조업",lexical,166.0,Y,,,,395,DT_395N_I2021277,디지털 신기술별 도입 여부: 로봇공학,2003024,한국기업혁신조사 > 2022년도 조사(제조업 부문) > 디지털전환 > 디지털 신기술별 도입 여부,구분별:대기업[005004]/item=N/score=12 | 구분별:소기업[005001]/item=N/score=12 | 구분별:중견기업[005003]/item=N/score=12 | 구분별:중기업[005002]/item=N/score=12 | 구분별:R＆D활동(전체)[007002]/item=N/score=8 | 구분별:전체[001]/item=N/score=8 | 구분별:1차 금속 제조업[002014]/item=N/score=6 | 구분별:가구 제조업[002022]/item=N/score=6,,,,,A,구분별,005004,대기업,12,itm/obj 후보 선택,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-C048,A0004-C048-m1,로봇화에 뛰어든 기업 수,고용,-,13,%,%,rate,rate_change,organization,증감률,증가,증감률,KOSIS_VALUE,2019,Y,전년,2018,3,166,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,기업,제조업",lexical,166.0,Y,,,,395,DT_395N_I2021268,디지털 신기술별 중요도: 로봇공학,2003024,한국기업혁신조사 > 2022년도 조사(제조업 부문) > 디지털전환 > 디지털 신기술별 중요도,구분별:대기업[005004]/item=N/score=12 | 구분별:소기업[005001]/item=N/score=12 | 구분별:중견기업[005003]/item=N/score=12 | 구분별:중기업[005002]/item=N/score=12 | 구분별:R＆D활동(전체)[007002]/item=N/score=8 | 구분별:전체[001]/item=N/score=8 | 구분별:1차 금속 제조업[002014]/item=N/score=6 | 구분별:가구 제조업[002022]/item=N/score=6,,,,,A,구분별,005004,대기업,12,itm/obj 후보 선택,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-C048,A0004-C048-m1,로봇화에 뛰어든 기업 수,고용,-,13,%,%,rate,rate_change,organization,증감률,증가,증감률,KOSIS_VALUE,2019,Y,전년,2018,4,164,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,164.0,Y,,,,401,DT_401001_001,로봇산업 매출 현황,2006203,로봇산업실태조사,특성별:제조업용 로봇[A01]/item=N/score=10 | 특성별:전체[A00]/item=N/score=8 | 특성별:개인서비스용 로봇[A03]/item=N/score=4 | 특성별:로봇 서비스[A07]/item=N/score=4 | 특성별:로봇 시스템[A05]/item=N/score=4 | 특성별:로봇 임베디드[A06]/item=N/score=4 | 특성별:로봇부품 및 소프트웨어[A04]/item=N/score=4 | 특성별:전문서비스용 로봇[A02]/item=N/score=4,T002,사업체수,개,30,A,특성별,A00,전체,7,itm/obj 후보 선택,rate_from_level,KOSIS 수준값에서 증감률 계산 필요,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0004-C048,A0004-C048-m1,로봇화에 뛰어든 기업 수,고용,-,13,%,%,rate,rate_change,organization,증감률,증가,증감률,KOSIS_VALUE,2019,Y,전년,2018,5,164,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업",lexical,164.0,Y,,,,401,DT_401N_012,로봇산업 부문별 지적재산권 현황,2006203,로봇산업실태조사,용도별:제조업용 로봇[15401AA000_373]/item=N/score=10 | 용도별:개인서비스용 로봇[15401AA0AB_373]/item=N/score=4 | 용도별:로봇부품 및 부분품[15401AA0AC_373]/item=N/score=4 | 용도별:전문서비스용 로봇[15401AA0AA_373]/item=N/score=4,,,,,15401AA0_373,용도별,15401AA0AD_373,계,7,itm/obj 후보 선택,,,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
