claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,mapping_exclusion_code,mapping_exclusion_reason
A0004-C021,A0004-C021-m2,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",◇로봇 밀도 1위의 나라 로봇 밀도는 그 나라의 제조업이 얼마나 자동화됐는지 평가하는 기본 지표로 여겨진다.,국제로봇연맹 다카유키 이토 회장은 “강력한 자동차 산업과 세계적으로 유명한 전자제품 부문을 보유한 한국은 산업용 로봇을 가장 많이 사용하는 국가”라고 한 것도 이 때문이다.,국내공식통계,N,고용,로봇 밀도 증가율,로봇 밀도; 제조업; 자동화,-,-,-,,-,-,-,2018,-,Y,확정,5%,KOSIS_VALUE,hcx,로봇 밀도 증가율,-,2018,Y,hcx,증감률,5,-,-,N,%,증감률,증가,전년,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",high,Y,measurement_period_ungrounded:1,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-21,로봇 밀도,,2025,Y,%,%,rate,rate_change,unspecified,2017,Y,,
A0004-C048,A0004-C048-m1,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,경기도 파주의 한 소규모 도서물류 업체 관계자는 “물류 현장에서 각종 사고를 예방하기 위해 허리나 허벅지에 차면 근력을 올려주는 웨어러블 로봇 7대를 구입해 사용하고 있다”고 했다.,진흥원 관계자는 “아직 2024년 조사 결과가 나오진 않았지만 지난 3년보다 더 많은 증가율을 보였을 것으로 추정한다”고 했다.,국내공식통계,N,고용,로봇화에 뛰어든 기업 수,"로봇화, 기업, 한국로봇산업진흥원",-,-,-,,-,-,-,2019,-,Y,확정,13%가량,KOSIS_VALUE,hcx,로봇화에 뛰어든 기업 수,-,2019,Y,hcx,증감률,13,-,-,Y,%,증감률,증가,전년,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,mid,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-21,로봇화에 뛰어든 기업 수,,2023,Y,%,%,rate,rate_change,organization,2018,Y,,
A0006-C001,A0006-C001-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,-,"이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",국내공식통계,N,무역,수출액,"수출, 역대 최대 실적",-,-,-,,-,-,-,2024,-,Y,확정,6838억 달러,KOSIS_VALUE,hcx,수출액,-,2024,Y,hcx,현재값,683800000000,-,-,N,달러,수준값,증가,전년동기,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-21,수출액,,2024,Y,달러,달러,currency,amount,unspecified,,Y,,
A0006-C006,A0006-C006-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.,국내공식통계,N,무역,수입 증감률,"수출, 수입, 무역수지",-,-,-,,-,-,-,2024,-,Y,확정,1.6%,KOSIS_VALUE,hcx,수입 증감률,-,2024,Y,hcx,증감률,1.6,-,-,N,%,증감률,감소,전년,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.,high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-21,무역수지,,2024,Y,%,%,rate,rate_change,unspecified,2023,Y,,
A0006-C007,A0006-C007-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.,"지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.",국내공식통계,N,무역,무역수지,"수출, 무역수지, 흑자",-,-,-,,-,-,-,2018,-,Y,확정,697억 달러,KOSIS_VALUE,hcx,무역수지,-,2018,Y,hcx,현재값,69700000000,-,-,N,달러,수준값,유지,전년,이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.,high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-21,무역수지,,2024,Y,달러,달러,currency,amount,unspecified,,Y,,
A0006-C009,A0006-C009-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.",국내공식통계,Y,무역,반도체 수출 증감률,"반도체, 자동차, 바이오, 농수산, 화장품",-,-,-,반도체,-,-,-,2024,-,Y,확정,43.9%,KOSIS_VALUE,hcx,반도체 수출 증감률,반도체,2024,Y,hcx,증감률,43.9,-,-,N,%,증감률,증가,전년,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",high,N,-,Y,0,0,HCX-007,v1.5-measurement-binding,2026-07-21,수출액,반도체,2024,Y,%,%,rate,rate_change,vehicle,2023,Y,,
A0006-C009,A0006-C009-m2,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.",국내공식통계,Y,무역,반도체 수출액,"반도체, 자동차, 바이오, 농수산, 화장품",-,-,-,반도체,-,-,-,2024,-,Y,확정,1419억 달러,KOSIS_VALUE,hcx,반도체 수출액,반도체,2024,Y,hcx,현재값,141900000000,-,-,N,달러,수준값,증가,전년,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",high,N,-,Y,0,0,HCX-007,v1.5-measurement-binding,2026-07-21,수출액,반도체,2024,Y,달러,달러,currency,amount,vehicle,,Y,,
A0006-C011,A0006-C011-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.","선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다.",국내공식통계,Y,무역,자동차 수출,"수출, 자동차, 완성차, 부품업계, 생산 차질, 호실적",-,-,-,자동차,-,-,-,2024,-,Y,확정,708억 달러,KOSIS_VALUE,hcx,자동차 수출,자동차,2024,Y,hcx,현재값,70800000000,-,-,N,달러,수준값,유지,전년,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.",high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,v1.5-measurement-binding,2026-07-21,자동차 수출,자동차,2024,Y,달러,달러,currency,amount,vehicle,,Y,,
A0006-C011,A0006-C011-m2,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.","선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다.",국내공식통계,Y,무역,자동차 수출 증감률,"수출, 자동차, 완성차, 부품업계, 생산 차질, 호실적",-,-,-,자동차,-,-,-,2024,-,Y,확정,0.1%,KOSIS_VALUE,hcx,자동차 수출 증감률,자동차,2024,Y,hcx,증감률,0.1,-,-,N,%,증감률,감소,전년,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.",high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,v1.5-measurement-binding,2026-07-21,자동차 수출,자동차,2024,Y,%,%,rate,rate_change,vehicle,2023,Y,,
A0006-C013,A0006-C013-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.","선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다.","바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.",국내공식통계,Y,무역,석유화학 수출,"수출, 유가, 수출단가, 수출물량",-,-,-,,-,-,-,2024,-,Y,확정,480억 달러,KOSIS_VALUE,hcx,석유화학 수출,-,2024,Y,hcx,현재값,48000000000,-,-,N,달러,수준값,증가,전년,"석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.",high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-21,석유화학 수출,,2024,Y,달러,달러,currency,amount,unspecified,,Y,,
