claim_id,claim_text,metric,time,population,unit,candidate_kosis_table,api_params,calculation,verifiable
C19535,전체 임직원 수 대비 20대 직원 비율도 2022년 24.8%에서 지난해 21%로 감소세다.,,,,,임직원 수(tblId=DT_154017_24BB002800); 귀사의 임직원 종사자 수(tblId=DT_154017_24CC001900); 임직원 종사자 수(tblId=DT_154017_20BB022); 귀사의 임직원 종사자 수(tblId=DT_154017_20CC022); 2017년도 퇴사 임직원 수(tblId=DT_V18106); 임직원 이직방지 노력(tblId=DT_G26039); DX에 대한 임직원의 인지도(tblId=DT_115039_2_1); 정보보호 보안 규정/정책 변경 시 임직원의 태도(tblId=DT_342005_A140); 임직원 대상 정보보호 교육(개인정보보호 포함) 포함 내용(tblId=DT_342005_A035); 임직원 대상 정보보호교육(개인정보보호 포함) 실시 여부(tblId=DT_342005_A036),"orgId=154, tblId=DT_154017_24BB002800 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=154&tblId=DT_154017_24BB002800&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요
C15903,같은 기간 자동차 판매 평균 가격이 2.5% 오르며 약 5년 만에 가장 큰 수준의 월간 상승률을 기록한 결과다.,,,,,"디지털 역량 수준_당근마켓과 같은 중고 거래 앱을 통해 새 상품보다 저렴한 가격에 물건을 구매할 수 있다(tblId=DT_164004_2024248); [자동차판매,소매,음식주점]산업세세분류별 배달(택배) 판매여부 현황(tblId=DT_2KI2048); 농가판매가격지수(2020=100,분기)(tblId=DT_1J60); 농가구입가격지수(2020=100,분기)(tblId=DT_1J62); 농가판매가격지수(2015=100, 분기)(tblId=DT_1J56); 농가구입가격지수(2015=100, 분기)(tblId=DT_1J58); 농가판매가격지수(2010=100,분기)(tblId=DT_1J52); 농가구입가격지수(2010=100,분기)(tblId=DT_1J54); 농가판매가격지수(2005=100, 분기, 품목별)(tblId=DT_1J49); 농가판매가격지수(2005=100, 분기)(tblId=DT_1J50)","orgId=164, tblId=DT_164004_2024248 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=164&tblId=DT_164004_2024248&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요
C04239,4 이달 1~10일 일평균 수출액이 전년 동기 대비 6.4% 감소한 것으로 나타났다.,,,,,사교육 경험(1일평균시간)(tblId=DT_MOGE_3020300068); 초등학생 자녀 방과 후 혼자 있는 시간(일평균)(tblId=DT_154001_24AA008700); 초등학생 자녀 방과 후 혼자 있는 시간(일평균)(tblId=DT_154001_082); 초등학생 자녀 방과 후 혼자 있는 시간(일평균)(tblId=DT_154001_2015_105); 연령별 ‘개인유지’ 요일평균 행동비율(tblId=DT_1TM2023Y); 20세이상 취업자의 산업별 '일' 요일평균 행동비율(tblId=DT_1TM2034Y); 20세이상 취업자의 직업별 '일' 요일평균 행동비율(tblId=DT_1TM2035Y); 20세이상 취업자의 종사상 지위별 ‘일’ 요일평균 행동비율(tblId=DT_1TM2036Y); 연령별 ‘참여 및 봉사활동’ 요일평균 행동비율(tblId=DT_1TM2082Y); 20세이상 성별/취업여부별 ‘참여 및 봉사활동’ 요일평균 행동비율(tblId=DT_1TM2083Y),"orgId=154, tblId=DT_MOGE_3020300068 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=154&tblId=DT_MOGE_3020300068&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요
C16017,"10일 한국농촌경제연구원에 따르면, 이달 일평균 계란 생산량은 4864만개로 전년 동월(4769만개)보다 2% 늘어날 것으로 전망된다.",,,,,정보화의 영향(사생활침해가 늘어날 것이다)(tblId=DT_1W872); 정보화의 영향(일자리가 늘어날 것이다)(tblId=DT_1W873); 웹툰을 활용한 2차적 저작물로의 IP 확장이 늘어날 것이라고 생각한다(tblId=DT_467002_A028); 지능정보사회 발전으로 이용자가 5년 이내에 경험할 수 있는 현상_전자적 감시가 보편화되면서 사생활 침해가 점차 늘어날 것이다(tblId=DT_164004_2024110); 인공지능 보편화와 사생활 보호_인공지능이나 사물인터넷이 보편화되면 사생활 노출이 늘어날 것이다(tblId=DT_164004_2024173); 지능정보사회 발전으로 이용자가 5년 이내에 경험할 수 있는 현상_전자적 감시가 보편화되면서 사생활 침해가 점차 늘어날 것이다(tblId=DT_164004_2023114); 인공지능 보편화와 사생활 보호_인공지능이나 사물인터넷이 보편화되면 사생활 노출이 늘어날 것이다(tblId=DT_164004_2023176); 인공지능 보편화와 사생활 보호_인공지능이나 사물인터넷이 보편화되면 사생활 노출이 늘어날 것이다(tblId=DT_164004_2022233); 화학물질 제조 사업장 수 및 연간 생산량(tblId=DT_380003_026); 화학물질 제조 사업장 수 및 연간 생산량(tblId=DT_38003N_026),"orgId=101, tblId=DT_1W872 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=101&tblId=DT_1W872&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요
C11633,"다우 평균은 0.05%, S&P500 지수는 0.74%, 나스닥 지수는 1.26% 올랐다.",,,,,"소비자물가지수(2020=100)(tblId=DT_1J22003); 지출목적별 소비자물가지수(품목포함, 2020=100)(tblId=DT_1J22001); 품목성질별 소비자물가지수(2020=100)(tblId=DT_1J22002); 품목별 소비자물가지수(품목성질별: 2020=100)(tblId=DT_1J22112); 생활물가지수(2020=100)(tblId=DT_1J22005); 신선식품지수(2020=100)(tblId=DT_1J22004); 식료품 및 에너지제외지수(2020=100)(tblId=DT_1J22009); 농산물 및 석유류제외지수(2020=100)(tblId=DT_1J22007); 자가주거비포함 소비자물가지수(2020=100)(tblId=DT_1J22006); 특수분류 소비자물가지수(2020=100)(tblId=DT_1J22010)","orgId=101, tblId=DT_1J22003 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=101&tblId=DT_1J22003&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요
C11728,하지만 이후 2021년 조 바이든 대통령 때까지 대통령 취임 후 100일 동안 달러 가치는 대통령의 새로운 경제 정책에 대한 기대감에 평균 0.9% 올랐다.,,,,,"미혼남녀(19~49세)의 ‘결혼한 사람이 결혼하지 않은 사람보다 더 행복하다’는 견해에 대한 태도(tblId=DT_331001_2021CG013); 미혼남녀(19~49세)의 ‘결혼하지 않은 여성이 아이를 낳아 기르는 것도 괜찮다’는 견해에 대한 태도(tblId=DT_331001_2021CG016); 자녀가 있는 기혼여성(15~49세)의 지난 6개월 동안 친정/시부모에 대한 경제적 도움-비경제적 지원 간 관계(tblId=DT_33101N515); ‘이혼한 뒤 자녀를 직접 양육하지 않는 어머니나 아버지에게 자녀양육비를 부담시키는 것’에 대한 동의 정도(tblId=DT_154001_A103); ‘이혼한 뒤 자녀를 직접 양육하지 않는 배우자에게 자녀양육비를 법적으로 강제 청구하는 것’에 대한 동의 정도(tblId=DT_154001_A104); 미혼남녀(19~49세)의 자녀에 대한 태도 동의 정도: 자녀는 부모에게 경제적으로 부담이 된다(tblId=DT_331001_2021CG042); 미혼남녀(19~49세)의 자녀에 대한 태도 동의 정도: 자녀는 나의 노후에 경제적인 도움이 될 수 있다(tblId=DT_331001_2021CG044); 국내총생산에 대한 지출(계절조정, 명목, 분기)(tblId=DT_200Y107); 국내총생산에 대한 지출(계절조정, 실질, 분기)(tblId=DT_200Y108); 국내총생산에 대한 지출(원계열, 명목, 분기 및 연간)(tblId=DT_200Y109)","orgId=331, tblId=DT_331001_2021CG013 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=331&tblId=DT_331001_2021CG013&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요
C03820,"한국석유공사에 따르면, 지난 5일 전국 주유소의 보통 휘발유 평균 가격은 L당 1732.99원으로 한 달 전(1680.56원) 대비 3.1%, 1년 전(1592.01원) 대비 8.9% 올랐다.",,,,,주유소 제품별 평균 판매가격(tblId=TX_31802_A000); 유형별 월세통합가격지수(tblId=DT_30404_B001); 유형별 월세가격지수(tblId=DT_30404_B002); 유형별 준월세가격지수(tblId=DT_30404_B003); 유형별 준전세가격지수(tblId=DT_30404_B004); 규모별 월세가격지수(tblId=DT_30404_B005); 건축연령별 월세가격지수(tblId=DT_30404_B006); 전월세통합지수(tblId=DT_30404_B007); 유형별 매매가격지수(tblId=DT_30404_B012); 유형별 전세가격지수(tblId=DT_30404_B013),"orgId=318, tblId=TX_31802_A000 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=318&tblId=TX_31802_A000&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요
C03818,"전날 통계청에 따르면, 지난달 소비자 물가 상승률은 2.2%로 작년 11월(1.5%)부터 3개월 연속 오름폭이 커졌다.",,,,,"통계청 사망원인통계 기준 성별 연령별 결핵 사망자 수(tblId=DT_117N_A00113); 소비자물가지수(2020=100)(tblId=DT_1J22003); 연도별 소비자물가 등락률(tblId=DT_1J22041); 월별 소비자물가 등락률(tblId=DT_1J22042); 지출목적별 소비자물가지수(품목포함, 2020=100)(tblId=DT_1J22001); 품목성질별 소비자물가지수(2020=100)(tblId=DT_1J22002); 품목별 소비자물가지수(품목성질별: 2020=100)(tblId=DT_1J22112); 생활물가지수(2020=100)(tblId=DT_1J22005); 신선식품지수(2020=100)(tblId=DT_1J22004); 식료품 및 에너지제외지수(2020=100)(tblId=DT_1J22009)","orgId=177, tblId=DT_117N_A00113 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=177&tblId=DT_117N_A00113&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요
C03763,이런 구조에서 은행들은 원화 환율이 오르면 보통주 자본비율 13%를 유지하기 위해 ‘위험하고 연체율이 높은 대출’인 중소기업 대출을 줄이는 식으로 나갈 유인이 있다.,,,,,임금근로자의 개인대출 연체율 총괄(tblId=DT_1DE_1014); 임금근로자의 성별 개인대출 연체율(tblId=DT_1DE_1015); 임금근로자의 연령대별 개인대출 연체율(tblId=DT_1DE_1016); 임금근로자의 주택유형별 개인대출 연체율(tblId=DT_1DE_1018); 임금근로자의 소득별 개인대출 연체율(tblId=DT_1DE_1020); 임금근로자의 대출잔액별 개인대출 연체율(tblId=DT_1DE_1021); 임금근로자의 대출건수별 개인대출 연체율(tblId=DT_1DE_1022); 임금근로자의 기업규모별 개인대출 연체율(tblId=DT_1DE_1023); 임금근로자의 기업종류별 개인대출 연체율(tblId=DT_1DE_1024); 임금근로자의 종사자규모별 개인대출 연체율(tblId=DT_1DE_1025),"orgId=101, tblId=DT_1DE_1014 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=101&tblId=DT_1DE_1014&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요
C11932,"30일 통계청이 발표한 ‘3월 산업활동동향’에 따르면, 지난달 전(全) 산업 생산지수는 114.7로 전월 대비 0.9% 늘었다.",,,,,통계청 사망원인통계 기준 성별 연령별 결핵 사망자 수(tblId=DT_117N_A00113); 전산업생산지수(원지수)(tblId=DT_1JH20201); 전산업생산지수(계절조정지수)(tblId=DT_1JH20202); 산업별 서비스업생산지수(2020=100.0)(tblId=DT_1KC2020); 시도/산업별 광공업생산지수(2020=100)(tblId=DT_1F02001); 전월세통합지수(tblId=DT_30404_B007); 규모별 전월세전환율(tblId=DT_30404_N0009); 지역별 전월세전환율(tblId=DT_30404_N0010); 전월세통합지수(tblId=DT_30404_A007); 전월세통합지수(tblId=DT_30404_N0012),"orgId=177, tblId=DT_117N_A00113 | 메타 조회 실패: HTTPSConnectionPool(host='kosis.kr', port=443): Max retries exceeded with url: /openapi/statisticsData.do?method=getMeta&type=ITM&apiKey=ZTFiMTMzZDliNDQyYmRlMWI5MjJjMmUxNzgyODg3NGM%3D&orgId=177&tblId=DT_117N_A00113&format=json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",직접 확인 필요 (원자료가 비율/증감 그대로 나오는지 확인),검토 필요
