indicator_key,cond_age_group,cond_prd_se,org_id,tbl_id,obj_l1,obj_l2,itm_id,verify,table_note,unit_multiplier,rate_table
출생아수,,M,101,DT_1B8000G,00,10,T1,Y,월.분기.연간 인구동향 - 전국 출생아수,1,N
소비자물가상승률,,Y,101,DT_1J22041,0,,T,Y,연도별 소비자물가 등락률 - 총지수,1,Y
합계출산율,,Y,101,DT_1B8000F,30,,T1,Y,인구동태건수 및 동태율 추이 - 합계출산율,1,N
혼인건수,,Y,101,DT_1B8000F,41,,T1,Y,인구동태건수 및 동태율 추이 - 혼인건수,1,N
물가상승률,,M,101,DT_1J22042,0,,T03,Y,월별 소비자물가 등락률 - 총지수 전년동월비,1,Y
자동차수출액,,Q,360,DT_1R11001_FRM101,13102112831A.781,,13103112831T1,Y,품목별 수출액 수입액 - 승용자동차 및 기타 차량 연간 수출액,0.00001,N
수출액,,M,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,품목별 수출액 수입액 - 총액 수출액,0.00001,N
수출증가율,,Q,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,품목별 수출액 수입액 - 총액 수출액,0.00001,N
수출증가율,,M,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,품목별 수출액 수입액 - 총액 수출액,0.00001,N
고용률,65세 이상,M,101,DT_1DA7002S,602,,T90,Y,연령별 경제활동인구 - 65세 이상 고용률,1,N
생활물가지수,,M,101,DT_1J22042,1,,T03,Y,월별 소비자물가 등락률 - 생활물가지수 전년동월비,1,Y
소비자물가상승률,,M,101,DT_1J22042,0,,T03,Y,월별 소비자물가 등락률 - 총지수 전년동월비,1,Y
소비자물가지수,,M,101,DT_1J22003,T10,,T,Y,소비자물가지수(2020=100) - 전국 총지수,1,N
취업자수,15세 이상,M,101,DT_1DA7001S,0,,T30,Y,경제활동인구 총괄 - 전체 취업자,1000,N
실업률,20~29세,M,101,DT_1DA7002S,20,,T80,Y,연령별 경제활동인구 - 20~29세 실업률,1,N
실업률,,M,101,DT_1DA7001S,0,,T80,Y,경제활동인구 총괄 - 전체 실업률,1,N
수입차판매대수,,Y,360,DT_1R11001_FRM101,,,,N,표 후보만 자동매핑: 자동차 판매/수출 관련 후보. 국내 판매는 KOSIS 외부 통계일 수,1,N
