org_id,tbl_id,tbl_name,source_org,classification_system,periodicity,direct_item_ids,direct_item_names,supports_direct_level,supports_rate_derivation,supports_absolute_change,supports_trade_balance,supports_trade_balance_change,supports_rank,supports_partial_period,requires_codeset_for_broad_categories,unsupported_claim_types,evidence_source,reviewed_at,capability_source,capability_review_status,evidence_url,evidence_note,reviewed_by
101,DT_1633D,임가공품목별 사업체수 및 수입액(10명 이상),101,KOSIS 공식 메타 분류,,T01|T02,사업체수|임가공 수입액,Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1633D; meta_rows=514 item_rows=2 obj_rows=512,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1633D; meta_rows=514 item_rows=2 obj_rows=512,
101,DT_1DE6029S,신규 자영업자 사업자금 조달방법(복수응답),101,KOSIS 공식 메타 분류,,T110|T120|T130|T140|T150|T170|T180|T190,계(%)|본인 또는 가족이 마련한 목돈(%)|친지 또는 동업자의 자금(%)|친지 또는 동업자 이외 타인에게 빌려서 마련(%)|은행 보험회사 상호신용금고 등(%)|정부의 보조 또는 지원 등(%)|별도의 자본이 필요 없었음(%)|기타(%),Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1DE6029S; meta_rows=11 item_rows=8 obj_rows=3,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1DE6029S; meta_rows=11 item_rows=8 obj_rows=3,
101,DT_1DE6047S,신규 자영업자 사업자금 조달방법(복수응답)(농림어업제외),101,KOSIS 공식 메타 분류,,T120|T130|T140|T150|T170|T180|T190,본인 또는 가족이 마련한 목돈(%)|친지 또는 동업자의 자금(%)|친지 또는 동업자 이외 타인에게 빌려서 마련(%)|은행 보험회사 상호신용금고 등(%)|정부의 보조 또는 지원 등(%)|별도의 자본이 필요 없었음(%)|기타(%),Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1DE6047S; meta_rows=10 item_rows=7 obj_rows=3,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1DE6047S; meta_rows=10 item_rows=7 obj_rows=3,
101,DT_1FP1116B,"임가공품목별 사업체수 및 수입액(10명 이상, 2023년)",101,KOSIS 공식 메타 분류,,T01|T02,사업체수|임가공 수입액,Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1FP1116B; meta_rows=784 item_rows=2 obj_rows=782,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1FP1116B; meta_rows=784 item_rows=2 obj_rows=782,
101,DT_1FP1124B,"임가공품목별 사업체수 및 수입액(10명 이상, 2024년)",101,KOSIS 공식 메타 분류,,T01|T02,사업체수|임가공 수입액,Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1FP1124B; meta_rows=523 item_rows=2 obj_rows=521,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1FP1124B; meta_rows=523 item_rows=2 obj_rows=521,
101,DT_1G18004,공종별 건설기성액(계절조정),101,KOSIS 공식 메타 분류,,T10,기성액(계절조정),Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1G18004; meta_rows=4 item_rows=1 obj_rows=3,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1G18004; meta_rows=4 item_rows=1 obj_rows=3,
101,DT_1G18007,공종별 건설기성액(경상),101,KOSIS 공식 메타 분류,,T30,기성액,Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1G18007; meta_rows=10 item_rows=1 obj_rows=9,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1G18007; meta_rows=10 item_rows=1 obj_rows=9,
101,DT_1G18008,발주자별 건설기성액(경상),101,KOSIS 공식 메타 분류,,T10,기성액,Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1G18008; meta_rows=8 item_rows=1 obj_rows=7,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1G18008; meta_rows=8 item_rows=1 obj_rows=7,
101,DT_1G18011,공종별 건설기성액(불변),101,KOSIS 공식 메타 분류,,T10,기성액(불변),Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1G18011; meta_rows=5 item_rows=1 obj_rows=4,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1G18011; meta_rows=5 item_rows=1 obj_rows=4,
101,DT_1G18012,공종별 건설기성액(불변_계절조정),101,KOSIS 공식 메타 분류,,T1,기성액,Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1G18012; meta_rows=4 item_rows=1 obj_rows=3,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1G18012; meta_rows=4 item_rows=1 obj_rows=3,
101,DT_1J22003,소비자물가지수(2020=100),101,KOSIS 공식 메타 분류,,T,소비자물가지수(총지수),Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1J22003; meta_rows=20 item_rows=1 obj_rows=19,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1J22003; meta_rows=20 item_rows=1 obj_rows=19,
101,DT_1J22041,연도별 소비자물가 등락률,101,KOSIS 공식 메타 분류,,T,전년비,Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1J22041; meta_rows=6 item_rows=1 obj_rows=5,2026-08-04,KOSIS_PAGE,OFFICIAL_REVIEWED,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1J22041&conn_path=I2,KOSIS 공식 메타 확인: 연도별 소비자물가 등락률. 소비자물가 상승률 계열로 사용 가능하나 전망값은 관측값이 아니므로 별도 REVIEW.,codex
101,DT_1J22042,월별 소비자물가 등락률,101,KOSIS 공식 메타 분류,,T02|T03|T04,전월비|전년동월비(%)|전년누계비(%),Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1J22042; meta_rows=8 item_rows=3 obj_rows=5,2026-08-04,KOSIS_PAGE,OFFICIAL_REVIEWED,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1J22042&conn_path=I2,KOSIS 공식 메타 확인: 월별 소비자물가 등락률. 소비자물가 상승률 계열로 사용 가능하나 전망값은 관측값이 아니므로 별도 REVIEW.,codex
101,DT_1K41002,재별 및 상품군별 판매액,101,KOSIS 공식 메타 분류,,T1,경상금액,Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1K41002; meta_rows=21 item_rows=1 obj_rows=20,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1K41002; meta_rows=21 item_rows=1 obj_rows=20,
101,DT_1K41003,소매업태별 판매액,101,KOSIS 공식 메타 분류,,T1,경상금액,Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1K41003; meta_rows=10 item_rows=1 obj_rows=9,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1K41003; meta_rows=10 item_rows=1 obj_rows=9,
101,DT_1K41005,17개 시도별 대형소매점 판매액,101,KOSIS 공식 메타 분류,,T1|T3|T5,대형소매점 경상금액|백화점 경상금액|대형마트 경상금액,Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1K41005; meta_rows=22 item_rows=3 obj_rows=19,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1K41005; meta_rows=22 item_rows=3 obj_rows=19,
101,DT_1L9E002,"가구당 월평균 가계수지 (전국,1인이상)",101,KOSIS 공식 메타 분류,,T1|T2|T5,전체가구|근로자가구|근로자외가구,Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1L9E002; meta_rows=138 item_rows=3 obj_rows=135,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1L9E002; meta_rows=138 item_rows=3 obj_rows=135,
101,DT_1L9R012,"가구구성별 가구당 월평균 가계지출 (전국,1인이상)",101,KOSIS 공식 메타 분류,,T10|T12|T20|T22|T50|T52,전체가구|전체가구 중위값|근로자가구|근로자가구 중위값|근로자외가구|근로자외가구 중위값,Y,Y,Y,N,N,N,UNKNOWN,Y,,KOSIS getMeta org_id=101 tbl_id=DT_1L9R012; meta_rows=135 item_rows=6 obj_rows=129,2026-08-04,AUTO_INFERRED,UNREVIEWED,,KOSIS getMeta org_id=101 tbl_id=DT_1L9R012; meta_rows=135 item_rows=6 obj_rows=129,
