claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_grounded,extraction_scope,chunk_index
A0002-c001,A0002-c001-m1,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,"지난달 31일 독일 슈피겔 등 외신에 따르면, 폴크스바겐과 아우디, 세아트, 스코다 등 폴크스바겐그룹 전기차 80만대에서 수집한 수 테라바이트 규모 데이터가 지난 몇 달간 암호화되지 않은 채로 아마존 클라우드에 방치됐던 것으로 나타났다.",-,-,개별기업,N,기타,폴크스바겐 전기차 운행 데이터 및 소유주 정보 관리 상태,-,-,-,-,자동차,-,-,-,2025,-,-,확정,80만대,KOSIS_VALUE,hcx,전기차 운행 데이터 및 소유주 정보 관리 상태,폴크스바겐 그룹 전기차,-,-,hcx,현재값,800000,-,-,N,대,수준값,-,-,"[3] 지난달 31일 독일 슈피겔 등 외신에 따르면, 폴크스바겐과 아우디, 세아트, 스코다 등 폴크스바겐그룹 전기차 80만대에서 수집한 수 테라바이트 규모 데이터가 지난 몇 달간 암호화되지 않은 채로 아마존 클라우드에 방치됐던 것으로 나타났다.",high,Y,measurement_period_ungrounded:1,N,0,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0
A0003-c001,A0003-c001-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,-,-,국내공식통계,N,고용,최저임금,"시간당, 최저임금, 인상, 고용",-,-,-,-,-,-,-,2025,-,Y,확정,1만30원,POLICY_VALUE,hcx,최저임금,-,2025,Y,hcx,현재값,10030,-,-,N,원,수준값,증가,전년,[1] 최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,high,Y,measurement_rule_fallback:1;measurement_binding_fallback:1;measurement_period_ungrounded:1,Y,1,1,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0
A0003-c001,A0003-c001-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,-,-,국내공식통계,N,고용,최저임금,"시간당, 최저임금, 인상, 고용",-,-,-,-,-,-,-,2025,-,Y,확정,9860원,POLICY_VALUE,hcx,최저임금,-,2025,Y,claim_fallback,이전값,9860,-,-,N,원,수준값,증가,전년,[1] 최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,high,Y,measurement_rule_fallback:1;measurement_binding_fallback:1;measurement_period_ungrounded:1,Y,1,1,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0
A0003-c001,A0003-c001-m3,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,-,-,국내공식통계,N,고용,최저임금,"시간당, 최저임금, 인상, 고용",-,-,-,-,-,-,-,2025,-,Y,확정,1.7%,POLICY_VALUE,rule_fallback,최저임금,-,2025,Y,rule_fallback,증감률,1.7,-,-,N,%,증감률,증가,-,[1] 최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,high,Y,measurement_rule_fallback:1;measurement_binding_fallback:1;measurement_period_ungrounded:1,Y,1,1,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0
A0003-c002,A0003-c002-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,-,-,국내공식통계,N,고용,최저임금,"시간당, 최저임금, 인상, 고용",-,-,-,-,-,-,-,2025,-,Y,확정,1만30원,POLICY_VALUE,hcx,최저임금,-,2025,Y,hcx,현재값,10030,-,-,N,원,수준값,증가,전년,[1] 최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,high,Y,measurement_binding_fallback:1;measurement_period_ungrounded:1,Y,0,1,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0
A0003-c002,A0003-c002-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,-,-,국내공식통계,N,고용,최저임금,"시간당, 최저임금, 인상, 고용",-,-,-,-,-,-,-,2025,-,Y,확정,9860원,POLICY_VALUE,hcx,최저임금,-,2025,Y,claim_fallback,이전값,9860,-,-,N,원,수준값,증가,전년,[1] 최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,high,Y,measurement_binding_fallback:1;measurement_period_ungrounded:1,Y,0,1,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0
A0003-c002,A0003-c002-m3,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,-,-,국내공식통계,N,고용,최저임금,"시간당, 최저임금, 인상, 고용",-,-,-,-,-,-,-,2025,-,Y,확정,1.7%,POLICY_VALUE,hcx,최저임금 인상률,-,2025,Y,hcx,증감률,1.7,-,-,N,%,증감률,증가,전년,[1] 최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,high,Y,measurement_binding_fallback:1;measurement_period_ungrounded:1,Y,0,1,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0
A0003-c003,A0003-c003-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,-,-,국내공식통계,N,고용,최저임금,"시간당, 최저임금, 인상, 고용",-,-,-,-,-,-,-,2025,-,M,확정,40시간,CONDITION,rule_fallback,최저임금,-,2025,M,rule_fallback,참고값,40,-,-,N,시간,수준값,-,-,[1] 최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,high,Y,measurement_rule_fallback:2,Y,2,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0
A0003-c003,A0003-c003-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,-,-,국내공식통계,N,고용,최저임금,"시간당, 최저임금, 인상, 고용",-,-,-,-,-,-,-,2025,-,M,확정,209만6270원,POLICY_VALUE,rule_fallback,최저임금,-,2025,M,rule_fallback,현재값,2096270,-,-,N,원,수준값,-,-,[1] 최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,high,Y,measurement_rule_fallback:2,Y,2,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0
A0003-c004,A0003-c004-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 국가장학금 지원 대폭 확대 =국가장학금 I유형과 다자녀 장학금 지원 대상을 100만명에서 150만명으로 확대해 1인당 최대 100만원을 지원한다.,-,-,국내공식통계,N,재정·조세,국가장학금 지원 대상,"대학생, 장학금",-,-,-,-,대학생,-,-,2025,-,-,확정,150만명,POLICY_VALUE,hcx,국가장학금 지원 대상,-,2025,-,hcx,현재값,1500000,-,-,N,명,수준값,증가,전년,[40] 국가장학금 I유형과 다자녀 장학금 지원 대상을 100만명에서 150만명으로 확대해 1인당 최대 100만원을 지원한다.,high,Y,measurement_rule_fallback:1;measurement_binding_fallback:1;measurement_period_ungrounded:1,Y,1,1,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
