claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at
A0640-C007,A0640-C007-m1,A0640,현대차 年100만대 ‘美 관세 폭격’ 땐... 영업익 35% 줄어,2025-02-19,https://www.chosun.com/economy/auto/2025/02/19/JED6ZDX5LFHF5N4F3IGNW6UE7U,미국발 자동차 관세가 국내 자동차 업계에 끼치는 피해가 10조원을 웃돌 것이란 추산치도 금융권에서 나왔다.,현대차·기아 임직원 10만명에 한국GM 등 다른 완성차 업체와 협력사 등을 더하면 모두 34만명에 이르는 국내 자동차 산업 종사자들이 패닉에 빠질 상황이다.,장한익 IBK기업은행 경제연구소 연구위원은 “25% 관세가 부과되면 지난해 347억달러(약 50조원)였던 대미 자동차 수출은 약 63억달러(약 9조1000억원) 줄어들 것으로 추산됐다”며 “최근 들어 대미 자동차 수출 호조와 환율 변동 등을 감안하면 실제 피해는 10조원을 넘어설 전망”이라고 했다.,해외통계·정책,N,무역,자동차 수출 감소액,"현대차, 관세, 자동차 수출, 영업이익",-,-,-,자동차,-,한국,미국,2025,-,Y,확정,10조원,KOSIS_VALUE,hcx,자동차 수출 감소액,자동차,-,-,hcx,현재값,10000000000000,-,-,N,원,수준값,-,전년,미국발 자동차 관세가 국내 자동차 업계에 끼치는 피해가 10조원을 웃돌 것이란 추산치도 금융권에서 나왔다.,mid,Y,measurement_period_ungrounded:1,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-27
A1462-C010,-,A1462,2월 혼인 14.3% 증가...11개월 연속 늘어 ‘통계 집계 이래 최장’,2025-04-23,https://www.chosun.com/economy/economy_general/2025/04/23/7YEGSLKLSVAFNI3AVZCTZ5HYH4,결혼 지원금과 같은 지자체들의 인센티브도 혼인 건수 증가에 역할한 것으로 나타났다.,30대 초중반에 접어든 이들이 본격적인 결혼·출산 적령기에 돌입한 것이다.,"2월 혼인 건수는 전국 17개 시도에서 모두 늘어난 가운데, 인센티브 제도가 활발한 대전의 증가율이 32.2%로 1위를 기록했다.",국내공식통계,Y,인구,혼인 건수,"혼인, 증가, 인센티브, 지자체",전국,-,-,-,-,-,-,202504,-,M,확정,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2월 혼인 14.3% 증가...11개월 연속 늘어 '통계 집계 이래 최장',high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-27
A2582-C001,A2582-C001-m1,A2582,6월 자동차 수출액 역대 최대… 시장 다각화 효과,2025-07-18,https://www.chosun.com/economy/industry-company/2025/07/18/C7ULQI2PJZHQFLSGFVXGFOJZBI,"지난달 한국의 대미(對美) 자동차 수출액은 지난해 6월보다 감소했으며, 4개월 연속 전년 동기 대비 마이너스였다.",-,그러나 전체 자동차 수출액은 도리어 늘어나 6월 기준 역대 최대를 기록했다.,국내공식통계,Y,무역,자동차 수출액,"자동차, 수출액, 역대 최대, 시장 다각화",-,-,-,자동차,-,-,-,2025-06,-,M,확정,4개월,CONTEXT,hcx,연속 감소 기간,자동차,2025-06,M,claim_fallback,참고값,4,-,-,N,개월,수준값,감소,-,"지난달 한국의 대미(對美) 자동차 수출액은 지난해 6월보다 감소했으며, 4개월 연속 전년 동기 대비 마이너스였다.",high,Y,measurement_binding_fallback:1,Y,0,1,HCX-007,v1.5-measurement-binding,2026-07-27
A2129-C004,A2129-C004-m1,A2129,"국내 1000대 기업, 지난해 R&D 투자 84조 ‘역대 최대’",2025-06-13,https://www.chosun.com/economy/industry-company/2025/06/13/PJY2XV4BMNAAPBJD73PL5OLMII,"2010년 해당 조사가 시작된 이후, R&D 투자 규모가 80조원을 돌파한 건 이번이 처음이다.","12일 산업통상자원부와 한국산업기술진흥원이 발표한 ‘2024년 기업 R&D 스코어보드’에 따르면, 지난해 국내 상위 1000대 기업의 R&D 투자액은 전년 대비 15.3% 늘어난 83조6000억원으로 집계됐다.",증가율도 역대 최대 기록을 깼다.,개별기업,N,생산·산업,R&D 투자 규모,"국내 1000대 기업, R&D 투자",-,-,-,-,-,-,-,2024,-,Y,확정,80조원,CONTEXT,hcx,R&D 투자 규모,-,2024,Y,hcx,참고값,80000000000000,-,-,N,원,수준값,-,전년,"2010년 해당 조사가 시작된 이후, R&D 투자 규모가 80조원을 돌파한 건 이번이 처음이다.",high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-27
A0809-C004,A0809-C004-m1,A0809,머스크는 잘나가는데… 테슬라는 실적·주가 ‘내리막’,2025-03-04,https://www.chosun.com/economy/auto/2025/03/04/XHFET6RYXJE2HKDKZB3OFY3D7U,테슬라는 작년 주요 시장인 미국(-1%)과 유럽(-13%)에서 판매가 급감하며 설립 이후 처음 연간 판매량이 감소세로 돌아섰다.,순수 전기차(BEV)와 플러그인하이브리드(PHEV·외부 충전기가 달린 하이브리드차)를 합한 숫자다.,"전기차 선두 업체들은 최근 캐즘(수요 정체) 속에 PHEV 같은 대안 마련에 몰두하고 있지만, 테슬라는 BEV만 고집하는 데다 그마저도 신차 출시가 느리다는 지적이다.",개별기업,N,소매·소비,판매량 증감률,"전기차, 테슬라, 미국, 유럽",-,-,-,전기차,-,-,-,2024,-,Y,확정,1%,KOSIS_VALUE,hcx,미국 내 전기차 판매량,전기차,2024,Y,hcx,증감률,1,-,-,N,%,증감률,감소,전년,테슬라는 작년 주요 시장인 미국(-1%)과 유럽(-13%)에서 판매가 급감하며 설립 이후 처음 연간 판매량이 감소세로 돌아섰다.,high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-27
A0809-C004,A0809-C004-m2,A0809,머스크는 잘나가는데… 테슬라는 실적·주가 ‘내리막’,2025-03-04,https://www.chosun.com/economy/auto/2025/03/04/XHFET6RYXJE2HKDKZB3OFY3D7U,테슬라는 작년 주요 시장인 미국(-1%)과 유럽(-13%)에서 판매가 급감하며 설립 이후 처음 연간 판매량이 감소세로 돌아섰다.,순수 전기차(BEV)와 플러그인하이브리드(PHEV·외부 충전기가 달린 하이브리드차)를 합한 숫자다.,"전기차 선두 업체들은 최근 캐즘(수요 정체) 속에 PHEV 같은 대안 마련에 몰두하고 있지만, 테슬라는 BEV만 고집하는 데다 그마저도 신차 출시가 느리다는 지적이다.",개별기업,N,소매·소비,판매량 증감률,"전기차, 테슬라, 미국, 유럽",-,-,-,전기차,-,-,-,2024,-,Y,확정,13%,KOSIS_VALUE,hcx,유럽 내 전기차 판매량,전기차,2024,Y,hcx,증감률,13,-,-,N,%,증감률,감소,전년,테슬라는 작년 주요 시장인 미국(-1%)과 유럽(-13%)에서 판매가 급감하며 설립 이후 처음 연간 판매량이 감소세로 돌아섰다.,high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-27
A1085-C005,A1085-C005-m1,A1085,"비대면진료 전면 허용 1년, 환자도 의사도 이용 급증",2025-03-25,https://www.chosun.com/economy/economy_general/2025/03/25/3PQ25G3OGFHIVFH467K6W3M63I,"같은 기간 비대면 진료 플랫폼과 제휴를 맺은 의사 수는 월 1196명에서 1536명으로, 처방약을 조제한 약국은 월 8556곳에서 1만2524곳으로 늘어났다.","이 기간 비대면 진료 요청 누적 건수는 약 140만 건이고, 비대면 진료 플랫폼을 방문한 이용자도 약 680만명으로 집계됐다.",비대면 진료는 병원이 문을 닫은 시간에 경증 환자를 대상으로 활발하게 이뤄지는 것으로 조사됐다.,국내공식통계,N,보건·복지,비대면 진료 플랫폼과 제휴를 맺은 의사 수 및 처방약을 조제한 약국 수,"비대면진료, 의사, 약국",-,-,-,-,-,-,-,202503,-,M,확정,1196명,KOSIS_VALUE,hcx,비대면 진료 플랫폼과 제휴를 맺은 의사 수,-,-,-,hcx,이전값,1196,-,-,N,명,수준값,-,전월,[검증 대상 문장],high,Y,measurement_period_ungrounded:4,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-27
A1085-C005,A1085-C005-m2,A1085,"비대면진료 전면 허용 1년, 환자도 의사도 이용 급증",2025-03-25,https://www.chosun.com/economy/economy_general/2025/03/25/3PQ25G3OGFHIVFH467K6W3M63I,"같은 기간 비대면 진료 플랫폼과 제휴를 맺은 의사 수는 월 1196명에서 1536명으로, 처방약을 조제한 약국은 월 8556곳에서 1만2524곳으로 늘어났다.","이 기간 비대면 진료 요청 누적 건수는 약 140만 건이고, 비대면 진료 플랫폼을 방문한 이용자도 약 680만명으로 집계됐다.",비대면 진료는 병원이 문을 닫은 시간에 경증 환자를 대상으로 활발하게 이뤄지는 것으로 조사됐다.,국내공식통계,N,보건·복지,비대면 진료 플랫폼과 제휴를 맺은 의사 수 및 처방약을 조제한 약국 수,"비대면진료, 의사, 약국",-,-,-,-,-,-,-,202503,-,M,확정,1536명,KOSIS_VALUE,hcx,비대면 진료 플랫폼과 제휴를 맺은 의사 수,-,-,-,hcx,현재값,1536,-,-,N,명,수준값,-,전월,[검증 대상 문장],high,Y,measurement_period_ungrounded:4,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-27
A1085-C005,A1085-C005-m3,A1085,"비대면진료 전면 허용 1년, 환자도 의사도 이용 급증",2025-03-25,https://www.chosun.com/economy/economy_general/2025/03/25/3PQ25G3OGFHIVFH467K6W3M63I,"같은 기간 비대면 진료 플랫폼과 제휴를 맺은 의사 수는 월 1196명에서 1536명으로, 처방약을 조제한 약국은 월 8556곳에서 1만2524곳으로 늘어났다.","이 기간 비대면 진료 요청 누적 건수는 약 140만 건이고, 비대면 진료 플랫폼을 방문한 이용자도 약 680만명으로 집계됐다.",비대면 진료는 병원이 문을 닫은 시간에 경증 환자를 대상으로 활발하게 이뤄지는 것으로 조사됐다.,국내공식통계,N,보건·복지,비대면 진료 플랫폼과 제휴를 맺은 의사 수 및 처방약을 조제한 약국 수,"비대면진료, 의사, 약국",-,-,-,-,-,-,-,202503,-,M,확정,8556곳,KOSIS_VALUE,hcx,처방약을 조제한 약국 수,-,-,-,hcx,이전값,8556,-,-,N,곳,수준값,-,전월,[검증 대상 문장],high,Y,measurement_period_ungrounded:4,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-27
A1085-C005,A1085-C005-m4,A1085,"비대면진료 전면 허용 1년, 환자도 의사도 이용 급증",2025-03-25,https://www.chosun.com/economy/economy_general/2025/03/25/3PQ25G3OGFHIVFH467K6W3M63I,"같은 기간 비대면 진료 플랫폼과 제휴를 맺은 의사 수는 월 1196명에서 1536명으로, 처방약을 조제한 약국은 월 8556곳에서 1만2524곳으로 늘어났다.","이 기간 비대면 진료 요청 누적 건수는 약 140만 건이고, 비대면 진료 플랫폼을 방문한 이용자도 약 680만명으로 집계됐다.",비대면 진료는 병원이 문을 닫은 시간에 경증 환자를 대상으로 활발하게 이뤄지는 것으로 조사됐다.,국내공식통계,N,보건·복지,비대면 진료 플랫폼과 제휴를 맺은 의사 수 및 처방약을 조제한 약국 수,"비대면진료, 의사, 약국",-,-,-,-,-,-,-,202503,-,M,확정,1만2524곳,KOSIS_VALUE,hcx,처방약을 조제한 약국 수,-,-,-,hcx,현재값,12524,-,-,N,곳,수준값,-,전월,[검증 대상 문장],high,Y,measurement_period_ungrounded:4,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-27
