claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at
A2698-C010,A2698-C010-m1,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"도소매, 금융·보험을 중심으로 증가폭이 확대됐으며, 계절조정 전년 동월 대비 기준으로도 3.8% 증가하는 등 양호한 모습을 보였다.",9월 서비스업생산은 전년 동월 대비 6.2% 증가했다.,소비자심리지수도 109.8로 높은 수준을 유지했다.,국내공식통계,Y,소매·소비,서비스업생산 증감률,"서비스업생산, 도소매, 금융·보험, 계절조정",-,-,-,-,-,-,-,2025Q3,-,Q,확정,3.8%,KOSIS_VALUE,hcx,서비스업생산 증감률,-,-,-,hcx,증감률,3.8,-,-,N,%,증감률,증가,전년동기,"도소매, 금융·보험을 중심으로 증가폭이 확대됐으며, 계절조정 전년 동월 대비 기준으로도 3.8% 증가하는 등 양호한 모습을 보였다.",high,Y,measurement_period_ungrounded:1,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-23
A2698-C011,A2698-C011-m1,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,소비자심리지수도 109.8로 높은 수준을 유지했다.,"도소매, 금융·보험을 중심으로 증가폭이 확대됐으며, 계절조정 전년 동월 대비 기준으로도 3.8% 증가하는 등 양호한 모습을 보였다.",시장금리 하락세와 2차 민생회복 소비쿠폰 지급 등으로 소비 여건이 개선된 영향이다.,국내공식통계,Y,소매·소비,소비자심리지수,-,-,-,-,-,-,-,-,202511,-,M,확정,109.8,KOSIS_VALUE,hcx,소비자심리지수,-,-,-,hcx,현재값,109.8,-,-,N,포인트,수준값,유지,전월,"""소비자심리지수도 109.8로 높은 수준을 유지했다.""",high,Y,measurement_period_ungrounded:1,Y,0,0,HCX-007,v1.5-measurement-binding,2026-07-23
A2698-C014,-,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,하지만 최근 추세와 더 밀접한 전월 대비 소매판매 추이를 보면 다른 그림이 그려진다.,"정부는 7월 전국민 대상 1인당 15만원(최대 55만원), 9~10월 소득 상위 10%를 제외한 국민 90%를 대상으로 1인당 10만원의 소비쿠폰을 지급한 바 있다.","최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.",국내공식통계,Y,소매·소비,소매판매 추이,"소매판매, 전월 대비, 증가, 감소",-,-,-,-,-,-,-,2025Q3,-,Q,확정,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.",high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-23
A2698-C015,A2698-C015-m1,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.",하지만 최근 추세와 더 밀접한 전월 대비 소매판매 추이를 보면 다른 그림이 그려진다.,소비쿠폰 효과가 빠르게 사라지면서 부진했던 내수의 민낯이 드러나고 있다는 지적이 나온다.,국내공식통계,Y,소매·소비,소매판매 증감률,"국가데이터처, 산업활동동향, 소비쿠폰, 소매판매",-,-,-,-,-,-,-,2025Q3,-,Q,확정,2.7%,KOSIS_VALUE,hcx,소매판매 증감률,-,-,-,hcx,증감률,2.7,-,-,N,%,증감률,증가,전월,"최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.",high,Y,measurement_period_ungrounded:3,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-23
A2698-C015,A2698-C015-m2,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.",하지만 최근 추세와 더 밀접한 전월 대비 소매판매 추이를 보면 다른 그림이 그려진다.,소비쿠폰 효과가 빠르게 사라지면서 부진했던 내수의 민낯이 드러나고 있다는 지적이 나온다.,국내공식통계,Y,소매·소비,소매판매 증감률,"국가데이터처, 산업활동동향, 소비쿠폰, 소매판매",-,-,-,-,-,-,-,2025Q3,-,Q,확정,2.4%,KOSIS_VALUE,hcx,소매판매 증감률,-,-,-,hcx,증감률,2.4,-,-,N,%,증감률,증가,전월,"최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.",high,Y,measurement_period_ungrounded:3,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-23
A2698-C015,A2698-C015-m3,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.",하지만 최근 추세와 더 밀접한 전월 대비 소매판매 추이를 보면 다른 그림이 그려진다.,소비쿠폰 효과가 빠르게 사라지면서 부진했던 내수의 민낯이 드러나고 있다는 지적이 나온다.,국내공식통계,Y,소매·소비,소매판매 증감률,"국가데이터처, 산업활동동향, 소비쿠폰, 소매판매",-,-,-,-,-,-,-,2025Q3,-,Q,확정,0.1%,KOSIS_VALUE,hcx,소매판매 증감률,-,-,-,hcx,증감률,0.1,-,-,N,%,증감률,증가,전월,"최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.",high,Y,measurement_period_ungrounded:3,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-23
A2698-C017,A2698-C017-m1,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"3분기 전체 소매판매는 2분기 대비 0.7% 증가했지만, 이는 7월 효과가 워낙 컸기 때문이다.",소비쿠폰 효과가 빠르게 사라지면서 부진했던 내수의 민낯이 드러나고 있다는 지적이 나온다.,일회성 정책 효과가 끝나자 소비는 다시 힘을 잃어가는 모습이다.,국내공식통계,N,소매·소비,소매판매 증감률,"소매판매, 2분기 대비, 0.7%",-,-,-,-,-,-,-,2025Q3,-,Q,확정,0.7%,KOSIS_VALUE,hcx,소매판매 증감률,-,-,-,hcx,증감률,0.7,-,-,N,%,증감률,증가,전분기,"3분기 전체 소매판매는 2분기 대비 0.7% 증가했지만, 이는 7월 효과가 워낙 컸기 때문이다.",high,Y,measurement_period_ungrounded:1,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-23
A2698-C018,-,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,일회성 정책 효과가 끝나자 소비는 다시 힘을 잃어가는 모습이다.,"3분기 전체 소매판매는 2분기 대비 0.7% 증가했지만, 이는 7월 효과가 워낙 컸기 때문이다.","◇수출 증가세 둔화, 건설투자 부진 지속 수출 증가세는 완만하게 둔화되는 모습을 나타냈다.",국내공식통계,N,소매·소비,소매판매,"소매판매, 수출 증가세, 건설 투자",전국,-,-,-,-,-,-,2025Q3,-,Q,확정,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,일회성 정책 효과가 끝나자 소비는 다시 힘을 잃어가는 모습이다.,low,Y,"소매판매 증가율이 전 분기 대비 증가한 것으로 나타나지만, 해당 문장은 소비가 다시 힘을 잃어가고 있다고 주장하고 있어 모순됨.",N,0,0,HCX-007,v1.5-measurement-binding,2026-07-23
A2698-C019,-,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"◇수출 증가세 둔화, 건설투자 부진 지속 수출 증가세는 완만하게 둔화되는 모습을 나타냈다.",일회성 정책 효과가 끝나자 소비는 다시 힘을 잃어가는 모습이다.,10월 수출은 전년 동월 대비 3.6% 증가에 그쳤다.,국내공식통계,Y,무역,수출 증가율,"수출 증가세 둔화, 건설투자 부진 지속",-,-,-,-,-,-,-,202510,-,M,확정,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10월 수출은 전년 동월 대비 3.6% 증가에 그쳤다.,high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-23
A2698-C020,A2698-C020-m1,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,10월 수출은 전년 동월 대비 3.6% 증가에 그쳤다.,"◇수출 증가세 둔화, 건설투자 부진 지속 수출 증가세는 완만하게 둔화되는 모습을 나타냈다.","반도체경기 호조세는 유지됐으나, 미국 관세 인상의 부정적 영향이 파급되면서 수출 증가세가 점차 둔화됐다.",국내공식통계,Y,무역,수출 증가율,"수출 증가세, 반도체경기, 미국 관세 인상",-,-,-,-,-,-,-,2025-10,-,M,확정,3.6%,KOSIS_VALUE,hcx,수출 증가율,-,-,-,hcx,증감률,3.6,-,-,N,%,증감률,증가,전년동월,10월 수출은 전년 동월 대비 3.6% 증가에 그쳤다.,high,Y,measurement_period_ungrounded:1,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-23
