claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,prev_prev_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_grounded,extraction_scope,chunk_index,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,mapping_exclusion_code,mapping_exclusion_reason
A0004-c003,A0004-c003-m1,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",,,국내공식통계,N,고용,연간 성장률,"로봇 밀도, 1만명당 로봇수",-,-,-,,-,-,-,2018,-,Y,확정,매년 5%,KOSIS_VALUE,hcx,연간 성장률,-,2018,Y,hcx,증감률,5,-,-,N,%,증감률,증가,전년,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,로봇 밀도,,2023,,%,%,rate,rate_change,unspecified,2017,Y,,
A0004-c004,A0004-c004-m2,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,,,국내공식통계,N,생산·산업,로봇화에 뛰어든 기업의 수,"로봇화, 기업 수",-,-,-,,-,-,-,2019,-,Y,확정,13%가량,KOSIS_VALUE,hcx,로봇화에 뛰어든 기업의 수,-,2019,Y,hcx,증감값,13,-,-,Y,%,증감률,증가,전년동기,[48] 한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,high,N,-,N,0,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1,로봇화에 뛰어든 기업의 수,,2023,,%,%,rate,rate_change,organization,2018,Y,,
A0012-c001,A0012-c001-m1,A0012,조선업 산업기술인력 9년 만에 다시 상승세,2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/VR4RUPY3CFEGZGFC5M4JPY5SDE,31일 산업통상자원부의 ‘산업기술인력 수급 실태조사’에 따르면 지난 2023년 말 조선 산업기술인력은 5만8528명으로 전년인 2022년 대비 0.8% 증가했다.,,,국내공식통계,N,고용,조선 산업기술인력,"조선업, 산업기술인력, 외국인 근로자",-,-,-,조선업,-,-,-,2023,-,Y,확정,5만8528명,KOSIS_VALUE,hcx,조선 산업기술인력,조선업,2023,Y,hcx,현재값,58528,-,-,N,명,수준값,증가,전년,[4] 31일 산업통상자원부의 ‘산업기술인력 수급 실태조사’에 따르면 지난 2023년 말 조선 산업기술인력은 5만8528명으로 전년인 2022년 대비 0.8% 증가했다.,high,N,-,Y,0,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,조선 산업기술인력,조선업,2023,Y,명,명,person_count,count,item,,Y,,
A0012-c001,A0012-c001-m2,A0012,조선업 산업기술인력 9년 만에 다시 상승세,2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/VR4RUPY3CFEGZGFC5M4JPY5SDE,31일 산업통상자원부의 ‘산업기술인력 수급 실태조사’에 따르면 지난 2023년 말 조선 산업기술인력은 5만8528명으로 전년인 2022년 대비 0.8% 증가했다.,,,국내공식통계,N,고용,조선 산업기술인력,"조선업, 산업기술인력, 외국인 근로자",-,-,-,조선업,-,-,-,2022,-,Y,확정,0.8%,KOSIS_VALUE,hcx,조선 산업기술인력,조선업,2022,Y,hcx,증감률,0.8,-,-,N,%,증감률,증가,전년,[4] 31일 산업통상자원부의 ‘산업기술인력 수급 실태조사’에 따르면 지난 2023년 말 조선 산업기술인력은 5만8528명으로 전년인 2022년 대비 0.8% 증가했다.,high,N,-,Y,0,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,조선 산업기술인력,조선업,2023,Y,%,%,rate,rate_change,item,2021,Y,,
A0012-c002,A0012-c002-m1,A0012,조선업 산업기술인력 9년 만에 다시 상승세,2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/VR4RUPY3CFEGZGFC5M4JPY5SDE,조선 산업기술인력 중 외국인은 2022년 877명에서 2023년 2563명으로 3배 가까이 늘었다.,,,국내공식통계,N,고용,외국인 조선 산업기술인력,"조선업, 산업기술인력, 외국인 근로자",-,-,-,조선업,-,-,-,2023,-,Y,확정,2563명,KOSIS_VALUE,hcx,외국인 조선 산업기술인력,조선업,2023,Y,hcx,현재값,2563,-,-,N,명,수준값,증가,전년,[8] 조선 산업기술인력 중 외국인은 2022년 877명에서 2023년 2563명으로 3배 가까이 늘었다.,high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,외국인 조선 산업기술인력,조선업,2023,Y,명,명,person_count,count,item,,Y,,
A0012-c002,A0012-c002-m2,A0012,조선업 산업기술인력 9년 만에 다시 상승세,2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/VR4RUPY3CFEGZGFC5M4JPY5SDE,조선 산업기술인력 중 외국인은 2022년 877명에서 2023년 2563명으로 3배 가까이 늘었다.,,,국내공식통계,N,고용,외국인 조선 산업기술인력,"조선업, 산업기술인력, 외국인 근로자",-,-,-,조선업,-,-,-,2022,-,Y,확정,877명,KOSIS_VALUE,hcx,외국인 조선 산업기술인력,조선업,2022,Y,hcx,이전값,877,-,-,N,명,수준값,증가,전년,[8] 조선 산업기술인력 중 외국인은 2022년 877명에서 2023년 2563명으로 3배 가까이 늘었다.,high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,외국인 조선 산업기술인력,조선업,2023,Y,명,명,person_count,count,item,,Y,,
A0012-c003,A0012-c003-m1,A0012,조선업 산업기술인력 9년 만에 다시 상승세,2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/VR4RUPY3CFEGZGFC5M4JPY5SDE,이들이 차지하는 비율도 같은 기간 1.5%에서 4.4%로 증가했다.,,,국내공식통계,N,고용,외국인 조선 산업기술인력 비율,"조선업, 산업기술인력, 외국인 근로자 비율",-,-,-,조선업,-,-,-,2023,-,Y,확정,4.4%,KOSIS_VALUE,hcx,외국인 조선 산업기술인력 비율,조선업,2023,Y,hcx,현재값,4.4,-,-,N,%,수준값,증가,전년,[9] 이들이 차지하는 비율도 같은 기간 1.5%에서 4.4%로 증가했다.,high,N,-,N,0,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,외국인 조선 산업기술인력 비율,조선업,2023,Y,%,%,rate,rate_level,item,,Y,,
A0012-c003,A0012-c003-m2,A0012,조선업 산업기술인력 9년 만에 다시 상승세,2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/VR4RUPY3CFEGZGFC5M4JPY5SDE,이들이 차지하는 비율도 같은 기간 1.5%에서 4.4%로 증가했다.,,,국내공식통계,N,고용,외국인 조선 산업기술인력 비율,"조선업, 산업기술인력, 외국인 근로자 비율",-,-,-,조선업,-,-,-,2022,-,Y,확정,1.5%,KOSIS_VALUE,hcx,외국인 조선 산업기술인력 비율,조선업,2022,Y,hcx,이전값,1.5,-,-,N,%,수준값,증가,전년,[9] 이들이 차지하는 비율도 같은 기간 1.5%에서 4.4%로 증가했다.,high,N,-,N,0,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,외국인 조선 산업기술인력 비율,조선업,2023,Y,%,%,rate,rate_level,item,,Y,,
A0012-c004,A0012-c004-m1,A0012,조선업 산업기술인력 9년 만에 다시 상승세,2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/VR4RUPY3CFEGZGFC5M4JPY5SDE,한편 이번 조사에서 우리나라 전체 산업기술인력 규모는 171만6846명으로 전년 대비 1% 증가한 것으로 나타났다.,,,국내공식통계,N,고용,우리나라 전체 산업기술인력,"산업기술인력, 우리나라 전체",-,-,-,,-,-,-,2023,-,Y,확정,171만6846명,KOSIS_VALUE,hcx,우리나라 전체 산업기술인력,-,2023,Y,hcx,현재값,1716846,-,-,N,명,수준값,증가,전년,[15] 한편 이번 조사에서 우리나라 전체 산업기술인력 규모는 171만6846명으로 전년 대비 1% 증가한 것으로 나타났다.,high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,우리나라 전체 산업기술인력,,2023,Y,명,명,person_count,count,unspecified,,Y,,
A0012-c005,A0012-c005-m1,A0012,조선업 산업기술인력 9년 만에 다시 상승세,2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/VR4RUPY3CFEGZGFC5M4JPY5SDE,다만 산업 현장에 필요한 인원이 늘면서 부족 인원도 1.9% 늘어난 3만9190명을 기록했다.,,,국내공식통계,N,고용,부족 인원,"부족 인원, 산업기술인력",-,-,-,,-,-,-,2023,-,Y,확정,3만9190명,KOSIS_VALUE,hcx,부족 인원,-,2023,Y,hcx,현재값,39190,-,-,N,명,수준값,증가,전년,[16] 다만 산업 현장에 필요한 인원이 늘면서 부족 인원도 1.9% 늘어난 3만9190명을 기록했다.,high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,부족 인원,,2023,Y,명,명,person_count,count,unspecified,,Y,,
A0029-c005,A0029-c005-m1,A0029,완성차 5사 판매량 3년만에 감소세로...내수 부진에 전기차 캐즘 본격화,2025-01-03,https://www.chosun.com/economy/auto/2025/01/03/N4AM2ZKHUBDXHOEEKGPMWO4Y2U,지난해 GM 한국사업장은 해외에 2023년 대비 10.6% 증가한 47만 4735대를 판매했다.,,,국내공식통계,N,소매·소비,GM 한국사업장 판매량,"GM 한국사업장, 판매량",전국,-,-,,-,-,-,2023,-,Y,확정,47만 4735대,KOSIS_VALUE,hcx,GM 한국사업장 판매량,-,2023,Y,hcx,현재값,4735,-,-,N,대,수준값,증가,전년,[14] 지난해 GM 한국사업장은 해외에 2023년 대비 10.6% 증가한 47만 4735대를 판매했다.,high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,GM 한국사업장 판매량,,2024,,대,대,count,count,unspecified,,Y,,
A0050-c001,A0050-c001-m2,A0050,"""직장 하나론 소득 빠듯"" 너도나도 N잡러 시대, 직장인 부업 성공하려면",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/DKW3MEMILT2EXU3BFRNPMHNPWE,통계청 자료에 따르면 국내 부업자 수는 2023년 1분기 45만명에서 2024년 1분기 55만 명대로 20% 이상 증가했다.,,,국내공식통계,N,고용,부업자 수,"부업자, 고용",-,-,-,,-,-,-,2023,-,Y,확정,45만명,KOSIS_VALUE,hcx,부업자 수,-,2023,Y,hcx,이전값,450000,-,-,N,명,수준값,증가,전년동기,[2] 통계청 자료에 따르면 국내 부업자 수는 2023년 1분기 45만명에서 2024년 1분기 55만 명대로 20% 이상 증가했다.,high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,부업자 수,,2024년 1분기,Q,명,명,person_count,count,unspecified,,Y,,
A0018-c001,A0018-c001-m1,A0018,반도체 덕에… 지난해 수출 6838억달러 역대 최대,2025-01-02,https://www.chosun.com/economy/economy_general/2025/01/02/6MYGM52QIVHUJBIZYYFBUW5IQM,1 작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.,,,국내공식통계,N,무역,총 수출액,"수출액, 무역 흑자",전국,-,-,,-,-,-,2024,-,Y,확정,6838억달러,KOSIS_VALUE,hcx,총 수출액,-,2024,Y,hcx,현재값,683800000000,-,-,N,달러,수준값,증가,전년,[0] 1 작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.,high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,수출액,,2024,Y,달러,달러,currency,amount,unspecified,,Y,,
A0018-c001,A0018-c001-m2,A0018,반도체 덕에… 지난해 수출 6838억달러 역대 최대,2025-01-02,https://www.chosun.com/economy/economy_general/2025/01/02/6MYGM52QIVHUJBIZYYFBUW5IQM,1 작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.,,,국내공식통계,N,무역,총 수출액 증가율,"수출액, 무역 흑자",전국,-,-,,-,-,-,2023,-,Y,확정,8.2%,KOSIS_VALUE,hcx,총 수출액 증가율,-,2023,Y,hcx,증감률,8.2,-,-,N,%,증감률,증가,전년,[0] 1 작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.,high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,수출액,,2024,Y,%,%,rate,rate_change,unspecified,2022,Y,,
A0018-c002,A0018-c002-m1,A0018,반도체 덕에… 지난해 수출 6838억달러 역대 최대,2025-01-02,https://www.chosun.com/economy/economy_general/2025/01/02/6MYGM52QIVHUJBIZYYFBUW5IQM,1 작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.,,,국내공식통계,N,무역,총 수출액,"수출액, 증가율",전국,-,-,,-,-,-,2024,-,Y,확정,6838억달러,KOSIS_VALUE,hcx,총 수출액,-,2024,Y,hcx,현재값,683800000000,-,-,N,달러,수준값,증가,전년,[0] 1 작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.,high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,수출액 증가율,,2024,Y,달러,달러,currency,amount,unspecified,,Y,,
A0018-c002,A0018-c002-m2,A0018,반도체 덕에… 지난해 수출 6838억달러 역대 최대,2025-01-02,https://www.chosun.com/economy/economy_general/2025/01/02/6MYGM52QIVHUJBIZYYFBUW5IQM,1 작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.,,,국내공식통계,N,무역,총 수출액 증가율,"수출액, 증가율",전국,-,-,,-,-,-,2023,-,Y,확정,8.2%,KOSIS_VALUE,hcx,총 수출액 증가율,-,2023,Y,hcx,증감률,8.2,-,-,N,%,증감률,증가,전년,[0] 1 작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.,high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,수출액 증가율,,2024,Y,%,%,rate,rate_change,unspecified,2022,Y,,
A0018-c003,A0018-c003-m1,A0018,반도체 덕에… 지난해 수출 6838억달러 역대 최대,2025-01-02,https://www.chosun.com/economy/economy_general/2025/01/02/6MYGM52QIVHUJBIZYYFBUW5IQM,"작년 한국의 수입액은 전년보다 1.6% 감소한 6320억달러로, 518억달러의 무역 흑자를 기록했다.",,,국내공식통계,N,무역,총 수입액,"수입액, 무역 흑자",전국,-,-,,-,-,-,2024,-,Y,확정,6320억달러,KOSIS_VALUE,hcx,총 수입액,-,2024,Y,hcx,현재값,632000000000,-,-,N,달러,수준값,감소,전년,"[3] 작년 한국의 수입액은 전년보다 1.6% 감소한 6320억달러로, 518억달러의 무역 흑자를 기록했다.",high,N,-,Y,0,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,0,수입액 및 무역 흑자,,2024,Y,달러,달러,currency,amount,unspecified,,Y,,
