mapping_row_id,claim_measurement_id,candidate_rank,ORG_ID,TBL_ID,STAT_ID,TBL_NM,path,vector_similarity,keyword_match,item_match,score
MAP000001,A0004-C020-m2,1,401,DT_401N_021,2006203,로봇 단품 및 부품 국가별 수입 현황,로봇산업실태조사,0.889338,0.166667,0.0,0.700337
MAP000001,A0004-C020-m2,2,401,DT_373002_001,2006203,"제조업용 로봇 생산 현황_기계구조, 적용산업별",로봇산업실태조사,0.888108,0.166667,0.0,0.699414
MAP000001,A0004-C020-m2,3,401,DT_373002_002,2006203,"제조업용 로봇 출하 현황_기계구조, 적용산업별",로봇산업실태조사,0.886461,0.166667,0.0,0.698179
MAP000001,A0004-C020-m2,4,114,DT_114054_076,2018020,로봇 미도입 사유,외식업체경영실태조사 > 외식업체 경영실태,0.886412,0.166667,0.0,0.698142
MAP000001,A0004-C020-m2,5,114,DT_114054_069,2018020,로봇 도입 여부,외식업체경영실태조사 > 외식업체 경영실태,0.885668,0.166667,0.0,0.697584
MAP000002,A0004-C046-m1,1,401,DT_401001_002,2006203,로봇산업 생산 현황,로봇산업실태조사,0.899226,0.142857,0.0,0.702991
MAP000002,A0004-C046-m1,2,401,DT_401N_013,2006203,로봇산업 생산 현황,로봇산업실태조사,0.899226,0.142857,0.0,0.702991
MAP000002,A0004-C046-m1,3,401,DT_373002_001,2006203,"제조업용 로봇 생산 현황_기계구조, 적용산업별",로봇산업실태조사,0.897019,0.142857,0.0,0.701335
MAP000002,A0004-C046-m1,4,401,DT_401001_001,2006203,로봇산업 매출 현황,로봇산업실태조사,0.900902,0.0,0.0,0.675676
MAP000002,A0004-C046-m1,5,401,DT_401N_015,2006203,로봇산업 설비투자 현황,로봇산업실태조사,0.89941,0.0,0.0,0.674557
MAP000003,A0006-C001-m1,1,395,DT_395N_S2024269,2003024,수출액 수준: 2024년,한국기업혁신조사 > 2025년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.886776,0.166667,0.0,0.698415
MAP000003,A0006-C001-m1,2,395,DT_395N_S2023300,2003024,수출액 수준: 2023년,한국기업혁신조사 > 2024년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.881711,0.166667,0.0,0.694617
MAP000003,A0006-C001-m1,3,395,DT_395N_S2023298,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2024년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.881673,0.166667,0.0,0.694588
MAP000003,A0006-C001-m1,4,395,DT_395N_S2024265,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2025년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.879548,0.166667,0.0,0.692994
MAP000003,A0006-C001-m1,5,395,DT_395N_S2023296,2003024,수출액 수준: 2021년,한국기업혁신조사 > 2024년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.879445,0.166667,0.0,0.692917
MAP000004,A0006-C002-m1,1,395,DT_395N_S2024265,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2025년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.871942,0.166667,0.0,0.68729
MAP000004,A0006-C002-m1,2,395,DT_395N_S2022300,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2023년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.871685,0.166667,0.0,0.687097
MAP000004,A0006-C002-m1,3,360,DT_1R11006_FRM101,1976045,"국가별 수출액, 수입액",SITC에의한무역통계,0.871094,0.166667,0.0,0.686654
MAP000004,A0006-C002-m1,4,127,DT_127010_008,2018022,전년 대비 수출액 증감 현황 및 이유,클라우드산업실태조사,0.87047,0.166667,0.0,0.686186
MAP000004,A0006-C002-m1,5,127,DT_127005_005,1996008,수출 및 수입액,ICT실태조사,0.869107,0.166667,0.0,0.685163
MAP000006,A0006-C003-m4,1,142,DT_12029,2012054,"주요 수출 국가(1+2+3순위, 상위 6위)",1인창조기업실태조사 > 2012년 > 기업운영 실태 및 향후 운영 계획,0.900303,0.285714,0.0,0.73237
MAP000006,A0006-C003-m4,2,115,DT_115042_25_044,2025009,향후 수출 계획이 있는 국가_1+2순위,자동차부품산업실태조사,0.890018,0.285714,0.0,0.724656
MAP000006,A0006-C003-m4,3,142,DT_V25_A054,1999037,원자재/부품 수입 국가(1+2순위),"벤처기업정밀실태조사 > 2024년 > 마케팅, 해외 수출 현황",0.888208,0.285714,0.0,0.723299
MAP000006,A0006-C003-m4,4,358,DT_358004_025,2021024,수출액 및 해외 매출액 증가 주요 요인_1+2 순위,바이오헬스산업실태조사,0.88754,0.285714,0.0,0.722798
MAP000006,A0006-C003-m4,5,395,DT_395N_S2024267,2003024,수출액 수준: 2023년,한국기업혁신조사 > 2025년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.895895,0.142857,0.0,0.700493
MAP000008,A0006-C004-m2,1,127,DT_127005_006,1996008,무역수지,ICT실태조사,0.88066,0.2,0.0,0.700495
MAP000008,A0006-C004-m2,2,142,DT_D22058,2007272,수출 관련 애로사항 여부,장애인기업실태조사 > 2022년 > 경영 활동 사항,0.87386,0.2,0.0,0.695395
MAP000008,A0006-C004-m2,3,142,DT_D23058,2007272,수출 관련 애로사항 여부,장애인기업실태조사 > 2023년 > 경영활동 현황,0.873634,0.2,0.0,0.695225
MAP000008,A0006-C004-m2,4,127,DT_127005_005,1996008,수출 및 수입액,ICT실태조사,0.872513,0.2,0.0,0.694385
MAP000008,A0006-C004-m2,5,142,DT_D23059,2007272,수출 관련 애로사항 - 복수응답,장애인기업실태조사 > 2023년 > 경영활동 현황,0.872038,0.2,0.0,0.694028
MAP000009,A0006-C005-m1,1,360,DT_1R11006_FRM101,1976045,"국가별 수출액, 수입액",SITC에의한무역통계,0.875274,0.2,0.0,0.696456
MAP000009,A0006-C005-m1,2,395,DT_395N_S2022300,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2023년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.873032,0.2,0.0,0.694774
MAP000009,A0006-C005-m1,3,395,DT_395N_S2024265,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2025년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.872384,0.2,0.0,0.694288
MAP000009,A0006-C005-m1,4,395,DT_395N_I2021300,2003024,수출액 수준: 2021년,한국기업혁신조사 > 2022년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.870985,0.2,0.0,0.693239
MAP000009,A0006-C005-m1,5,395,DT_395N_S2023298,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2024년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.869401,0.2,0.0,0.692051
MAP000010,A0006-C006-m1,1,395,DT_395N_S2023300,2003024,수출액 수준: 2023년,한국기업혁신조사 > 2024년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.888649,0.166667,0.0,0.69982
MAP000010,A0006-C006-m1,2,395,DT_395N_S2023298,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2024년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.888148,0.166667,0.0,0.699445
MAP000010,A0006-C006-m1,3,395,DT_395N_S2024269,2003024,수출액 수준: 2024년,한국기업혁신조사 > 2025년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.886498,0.166667,0.0,0.698207
MAP000010,A0006-C006-m1,4,395,DT_395N_S2023296,2003024,수출액 수준: 2021년,한국기업혁신조사 > 2024년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.884954,0.166667,0.0,0.697049
MAP000010,A0006-C006-m1,5,395,DT_395N_S2023222,2003024,환경편익혁신 도입 유무: 에너지 사용 절감 또는 탄소 발자국 감소(귀사),한국기업혁신조사 > 2024년도 조사(제조업 부문) > 환경편익 혁신 > 환경편익혁신 도입 유무,0.884906,0.166667,0.0,0.697012
MAP000011,A0006-C007-m1,1,127,DT_127005_006,1996008,무역수지,ICT실태조사,0.883712,0.25,0.0,0.712784
MAP000011,A0006-C007-m1,2,127,DT_127005_005,1996008,수출 및 수입액,ICT실태조사,0.882225,0.25,0.0,0.711669
MAP000011,A0006-C007-m1,3,142,DT_D23058,2007272,수출 관련 애로사항 여부,장애인기업실태조사 > 2023년 > 경영활동 현황,0.879345,0.25,0.0,0.709509
MAP000011,A0006-C007-m1,4,142,DT_D22058,2007272,수출 관련 애로사항 여부,장애인기업실태조사 > 2022년 > 경영 활동 사항,0.87893,0.25,0.0,0.709197
MAP000011,A0006-C007-m1,5,127,TX_374_2009_H1035,1998012,방송기기 무역수지,ICT주요품목동향조사 > 2008년 이전 > 정보통신산업,0.878438,0.25,0.0,0.708828
MAP000012,A0006-C009-m1,1,115,DT_115042_25_047,2025009,자동차 부품 신규 수출 및 확대 계획이 없는 이유_1+2순위,자동차부품산업실태조사,0.862445,0.25,0.0,0.696834
MAP000012,A0006-C009-m1,2,115,DT_115042_25_037,2025009,자동차 부품산업 분야 주요 수출 품목_1+2+3순위,자동차부품산업실태조사,0.862327,0.25,0.0,0.696745
MAP000012,A0006-C009-m1,3,395,DT_395N_S2022300,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2023년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.870021,0.125,0.0,0.677516
MAP000012,A0006-C009-m1,4,395,DT_395N_S2024265,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2025년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.867276,0.125,0.0,0.675457
MAP000012,A0006-C009-m1,5,395,DT_395N_S2024267,2003024,수출액 수준: 2023년,한국기업혁신조사 > 2025년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.865363,0.125,0.0,0.674022
