claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,prev_prev_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,mapping_exclusion_code,mapping_exclusion_reason,measurement_correct,mapping_row_id,retrieval_query,retrieval_status,retrieval_candidate_pool,candidate_score_margin,candidate_review_priority,candidate_1_org_id,candidate_1_tbl_id,candidate_1_stat_id,candidate_1_tbl_nm,candidate_1_path,candidate_1_vector_similarity,candidate_1_keyword_match,candidate_1_item_match,candidate_1_score,candidate_2_org_id,candidate_2_tbl_id,candidate_2_stat_id,candidate_2_tbl_nm,candidate_2_path,candidate_2_vector_similarity,candidate_2_keyword_match,candidate_2_item_match,candidate_2_score,candidate_3_org_id,candidate_3_tbl_id,candidate_3_stat_id,candidate_3_tbl_nm,candidate_3_path,candidate_3_vector_similarity,candidate_3_keyword_match,candidate_3_item_match,candidate_3_score,candidate_4_org_id,candidate_4_tbl_id,candidate_4_stat_id,candidate_4_tbl_nm,candidate_4_path,candidate_4_vector_similarity,candidate_4_keyword_match,candidate_4_item_match,candidate_4_score,candidate_5_org_id,candidate_5_tbl_id,candidate_5_stat_id,candidate_5_tbl_nm,candidate_5_path,candidate_5_vector_similarity,candidate_5_keyword_match,candidate_5_item_match,candidate_5_score
A0004-C020,A0004-C020-m2,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",◇로봇 밀도 1위의 나라 로봇 밀도는 그 나라의 제조업이 얼마나 자동화됐는지 평가하는 기본 지표로 여겨진다.,가파른 경제성장 이후 저출산·고령화 사회로 진입하면서 ‘사람’에서 ‘로봇’으로 빠르게 옮겨가고 있는 산업 현장을 살펴봤다.,국내공식통계,N,고용,로봇 밀도 증가율,"로봇 밀도, 제조업, 자동화",-,-,-,,-,-,-,2018,-,Y,확정,5%,KOSIS_VALUE,hcx,로봇 밀도 증가율,-,2018,Y,hcx,증감률,5,-,-,N,%,증감률,증가,전년,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",high,Y,measurement_binding_fallback:1;measurement_period_ungrounded:1,N,0,1,HCX-007,v1.6-prev2-context,2026-07-30,로봇 밀도,,2025,Y,%,%,rate,rate_change,unspecified,2017,Y,,,Y,MAP000001,"query: 측정지표: 로봇 밀도 증가율
대표지표: 로봇 밀도
통계 검색어: 로봇 밀도, 제조업, 자동화
분야: 고용
기사 주장: 우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",success,20,0.000922,high,401,DT_401N_021,2006203,로봇 단품 및 부품 국가별 수입 현황,로봇산업실태조사,0.889338,0.166667,0.0,0.700337,401,DT_373002_001,2006203,"제조업용 로봇 생산 현황_기계구조, 적용산업별",로봇산업실태조사,0.888108,0.166667,0.0,0.699415,401,DT_373002_002,2006203,"제조업용 로봇 출하 현황_기계구조, 적용산업별",로봇산업실태조사,0.886461,0.166667,0.0,0.698179,114,DT_114054_076,2018020,로봇 미도입 사유,외식업체경영실태조사 > 외식업체 경영실태,0.886412,0.166667,0.0,0.698142,114,DT_114054_069,2018020,로봇 도입 여부,외식업체경영실태조사 > 외식업체 경영실태,0.885668,0.166667,0.0,0.697584
A0004-C046,A0004-C046-m1,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,경기도 파주의 한 소규모 도서물류 업체 관계자는 “물류 현장에서 각종 사고를 예방하기 위해 허리나 허벅지에 차면 근력을 올려주는 웨어러블 로봇 7대를 구입해 사용하고 있다”고 했다.,중대재해법 관련 사고를 예방하기 위해 로봇을 쓰는 경우도 있다.,국내공식통계,N,생산·산업,로봇화에 뛰어든 기업 수,"로봇화, 기업, 증가",-,-,-,,-,-,-,2019,-,Y,확정,13%가량,KOSIS_VALUE,hcx,로봇화에 뛰어든 기업 수,-,2019,Y,hcx,증감률,13,-,-,Y,%,증감률,증가,전년,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,로봇화에 뛰어든 기업 수,,2023,Y,%,%,rate,rate_change,organization,2018,Y,,,Y,MAP000002,"query: 측정지표: 로봇화에 뛰어든 기업 수
통계 검색어: 로봇화, 기업, 증가
분야: 생산·산업
기사 주장: 한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.",success,20,0.0,high,401,DT_401001_002,2006203,로봇산업 생산 현황,로봇산업실태조사,0.899226,0.142857,0.0,0.702991,401,DT_401N_013,2006203,로봇산업 생산 현황,로봇산업실태조사,0.899226,0.142857,0.0,0.702991,401,DT_373002_001,2006203,"제조업용 로봇 생산 현황_기계구조, 적용산업별",로봇산업실태조사,0.897019,0.142857,0.0,0.701335,401,DT_401001_001,2006203,로봇산업 매출 현황,로봇산업실태조사,0.900902,0.0,0.0,0.675676,401,DT_401N_015,2006203,로봇산업 설비투자 현황,로봇산업실태조사,0.89941,0.0,0.0,0.674557
A0006-C001,A0006-C001-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,,,국내공식통계,N,무역,수출액,"2024년, 수출, 역대 최대 실적",-,-,-,,-,-,-,2024,-,Y,확정,6838억 달러,KOSIS_VALUE,hcx,수출액,-,2024,Y,hcx,현재값,6.838E+11,-,-,N,달러,수준값,-,전년,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,수출액,,2024,Y,달러,달러,currency,amount,unspecified,,Y,,,Y,MAP000003,"query: 측정지표: 수출액
통계 검색어: 2024년, 수출, 역대 최대 실적
분야: 무역
기사 주장: 한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.",success,20,0.003798,high,395,DT_395N_S2024269,2003024,수출액 수준: 2024년,한국기업혁신조사 > 2025년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.886776,0.166667,0.0,0.698415,395,DT_395N_S2023300,2003024,수출액 수준: 2023년,한국기업혁신조사 > 2024년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.881711,0.166667,0.0,0.694617,395,DT_395N_S2023298,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2024년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.881673,0.166667,0.0,0.694588,395,DT_395N_S2024265,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2025년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.879548,0.166667,0.0,0.692994,395,DT_395N_S2023296,2003024,수출액 수준: 2021년,한국기업혁신조사 > 2024년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.879445,0.166667,0.0,0.692917
A0006-C002,A0006-C002-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,,국내공식통계,N,무역,수출액,"수출, 역대 최대 실적",-,-,-,,-,-,-,2022,-,Y,확정,6836억달러,KOSIS_VALUE,hcx,수출액,-,2022,Y,hcx,이전값,6.836E+11,-,-,N,달러,수준값,-,전년,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,high,Y,measurement_binding_fallback:1,N,0,1,HCX-007,v1.6-prev2-context,2026-07-30,수출액,,2024,Y,달러,달러,currency,amount,unspecified,,Y,,,Y,MAP000004,"query: 측정지표: 수출액
통계 검색어: 수출, 역대 최대 실적
분야: 무역
기사 주장: 이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",success,20,0.000193,high,395,DT_395N_S2024265,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2025년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.871943,0.166667,0.0,0.68729,395,DT_395N_S2022300,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2023년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.871685,0.166667,0.0,0.687097,360,DT_1R11006_FRM101,1976045,"국가별 수출액, 수입액",SITC에의한무역통계,0.871094,0.166667,0.0,0.686654,127,DT_127010_008,2018022,전년 대비 수출액 증감 현황 및 이유,클라우드산업실태조사,0.87047,0.166667,0.0,0.686186,127,DT_127005_005,1996008,수출 및 수입액,ICT실태조사,0.869107,0.166667,0.0,0.685163
A0006-C003,A0006-C003-m3,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,국내공식통계,N,무역,상위 수출국 수,"수출, WTO, 순위, 증가율",-,-,-,,-,-,-,2024,-,Y,확정,10대,KOSIS_VALUE,hcx,상위 수출국 수,-,2024,Y,hcx,현재값,10,-,-,N,대,수준값,증가,전년,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",high,N,-,Y,0,0,HCX-007,v1.6-prev2-context,2026-07-30,수출액,,2024,Y,대,대,count,count,unspecified,,Y,,,N,MAP000005,"query: 측정지표: 상위 수출국 수
대표지표: 수출액
통계 검색어: 수출, WTO, 순위, 증가율
분야: 무역
기사 주장: 이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",success,20,0.034251,high,142,DT_12029,2012054,"주요 수출 국가(1+2+3순위, 상위 6위)",1인창조기업실태조사 > 2012년 > 기업운영 실태 및 향후 운영 계획,0.902057,0.375,0.0,0.751543,115,DT_115042_25_044,2025009,향후 수출 계획이 있는 국가_1+2순위,자동차부품산업실태조사,0.889722,0.25,0.0,0.717292,142,DT_V25_A054,1999037,원자재/부품 수입 국가(1+2순위),"벤처기업정밀실태조사 > 2024년 > 마케팅, 해외 수출 현황",0.88852,0.25,0.0,0.71639,358,DT_358004_025,2021024,수출액 및 해외 매출액 증가 주요 요인_1+2 순위,바이오헬스산업실태조사,0.886182,0.25,0.0,0.714636,115,DT_115034N_096,2016003,주요 수출국 현황(1순위),뿌리산업실태조사 > 2020년 이전 > 해외진출 현황,0.885852,0.25,0.0,0.714389
A0006-C003,A0006-C003-m4,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,국내공식통계,N,무역,수출증가율,"수출, WTO, 순위, 증가율",-,-,-,,-,-,-,2024,-,Y,확정,9.60%,KOSIS_VALUE,hcx,수출증가율,-,2024,Y,hcx,증감률,9.6,-,-,N,%,증감률,증가,전년,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",high,N,-,Y,0,0,HCX-007,v1.6-prev2-context,2026-07-30,수출액,,2024,Y,%,%,rate,rate_change,unspecified,2023,Y,,,Y,MAP000006,"query: 측정지표: 수출증가율
대표지표: 수출액
통계 검색어: 수출, WTO, 순위, 증가율
분야: 무역
기사 주장: 이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",success,20,0.007714,high,142,DT_12029,2012054,"주요 수출 국가(1+2+3순위, 상위 6위)",1인창조기업실태조사 > 2012년 > 기업운영 실태 및 향후 운영 계획,0.900303,0.285714,0.0,0.73237,115,DT_115042_25_044,2025009,향후 수출 계획이 있는 국가_1+2순위,자동차부품산업실태조사,0.890018,0.285714,0.0,0.724656,142,DT_V25_A054,1999037,원자재/부품 수입 국가(1+2순위),"벤처기업정밀실태조사 > 2024년 > 마케팅, 해외 수출 현황",0.888207,0.285714,0.0,0.723298,358,DT_358004_025,2021024,수출액 및 해외 매출액 증가 주요 요인_1+2 순위,바이오헬스산업실태조사,0.887541,0.285714,0.0,0.722798,395,DT_395N_S2024267,2003024,수출액 수준: 2023년,한국기업혁신조사 > 2025년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.895895,0.142857,0.0,0.700493
A0006-C004,A0006-C004-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",국내공식통계,Y,무역,무역수지 증감액,"수출, WTO, 수출증가율, 무역수지",-,-,-,,-,-,-,2024,-,Y,확정,621억 달러,KOSIS_VALUE,hcx,무역수지 증감액,-,2024,Y,hcx,현재값,62100000000,-,-,N,달러,증감량,증가,전년,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,무역수지,,2024,Y,달러,달러,currency,absolute_change,unspecified,2023,Y,,,N,MAP000007,"query: 측정지표: 무역수지 증감액
대표지표: 무역수지
통계 검색어: 수출, WTO, 수출증가율, 무역수지
분야: 무역
기사 주장: 무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.",success,20,0.004467,high,127,DT_127005_006,1996008,무역수지,ICT실태조사,0.882783,0.166667,0.0,0.695421,142,DT_D22058,2007272,수출 관련 애로사항 여부,장애인기업실태조사 > 2022년 > 경영 활동 사항,0.876828,0.166667,0.0,0.690954,142,DT_D23058,2007272,수출 관련 애로사항 여부,장애인기업실태조사 > 2023년 > 경영활동 현황,0.876355,0.166667,0.0,0.690599,127,DT_127005_005,1996008,수출 및 수입액,ICT실태조사,0.875969,0.166667,0.0,0.69031,142,DT_D23059,2007272,수출 관련 애로사항 - 복수응답,장애인기업실태조사 > 2023년 > 경영활동 현황,0.874719,0.166667,0.0,0.689373
A0006-C004,A0006-C004-m2,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.","이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",국내공식통계,Y,무역,무역수지,"수출, WTO, 수출증가율, 무역수지",-,-,-,,-,-,-,2024,-,Y,확정,518억 달러,KOSIS_VALUE,hcx,무역수지,-,2024,Y,hcx,현재값,51800000000,-,-,N,달러,수준값,-,-,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,무역수지,,2024,Y,달러,달러,currency,amount,unspecified,,Y,,,Y,MAP000008,"query: 측정지표: 무역수지
통계 검색어: 수출, WTO, 수출증가율, 무역수지
분야: 무역
기사 주장: 무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.",success,20,0.0051,high,127,DT_127005_006,1996008,무역수지,ICT실태조사,0.88066,0.2,0.0,0.700495,142,DT_D22058,2007272,수출 관련 애로사항 여부,장애인기업실태조사 > 2022년 > 경영 활동 사항,0.87386,0.2,0.0,0.695395,142,DT_D23058,2007272,수출 관련 애로사항 여부,장애인기업실태조사 > 2023년 > 경영활동 현황,0.873634,0.2,0.0,0.695225,127,DT_127005_005,1996008,수출 및 수입액,ICT실태조사,0.872513,0.2,0.0,0.694385,142,DT_D23059,2007272,수출 관련 애로사항 - 복수응답,장애인기업실태조사 > 2023년 > 경영활동 현황,0.872038,0.2,0.0,0.694028
A0006-C005,A0006-C005-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",국내공식통계,N,무역,무역수지,"수출액, WTO, 수출증가율, 무역수지",-,-,-,,-,-,-,2022,-,Y,확정,472억달러,KOSIS_VALUE,hcx,무역수지,-,2022,Y,hcx,이전값,47200000000,-,-,N,달러,수준값,감소,전년,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,high,Y,measurement_rule_fallback:1,Y,1,0,HCX-007,v1.6-prev2-context,2026-07-30,수출액,,2022,Y,달러,달러,currency,amount,unspecified,,Y,,,Y,MAP000009,"query: 측정지표: 무역수지
대표지표: 수출액
통계 검색어: 수출액, WTO, 수출증가율, 무역수지
분야: 무역
기사 주장: 2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.",success,20,0.001681,high,360,DT_1R11006_FRM101,1976045,"국가별 수출액, 수입액",SITC에의한무역통계,0.875274,0.2,0.0,0.696455,395,DT_395N_S2022300,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2023년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.873033,0.2,0.0,0.694774,395,DT_395N_S2024265,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2025년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.872384,0.2,0.0,0.694288,395,DT_395N_I2021300,2003024,수출액 수준: 2021년,한국기업혁신조사 > 2022년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.870985,0.2,0.0,0.693239,395,DT_395N_S2023298,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2024년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.869401,0.2,0.0,0.692051
A0006-C006,A0006-C006-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,국내공식통계,N,무역,수입 증가율,"무역수지, 수출액, 에너지 수입",-,-,-,,-,-,-,2024,-,Y,확정,1.60%,KOSIS_VALUE,hcx,수입 증가율,-,2024,Y,hcx,증감률,1.6,-,-,N,%,증감률,감소,전년,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.,high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,수입 증가율,,2024,Y,%,%,rate,rate_change,unspecified,2023,Y,,,Y,MAP000010,"query: 측정지표: 수입 증가율
통계 검색어: 무역수지, 수출액, 에너지 수입
분야: 무역
기사 주장: 2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.",success,20,0.000376,high,395,DT_395N_S2023300,2003024,수출액 수준: 2023년,한국기업혁신조사 > 2024년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.888649,0.166667,0.0,0.69982,395,DT_395N_S2023298,2003024,수출액 수준: 2022년,한국기업혁신조사 > 2024년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.888148,0.166667,0.0,0.699444,395,DT_395N_S2024269,2003024,수출액 수준: 2024년,한국기업혁신조사 > 2025년도 조사(서비스 부문) > 매출액 및 수출액 수준,0.886498,0.166667,0.0,0.698207,395,DT_395N_S2023296,2003024,수출액 수준: 2021년,한국기업혁신조사 > 2024년도 조사(제조업 부문) > 매출액 및 수출액 수준,0.884954,0.166667,0.0,0.697049,395,DT_395N_S2023222,2003024,환경편익혁신 도입 유무: 에너지 사용 절감 또는 탄소 발자국 감소(귀사),한국기업혁신조사 > 2024년도 조사(제조업 부문) > 환경편익 혁신 > 환경편익혁신 도입 유무,0.884905,0.166667,0.0,0.697012
