claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,mapping_exclusion_code,mapping_exclusion_reason
A0321-C002,A0321-C002-m2,A0321,“예적금 금리 또 떨어졌어?”… 남아 있는 ‘3% 예금·5% 적금’ 상품은,2025-01-25,https://www.chosun.com/economy/money/2025/01/25/7CFNMGHHWTXJHHOKXZSTNPMWQA,남아 있는 '3% 예금·5% 적금' 상품은 시중·지방·인터넷은행 수신 금리 낮춰 19개 은행 예금 중 금리 3% 초과 5개뿐 5% 넘는 1년 만기 적금도 5개…자격 조건 제한 김보연 기자(조선비즈) 입력 2025.01.25.,"2026년 4월 21일(화) 신문구독 | English | 日本語 | 中文 0 조선경제 오피니언 정치 사회 국제 건강 스포츠 문화·연예 콘텐츠판 땅집고 BEMIL 군사세계 헬스조선 IT조선 조선에듀 어린이조선일보 산&트래블 이코노미조선 신문은 선생님 THE BOUTIQUE 행복플러스 주간조선 여성조선 월간조선 민학수 올댓골프 Topclass Life&Learning English 日本語 中文 검색 2026년 4월 21일(화) 신문구독 | English | 日本語 | 中文 0 신문구독 | English | 日本語 | 中文 조선경제 오피니언 정치 사회 국제 건강 스포츠 문화·연예 콘텐츠판 땅집고 BEMIL 군사세계 헬스조선 IT조선 조선에듀 어린이조선일보 산&트래블 이코노미조선 신문은 선생님 THE BOUTIQUE 행복플러스 주간조선 여성조선 월간조선 민학수 올댓골프 Topclass Life&Learning 콘텐츠판 땅집고 BEMIL 군사세계 헬스조선 IT조선 조선에듀 어린이조선일보 산&트래블 이코노미조선 신문은 선생님 THE BOUTIQUE 행복플러스 주간조선 여성조선 월간조선 민학수 올댓골프 Topclass Life&Learning 땅집고 BEMIL 군사세계 헬스조선 IT조선 조선에듀 어린이조선일보 산&트래블 이코노미조선 신문은 선생님 THE BOUTIQUE 행복플러스 주간조선 여성조선 월간조선 민학수 올댓골프 Topclass Life&Learning 조선경제 머니 ""예적금 금리 또 떨어졌어?""…",06:00 업데이트 2025.01.25.,국내공식통계,N,금융·금리,적금 금리,"예금, 적금, 금리, 은행, 수신",-,-,-,,-,-,-,202501,-,M,확정,5%,KOSIS_VALUE,hcx,적금 금리,-,202501,M,hcx,현재값,5,-,-,N,%,수준값,-,전년동기,남아 있는 '3% 예금·5% 적금' 상품은 시중·지방·인터넷은행 수신 금리 낮춰 19개 은행 예금 중 금리 3% 초과 5개뿐 5% 넘는 1년 만기 적금도 5개…자격 조건 제한,high,N,-,Y,0,0,HCX-007,v1.5-measurement-binding,2026-07-27,예금·적금 금리,,202501,M,%,%,rate,level,unspecified,,Y,,
A0321-C002,A0321-C002-m3,A0321,“예적금 금리 또 떨어졌어?”… 남아 있는 ‘3% 예금·5% 적금’ 상품은,2025-01-25,https://www.chosun.com/economy/money/2025/01/25/7CFNMGHHWTXJHHOKXZSTNPMWQA,남아 있는 '3% 예금·5% 적금' 상품은 시중·지방·인터넷은행 수신 금리 낮춰 19개 은행 예금 중 금리 3% 초과 5개뿐 5% 넘는 1년 만기 적금도 5개…자격 조건 제한 김보연 기자(조선비즈) 입력 2025.01.25.,"2026년 4월 21일(화) 신문구독 | English | 日本語 | 中文 0 조선경제 오피니언 정치 사회 국제 건강 스포츠 문화·연예 콘텐츠판 땅집고 BEMIL 군사세계 헬스조선 IT조선 조선에듀 어린이조선일보 산&트래블 이코노미조선 신문은 선생님 THE BOUTIQUE 행복플러스 주간조선 여성조선 월간조선 민학수 올댓골프 Topclass Life&Learning English 日本語 中文 검색 2026년 4월 21일(화) 신문구독 | English | 日本語 | 中文 0 신문구독 | English | 日本語 | 中文 조선경제 오피니언 정치 사회 국제 건강 스포츠 문화·연예 콘텐츠판 땅집고 BEMIL 군사세계 헬스조선 IT조선 조선에듀 어린이조선일보 산&트래블 이코노미조선 신문은 선생님 THE BOUTIQUE 행복플러스 주간조선 여성조선 월간조선 민학수 올댓골프 Topclass Life&Learning 콘텐츠판 땅집고 BEMIL 군사세계 헬스조선 IT조선 조선에듀 어린이조선일보 산&트래블 이코노미조선 신문은 선생님 THE BOUTIQUE 행복플러스 주간조선 여성조선 월간조선 민학수 올댓골프 Topclass Life&Learning 땅집고 BEMIL 군사세계 헬스조선 IT조선 조선에듀 어린이조선일보 산&트래블 이코노미조선 신문은 선생님 THE BOUTIQUE 행복플러스 주간조선 여성조선 월간조선 민학수 올댓골프 Topclass Life&Learning 조선경제 머니 ""예적금 금리 또 떨어졌어?""…",06:00 업데이트 2025.01.25.,국내공식통계,N,금융·금리,은행 수,"예금, 적금, 금리, 은행, 수신",-,-,-,,-,-,-,202501,-,M,확정,19개,KOSIS_VALUE,hcx,은행 수,-,202501,M,hcx,현재값,19,-,-,N,개,수준값,-,전년동기,남아 있는 '3% 예금·5% 적금' 상품은 시중·지방·인터넷은행 수신 금리 낮춰 19개 은행 예금 중 금리 3% 초과 5개뿐 5% 넘는 1년 만기 적금도 5개…자격 조건 제한,high,N,-,Y,0,0,HCX-007,v1.5-measurement-binding,2026-07-27,예금·적금 금리,,202501,M,개,개,count,count,unspecified,,Y,,
A0321-C002,A0321-C002-m4,A0321,“예적금 금리 또 떨어졌어?”… 남아 있는 ‘3% 예금·5% 적금’ 상품은,2025-01-25,https://www.chosun.com/economy/money/2025/01/25/7CFNMGHHWTXJHHOKXZSTNPMWQA,남아 있는 '3% 예금·5% 적금' 상품은 시중·지방·인터넷은행 수신 금리 낮춰 19개 은행 예금 중 금리 3% 초과 5개뿐 5% 넘는 1년 만기 적금도 5개…자격 조건 제한 김보연 기자(조선비즈) 입력 2025.01.25.,"2026년 4월 21일(화) 신문구독 | English | 日本語 | 中文 0 조선경제 오피니언 정치 사회 국제 건강 스포츠 문화·연예 콘텐츠판 땅집고 BEMIL 군사세계 헬스조선 IT조선 조선에듀 어린이조선일보 산&트래블 이코노미조선 신문은 선생님 THE BOUTIQUE 행복플러스 주간조선 여성조선 월간조선 민학수 올댓골프 Topclass Life&Learning English 日本語 中文 검색 2026년 4월 21일(화) 신문구독 | English | 日本語 | 中文 0 신문구독 | English | 日本語 | 中文 조선경제 오피니언 정치 사회 국제 건강 스포츠 문화·연예 콘텐츠판 땅집고 BEMIL 군사세계 헬스조선 IT조선 조선에듀 어린이조선일보 산&트래블 이코노미조선 신문은 선생님 THE BOUTIQUE 행복플러스 주간조선 여성조선 월간조선 민학수 올댓골프 Topclass Life&Learning 콘텐츠판 땅집고 BEMIL 군사세계 헬스조선 IT조선 조선에듀 어린이조선일보 산&트래블 이코노미조선 신문은 선생님 THE BOUTIQUE 행복플러스 주간조선 여성조선 월간조선 민학수 올댓골프 Topclass Life&Learning 땅집고 BEMIL 군사세계 헬스조선 IT조선 조선에듀 어린이조선일보 산&트래블 이코노미조선 신문은 선생님 THE BOUTIQUE 행복플러스 주간조선 여성조선 월간조선 민학수 올댓골프 Topclass Life&Learning 조선경제 머니 ""예적금 금리 또 떨어졌어?""…",06:00 업데이트 2025.01.25.,국내공식통계,N,금융·금리,금리 3% 초과 은행 수,"예금, 적금, 금리, 은행, 수신",-,-,-,,-,-,-,202501,-,M,확정,5개,KOSIS_VALUE,hcx,금리 3% 초과 은행 수,-,202501,M,hcx,현재값,5,-,-,N,개,수준값,-,전년동기,남아 있는 '3% 예금·5% 적금' 상품은 시중·지방·인터넷은행 수신 금리 낮춰 19개 은행 예금 중 금리 3% 초과 5개뿐 5% 넘는 1년 만기 적금도 5개…자격 조건 제한,high,N,-,Y,0,0,HCX-007,v1.5-measurement-binding,2026-07-27,예금·적금 금리,,202501,M,개,개,count,count,unspecified,,Y,,
A1436-C005,A1436-C005-m1,A1436,사상 첫 ‘4분기 연속 0.1% 이하 성장’ 쇼크 오나,2025-04-21,https://www.chosun.com/economy/economy_general/2025/04/21/IJL2AD4SB5ETLABUQTFBKVHC7I,"◇‘4개 분기 연속 제로 성장’ 쇼크 한국은행은 지난 17일 ‘올해 1분기(1~3월) 및 향후 성장 흐름 평가’ 보고서에서 “1분기 우리나라 성장률이 지난 2월에 내놓은 전망치인 0.2%보다 더 낮으며, 마이너스(-) 성장 가능성도 배제할 수 없는 상황”이라고 했다.","전문가들은 “내수가 살아나지 않는 데다가 잠재성장률도 낮다 보니 회복력마저 떨어진 결과”라며 “우선 내수를 살리기 위해 추가경정예산(추경), 금리 인하 등 적극적 대책이 필요하다”고 하고 있다.",아무리 선방해도 0.1%보다 높은 성장을 기대하기 어렵다는 얘기다.,국내공식통계,Y,생산·산업,분기 연속 성장,"한국은행, 경제성장률, 분기, 성장률 전망치",-,-,-,,-,-,-,2025Q1,-,Q,확정,4개,KOSIS_VALUE,hcx,분기 연속 성장,-,2025Q1,Q,hcx,현재값,4,-,-,N,개,수준값,유지,전분기,"한국은행은 지난 17일 ‘올해 1분기(1~3월) 및 향후 성장 흐름 평가’ 보고서에서 ""1분기 우리나라 성장률이 지난 2월에 내놓은 전망치인 0.2%보다 더 낮으며, 마이너스(-) 성장 가능성도 배제할 수 없는 상황""이라고 했다.",high,N,-,Y,0,0,HCX-007,v1.5-measurement-binding,2026-07-27,경제성장률,,2025Q1,Q,개,개,count,count,unspecified,,Y,,
A1436-C005,A1436-C005-m2,A1436,사상 첫 ‘4분기 연속 0.1% 이하 성장’ 쇼크 오나,2025-04-21,https://www.chosun.com/economy/economy_general/2025/04/21/IJL2AD4SB5ETLABUQTFBKVHC7I,"◇‘4개 분기 연속 제로 성장’ 쇼크 한국은행은 지난 17일 ‘올해 1분기(1~3월) 및 향후 성장 흐름 평가’ 보고서에서 “1분기 우리나라 성장률이 지난 2월에 내놓은 전망치인 0.2%보다 더 낮으며, 마이너스(-) 성장 가능성도 배제할 수 없는 상황”이라고 했다.","전문가들은 “내수가 살아나지 않는 데다가 잠재성장률도 낮다 보니 회복력마저 떨어진 결과”라며 “우선 내수를 살리기 위해 추가경정예산(추경), 금리 인하 등 적극적 대책이 필요하다”고 하고 있다.",아무리 선방해도 0.1%보다 높은 성장을 기대하기 어렵다는 얘기다.,국내공식통계,Y,생산·산업,경제성장률,"한국은행, 경제성장률, 분기, 성장률 전망치",-,-,-,,-,-,-,2025Q1,-,Q,확정,0.2%,KOSIS_VALUE,hcx,경제성장률,-,2025Q1,Q,hcx,현재값,0.2,-,-,N,%,수준값,유지,전분기,"한국은행은 지난 17일 ‘올해 1분기(1~3월) 및 향후 성장 흐름 평가’ 보고서에서 ""1분기 우리나라 성장률이 지난 2월에 내놓은 전망치인 0.2%보다 더 낮으며, 마이너스(-) 성장 가능성도 배제할 수 없는 상황""이라고 했다.",high,N,-,Y,0,0,HCX-007,v1.5-measurement-binding,2026-07-27,경제성장률,,2025Q1,Q,%,%,rate,level,unspecified,,Y,,
A0333-C003,A0333-C003-m1,A0333,“하루도 안 빼고 1조6000억원 순매수” 연기금 연초 코스피 상승 주도,2025-01-26,https://www.chosun.com/economy/money/2025/01/26/3T4L54DT3BXJZWJIQZTNOI736M,16:03 0 연기금이 올 1월 유가증권시장에서 1조6000억원어치를 순매수하며 코스피지수 상승을 이끈 것으로 나타났다.,13:55 업데이트 2025.01.26.,26일 한국거래소에 따르면 국민연금 등 연기금은 연초 이후 지난 24일까지 유가증권시장(코스피)에서 1조6132억원을 순매수했다.,국내공식통계,N,금융·금리,순매수액,"연기금, 코스피, 순매수",-,-,-,,-,-,-,202501,-,M,확정,1조6000억원,KOSIS_VALUE,hcx,순매수액,-,202501,M,hcx,현재값,1600000000000,-,-,N,원,수준값,증가,전년동기,"""16:03 0 연기금이 올 1월 유가증권시장에서 1조6000억원어치를 순매수하며 코스피지수 상승을 이끈 것으로 나타났다.""",high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-27,순매수액,,202501,M,원,원,currency,amount,unspecified,,Y,,
A1218-C001,A1218-C001-m1,A1218,트럼프 관세 여파로 외국인 직접투자액 1분기 9.2% 줄어,2025-04-04,https://www.chosun.com/economy/industry-company/2025/04/04/HWJVCRJQ5FDRPI7DW3X5AERARI,올해 1분기(1~3월) 우리나라로 들어온 외국인 직접투자(FDI)가 작년 같은 기간 대비 9.2% 줄었다.,-,"지난 1월 도널드 트럼프 미 대통령이 취임 후 ‘관세 폭탄’으로 인한 불확실성 때문에 중국발 투자가 급감하고, 다른 글로벌 기업들도 투자 관망세가 짙어진 영향이라는 분석이다.",국내공식통계,Y,무역,외국인직접투자액,"외국인직접투자, FDI, 관세폭탄, 트럼프",-,-,-,,-,-,-,2025Q1,-,Q,확정,9.2%,KOSIS_VALUE,hcx,외국인직접투자액,-,2025Q1,Q,hcx,증감률,9.2,-,-,N,%,증감률,감소,전년동기,올해 1분기(1~3월) 우리나라로 들어온 외국인 직접투자(FDI)가 작년 같은 기간 대비 9.2% 줄었다.,high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-27,외국인직접투자액,,2025Q1,Q,%,%,rate,rate_change,unspecified,2024,Y,,
A0748-C007,A0748-C007-m1,A0748,출산율 9년 만에 반등… “앞으로 7년이 골든타임”,2025-02-27,https://www.chosun.com/economy/economy_general/2025/02/27/JSTSHA6HNJHELOV3RULNHTIZBI,합계 출산율이 1.24명이었던 2015년 이후 처음으로 출산율이 올랐다.,여성 1명이 낳을 것으로 예상되는 아이 수를 뜻하는 합계 출산율은 작년 0.75명으로 역대 최저였던 2023년(0.72명)보다 0.03명 늘었다.,작년 혼인 건수도 22만2422건에 달해 전년 대비 14.9% 늘었다.,국내공식통계,N,인구,합계 출산율,"출산율, 인구, 합계 출산율",-,-,-,,-,-,-,2015,-,Y,확정,1.24명,KOSIS_VALUE,hcx,합계 출산율,-,2015,Y,hcx,현재값,1.24,-,-,N,명,수준값,증가,전년동기,합계 출산율이 1.24명이었던 2015년 이후 처음으로 출산율이 올랐다.,high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-27,합계 출산율,,2025,Y,명,명,person_count,count,unspecified,,Y,,
A0290-C015,A0290-C015-m1,A0290,"“한국, 20년간 10대 수출품목 그대로… 끓는 냄비 속 개구리”",2025-01-23,https://www.chosun.com/economy/economy_general/2025/01/23/53AOV7MK3BAPZG4STEVXENK644,"지난 2005년과 작년, 한국의 10대 수출 품목을 비교하면 컴퓨터가 제외되고, 가전제품이 새로 진입한 것 외에는 아무 변화가 없었다.","◇신기술도 변화도 없는 한국, “뜨거운 물 끼얹어야” 맥킨지는 지난 20년간 변화가 없는 한국의 수출 구조도 한국 경제의 어려움을 가속하는 주요 원인으로 꼽았다.","지난해 1위였던 반도체는, 2005년에도 1위였고, 2005년 2위였던 자동차는 지난해에도 2위로 순위 변화가 없었다.",국내공식통계,N,무역,수출 품목 수,"수출품목, 10대, 컴퓨터, 가전제품, 반도체, 자동차",-,-,-,,-,-,-,2005,-,Y,확정,10대,KOSIS_VALUE,hcx,수출 품목 수,-,2005,Y,hcx,현재값,10,-,-,N,대,수준값,-,전년,"지난 2005년과 작년, 한국의 10대 수출 품목을 비교하면 컴퓨터가 제외되고, 가전제품이 새로 진입한 것 외에는 아무 변화가 없었다.",high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-27,10대 수출 품목,,2024,Y,대,대,count,count,unspecified,,Y,,
A1798-C006,A1798-C006-m1,A1798,[모닝] 브라질에서 터진 조류인플루엔자… 순살 치킨 값 오르나,2025-05-19,https://www.chosun.com/economy/economy_general/2025/05/19/SDVLEHC5O5HQRDA64LNPPHDWVM,"한국농수산식품유통공사(aT) 농식품수출정보에 따르면, 지난해 한국은 전체 닭고기 수입량 24만9751t 중 71.6%가량인 17만8956t을 브라질에서 들여왔다.",이번 조치로 브라질산 닭고기를 주로 쓰는 순살 치킨 값이 타격을 받을 것이란 전망이 나온다.,"국내 치킨 업체들은 뼈가 있는 치킨의 경우 주로 국내산을 쓰지만, 순살 치킨이나 닭강정류는 브라질산 닭고기를 사용하는 경우가 대부분이다.",국내공식통계,N,무역,닭고기 수입량 비중,"한국, 브라질, 닭고기, 수입량, aT, 농식품수출정보",-,-,-,닭고기,-,브라질,한국,2024,-,Y,확정,71.6%가량,KOSIS_VALUE,hcx,닭고기 수입량 비중,닭고기,2024,Y,hcx,현재값,71.6,-,-,Y,%,비중,-,전년,"한국농수산식품유통공사(aT) 농식품수출정보에 따르면, 지난해 한국은 전체 닭고기 수입량 24만9751t 중 71.6%가량인 17만8956t을 브라질에서 들여왔다.",high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-27,닭고기 수입량 비중,닭고기,2024,Y,%,%,rate,level,item,,Y,,
