claim_id,article_id,title,date,url,claim_text,prev_sentence,prev_prev_sentence,is_claim,is_claim_reason,is_claim_confidence,is_claim_method,extraction_model,prompt_version,extracted_at
A0002-C007,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,대상 차량은 독일 30만대 등 대부분 유럽 국가에 집중됐다.,차량 위치 정보의 경우 10cm 단위까지 구별될 정도로 정확도가 높았다고 한다.,"전기차가 어디에서 어디로 향했는지, 얼마나 머물렀는지와 같은 주행 데이터를 비롯해 운전자의 이메일, 전화번호, 주소 등의 정보다.",TRUE,"현재 문장은 특정 지역에서의 전기차 등록 대수에 대한 정보를 제공하고 있으며, 이는 인구 및 가구 관련 통계로서 KOSIS에서 해당 지역의 자동차 등록 현황 등을 통해 검증할 수 있을 것으로 보인다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C001,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.",,,TRUE,"최저임금의 변화에 대한 정보로, 이는 고용 및 노동 관련 통계로서 KOSIS에서 확인 가능한 내용입니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C002,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.",,TRUE,주 근로시간 40시간을 기준으로 환산한 월급 금액을 제시하며 이는 노동 및 복지 관련 통계 정보로서 KOSIS에서 확인 가능한 내용이다.,high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C008,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,"이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다.",▲ 육아휴직 급여 인상 =월 150만원 이내에서 통상 임금의 80%를 지급하던 육아휴직 급여가 휴직 첫 3개월 동안 월 250만원 한도에서 통상 임금의 100%로 늘어난다.,TRUE,"육아휴직 급여의 최대 금액 변화에 대한 수치적인 정보를 제공하고 있으며, 이는 국가 정책 및 고용 관련 통계로서 KOSIS에서 확인 가능한 정보일 가능성이 높습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C011,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다.,이 휴가는 네 번에 걸쳐 나눠 쓸 수 있다.,▲ 배우자 출산휴가 기간 확대 =아내의 출산에 따른 남편의 유급 휴가 기간이 2월 23일부터 10일에서 20일로 확대된다.,TRUE,"현재 문장은 국가건강검진의 항목 확대에 대한 내용으로, 이는 국내 건강 관련 정책 및 통계의 변화에 해당하며, KOSIS를 통해 관련 통계 정보를 확인할 수 있을 것으로 보인다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C012,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.",▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다.,이 휴가는 네 번에 걸쳐 나눠 쓸 수 있다.,TRUE,"골다공증 검사 대상이 54, 66세 여성에서 60세 여성까지 확대된다는 내용은 국가 건강 관련 정책 변화에 해당하며, 이는 KOSIS를 통해 국가 건강검진 대상 및 항목의 변화를 확인할 수 있는 정보이므로 True로 판단합니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C014,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,지원 대상은 중위소득 150% 이하 가구이며 자녀 1인당 월 20만원을 만 18세까지 지원받는다.,"▲ 양육비 선지급제 도입 =양육비를 받지 못하고 있는 한부모가족에게 7월부터 국가가 양육비를 우선 지급하고, 비양육자에게 회수하게 된다.","골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.",TRUE,"지원 대상이 중위소득 150% 이하 가구라는 점과 자녀 1인당 월 20만원이라는 구체적인 금액이 언급되어 있어, 이는 국내 사회 복지 관련 통계로서 KOSIS에서 확인 가능한 정보일 가능성이 높습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C017,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 청년 대상 전기차 보조금 확대 =청년이 생애 첫 차로 전기 승용차를 구매하는 경우 국비 지원액의 20%를 추가 보조금으로 지원한다.,"▲ '상습 임금 체불 근절법’ 시행 =정부가 지정한 상습 임금 체불 사업주가 되면 정부 지원금이나 보조금 신청에서 제한을 받으며 정부가 발주하는 공사에 참여가 제한되거나 감점 등 불이익을 받는다. 상습 임금 체불 사업주는 출국 금지될 수 있다. ▲ 청년 특화 취업 지원 프로그램 =정부가 제공하는 ‘역량강화 프로그램’에 1개월 이상 참여한 뒤 제조·물류운송·보건·복지서비스·음식점·건설·해운·수산·자원 순환·농업 등 정부 지정 10개 업종에 취업해 6개월 근속할 경우 훈련참여수당 월 20만원과 취업 성공수당 40만원을 지원받는다. ▲ 중장년 경력지원제 신설 =재취업을 희망하는 퇴직 중장년이 일경험을 원하는 경우 1~3개월간 직무교육과 직무수행이 연계된 프로그램을 제공하고, 참여자는 참여수당으로 월 최대 150만원을 지원받는다. ◇금융·조세 수영장·헬스장도 카드 소득공제, 2자녀 가구 자동차 취득세 감면 ▲ 청년도약계좌 혜택 강화 =청년도약계좌 2년 이상 가입자 중 누적 800만원 이상을 납입한 가입자는 신용점수가 5~10점가량 가점된다. 또 2년 이상 가입자는 만기 전에도 누적 납입 원금의 최대 40% 이내에서 납입액 일부를 인출할 수 있게 된다. ▲ 자녀 세액공제 금액 확대 =8~20세 자녀(또는 손자녀)에 대한 자녀 세액공제 금액이 기존 첫째 15만원, 둘째 20만원, 셋째 이후 인당 30만원에서 첫째 25만원, 둘째 30만원, 셋째 이후 인당 40만원으로 확대된다. ▲ 수영장·헬스장도 신용카드 소득공제 =7월 1일부터 연 급여가 7000만원 이하인 경우 수영장이나 체력단련장 시설 이용료를 신용카드로 결제하면 연간 300만원 한도 내에서 소득공제율 30%를 적용받는다. ▲ 자동차 취득세 감면 기준 완화 =다자녀 가구의 자동차 취득세 감면 기준이 3자녀 이상에서 2자녀로 확대되면서 2자녀 가구도 자동차 취득세를 50% 감면 받게 된다. 6인승 이하 승용차 기준 70만원 한도 내에서 취득세가 감면된다. ▲ 면세 주류 병 수 제한 폐지 =해외에서 입국할 때 면세 주류 반입은 2L 이하, 400달러 미만으로 2병만 반입할 수 있었지만, 1분기(1~3월) 내에 병 수 제한이 폐지된다. ▲ 기업 출산지원금 비과세 =근로자가 회사 등에서 본인 또는 배우자의 출산과 관련해 받은 출산지원금에 대해서는 최대 2회에 한해 근로소득을 전액 비과세한다. ▲ 비수도권 미분양주택 취득 시 과세특례 =기존 1주택자가 서울·경기·인천 외 지역에 있는 전용면적 85㎡·취득가액 6억원 이하의 준공 후 미분양주택을 취득하는 경우 1세대 1주택 특례가 적용된다. 이 경우 12억원까지는 양도세가 비과세 되며, 종합부동산세 역시 12억원까지 기본공제를 받을 수 있다. ▲ 맞벌이 가구의 근로장려금 수급 요건 완화 =맞벌이 가구가 근로장려금을 받기 위한 소득기준이 연 3800만원 미만에서 연 4400만원 미만으로 확대된다. 근로장려금은 일은 하지만 소득이 적은 근로자에게 정부가 지급하는 장려금이다. ▲ 세무조사 사전통지 기간 확대 =납세자의 예측 가능성과 자기 방어권 보장을 위해 세무조사 사전통지 기간이 기존 15일에서 20일로 확대된다. ◇교육·병무·환경 병장 월급 125만→150만원 인상… ‘3년간 192학점’ 고교학점제 시행 ▲ 고교학점제 전면 시행 =2025년 고등학교 신입생을 대상으로 고교학점제가 전면 시행된다. 학생들은 진로와 적성에 따라 과목을 선택하고, 3년간 192학점 이상 이수하면 졸업이 인정된다. ▲ 늘봄학교 지원 대상 확대 =2025년 1학기부터 늘봄학교 지원 대상이 기존 초등학교 1학년에서 2학년까지 확대된다. 희망하는 초등학교 1~2학년이 모두 늘봄학교에 참여할 수 있고, 맞춤형 프로그램이 매일 2시간 무료로 제공된다. ▲ 국가장학금 지원 대폭 확대 =국가장학금 I유형과 다자녀 장학금 지원 대상을 100만명에서 150만명으로 확대해 1인당 최대 100만원을 지원한다. 국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다. ▲ 병 봉급 인상 =병 봉급을 병장 기준 월 125만원에서 150만원으로 늘린다. 상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다. 장병 내일준비적금의 정부 지원금도 월 최대 40만원에서 55만원으로 오른다. ▲ 한국사·한국어시험 공군 가산점 폐지 =2025년 6회 차(9월) 공군 병 모집 때부터 한국사·한국어능력시험 가산점이 폐지된다. 군 임무 수행과 관련성이 적고, 병역 의무자에게 부담으로 작용할 수 있어서다. ▲ '20세 병역판정검사 후 입영’ 시범 실시 =그동안 모든 병역의무자가 19세에 병역판정검사를 받은 뒤 현역병 입영을 다시 신청해야 했지만, 2025년부터는 20세에 한 번의 신청으로 병역판정검사를 받고 3개월 후 원하는 날짜에 입영할 수 있는 제도가 시범 실시된다.","▲ 난임치료 휴가 확대 =2월 23일부터 난임치료 휴가 기간이 기존 3일에서 6일로 확대되고, 그중 유급기간도 1일에서 2일로 확대된다.",TRUE,"청년 대상 전기차 보조금 확대에 대한 내용은 정부의 정책 변화로서, KOSIS에서 관련 통계나 예산 변화를 통해 검증할 수 있을 것으로 보인다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0003-C018,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,추가 지원 대상은 차상위 이하 계층 청년에서 전체로 확대한다.,▲ 청년 대상 전기차 보조금 확대 =청년이 생애 첫 차로 전기 승용차를 구매하는 경우 국비 지원액의 20%를 추가 보조금으로 지원한다.,"▲ '상습 임금 체불 근절법’ 시행 =정부가 지정한 상습 임금 체불 사업주가 되면 정부 지원금이나 보조금 신청에서 제한을 받으며 정부가 발주하는 공사에 참여가 제한되거나 감점 등 불이익을 받는다. 상습 임금 체불 사업주는 출국 금지될 수 있다. ▲ 청년 특화 취업 지원 프로그램 =정부가 제공하는 ‘역량강화 프로그램’에 1개월 이상 참여한 뒤 제조·물류운송·보건·복지서비스·음식점·건설·해운·수산·자원 순환·농업 등 정부 지정 10개 업종에 취업해 6개월 근속할 경우 훈련참여수당 월 20만원과 취업 성공수당 40만원을 지원받는다. ▲ 중장년 경력지원제 신설 =재취업을 희망하는 퇴직 중장년이 일경험을 원하는 경우 1~3개월간 직무교육과 직무수행이 연계된 프로그램을 제공하고, 참여자는 참여수당으로 월 최대 150만원을 지원받는다. ◇금융·조세 수영장·헬스장도 카드 소득공제, 2자녀 가구 자동차 취득세 감면 ▲ 청년도약계좌 혜택 강화 =청년도약계좌 2년 이상 가입자 중 누적 800만원 이상을 납입한 가입자는 신용점수가 5~10점가량 가점된다. 또 2년 이상 가입자는 만기 전에도 누적 납입 원금의 최대 40% 이내에서 납입액 일부를 인출할 수 있게 된다. ▲ 자녀 세액공제 금액 확대 =8~20세 자녀(또는 손자녀)에 대한 자녀 세액공제 금액이 기존 첫째 15만원, 둘째 20만원, 셋째 이후 인당 30만원에서 첫째 25만원, 둘째 30만원, 셋째 이후 인당 40만원으로 확대된다. ▲ 수영장·헬스장도 신용카드 소득공제 =7월 1일부터 연 급여가 7000만원 이하인 경우 수영장이나 체력단련장 시설 이용료를 신용카드로 결제하면 연간 300만원 한도 내에서 소득공제율 30%를 적용받는다. ▲ 자동차 취득세 감면 기준 완화 =다자녀 가구의 자동차 취득세 감면 기준이 3자녀 이상에서 2자녀로 확대되면서 2자녀 가구도 자동차 취득세를 50% 감면 받게 된다. 6인승 이하 승용차 기준 70만원 한도 내에서 취득세가 감면된다. ▲ 면세 주류 병 수 제한 폐지 =해외에서 입국할 때 면세 주류 반입은 2L 이하, 400달러 미만으로 2병만 반입할 수 있었지만, 1분기(1~3월) 내에 병 수 제한이 폐지된다. ▲ 기업 출산지원금 비과세 =근로자가 회사 등에서 본인 또는 배우자의 출산과 관련해 받은 출산지원금에 대해서는 최대 2회에 한해 근로소득을 전액 비과세한다. ▲ 비수도권 미분양주택 취득 시 과세특례 =기존 1주택자가 서울·경기·인천 외 지역에 있는 전용면적 85㎡·취득가액 6억원 이하의 준공 후 미분양주택을 취득하는 경우 1세대 1주택 특례가 적용된다. 이 경우 12억원까지는 양도세가 비과세 되며, 종합부동산세 역시 12억원까지 기본공제를 받을 수 있다. ▲ 맞벌이 가구의 근로장려금 수급 요건 완화 =맞벌이 가구가 근로장려금을 받기 위한 소득기준이 연 3800만원 미만에서 연 4400만원 미만으로 확대된다. 근로장려금은 일은 하지만 소득이 적은 근로자에게 정부가 지급하는 장려금이다. ▲ 세무조사 사전통지 기간 확대 =납세자의 예측 가능성과 자기 방어권 보장을 위해 세무조사 사전통지 기간이 기존 15일에서 20일로 확대된다. ◇교육·병무·환경 병장 월급 125만→150만원 인상… ‘3년간 192학점’ 고교학점제 시행 ▲ 고교학점제 전면 시행 =2025년 고등학교 신입생을 대상으로 고교학점제가 전면 시행된다. 학생들은 진로와 적성에 따라 과목을 선택하고, 3년간 192학점 이상 이수하면 졸업이 인정된다. ▲ 늘봄학교 지원 대상 확대 =2025년 1학기부터 늘봄학교 지원 대상이 기존 초등학교 1학년에서 2학년까지 확대된다. 희망하는 초등학교 1~2학년이 모두 늘봄학교에 참여할 수 있고, 맞춤형 프로그램이 매일 2시간 무료로 제공된다. ▲ 국가장학금 지원 대폭 확대 =국가장학금 I유형과 다자녀 장학금 지원 대상을 100만명에서 150만명으로 확대해 1인당 최대 100만원을 지원한다. 국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다. ▲ 병 봉급 인상 =병 봉급을 병장 기준 월 125만원에서 150만원으로 늘린다. 상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다. 장병 내일준비적금의 정부 지원금도 월 최대 40만원에서 55만원으로 오른다. ▲ 한국사·한국어시험 공군 가산점 폐지 =2025년 6회 차(9월) 공군 병 모집 때부터 한국사·한국어능력시험 가산점이 폐지된다. 군 임무 수행과 관련성이 적고, 병역 의무자에게 부담으로 작용할 수 있어서다. ▲ '20세 병역판정검사 후 입영’ 시범 실시 =그동안 모든 병역의무자가 19세에 병역판정검사를 받은 뒤 현역병 입영을 다시 신청해야 했지만, 2025년부터는 20세에 한 번의 신청으로 병역판정검사를 받고 3개월 후 원하는 날짜에 입영할 수 있는 제도가 시범 실시된다.",TRUE,전기차 보조금 정책 변화에 따른 추가 지원 대상 확대에 대한 정보 제공.,high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0004-C011,A0004,‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.,2025년 한국 산업 현장의 주역이 로봇이란 말이 과언이 아닐 정도다.,하지만 우리 산업의 현장은 이제 로봇이 좌지우지한다.,TRUE,국제로봇연맹(IFR)에 따른 한국의 로봇 사용량에 대한 정보 제공.,high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
